attr1,attr2,attr3,attr4,attr5,attr6,class
0.84250832,,,,-0.37786573,0.96176503,
,4.953141,,,,,
-0.1551572,-0.35518168,,-0.85955255,,-0.94572324,-1
,-0.36402888,-0.095734317,,0.64769223,1.4767259,
,,-0.59163147,,,,
0.21274255,,,0.7788572,,,-1
0.24560284,,0.12967348,-0.85955255,,-0.94572324,
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,-1
,,-0.59163147,-0.85955255,,,
,,0.30999972,0.25311459,,,
,-0.24016802,,,,,-1
,-0.45250093,,,-0.37786573,,-1
-0.0020350187,,0.26491816,,,1.3030409,
,,0.12967348,-0.12410362,0.72016086,,-1
,,,-0.85955255,,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,-1
-0.0044063799,,,-0.85955255,,-0.94572324,
,-0.36845248,0.49032595,,,0.99223609,-1
,0.22873382,,,,,
-0.28354947,,0.44524439,,-0.37786573,,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
0.044037141,,,0.50501534,,,
,-0.45250093,0.12967348,-0.85955255,-0.37786573,,
,-0.47019533,,,-0.37786573,,-1
-0.34232535,-0.42595931,,0.71472166,,1.3121822,
,,,,-0.37786573,,-1
,,0.80589687,,,0.87949317,
0.014903275,,,0.59151392,,,
,,-0.095734317,,-0.37786573,0.56868837,-1
1.3062788,1.5292729,-0.27606055,1.1615607,,,-1
-0.41990273,,0.62557063,,,,
,-0.32864006,,0.88476522,0.62912234,,
-0.78441482,,,-0.85955255,,,
,,-0.59163147,,,,-1
-0.069110663,,0.30999972,0.54805366,,0.74542051,-1
,0.11814376,,0.57294838,,,-1
-0.33334805,-0.44807732,0.49032595,,0.61842161,1.2055335,
-0.33199299,-0.32864006,,,1.4092549,1.0958377,
-0.11535221,-0.37287609,0.039510361,-0.85955255,,-0.94572324,
,,0.12967348,,-0.37786573,,
,-0.47019533,-0.59163147,,,-0.94572324,-1
0.40228206,0.034095321,,,0.78127026,,
,2.1220356,,-0.85955255,,-0.94572324,
,0.88342695,-0.27606055,,-0.37786573,-0.94572324,
,,2.9247302,,-0.37786573,1.1141203,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
,,-0.59163147,-0.85955255,,-0.94572324,
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,
-0.78441482,,,-0.85955255,-0.37786573,-0.94572324,
,-0.33748727,,,1.6810535,,-1
0.1317775,,,,,,
-0.78441482,,-0.59163147,-0.85955255,,-0.94572324,
,,,,-0.37786573,,
0.56827734,,,0.63497419,0.94497497,0.80026842,
-0.78441482,,,,-0.37786573,-0.94572324,-1
,,-0.59163147,-0.85955255,,-0.94572324,
,,,-0.85955255,-0.37786573,,-1
,,-0.59163147,,-0.37786573,,-1
-0.78441482,,,-0.85955255,,,
,,-0.59163147,-0.85955255,,,
-0.78441482,,,-0.85955255,,,
,,,-0.85955255,,,
,-0.44807732,0.039510361,0.094041587,2.1414153,,-1
,,-0.32114211,-0.85955255,-0.37786573,,
-0.78441482,,,-0.85955255,,,-1
,,-0.41130523,1.1628265,-0.37786573,0.87949317,
-0.26762747,,0.26491816,,,0.88863449,-1
,-0.45250093,1.1214678,0.46661841,,0.92215265,
,,,-0.85955255,,-0.94572324,
0.053691969,,0.98622311,,-0.37786573,1.2969467,
,-0.4038413,,-0.85955255,-0.37786573,-0.94572324,
,,,,,,-1
-0.55659477,-0.43923012,3.2853826,,,0.46813388,-1
,2.7988467,-0.45638679,,-0.37786573,,-1
,-0.12073076,0.17475504,5.5008359,,,
,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,,
0.58030353,-0.45250093,0.12967348,-0.85955255,-0.37786573,-0.94572324,
-0.78441482,,-0.59163147,-0.85955255,,,-1
,-0.45250093,0.58048907,-0.85955255,,-0.94572324,
,2.4538057,-0.36622367,0.89067244,2.857146,,
,,,-0.85955255,-0.37786573,,
,-0.12515436,,0.84889995,-0.37786573,0.99223609,-1
,-0.41711211,-0.36622367,-0.11524279,,,
,,,,0.27214599,0.8916816,
-0.17107919,-0.42153571,1.0313047,0.36028844,,1.162874,-1
,-0.32421646,-0.050652758,,,,
0.72292397,,,0.77421581,,0.86730475,
,,,,,-0.94572324,-1
-0.33470311,-0.43480652,,-0.39836742,,,-1
,-0.47019533,,,,,
,,,,,,-1
-0.077241044,,,-0.85955255,-0.37786573,-0.94572324,-1
-0.38297725,,,1.3016462,,0.86121054,
-0.78441482,,,-0.85955255,,-0.94572324,-1
,0.1844978,0.2198366,1.067889,,1.3152293,-1
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,-1
0.12771231,-0.31979286,,-0.85955255,,,
1.2178609,,,,,1.2451459,-1
-0.18310538,,,0.77252803,,1.5620449,
,,-0.14081588,,,,
-0.78441482,,-0.59163147,-0.85955255,,-0.94572324,
-0.009657251,,,0.57590199,-0.37786573,1.1720153,-1
,,2.5640777,0.58645059,,,-1
,,,-0.85955255,,-0.94572324,-1
,,0.08459192,1.7269661,,,
0.2261238,,0.80589687,0.82147357,,1.01966,
-0.78441482,,,-0.85955255,,,
0.14837703,-0.44807732,,,-0.37786573,1.8576142,
,,0.80589687,-0.092035852,,1.4096896,
-0.78441482,-0.47019533,,,-0.37786573,,-1
-0.78441482,,,-0.85955255,,-0.94572324,-1
-0.34130905,,,,-0.37786573,0.83378658,
-0.0084715705,,-0.0055711987,,0.542858,0.86121054,-1
,,-0.18589744,-0.85955255,-0.37786573,-0.94572324,
-0.16430388,-0.14284877,,,1.8747532,0.97395345,
,,1.1665493,,0.86776508,0.85511633,
,,,,-0.37786573,0.94043529,
0.2340848,-0.44807732,,-0.85955255,-0.37786573,,-1
,-0.47019533,-0.59163147,-0.85955255,,,-1
-0.031338267,-0.31979286,,,,0.98614188,-1
,,,1.2700004,-0.37786573,,-1
-0.13652507,-0.43480652,,,,1.421878,-1
,-0.39057049,0.12967348,-0.85955255,-0.37786573,-0.94572324,
0.0084667236,,0.71573375,,,1.2085806,-1
,0.83476733,,0.49573257,,0.80636263,-1
-0.33317867,,-0.32114211,0.075054093,,1.0714608,
0.29743402,,0.2198366,,,-0.94572324,
0.17818843,-0.41711211,,,,,-1
-0.43701041,,-0.095734317,2.0147321,-0.37786573,,
,-0.47019533,-0.59163147,,,,
,-0.24459162,0.039510361,-0.85955255,,,-1
,,-0.0055711987,,,0.75456183,
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,
-0.028966906,-0.34633447,,-0.85955255,,-0.94572324,-1
,,-0.18589744,0.61261114,-0.37786573,,-1
0.43023024,-0.23574442,,,-0.37786573,0.7393263,
-0.32115248,-0.42595931,-0.0055711987,1.0961593,-0.37786573,,-1
-0.016432569,-0.39057049,0.08459192,,,,-1
,,0.08459192,-0.85955255,,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,-1
-0.78441482,,,-0.85955255,,-0.94572324,
-0.3994074,-0.4082649,,0.91556715,0.44977811,0.68143129,-1
,0.029671718,,0.20881044,,1.0958377,
0.58352181,,-0.095734317,,,1.6047044,-1
0.02150921,,,,,,
,0.0075537073,-0.14081588,,2.5347742,0.9983303,
0.17784966,-0.010140702,0.08459192,,,,
-0.78441482,-0.47019533,-0.59163147,,-0.37786573,,-1
,-0.29325125,,-0.85955255,,-0.94572324,-1
,,,,-0.37786573,,
,,0.44524439,,,,-1
1.7427786,,-0.18589744,,,0.49251073,-1
,0.24200463,0.12967348,,,-0.94572324,
,,,1.2556543,,,
0.85707525,,,-0.85955255,-0.37786573,,-1
,,0.30999972,,,-0.94572324,
-0.38399355,-0.44365372,0.17475504,,,0.78503289,-1
,,,,,1.1567798,
,-0.36402888,0.17475504,0.59277976,,,-1
-0.23205705,,0.35508128,-0.85955255,,,
,1.1267251,,,,,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,,-1
-0.78441482,,,,-0.37786573,,
-0.78441482,,,,-0.37786573,-0.94572324,-1
,-0.18266119,,0.56239977,0.46923698,,
0.10145796,-0.2136264,,,,,-1
0.26033916,-0.32421646,-0.36622367,,-0.37786573,,
-0.78441482,-0.47019533,,,-0.37786573,,
1.5540861,5.0681547,-0.230979,1.6299189,0.21706193,0.78808,
-0.1461799,-0.22247361,,0.48265229,,,-1
,,2.9698117,0.68982695,,0.69666682,
-0.43260645,,,-0.85955255,,-0.94572324,-1
0.24780482,1.2328915,-0.0055711987,,-0.37786573,1.0501311,-1
-0.14584114,,,0.49066924,0.74831201,0.78808,
,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
,1.0338294,-0.32114211,0.64636668,1.1967549,0.65096023,-1
,0.025248116,,,-0.37786573,1.0013774,
,,,,,,-1
0.38940896,-0.067647531,,,-0.37786573,0.96785924,
,-0.32421646,,,,,
,,,-0.85955255,,,
,-0.47019533,,-0.85955255,,-0.94572324,-1
0.90670446,,,-0.85955255,-0.37786573,-0.94572324,
,-0.47019533,,-0.85955255,-0.37786573,-0.94572324,
,,0.039510361,,-0.37786573,-0.94572324,
,-0.30652205,1.8427727,,0.063399448,,-1
-0.78441482,-0.47019533,,-0.85955255,,-0.94572324,
,,,,1.2283961,1.1080261,-1
0.017444019,,-0.41130523,,1.7636631,1.0623195,
,,-0.59163147,-0.85955255,,-0.94572324,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
,,-0.230979,,,,
,,0.17475504,0.37716622,0.38060201,0.90996423,-1
,-0.47019533,-0.59163147,-0.85955255,,,-1
,-0.43038291,-0.14081588,,1.308273,,
,2.462653,,1.2944731,,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,-1
0.46478436,,-0.36622367,,,,
,,,,-0.37786573,,
-0.17768513,,,0.9826563,1.1757486,1.162874,
-0.78441482,,-0.59163147,,,,
,,,,-0.37786573,-0.94572324,
,-0.38614689,0.17475504,-0.85955255,-0.37786573,-0.94572324,
,,,-0.85955255,-0.37786573,,
1.3025524,,-0.14081588,2.7176913,-0.37786573,,
,1.2063499,-0.32114211,0.078429648,,,
,,,0.73244332,-0.37786573,,-1
-0.2405262,,,-0.85955255,-0.37786573,-0.94572324,
1.2012614,3.8826293,,,,-0.94572324,
,-0.33748727,-0.59163147,-0.14477889,,0.97395345,-1
-0.78441482,-0.47019533,,-0.85955255,-0.37786573,,
-0.19530095,,,0.50712506,1.1365016,1.507197,-1
,0.46318474,,0.76577692,0.73310051,0.82464527,
,-0.43480652,,,,,-1
0.88028072,,,1.0058632,,0.81855105,
-0.78441482,,,,-0.37786573,-0.94572324,
,,0.08459192,,,,-1
,,,-0.85955255,,-0.94572324,-1
,1.8521958,-0.230979,,-0.37786573,,
-0.26288475,,0.44524439,0.17336712,,1.0897435,-1
-0.17531377,,-0.14081588,,,,
,0.50742076,,,,1.0105187,-1
,,,,-0.37786573,-0.94572324,
,,0.12967348,1.212194,-0.37786573,1.132403,
,-0.43480652,1.1214678,,,-0.94572324,-1
-0.78441482,,,,,,-1
,-0.29325125,0.17475504,0.86999717,,1.2603814,
,,-0.59163147,-0.85955255,,,-1
,,,,-0.37786573,-0.94572324,
,-0.38614689,,,-0.37786573,,-1
-0.053188667,,0.40016284,,-0.37786573,,-1
-0.14550237,-0.32421646,,,-0.37786573,,-1
,-0.44807732,0.85097843,-0.85955255,-0.37786573,,
0.18479436,,0.35508128,,,-0.94572324,-1
,,-0.095734317,,,,-1
,,,,,-0.94572324,-1
0.12635725,-0.18266119,-0.14081588,,-0.37786573,-0.94572324,
,,-0.0055711987,,,1.2725698,
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,,
,0.62685802,,0.71134611,-0.37786573,,
,-0.45250093,-0.36622367,,-0.37786573,,
,3.1792765,,,,0.7393263,
,0.67994125,-0.36622367,-0.85955255,,,-1
0.87909504,,,-0.85955255,,,
,-0.0057170995,-0.27606055,,,,-1
,-0.45250093,,0.46704035,,0.90996423,
0.25305569,-0.0012934972,0.08459192,0.71851916,,1.565092,
-0.078257342,,,,-0.37786573,,-1
,-0.063223929,,0.87337272,-0.37786573,,-1
,-0.12515436,1.5272018,,,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,-1
,,-0.18589744,,-0.37786573,,
-0.78441482,-0.47019533,-0.59163147,,,,-1
,-0.44807732,,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,
,-0.41711211,-0.050652758,-0.85955255,,,-1
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
,,-0.32114211,,1.1283361,0.6357247,
-0.016601952,-0.25786243,,1.0088168,,1.4096896,
,,1.1665493,0.42400203,,0.6844784,-1
-0.59131827,-0.43038291,,,-0.37786573,,-1
-0.35858611,-0.14284877,,0.57294838,,,
0.16599286,-0.0057170995,-0.14081588,,,,
-0.78441482,-0.47019533,,,-0.37786573,,
-0.78441482,-0.47019533,,,-0.37786573,,-1
-0.27948427,-0.41268851,0.62557063,,-0.37786573,0.67228997,
,5.0504603,0.17475504,0.8045958,,,
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,-1
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,,-1
,-0.47019533,-0.59163147,,-0.37786573,,
-0.37637132,-0.4038413,,-0.85955255,-0.37786573,-0.94572324,
-0.78441482,,,,-0.37786573,,-1
,-0.44365372,,,,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,,
-0.13872705,,,0.95269825,-0.37786573,,
,,,,,1.2451459,-1
-0.78441482,,-0.59163147,,,-0.94572324,-1
-0.78441482,,,-0.85955255,-0.37786573,,-1
-0.78441482,-0.47019533,,,-0.37786573,,-1
,,0.35508128,,,0.55649995,
-0.78441482,-0.47019533,,,-0.37786573,,-1
,,-0.59163147,,-0.37786573,-0.94572324,-1
0.25085371,,-0.230979,,2.1947214,,-1
,,1.1665493,0.30881124,,1.4767259,
-0.13737199,,0.2198366,0.75775998,0.52326743,1.4553962,
,,1.2116309,,0.48145227,0.23350673,
,,0.08459192,-0.18190999,-0.37786573,,-1
-0.4122805,-0.42153571,0.17475504,,,-0.94572324,-1
,-0.44807732,-0.32114211,-0.85955255,-0.37786573,-0.94572324,-1
,,,,,0.82769237,
0.46427622,,-0.36622367,-0.85955255,-0.37786573,,-1
,-0.45250093,,,,,-1
,0.3968307,-0.14081588,,0.89700277,1.0866964,-1
-0.78441482,-0.47019533,-0.59163147,,-0.37786573,-0.94572324,-1
,-0.45250093,,-0.85955255,-0.37786573,-0.94572324,
,,0.44524439,,-0.37786573,,
-0.36214315,,,1.7480633,-0.37786573,0.25788358,
,,,-0.85955255,,,
,-0.47019533,-0.59163147,-0.85955255,,,-1
,-0.47019533,,,,,-1
4.5111734,,-0.54654991,-0.85955255,-0.37786573,,-1
,,,,,-0.94572324,-1
,,-0.59163147,-0.85955255,,,-1
,-0.31094565,,,,,-1
0.14990148,,-0.18589744,-0.85955255,-0.37786573,,
,,-0.050652758,-0.85955255,,-0.94572324,-1
,,,0.018935501,,0.85206922,-1
,,-0.59163147,,,-0.94572324,
,,,-0.85955255,,,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,-1
0.7434193,3.3650678,,0.78771803,,0.53821731,
-0.15532658,-0.42153571,,,,0.97090635,-1
,,-0.095734317,,-0.37786573,0.36453228,
,,-0.59163147,,,,-1
,-0.47019533,,,-0.37786573,,-1
0.40058823,,0.039510361,,0.75015583,,
-0.78441482,,-0.59163147,,,,
,-0.16939038,,,-0.37786573,-0.94572324,
,-0.32421646,0.89605999,1.348904,-0.37786573,,
-0.78441482,,,-0.85955255,-0.37786573,-0.94572324,
,-0.4082649,-0.50146835,,,-0.94572324,-1
0.99139593,0.7772605,,0.80712747,,,
,,0.94114155,-0.85955255,-0.37786573,,-1
,-0.42153571,-0.27606055,-0.85955255,-0.37786573,-0.94572324,-1
,1.0072878,0.17475504,2.2556623,-0.37786573,1.3761714,
,-0.47019533,,-0.85955255,,,-1
-0.29523689,-0.43480652,0.49032595,1.2265401,,,
,-0.44365372,,,-0.37786573,1.5833746,-1
0.96802108,2.0424107,-0.230979,-0.85955255,-0.37786573,-0.94572324,
,-0.47019533,-0.59163147,,-0.37786573,-0.94572324,
,,,,-0.37786573,,-1
0.57589957,0.016400912,,-0.85955255,-0.37786573,-0.94572324,-1
,,,-0.85955255,-0.37786573,-0.94572324,
-0.78441482,-0.47019533,-0.59163147,,,,-1
,-0.33306367,,0.78729608,,,
,5.0504603,-0.50146835,,-0.37786573,,-1
0.19682055,0.01197731,-0.14081588,,-0.37786573,,-1
,,-0.59163147,,-0.37786573,,
,,,,-0.37786573,,
,,0.30999972,,-0.37786573,0.87644607,
1.3215233,4.9398702,,,,0.63877181,-1
,,1.1665493,,,1.220769,-1
-0.78441482,,-0.59163147,-0.85955255,,,-1
-0.78441482,-0.47019533,-0.59163147,,,,-1
-0.084693894,,,0.72737999,,,-1
-0.17768513,,0.71573375,-0.85955255,-0.37786573,,
-0.11704604,-0.27998044,-0.0055711987,,,,
0.12991429,0.21988661,,0.17547684,,0.56564127,-1
,0.073907741,0.44524439,0.74467971,-0.37786573,,
0.66228487,1.1709611,0.039510361,,-0.37786573,0.9983303,-1
,,,0.87041911,,1.0348956,
0.065548774,,,,,1.1354501,
-0.78441482,,,,,-0.94572324,-1
,-0.47019533,,-0.85955255,,-0.94572324,-1
,,0.98622311,-0.85955255,,,-1
,-0.21805001,,,1.365563,1.1506856,
-0.019142696,-0.38172329,-0.14081588,,1.4697058,1.2329575,
,,-0.59163147,-0.85955255,-0.37786573,,
-0.0079634216,0.12256737,0.17475504,0.21471766,,,
0.82353743,0.77283689,,,1.0824053,,-1
-0.063351643,,0.26491816,-0.85955255,,,-1
0.081809537,,,-0.85955255,,,-1
0.1924166,0.016400912,2.7894855,0.19488628,0.59570314,0.41938019,
,-0.22689721,-0.0055711987,,-0.37786573,1.5894688,
,-0.041105917,,1.3818156,0.16187909,,-1
,,-0.18589744,,-0.37786573,,-1
0.37450326,,0.08459192,,-0.37786573,1.0775551,
0.95870502,,,1.3974275,,,-1
,-0.45250093,6.1706024,,,,
0.5150911,0.21103941,,0.76113554,,1.1445914,
,0.72417727,,0.88729688,-0.37786573,0.67228997,-1
-0.78441482,-0.47019533,,,,-0.94572324,
1.7913916,,0.44524439,1.9716938,0.22907967,1.2938996,-1
,-0.43480652,0.30999972,,,,
,-0.10303635,-0.230979,,-0.37786573,1.2238161,
,-0.47019533,-0.59163147,,,,-1
-0.47986429,,,-0.85955255,,-0.94572324,-1
-0.78441482,-0.47019533,,-0.85955255,-0.37786573,,
1.3423574,5.0416131,,,-0.37786573,1.2878054,-1
,-0.29767485,0.08459192,,,1.5254796,-1
-0.78441482,-0.47019533,,,-0.37786573,,-1
,-0.45250093,,-0.85955255,-0.37786573,,-1
,,,-0.85955255,-0.37786573,,-1
,,,,-0.37786573,0.83378658,
-0.78441482,,,,-0.37786573,-0.94572324,
,,0.2198366,-0.85955255,-0.37786573,-0.94572324,
,,,-0.85955255,,,
,,,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,,,-0.85955255,,,
,-0.47019533,-0.59163147,,,,
,,-0.59163147,,-0.37786573,,
-0.78441482,,-0.59163147,,,,-1
,,,,,,
-0.49409246,-0.4082649,,,,0.4772752,-1
,,,,-0.37786573,,-1
,,,-0.85955255,-0.37786573,,-1
0.51170344,-0.29325125,,,-0.09444455,,-1
-0.029644438,,,-0.43634241,,,
-0.78441482,-0.47019533,,-0.85955255,,,
,-0.41268851,0.039510361,,,,
-0.054374347,-0.45250093,,-0.85955255,-0.37786573,,-1
0.38873142,-0.28440404,-0.230979,,-0.37786573,1.0958377,
-0.11399714,,3.150138,,,0.95262371,
-0.024054801,0.72417727,4.9984819,1.1501682,0.060633721,0.61439496,
1.1617952,0.83919093,-0.41130523,,,,
0.69514516,,0.12967348,0.75522832,,0.61134786,
0.50882393,0.75956609,-0.095734317,,1.4689815,,-1
-0.2345978,,,0.69573417,,,
0.090109301,,,,-0.37786573,,
-0.78441482,,,-0.85955255,,-0.94572324,
-0.004067614,-0.37729969,,,,,
,0.13583817,-0.230979,,-0.37786573,1.306088,
-0.23188767,,,,-0.37786573,0.9952832,-1
,,-0.59163147,,-0.37786573,-0.94572324,
-0.78441482,,,-0.85955255,-0.37786573,,-1
-0.5791227,-0.42595931,,-0.85955255,,,-1
,-0.47019533,-0.59163147,,,-0.94572324,-1
0.026929464,-0.28882764,,0.92147437,,1.0288014,
,,,,-0.37786573,-0.94572324,
-0.20986789,,,,,1.3121822,
-0.78441482,,-0.59163147,,,,-1
,-0.45250093,0.40016284,,0.58961196,,-1
-0.78441482,-0.47019533,,,,-0.94572324,-1
,0.64455243,,2.0434243,,1.2238161,-1
-0.78441482,,-0.59163147,,-0.37786573,,-1
,-0.34633447,,,1.9520289,1.3335119,
,,,,-0.37786573,1.2238161,
-0.78441482,-0.43923012,,,-0.37786573,-0.94572324,-1
0.78169985,,,-0.85955255,,,
,,-0.36622367,,,-0.94572324,-1
,0.21546301,,0.84594634,-0.37786573,1.0623195,-1
,,-0.32114211,-0.15490555,,0.31577859,
,-0.3994177,0.71573375,,,,
0.29150562,,,0.67843445,-0.37786573,1.2634285,
,,,,-0.37786573,,-1
1.2109162,,,-0.85955255,-0.37786573,,
,,-0.59163147,,,-0.94572324,-1
,-0.47019533,-0.59163147,,,-0.94572324,
0.38856204,-0.44365372,0.12967348,1.2809709,-0.37786573,0.91910555,
1.2688452,,,,,,-1
,4.6081,,,,-0.94572324,-1
0.36163015,0.078331343,,,,0.78503289,
-0.42193533,,,0.88982855,,,
,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.54219722,-0.42153571,2.1583436,,-0.37786573,0.76065604,
,,,2.0189515,-0.37786573,,-1
,2.2857089,-0.45638679,,,,
,-0.44807732,,0.42231426,0.43792499,1.3274177,-1
-0.78441482,,-0.59163147,,-0.37786573,-0.94572324,-1
,-0.45250093,,,,0.56564127,
-0.78441482,-0.47019533,,,-0.37786573,,
0.78153046,0.9895934,0.26491816,,-0.37786573,0.8916816,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,,-1
,-0.30209845,,0.57801171,-0.37786573,1.6656465,
-0.40025431,,,,,,
-0.78441482,,,,,,-1
0.46190485,,0.44524439,,,,-1
-0.78441482,-0.47019533,-0.59163147,,,,
-0.78441482,,,-0.85955255,-0.37786573,,
0.38077043,,,,2.3139111,1.3487475,
,,,,,,
,-0.47019533,-0.59163147,,,-0.94572324,
-0.032185182,-0.058800326,,0.49362285,-0.37786573,1.3792185,-1
-0.28896972,-0.41268851,0.44524439,,0.7316518,,-1
,,-0.14081588,,,,-1
0.45817843,0.51184436,,,-0.37786573,,-1
1.6506343,3.8605113,,1.6345603,,,
,-0.45250093,,0.45775758,-0.37786573,0.87949317,
-0.78441482,,,-0.85955255,-0.37786573,,-1
-0.49053542,-0.41268851,,,,0.76065604,-1
,-0.41711211,-0.54654991,,-0.37786573,-0.94572324,-1
,-0.39057049,-0.41130523,,,0.94957661,
,-0.47019533,-0.59163147,,-0.37786573,,
,-0.47019533,,,-0.37786573,,-1
0.38822328,,,1.2961609,,0.83073948,
,,,,1.0469447,,
-0.18547674,-0.41268851,,0.0016357841,,0.90082291,-1
,-0.34191087,,,-0.37786573,,-1
4.291145,-0.45250093,-0.41130523,,-0.37786573,-0.94572324,
0.3472326,-0.049953122,-0.230979,0.6189403,0.74314274,0.95262371,
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,,-1
-0.48426825,,0.35508128,1.2455276,,,
,,,-0.85955255,,-0.94572324,
,-0.47019533,-0.59163147,,-0.37786573,-0.94572324,-1
1.0479698,5.0371895,-0.18589744,,,,-1
,0.13141457,,,,1.1476385,-1
,4.0286081,,-0.85955255,,,
,-0.43480652,-0.18589744,,-0.37786573,-0.94572324,-1
,,,0.92906937,-0.37786573,,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,
-0.78441482,-0.47019533,-0.59163147,,-0.37786573,,-1
,-0.36402888,,,0.56096693,0.98309477,
,-0.36845248,0.12967348,1.1117713,-0.37786573,1.1293559,-1
0.45512954,,,,-0.086377846,,
,-0.47019533,,-0.85955255,-0.37786573,,-1
,,-0.45638679,1.6185264,-0.37786573,,-1
,,,0.33497179,0.037388443,0.76370315,-1
0.44547471,1.3744468,,-0.85955255,,-0.94572324,
,,-0.230979,,-0.37786573,,-1
-0.31607099,-0.44365372,0.26491816,,,0.54126442,-1
-0.78441482,,-0.59163147,,-0.37786573,,
,,-0.50146835,,,,
-0.25170547,-0.44807732,,,-0.37786573,,
,,-0.230979,-0.85955255,-0.37786573,-0.94572324,
,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,,,-0.94572324,
