Rank,Title,Genre,Description,Director,Actors,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore
14,,,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",-9999999,-9999999,7.7,-9999999,248.75,81.0
-9999999,,"Action,Comedy,Drama","Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",-9999999,-9999999,6.4,8612,2.87,70.0
-9999999,The Secret Life of Pets,"Animation,Adventure,Comedy",,Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",2016,87,6.6,-9999999,368.31,61.0
17,Hacksaw Ridge,"Biography,Drama,History","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",,,-9999999,139,8.2,-9999999,67.12,71.0
-9999999,Jason Bourne,,,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",2016,123,6.7,-9999999,162.16,58.0
19,,"Biography,Drama",,,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",-9999999,118,8.1,-9999999,51.69,69.0
20,,,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg",2016,116,8.0,340798,100.5,81.0
21,Gold,,,Stephen Gaghan,"Matthew McConaughey, Edgar Ramrez, Bryce Dallas Howard, Corey Stoll",-9999999,120,6.7,19053,7.22,49.0
22,Manchester by the Sea,Drama,,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",-9999999,137,7.9,134213,47.7,96.0
23,,,"A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",-9999999,108,6.7,1115,,72.0
-9999999,,"Animation,Adventure,Comedy",,,,2016,-9999999,6.5,-9999999,153.69,56.0
-9999999,,,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",,,2016,-9999999,5.3,-9999999,103.14,32.0
26,Paris pieds nus,Comedy,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard",2016,83,6.8,-9999999,,
27,,,,S.S. Rajamouli,,-9999999,-9999999,8.3,-9999999,6.5,
-9999999,,,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,Phillip Guzman,,-9999999,99,4.7,-9999999,0.01,
29,,,,Jon Lucas,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",2016,-9999999,6.2,66540,113.08,60.0
-9999999,Assassin's Creed,"Action,Adventure,Drama",,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson",-9999999,-9999999,5.9,112813,54.65,36.0
31,,,,,,-9999999,-9999999,6.3,48123,60.31,39.0
32,Nocturnal Animals,,,,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",-9999999,-9999999,7.5,126030,10.64,67.0
33,X-Men: Apocalypse,"Action,Adventure,Sci-Fi","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Bryan Singer,,2016,-9999999,7.1,-9999999,155.33,52.0
34,,"Action,Adventure,Comedy",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",2016,-9999999,8.0,627797,363.02,65.0
35,,"Action,Horror,Sci-Fi",,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",2016,107,5.6,46165,26.84,49.0
36,,"Action,Adventure,Sci-Fi",Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,,,2016,-9999999,7.9,411656,408.08,75.0
37,Interstellar,"Adventure,Drama,Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,,2014,-9999999,8.6,1047747,187.99,74.0
38,,"Action,Adventure,Fantasy","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",-9999999,115,7.6,293732,232.6,72.0
39,The Magnificent Seven,,,,,-9999999,132,6.9,122853,93.38,54.0
40,,"Comedy,Drama","Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn",2007,-9999999,7.1,241,,
-9999999,,"Animation,Adventure,Comedy",A sausage strives to discover the truth about his existence.,Greg Tiernan,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",2016,-9999999,6.3,120690,97.66,66.0
-9999999,Moonlight,Drama,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",,,-9999999,111,7.5,-9999999,27.85,99.0
-9999999,,Horror,,,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",2016,-9999999,2.7,496,,
44,,"Biography,Drama,History","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.",John Lee Hancock,,-9999999,115,7.2,-9999999,12.79,66.0
45,Lowriders,Drama,,Ricardo de Montreuil,,2016,-9999999,6.3,279,4.21,57.0
-9999999,,,,Rob Marshall,"Johnny Depp, Penlope Cruz, Ian McShane, Geoffrey Rush",-9999999,-9999999,6.7,-9999999,241.06,45.0
47,,,,,,-9999999,132,7.3,-9999999,3.44,64.0
-9999999,,"Adventure,Drama,Fantasy",,Scott Hicks,,2016,91,5.6,5103,,
49,,,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",2016,122,7.1,-9999999,158.8,68.0
-9999999,,,,,,2016,130,3.7,-9999999,,16.0
-9999999,Star Wars: Episode VII - The Force Awakens,,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",J.J. Abrams,,2015,136,8.1,-9999999,936.63,81.0
-9999999,Underworld: Blood Wars,,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",,,2016,91,5.8,-9999999,30.35,23.0
-9999999,Mother's Day,"Comedy,Drama",,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",-9999999,-9999999,5.6,-9999999,32.46,18.0
54,John Wick,"Action,Crime,Thriller",An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",-9999999,101,7.2,-9999999,43.0,68.0
55,,,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.",,,2008,-9999999,9.0,1791916,533.32,82.0
-9999999,Silence,"Adventure,Drama,History",,Martin Scorsese,,2016,-9999999,7.3,49190,7.08,79.0
57,Don't Breathe,"Crime,Horror,Thriller","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",,,-9999999,88,7.2,-9999999,89.21,71.0
-9999999,,,,,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",-9999999,-9999999,7.4,-9999999,56.23,51.0
59,Their Finest,,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",,,2016,117,7.0,3739,3.18,76.0
-9999999,,"Biography,Drama",,Clint Eastwood,,2016,-9999999,7.5,137608,125.07,74.0
61,,,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",,,-9999999,-9999999,6.7,-9999999,330.25,44.0
-9999999,The Autopsy of Jane Doe,"Horror,Mystery,Thriller","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton",2016,86,6.8,-9999999,,65.0
-9999999,The Girl on the Train,"Crime,Drama,Mystery",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,Tate Taylor,,2016,112,6.5,-9999999,75.31,48.0
64,Fifty Shades of Grey,,,,,-9999999,-9999999,4.1,244474,166.15,46.0
-9999999,,,,,,-9999999,130,8.5,-9999999,53.08,66.0
66,,,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",Matthew Vaughn,,2014,-9999999,7.7,440209,128.25,58.0
-9999999,,"Drama,History,Thriller","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",,,-9999999,133,7.4,-9999999,31.86,69.0
-9999999,Mad Max: Fury Road,,,,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zo Kravitz",-9999999,120,8.1,-9999999,153.63,90.0
-9999999,,Drama,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,Robin Swicord,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",-9999999,-9999999,7.5,291,0.01,61.0
-9999999,,"Action,Drama,Thriller","A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",,,-9999999,-9999999,7.2,-9999999,61.28,68.0
71,The Promise,"Drama,History","Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Gimnez Cacho",2016,133,5.9,149791,,49.0
72,,"Action,Drama,Romance",,,,-9999999,-9999999,7.1,78079,40.07,60.0
73,A Monster Calls,"Drama,Fantasy",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",2016,108,7.5,39134,3.73,76.0
74,Collateral Beauty,,,David Frankel,,-9999999,-9999999,6.8,43977,30.98,23.0
75,,"Animation,Adventure,Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",,,2016,-9999999,8.1,-9999999,341.26,78.0
76,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",,,,2007,169,7.1,498821,309.4,50.0
77,The Avengers,"Action,Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",2012,143,8.1,-9999999,623.28,69.0
78,,"Adventure,Drama,War",,,"Brad Pitt, Diane Kruger, Eli Roth,Mlanie Laurent",2009,-9999999,8.3,959065,120.52,69.0
79,,,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",,,-9999999,151,7.3,-9999999,423.03,53.0
-9999999,Ghostbusters,"Action,Comedy,Fantasy",,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",-9999999,116,5.3,147717,128.34,60.0
-9999999,Inception,,,Christopher Nolan,,-9999999,148,8.8,1583625,292.57,74.0
-9999999,Captain Fantastic,"Comedy,Drama",,Matt Ross,,2016,118,7.9,-9999999,5.88,72.0
-9999999,The Wolf of Wall Street,"Biography,Comedy,Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",-9999999,-9999999,8.2,-9999999,116.87,75.0
84,Gone Girl,"Crime,Drama,Mystery","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",,,2014,-9999999,8.1,636243,167.74,79.0
-9999999,,,,,,2015,-9999999,7.2,301249,350.03,67.0
86,,,,,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer",-9999999,-9999999,7.0,-9999999,652.18,59.0
-9999999,Live by Night,,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina",2016,-9999999,6.4,-9999999,10.38,49.0
88,Avatar,"Action,Adventure,Fantasy",A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,,,-9999999,162,7.8,935408,760.51,83.0
-9999999,The Hateful Eight,,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",2015,-9999999,7.8,-9999999,54.12,68.0
-9999999,The Accountant,"Action,Crime,Drama",,,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",-9999999,128,7.4,-9999999,86.2,51.0
91,,"Crime,Drama,Mystery",,,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo",-9999999,-9999999,8.1,431185,60.96,74.0
-9999999,,"Action,Adventure,Fantasy","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",Duncan Jones,,-9999999,123,7.0,-9999999,47.17,32.0
93,,Drama,,,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",-9999999,146,8.1,-9999999,169.71,62.0
94,,"Comedy,Crime,Drama",,,,-9999999,114,7.1,-9999999,43.02,57.0
-9999999,,,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",2015,-9999999,7.4,516895,458.99,66.0
-9999999,The Nice Guys,,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,,-9999999,116,7.4,175067,36.25,70.0
97,,"Animation,Drama,Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"Rynosuke Kamiki, Mone Kamishiraishi, Ry Narita, Aoi Yuki",-9999999,-9999999,8.6,-9999999,4.68,79.0
98,The Void,"Horror,Mystery,Sci-Fi","Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe",2016,-9999999,5.8,-9999999,0.15,62.0
99,,,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,Olivier Assayas,,2016,105,6.3,10181,1.29,77.0
-9999999,The Departed,,,,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",2006,-9999999,8.5,937414,132.37,85.0
101,Legend,"Biography,Crime,Drama",,Brian Helgeland,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson",2015,-9999999,7.0,108836,1.87,55.0
-9999999,,,,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",2011,-9999999,7.0,-9999999,181.02,57.0
103,,,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",2015,-9999999,8.0,556097,228.43,80.0
104,Contratiempo,,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.,,"Mario Casas, Ana Wagener, Jos Coronado, Brbara Lennie",-9999999,-9999999,7.9,-9999999,,
105,The Man from U.N.C.L.E.,,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",Guy Ritchie,,-9999999,116,7.3,-9999999,45.43,56.0
106,,"Crime,Drama,Thriller",,,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",2016,102,7.7,115546,26.86,88.0
107,,,,Taylor Hackford,,2016,120,5.4,1954,1.66,40.0
-9999999,The Legend of Tarzan,"Action,Adventure,Drama","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",David Yates,"Alexander Skarsgrd, Rory J. Saper, Christian Stevens, Christoph Waltz",2016,110,6.3,-9999999,126.59,44.0
-9999999,All We Had,,A mother struggles to make a better life for her daughter.,Katie Holmes,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis",2016,-9999999,5.8,-9999999,,48.0
110,,"Drama,Mystery,Sci-Fi",,,,2014,-9999999,7.7,-9999999,25.44,78.0
111,The Belko Experiment,,,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",-9999999,89,6.3,3712,10.16,44.0
-9999999,12 Years a Slave,"Biography,Drama,History",,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",2013,134,8.1,-9999999,56.67,96.0
113,,"Romance,Sci-Fi",,,,2016,118,6.1,-9999999,,65.0
114,,,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,,"Gerard Butler, Lena Headey, David Wenham, Dominic West",2006,-9999999,7.7,-9999999,210.59,52.0
115,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",,,,2011,130,8.1,-9999999,380.96,87.0
-9999999,Office Christmas Party,Comedy,,Josh Gordon,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston",-9999999,105,5.8,30761,54.73,42.0
117,The Neon Demon,,,,,-9999999,-9999999,6.2,50359,1.33,51.0
-9999999,,,,,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra",-9999999,161,8.8,48969,11.15,
119,10 Cloverfield Lane,"Drama,Horror,Mystery",,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",2016,-9999999,7.2,192968,71.9,76.0
-9999999,,"Animation,Adventure,Comedy",,,,2016,-9999999,7.4,157026,486.29,77.0
121,,"Adventure,Drama,Family",,,,-9999999,-9999999,6.7,-9999999,87.24,57.0
122,,,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",,,2014,-9999999,6.7,-9999999,150.83,48.0
123,,"Adventure,Comedy,Romance","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",-9999999,98,6.0,-9999999,46.01,51.0
124,Boyka: Undisputed IV,Action,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.",Todor Chapkanov,,2016,86,7.4,-9999999,,
-9999999,The Dark Knight Rises,,,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman",-9999999,-9999999,8.5,-9999999,448.13,78.0
-9999999,,"Adventure,Drama,Family","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",Jon Favreau,,-9999999,-9999999,7.5,-9999999,364.0,77.0
127,Transformers: Age of Extinction,,,Michael Bay,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",-9999999,-9999999,5.7,-9999999,245.43,32.0
128,,"Adventure,Crime,Mystery","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",Henry Joost,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",2016,-9999999,6.6,-9999999,38.56,58.0
-9999999,,"Comedy,Family,Musical",The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.,Phyllida Lloyd,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgrd",-9999999,-9999999,6.4,153481,143.7,51.0
-9999999,The Revenant,,,,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",-9999999,156,8.0,-9999999,183.64,76.0
131,,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",,,-9999999,-9999999,7.3,50953,57.64,79.0
132,,"Adventure,Comedy,Drama",,,,2014,125,6.0,109756,128.0,69.0
-9999999,The Shallows,,,Jaume Collet-Serra,"Blake Lively, scar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen",2016,86,6.4,-9999999,55.12,59.0
-9999999,,,,,,2014,107,8.5,-9999999,13.09,88.0
135,,,,,,2013,130,7.1,318051,238.67,61.0
136,The Place Beyond the Pines,"Crime,Drama,Thriller",,,,2012,140,7.3,200090,21.38,68.0
137,,"Crime,Drama,Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",-9999999,-9999999,8.1,660286,74.27,91.0
138,,,,,,-9999999,-9999999,7.3,386102,144.81,55.0
-9999999,,,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley",2010,138,8.1,855604,127.97,63.0
-9999999,,"Mystery,Thriller,Western","From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger.",Martin Koolhoven,,2016,148,7.1,-9999999,,44.0
-9999999,,,,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",-9999999,127,8.0,526324,257.7,82.0
142,,,"The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",,,2010,-9999999,6.2,34184,64.0,56.0
-9999999,,,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.",Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",-9999999,-9999999,7.8,-9999999,70.24,81.0
144,Room,,A young boy is raised within the confines of a small shed.,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",2015,118,8.2,-9999999,14.68,86.0
145,,,,Quentin Tarantino,,-9999999,165,8.4,-9999999,162.8,81.0
-9999999,,"Drama,Mystery,Romance",,,"Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon",2016,-9999999,8.1,33418,2.01,84.0
-9999999,The Edge of Seventeen,,,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick",2016,104,7.4,47694,14.26,77.0
148,,"Action,Drama,Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",2009,-9999999,7.6,410249,107.5,56.0
149,,,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Greg Mottola,,-9999999,-9999999,7.6,-9999999,121.46,76.0
-9999999,,,,,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster",-9999999,-9999999,6.2,-9999999,34.26,42.0
151,,,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",-9999999,-9999999,6.4,50853,55.47,66.0
152,,"Adventure,Sci-Fi,Thriller",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,,,-9999999,-9999999,7.2,735604,408.0,68.0
-9999999,White Girl,,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",,,2016,88,5.8,-9999999,0.2,65.0
-9999999,,"Action,Crime,Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,,,2015,121,7.6,-9999999,46.88,82.0
-9999999,,"Drama,Horror,Mystery",,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",-9999999,-9999999,8.1,1973,,
-9999999,,,"Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",Colin Strause,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",2007,94,4.7,97618,41.8,29.0
