height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
12.0,12.0,144.0,1.0,,,1.69,44.0,141.0,26.0,1
12.0,56.0,672.0,4.667,,0.827,,172.0,556.0,,1
9.0,84.0,756.0,9.333,,0.937,1.81,168.0,,,1
9.0,54.0,486.0,6.0,0.292,0.957,,142.0,465.0,96.0,1
9.0,41.0,369.0,4.556,,0.775,1.9,110.0,286.0,58.0,
10.0,,830.0,8.3,0.266,,2.1,221.0,,,
10.0,4.0,40.0,0.4,0.375,0.4,15.0,,16.0,1.0,
,,132.0,0.917,0.371,1.0,1.63,49.0,,30.0,
12.0,44.0,528.0,,0.261,0.767,,138.0,,58.0,
10.0,34.0,,3.4,0.297,0.885,1.71,,301.0,,1
9.0,,684.0,8.444,0.307,,,210.0,603.0,,
12.0,,168.0,1.167,,,2.31,,161.0,26.0,
12.0,7.0,84.0,0.583,0.214,,,18.0,49.0,5.0,1
12.0,44.0,528.0,3.667,,0.742,2.31,155.0,392.0,67.0,1
10.0,63.0,630.0,6.3,0.233,,,147.0,444.0,87.0,1
9.0,,,,0.271,,2.23,78.0,,35.0,1
,116.0,348.0,38.667,0.385,0.494,33.5,134.0,172.0,4.0,2
1.0,,,10.0,1.0,,,10.0,,,2
,13.0,13.0,13.0,1.0,1.0,13.0,13.0,,1.0,
,8.0,8.0,,1.0,1.0,8.0,8.0,8.0,,
1.0,,,,,,2.2,11.0,44.0,5.0,
2.0,20.0,40.0,10.0,0.725,0.875,,29.0,35.0,1.0,2
2.0,20.0,40.0,10.0,,0.85,31.0,31.0,34.0,1.0,2
13.0,,130.0,0.769,0.3,,6.5,39.0,105.0,6.0,1
11.0,,946.0,,0.413,0.853,,,,126.0,1
11.0,20.0,,,0.168,0.75,3.36,37.0,165.0,11.0,
9.0,,,0.556,,,2.83,17.0,42.0,,1
,,24.0,0.375,0.417,0.417,,10.0,10.0,1.0,1
3.0,113.0,339.0,37.667,0.357,0.378,30.25,121.0,,,2
98.0,,294.0,0.031,,0.486,141.0,,143.0,,4
,,,24.0,0.625,0.677,30.0,60.0,65.0,2.0,2
11.0,,715.0,5.909,,0.877,2.61,279.0,627.0,107.0,1
9.0,37.0,,,0.526,0.898,3.18,,,55.0,1
9.0,21.0,,2.333,,0.762,1.57,55.0,144.0,,1
8.0,8.0,64.0,,0.234,0.328,5.0,,,3.0,1
10.0,,,10.0,,0.91,2.53,,910.0,172.0,1
9.0,,765.0,9.444,0.302,,1.82,,621.0,127.0,
9.0,,,,0.302,0.781,,87.0,,42.0,
11.0,,,9.182,0.398,0.888,,,987.0,160.0,
11.0,119.0,,10.818,0.261,0.798,1.88,341.0,1045.0,181.0,1
10.0,126.0,1260.0,,0.425,0.862,2.68,,1086.0,,1
9.0,13.0,117.0,1.444,0.239,0.462,4.67,28.0,54.0,,
9.0,75.0,675.0,8.333,,0.606,2.19,,409.0,79.0,
,119.0,1309.0,,,,,309.0,978.0,,1
,,,,0.393,0.852,3.15,173.0,375.0,55.0,1
9.0,,360.0,4.444,0.356,0.967,2.29,128.0,,,
,48.0,384.0,6.0,0.302,,1.76,116.0,,,1
9.0,44.0,,,0.46,0.937,,182.0,371.0,64.0,1
,47.0,,5.222,0.274,0.747,2.42,,316.0,48.0,1
9.0,40.0,360.0,,0.319,0.919,2.35,115.0,,49.0,
3.0,116.0,,38.667,,0.371,62.0,124.0,129.0,,2
2.0,,,,0.722,0.722,,26.0,,1.0,2
3.0,,396.0,,0.505,0.558,,200.0,,10.0,2
1.0,17.0,17.0,,0.765,1.0,,13.0,17.0,,2
1.0,8.0,,8.0,1.0,1.0,8.0,8.0,8.0,1.0,2
2.0,69.0,138.0,34.5,,0.906,10.75,86.0,,8.0,
2.0,46.0,92.0,,0.587,0.761,,,70.0,,2
11.0,77.0,847.0,,0.345,0.874,2.43,,,120.0,1
,,369.0,4.556,,0.886,,,,58.0,
,,57.0,57.0,0.456,1.0,,26.0,57.0,7.0,2
,,,,0.9,1.0,,9.0,,1.0,
,185.0,,13.214,0.254,0.651,,657.0,1687.0,289.0,1
,152.0,1520.0,15.2,0.297,,2.17,,,,1
,116.0,232.0,58.0,,,,,,8.0,
,123.0,1107.0,13.667,0.362,0.986,2.62,401.0,1091.0,153.0,1
,17.0,,,,0.971,6.67,20.0,,3.0,
10.0,131.0,1310.0,13.1,0.415,0.857,2.74,543.0,,,1
1.0,12.0,12.0,12.0,0.583,1.0,,,,2.0,1
6.0,,,4.5,0.154,0.481,2.78,,,,
,15.0,105.0,2.143,,0.762,3.09,34.0,,11.0,1
,58.0,,8.286,,,2.34,,305.0,,
7.0,46.0,322.0,6.571,0.155,,4.17,,189.0,,
,,27.0,27.0,0.593,1.0,4.0,,27.0,4.0,
,17.0,119.0,,0.227,0.58,2.7,27.0,69.0,10.0,1
,31.0,62.0,15.5,0.194,0.516,2.0,12.0,32.0,6.0,
1.0,12.0,,12.0,0.583,1.0,,7.0,12.0,,1
2.0,17.0,34.0,,,,2.75,,34.0,4.0,
2.0,,22.0,5.5,0.409,0.955,,9.0,21.0,1.0,1
2.0,,38.0,9.5,,,1.8,9.0,,5.0,
,,,15.286,0.27,0.654,1.6,202.0,,126.0,1
5.0,,45.0,1.8,0.267,,1.71,12.0,,,1
,9.0,99.0,,0.485,0.727,,,72.0,,1
11.0,8.0,,0.727,0.705,1.0,,,88.0,8.0,1
11.0,,,0.727,,0.466,39.0,,41.0,,1
,7.0,77.0,0.636,0.597,1.0,5.75,,77.0,,1
11.0,7.0,77.0,0.636,,1.0,,,,10.0,1
11.0,,99.0,,0.475,,,47.0,63.0,3.0,
11.0,,,0.727,0.511,,9.0,45.0,,5.0,1
1.0,43.0,43.0,43.0,0.907,,,,43.0,4.0,2
10.0,38.0,,3.8,0.387,0.887,2.49,,,,
,20.0,160.0,2.5,,1.0,,,160.0,29.0,
9.0,36.0,324.0,4.0,0.54,,2.87,,301.0,,1
10.0,98.0,980.0,9.8,0.391,0.835,2.41,383.0,818.0,,1
,49.0,490.0,4.9,0.52,0.961,2.97,255.0,471.0,86.0,
,,210.0,2.1,,0.843,,,177.0,27.0,1
9.0,19.0,,2.111,0.292,0.76,2.63,50.0,130.0,19.0,1
9.0,55.0,495.0,6.111,0.299,,,148.0,,77.0,1
,,126.0,1.556,,0.937,1.78,16.0,118.0,,1
8.0,23.0,184.0,2.875,0.288,1.0,1.47,53.0,,36.0,1
,,280.0,4.375,,0.886,1.66,106.0,,64.0,1
9.0,,864.0,10.667,0.281,0.815,1.96,243.0,704.0,,1
9.0,66.0,594.0,7.333,0.323,0.805,2.0,192.0,478.0,,
9.0,,306.0,3.778,0.337,0.817,1.81,103.0,,57.0,
8.0,83.0,664.0,10.375,0.325,,,216.0,603.0,123.0,1
8.0,80.0,,10.0,0.303,,1.72,,,,1
9.0,95.0,855.0,10.556,0.285,0.723,,244.0,,116.0,
8.0,80.0,,10.0,,0.883,1.72,,565.0,,1
10.0,13.0,,,0.108,,2.33,14.0,89.0,6.0,1
8.0,,,8.75,0.341,0.918,,,514.0,115.0,1
11.0,84.0,924.0,7.636,,,1.69,,758.0,,
9.0,99.0,891.0,11.0,0.27,0.818,1.93,,729.0,,1
9.0,80.0,,8.889,0.293,0.868,1.85,211.0,,114.0,
11.0,,1111.0,9.182,,0.818,,265.0,909.0,,1
,,,,0.221,1.0,,,,43.0,
12.0,,,,0.271,0.733,,130.0,,,1
8.0,84.0,672.0,,0.269,0.966,1.79,,649.0,101.0,1
8.0,53.0,424.0,6.625,0.358,0.981,,,416.0,99.0,1
8.0,41.0,328.0,,0.363,0.942,,119.0,309.0,73.0,
,82.0,738.0,9.111,0.252,0.74,2.0,186.0,,93.0,1
7.0,,98.0,,0.184,0.612,,,60.0,1.0,1
8.0,26.0,208.0,,0.375,0.947,,,,,
8.0,46.0,368.0,,,0.951,1.85,144.0,,78.0,
9.0,34.0,,3.778,,0.961,1.71,,294.0,68.0,1
11.0,26.0,,,0.297,0.941,2.02,85.0,269.0,42.0,1
11.0,42.0,462.0,,0.335,0.829,2.25,155.0,,69.0,
12.0,,744.0,5.167,0.234,,,,491.0,110.0,1
8.0,75.0,,,,0.888,,,533.0,106.0,1
8.0,18.0,144.0,,0.479,0.986,2.16,69.0,142.0,,1
7.0,33.0,231.0,,,,,33.0,195.0,14.0,
9.0,64.0,576.0,7.111,0.465,,2.58,,518.0,104.0,1
,36.0,324.0,4.0,0.568,0.932,3.02,184.0,302.0,61.0,1
,8.0,,,,0.344,4.33,13.0,22.0,3.0,
8.0,21.0,168.0,2.625,0.339,0.673,1.97,,113.0,29.0,1
9.0,,891.0,,0.464,0.942,,,839.0,,1
9.0,84.0,756.0,9.333,0.288,0.791,1.83,218.0,598.0,119.0,1
8.0,31.0,248.0,3.875,0.327,0.79,1.84,81.0,196.0,44.0,
19.0,2.0,,0.105,0.816,0.816,31.0,31.0,31.0,1.0,4
9.0,101.0,909.0,,,,2.68,402.0,783.0,150.0,
11.0,,1298.0,10.727,0.26,0.817,2.01,,1061.0,,1
5.0,2.0,,0.4,0.8,0.8,8.0,8.0,,1.0,4
10.0,126.0,1260.0,,0.41,0.833,2.63,,1049.0,196.0,
12.0,,1404.0,9.75,,,,309.0,,184.0,1
9.0,35.0,315.0,3.889,0.263,0.667,,83.0,,29.0,1
9.0,46.0,414.0,,,,1.92,121.0,280.0,63.0,
,2.0,20.0,0.2,0.55,0.6,11.0,11.0,12.0,1.0,2
8.0,44.0,352.0,5.5,0.426,0.938,3.26,150.0,330.0,,1
8.0,48.0,,6.0,0.31,0.807,1.92,119.0,310.0,,1
8.0,40.0,320.0,,0.403,0.991,2.53,,317.0,51.0,
8.0,,360.0,5.625,0.469,0.956,2.91,,,,1
,20.0,180.0,2.222,,0.556,2.35,,100.0,20.0,1
9.0,22.0,198.0,,0.298,0.965,2.11,,191.0,28.0,
8.0,41.0,328.0,5.125,0.335,0.933,2.08,110.0,306.0,53.0,
,112.0,224.0,56.0,0.496,0.504,,,113.0,2.0,2
1.0,45.0,,,0.756,1.0,5.67,,45.0,,
,75.0,,75.0,,1.0,5.55,61.0,75.0,11.0,
,,344.0,5.375,,0.814,2.26,,280.0,,1
11.0,301.0,,27.364,0.308,0.735,2.22,,2435.0,,1
,,245.0,,0.453,0.873,2.47,111.0,,45.0,
,122.0,,,0.339,,,372.0,,145.0,1
10.0,130.0,1300.0,13.0,0.425,0.773,,552.0,1005.0,198.0,1
,46.0,276.0,7.667,0.217,0.804,2.0,60.0,,30.0,1
,,162.0,,0.136,,2.0,22.0,109.0,11.0,1
,8.0,40.0,,,0.675,4.67,14.0,27.0,3.0,1
5.0,3.0,,0.6,,1.0,7.0,7.0,15.0,1.0,1
5.0,,175.0,7.0,,0.829,4.38,35.0,,,1
4.0,,188.0,11.75,0.298,0.739,2.33,,139.0,24.0,1
3.0,,,10.333,0.226,,,,72.0,10.0,1
,,48.0,5.333,0.375,,,18.0,45.0,8.0,1
,,854.0,17.429,0.281,0.626,1.73,,535.0,139.0,1
,21.0,231.0,,0.411,,3.96,95.0,157.0,24.0,1
11.0,8.0,88.0,0.727,0.375,0.602,4.13,33.0,,,
11.0,9.0,99.0,,,,9.2,46.0,81.0,5.0,
,8.0,,,0.5,1.0,5.0,40.0,80.0,8.0,1
,21.0,210.0,2.1,0.324,,3.4,68.0,126.0,20.0,
,,,78.5,0.506,,,159.0,173.0,6.0,
10.0,,380.0,3.8,0.439,0.897,2.83,,,59.0,1
9.0,36.0,,4.0,0.549,0.914,,178.0,296.0,,
8.0,20.0,160.0,,0.525,0.938,,84.0,150.0,24.0,1
10.0,,960.0,,0.418,0.886,2.49,,,,1
9.0,49.0,441.0,,0.594,0.998,3.05,,,86.0,1
1.0,,32.0,,0.719,,5.75,23.0,,4.0,2
1.0,52.0,52.0,,0.788,,10.25,41.0,52.0,4.0,2
,,13.0,,0.692,1.0,,9.0,,2.0,2
9.0,23.0,,,0.304,1.0,1.62,63.0,207.0,39.0,1
9.0,,,4.111,0.381,0.808,2.05,127.0,,,1
,20.0,,2.222,0.339,0.872,,61.0,157.0,26.0,1
8.0,,,,0.375,0.956,2.12,,604.0,112.0,
9.0,,,9.0,0.388,0.897,2.38,,654.0,119.0,
8.0,67.0,536.0,8.375,,0.746,2.49,204.0,,82.0,
9.0,32.0,288.0,3.556,0.292,0.826,,,238.0,55.0,1
,2.0,188.0,0.021,,,97.0,97.0,97.0,1.0,4
,11.0,,1.1,,1.0,,42.0,110.0,28.0,1
10.0,64.0,640.0,6.4,,0.808,2.25,189.0,517.0,84.0,1
10.0,83.0,830.0,,0.295,0.725,2.02,245.0,602.0,,1
12.0,73.0,876.0,6.083,0.257,0.591,2.14,225.0,518.0,105.0,1
,17.0,136.0,,0.353,0.801,,48.0,,,1
,12.0,,,,,1.69,44.0,,,1
9.0,,738.0,9.111,,0.913,,253.0,674.0,125.0,1
8.0,53.0,,,,0.901,1.76,157.0,382.0,89.0,1
11.0,83.0,913.0,,0.274,0.9,1.71,,822.0,146.0,
10.0,,,,0.279,,,226.0,,107.0,1
9.0,82.0,738.0,,,0.871,2.11,243.0,643.0,,1
,,1100.0,9.091,,0.765,,,,156.0,
,71.0,1775.0,2.84,0.234,0.748,,,,187.0,
,82.0,738.0,,,0.935,2.09,,690.0,87.0,1
9.0,,873.0,10.778,0.328,,,,804.0,,1
9.0,32.0,288.0,,0.333,0.861,1.68,,248.0,57.0,
,,656.0,,0.398,0.951,2.51,,624.0,104.0,1
,13.0,,1.083,0.372,0.981,,58.0,,25.0,
12.0,,,0.667,,1.0,2.11,19.0,96.0,,
12.0,43.0,,,0.293,0.791,2.29,151.0,408.0,66.0,1
8.0,75.0,600.0,9.375,0.415,0.91,,249.0,,105.0,1
11.0,84.0,924.0,7.636,0.251,0.681,1.77,232.0,629.0,131.0,1
2.0,,246.0,61.5,0.5,0.504,123.0,123.0,124.0,1.0,2
1.0,36.0,36.0,36.0,0.722,1.0,8.67,26.0,36.0,3.0,2
19.0,123.0,2337.0,6.474,0.089,,207.0,207.0,208.0,1.0,1
,,48.0,0.75,,0.646,8.0,24.0,31.0,3.0,
10.0,65.0,650.0,6.5,0.445,,,,592.0,112.0,1
9.0,37.0,,4.111,,0.946,3.49,199.0,315.0,57.0,1
,,180.0,2.222,,0.772,1.74,61.0,139.0,35.0,1
4.0,,32.0,2.0,0.344,0.781,1.83,,25.0,,1
,,1000.0,10.0,0.449,0.874,2.82,,874.0,159.0,1
9.0,32.0,,,0.365,0.781,,105.0,,,
,82.0,738.0,,0.337,0.817,2.01,,603.0,,1
,101.0,1010.0,10.1,0.466,0.893,,471.0,902.0,156.0,
12.0,116.0,,9.667,0.246,0.707,,343.0,984.0,,
10.0,126.0,,12.6,0.463,0.848,3.16,584.0,1068.0,,1
9.0,86.0,,9.556,0.301,,,233.0,501.0,,1
,115.0,1265.0,,0.266,0.723,1.79,,,,1
4.0,2.0,8.0,0.5,,,7.0,7.0,7.0,1.0,4
9.0,44.0,396.0,4.889,0.465,0.944,3.35,184.0,,55.0,
8.0,46.0,,,0.348,0.918,1.97,,338.0,65.0,
,,,5.0,0.391,0.991,2.08,125.0,317.0,60.0,
9.0,45.0,,5.0,0.442,,3.31,179.0,387.0,,1
8.0,45.0,,5.625,0.367,0.897,2.44,132.0,323.0,54.0,1
,41.0,,5.125,0.424,0.966,2.53,139.0,,,1
1.0,,19.0,19.0,0.789,1.0,3.75,15.0,19.0,,2
1.0,9.0,9.0,9.0,,,7.0,7.0,9.0,1.0,2
8.0,42.0,336.0,,,,,122.0,326.0,56.0,
14.0,339.0,,24.214,,0.547,2.44,1175.0,2596.0,481.0,
10.0,123.0,1230.0,12.3,,,,,1092.0,149.0,
,446.0,892.0,223.0,0.439,0.603,17.82,392.0,,22.0,
66.0,,198.0,,0.657,,2.6,130.0,,,4
10.0,,,13.1,0.456,0.851,3.0,,1115.0,199.0,1
93.0,,372.0,0.043,0.419,0.565,2.89,156.0,210.0,,4
44.0,3.0,,0.068,0.598,0.841,2.47,79.0,111.0,32.0,4
,7.0,294.0,,,0.432,,83.0,127.0,38.0,4
2.0,236.0,472.0,118.0,0.566,0.689,10.27,,325.0,26.0,
1.0,61.0,61.0,61.0,,1.0,61.0,61.0,61.0,1.0,2
8.0,,,1.75,0.223,0.661,3.57,25.0,74.0,7.0,1
9.0,174.0,1566.0,,,0.737,1.71,,1154.0,163.0,
8.0,45.0,360.0,5.625,0.156,0.725,,56.0,261.0,30.0,
7.0,27.0,189.0,,0.101,0.619,3.8,19.0,,5.0,1
,9.0,9.0,9.0,,1.0,,,9.0,,1
8.0,,,15.25,0.227,,1.44,222.0,,154.0,1
11.0,,1056.0,8.727,0.331,0.954,4.32,350.0,,81.0,
48.0,402.0,19296.0,8.375,0.055,0.094,4.13,1058.0,1814.0,256.0,5
304.0,,140752.0,1.523,0.063,0.121,3.91,8898.0,17081.0,2273.0,
,20.0,200.0,2.0,0.435,0.89,,87.0,178.0,30.0,1
9.0,97.0,873.0,10.778,0.466,0.973,,407.0,849.0,168.0,1
9.0,21.0,189.0,2.333,0.354,,,67.0,166.0,25.0,1
9.0,80.0,,8.889,0.338,0.954,2.04,243.0,687.0,,
11.0,85.0,935.0,7.727,0.25,,1.73,234.0,621.0,135.0,
,76.0,,8.444,,0.874,,248.0,598.0,114.0,1
8.0,2.0,16.0,0.25,0.563,0.563,,9.0,9.0,1.0,
9.0,33.0,297.0,3.667,,,1.67,77.0,,,1
9.0,,1080.0,13.333,,,1.98,,928.0,181.0,1
12.0,118.0,1416.0,,0.253,0.767,1.95,358.0,,184.0,1
11.0,207.0,2277.0,18.818,0.268,0.723,1.84,610.0,1647.0,332.0,1
9.0,,828.0,10.222,0.365,0.954,,,,,1
9.0,93.0,837.0,10.333,0.323,,2.06,270.0,743.0,131.0,1
,43.0,387.0,4.778,,0.922,,146.0,357.0,65.0,
3.0,,639.0,71.0,0.318,,11.94,203.0,242.0,17.0,2
306.0,465.0,142290.0,1.52,0.055,0.123,2.69,7861.0,17452.0,2925.0,
45.0,79.0,,1.756,,0.195,,308.0,693.0,64.0,5
7.0,9.0,63.0,,,0.492,21.0,21.0,,1.0,1
3.0,7.0,21.0,,,,13.0,,13.0,1.0,
1.0,,,152.0,0.822,1.0,,125.0,152.0,11.0,2
1.0,,51.0,51.0,0.471,1.0,,,51.0,10.0,2
6.0,17.0,102.0,,,0.824,,28.0,,14.0,1
6.0,22.0,,3.667,,,2.89,,,9.0,1
6.0,29.0,174.0,4.833,,,,51.0,160.0,,1
5.0,46.0,230.0,9.2,0.278,0.835,2.21,,192.0,29.0,
,30.0,150.0,6.0,0.16,0.66,,24.0,99.0,14.0,1
,16.0,64.0,4.0,0.391,0.938,1.67,25.0,60.0,,1
,45.0,315.0,,0.2,,1.91,63.0,,33.0,1
,27.0,189.0,3.857,0.238,0.741,2.81,45.0,140.0,,1
10.0,122.0,,,,0.54,2.03,333.0,659.0,164.0,1
11.0,49.0,539.0,4.455,,0.666,4.3,185.0,,43.0,1
,,,3.182,,0.584,4.78,129.0,,27.0,1
19.0,462.0,,,0.523,,16.88,4591.0,6035.0,272.0,2
10.0,38.0,380.0,3.8,0.434,0.892,2.89,165.0,339.0,57.0,1
,,324.0,4.0,0.552,,3.51,179.0,300.0,51.0,1
10.0,98.0,980.0,,0.448,0.881,,439.0,,,1
,,189.0,2.333,0.529,0.958,3.33,,,30.0,1
,,490.0,4.9,0.551,0.943,3.07,270.0,462.0,,
,49.0,49.0,49.0,0.286,,7.0,,,,1
,52.0,,52.0,,,51.0,51.0,52.0,1.0,2
1.0,52.0,52.0,52.0,0.538,,14.0,28.0,52.0,,2
10.0,24.0,240.0,,,0.821,,,197.0,,
9.0,36.0,324.0,4.0,0.42,,2.0,136.0,288.0,68.0,
9.0,21.0,189.0,,0.392,,2.74,74.0,170.0,,1
9.0,,702.0,,,,2.17,245.0,606.0,,
11.0,,,,0.331,0.844,2.28,244.0,,107.0,1
10.0,33.0,330.0,,0.367,0.864,,121.0,285.0,62.0,
10.0,,790.0,7.9,0.385,0.88,2.13,304.0,695.0,143.0,1
10.0,,800.0,8.0,,0.799,2.06,,639.0,122.0,
11.0,,1067.0,,,,,317.0,711.0,,
9.0,,738.0,9.111,0.389,,2.33,,679.0,123.0,
9.0,69.0,621.0,7.667,0.343,0.876,1.75,213.0,,122.0,1
12.0,,1008.0,7.0,,0.778,1.91,284.0,,,1
9.0,82.0,738.0,9.111,0.379,,2.35,280.0,,,1
10.0,,,1.1,0.373,1.0,,41.0,110.0,26.0,
10.0,63.0,630.0,,,,2.2,185.0,564.0,84.0,1
11.0,,,,0.289,0.829,1.87,324.0,930.0,173.0,1
,,,,0.385,0.935,2.29,284.0,,124.0,1
22.0,26.0,572.0,1.182,0.283,0.918,1.93,162.0,,84.0,1
22.0,47.0,1034.0,2.136,0.319,0.753,2.13,,779.0,155.0,1
10.0,53.0,530.0,5.3,,0.9,1.82,,477.0,99.0,
10.0,40.0,,4.0,,0.878,1.9,135.0,351.0,,1
8.0,82.0,,,0.288,0.997,1.99,,,95.0,
,,340.0,3.4,0.356,,,121.0,273.0,66.0,1
9.0,,729.0,9.0,,0.927,2.21,254.0,676.0,115.0,1
11.0,13.0,,1.182,0.42,,2.22,60.0,,27.0,1
,8.0,88.0,0.727,0.25,1.0,2.44,22.0,88.0,9.0,
11.0,43.0,473.0,,0.334,,2.47,158.0,,,1
9.0,75.0,,8.333,0.396,0.914,2.21,267.0,,121.0,
11.0,86.0,946.0,,,,,268.0,723.0,140.0,1
1.0,33.0,33.0,33.0,1.0,,33.0,33.0,33.0,1.0,2
,124.0,124.0,124.0,0.444,,7.86,55.0,124.0,7.0,
,75.0,75.0,75.0,0.92,1.0,,69.0,75.0,,
9.0,6.0,,0.667,0.5,0.593,13.5,27.0,32.0,2.0,1
10.0,64.0,640.0,6.4,0.514,0.966,2.84,329.0,618.0,,1
,36.0,324.0,,0.611,,3.36,198.0,300.0,59.0,1
9.0,,306.0,3.778,0.288,0.641,,,196.0,,1
10.0,98.0,980.0,9.8,,0.945,2.72,454.0,,,1
9.0,121.0,,,0.356,,2.2,388.0,890.0,176.0,1
,100.0,1100.0,9.091,,0.882,3.04,502.0,,,
25.0,118.0,,4.72,0.268,0.745,2.02,791.0,2198.0,392.0,1
10.0,126.0,1260.0,12.6,,0.883,2.85,575.0,1113.0,202.0,1
,85.0,850.0,8.5,0.333,0.696,2.28,283.0,592.0,124.0,1
,43.0,387.0,,0.509,0.959,,,371.0,55.0,1
9.0,47.0,423.0,5.222,0.333,0.757,,141.0,320.0,59.0,1
10.0,40.0,400.0,4.0,0.428,0.895,3.05,171.0,358.0,,
9.0,,396.0,,0.467,0.944,,,374.0,59.0,1
9.0,47.0,423.0,5.222,,0.78,,131.0,,,1
9.0,41.0,369.0,4.556,0.425,0.962,2.71,,,,1
1.0,8.0,,8.0,,1.0,7.0,,8.0,,2
1.0,,40.0,40.0,,1.0,40.0,40.0,40.0,1.0,2
,,55.0,55.0,0.564,1.0,10.33,,,,2
9.0,39.0,,,,0.937,2.06,103.0,,50.0,1
14.0,,4760.0,24.286,0.259,,2.45,1232.0,2819.0,503.0,1
,123.0,,,0.395,0.991,2.84,437.0,1097.0,154.0,1
1.0,115.0,115.0,,0.2,,4.6,23.0,115.0,5.0,2
,131.0,1310.0,,0.439,,2.79,575.0,,206.0,1
1.0,11.0,11.0,11.0,,1.0,,11.0,11.0,,
