height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
8.0,,64.0,1.0,0.234,0.328,5.0,15.0,,3.0,
,,,,,,,,,,1
,85.0,,,0.302,,1.82,,621.0,,
9.0,,288.0,3.556,0.302,0.781,2.07,,,,1
,101.0,1111.0,9.182,,,2.76,,987.0,160.0,1
11.0,,,,,,1.88,341.0,1045.0,,
10.0,,1260.0,,,,2.68,,1086.0,200.0,1
,13.0,,1.444,,,,28.0,54.0,6.0,1
,75.0,675.0,,0.256,0.606,2.19,173.0,409.0,,1
11.0,119.0,1309.0,,0.236,,1.75,309.0,978.0,177.0,
,,440.0,4.4,,,3.15,173.0,,,
9.0,40.0,360.0,4.444,,,2.29,128.0,,,
,,,6.0,,,,116.0,,,1
9.0,44.0,396.0,,,,2.84,,,64.0,
9.0,,,,0.274,,,116.0,,48.0,1
9.0,,360.0,4.444,,0.919,2.35,,,49.0,
3.0,,,,0.356,0.371,,,129.0,,2
,,36.0,9.0,0.722,,26.0,26.0,26.0,,2
,,396.0,44.0,,0.558,,,,10.0,2
1.0,17.0,17.0,17.0,0.765,1.0,,,17.0,4.0,2
1.0,8.0,,,,1.0,8.0,,8.0,1.0,
2.0,69.0,,34.5,0.623,,,,125.0,8.0,2
2.0,,,23.0,,,,54.0,,,2
,,,,0.345,0.874,2.43,,,120.0,1
,41.0,,4.556,,,1.91,111.0,,58.0,
,,,57.0,0.456,1.0,,,57.0,,2
1.0,,10.0,,,,,,,,
14.0,,,,,,,,,289.0,1
,152.0,,,0.297,,,452.0,1182.0,,1
2.0,,,,0.616,,,,,8.0,2
9.0,,,,0.362,0.986,2.62,,1091.0,,1
2.0,,34.0,8.5,0.588,,,20.0,,3.0,
,,1310.0,,0.415,,2.74,543.0,1123.0,,
,12.0,,,,1.0,3.5,7.0,12.0,2.0,
,,,,0.154,0.481,2.78,25.0,,9.0,1
,,105.0,,0.324,0.762,,,,,
7.0,58.0,406.0,8.286,,,,82.0,,,1
,,322.0,6.571,,,,50.0,189.0,,1
,,,,,1.0,4.0,,,4.0,
7.0,17.0,119.0,,0.227,0.58,2.7,,69.0,,
2.0,31.0,62.0,15.5,0.194,,2.0,,32.0,,
1.0,,,12.0,,1.0,3.5,,12.0,,
,17.0,34.0,,,1.0,,11.0,34.0,,1
,,22.0,5.5,0.409,0.955,,9.0,,1.0,1
,19.0,,9.5,,,,,,5.0,
7.0,,,15.286,,,1.6,,490.0,126.0,1
5.0,9.0,45.0,,0.267,,,12.0,35.0,7.0,1
11.0,,,,,0.727,,48.0,72.0,,
11.0,8.0,88.0,0.727,,1.0,7.75,62.0,88.0,8.0,
,,88.0,,0.443,,39.0,,,,1
,7.0,77.0,0.636,,,5.75,,,,
,,,0.636,,1.0,,36.0,,10.0,
,9.0,99.0,0.818,,0.636,15.67,,63.0,3.0,1
,,88.0,,,,9.0,45.0,75.0,5.0,1
1.0,,,43.0,0.907,,9.75,39.0,,4.0,2
10.0,,380.0,,0.387,0.887,,,,59.0,1
,20.0,,2.5,0.5,,2.76,,,29.0,1
9.0,36.0,,,0.54,0.929,,,301.0,,
10.0,,,9.8,0.391,,,383.0,,159.0,
10.0,,,,,0.961,2.97,,471.0,86.0,
,,,,,,2.56,69.0,177.0,,
9.0,19.0,171.0,2.111,,0.76,,50.0,,,
,,495.0,6.111,,,1.92,,,77.0,1
,14.0,126.0,1.556,0.127,,1.78,,,9.0,
,23.0,184.0,,,1.0,1.47,53.0,184.0,36.0,1
8.0,35.0,,,,0.886,1.66,106.0,248.0,64.0,1
,96.0,,10.667,,0.815,,,704.0,,
9.0,66.0,594.0,,0.323,0.805,,192.0,,96.0,
9.0,,,3.778,,0.817,,,,,1
,,,10.375,0.325,,,,,123.0,1
8.0,,,10.0,,0.922,1.72,,,,1
9.0,95.0,855.0,10.556,0.285,0.723,,,618.0,116.0,
8.0,,,,0.298,,,,,,1
10.0,13.0,130.0,,,0.685,,14.0,89.0,6.0,
8.0,,560.0,,0.341,0.918,1.66,,514.0,,
,84.0,,7.636,0.262,0.82,1.69,,,,
9.0,99.0,891.0,,,0.818,,,,125.0,
9.0,,720.0,8.889,,,1.85,211.0,625.0,,
11.0,,,,0.239,,1.61,265.0,909.0,165.0,
12.0,26.0,,,,1.0,1.6,69.0,,,1
,40.0,480.0,3.333,,0.733,,130.0,,66.0,1
,,,10.5,0.269,0.966,,,649.0,,
8.0,53.0,,,0.358,0.981,1.54,,416.0,99.0,
,,,5.125,,0.942,,,309.0,73.0,1
,82.0,738.0,9.111,0.252,,2.0,186.0,,,
,,98.0,,0.184,,,,60.0,1.0,1
,26.0,,,,,,,,44.0,
8.0,,368.0,,0.391,,,,,,1
,,,,,,,116.0,,,1
,,286.0,2.364,0.297,0.941,,85.0,,42.0,1
,,,,0.335,0.829,,155.0,,,
,,,5.167,,,1.58,174.0,491.0,110.0,1
8.0,75.0,,,0.328,0.888,,197.0,,106.0,1
8.0,,144.0,2.25,0.479,0.986,2.16,,,,1
7.0,,231.0,,,0.844,2.36,,,,
9.0,,576.0,,,,2.58,,,104.0,1
9.0,36.0,324.0,,0.568,,,,,,
8.0,,,1.0,,0.344,,13.0,,3.0,1
,,168.0,2.625,,0.673,1.97,,113.0,,1
,,,,0.464,0.942,2.52,413.0,839.0,164.0,1
9.0,84.0,,9.333,0.288,0.791,1.83,,598.0,,
8.0,31.0,,,0.327,,,,196.0,44.0,
,,38.0,0.105,,0.816,,,,1.0,
9.0,101.0,909.0,11.222,,,2.68,402.0,783.0,,
11.0,,,10.727,0.26,,,338.0,,168.0,1
,2.0,,0.4,0.8,,8.0,8.0,,,4
,,1260.0,12.6,,0.833,,516.0,1049.0,196.0,
12.0,,,9.75,0.22,0.673,1.68,,,184.0,
9.0,,,3.889,,,2.86,,210.0,29.0,
9.0,,414.0,5.111,,,1.92,,,,
,,,,,0.6,,11.0,12.0,,
8.0,44.0,,5.5,0.426,,3.26,,330.0,,
8.0,48.0,384.0,6.0,0.31,,,,310.0,,
8.0,40.0,,5.0,,0.991,,129.0,,51.0,
,45.0,,,,0.956,,169.0,,58.0,1
,20.0,,,0.261,,,47.0,100.0,20.0,
9.0,,,,,,,,,28.0,1
8.0,41.0,328.0,,0.335,0.933,2.08,,306.0,53.0,
,112.0,224.0,56.0,,0.504,55.5,111.0,113.0,,
1.0,45.0,45.0,45.0,,1.0,5.67,34.0,,6.0,
,,,,,1.0,5.55,,,11.0,
,43.0,344.0,5.375,,,,120.0,,53.0,
,301.0,,27.364,,0.735,2.22,,,,
7.0,35.0,,,0.453,0.873,2.47,111.0,,45.0,1
,,1098.0,,0.339,0.947,2.57,372.0,,145.0,1
10.0,130.0,1300.0,,,0.773,,552.0,1005.0,,
6.0,,276.0,,0.217,,2.0,,,30.0,1
6.0,,,,,,,,,,1
5.0,8.0,,1.6,0.35,0.675,4.67,14.0,,3.0,1
5.0,3.0,,,,,,7.0,15.0,1.0,1
5.0,35.0,,,0.2,0.829,,35.0,145.0,,1
,,188.0,,0.298,0.739,2.33,56.0,139.0,24.0,
3.0,,93.0,10.333,,0.774,,,72.0,10.0,
,16.0,,5.333,0.375,0.938,,,45.0,8.0,
7.0,,854.0,,,0.626,,,,,1
,21.0,231.0,,,0.68,3.96,,157.0,24.0,1
11.0,8.0,88.0,0.727,0.375,0.602,,33.0,53.0,,
,,99.0,,,,9.2,46.0,81.0,5.0,
10.0,,,,,1.0,5.0,,80.0,8.0,
10.0,,210.0,,0.324,,3.4,,,20.0,1
2.0,,314.0,78.5,0.506,,,,,6.0,2
,38.0,,,,,,,341.0,59.0,
9.0,,,,,0.914,3.3,,296.0,54.0,
8.0,,160.0,,0.525,0.938,3.5,,150.0,24.0,1
,96.0,,9.6,0.418,,,,851.0,161.0,
9.0,,,5.444,,,,,440.0,,1
1.0,32.0,,32.0,,,,23.0,,4.0,
1.0,52.0,,,,,,41.0,,4.0,2
,,13.0,13.0,,1.0,4.5,9.0,,2.0,
9.0,,207.0,2.556,0.304,1.0,,63.0,207.0,39.0,
9.0,,,4.111,,,,,269.0,,1
9.0,,,,,,2.35,61.0,157.0,,
,,,,,0.956,,,604.0,112.0,1
9.0,,729.0,9.0,,0.897,,,654.0,,1
,67.0,536.0,,0.381,0.746,,,400.0,82.0,
,32.0,,3.556,,0.826,,84.0,238.0,55.0,
94.0,,,0.021,0.516,0.516,,97.0,,,4
10.0,,110.0,1.1,,,1.5,,,,1
10.0,64.0,,6.4,,0.808,,,517.0,84.0,
,83.0,830.0,,,,2.02,,,,1
,,876.0,6.083,,0.591,,225.0,,105.0,
8.0,,,2.125,0.353,,2.0,,109.0,24.0,
,12.0,,,,0.88,,44.0,95.0,26.0,1
9.0,,,,,,,,674.0,125.0,
,53.0,,,0.37,,1.76,,382.0,89.0,
,83.0,,7.545,,0.9,,250.0,822.0,,1
10.0,,,,,0.81,,226.0,,,1
9.0,82.0,,,0.329,,,243.0,643.0,,
11.0,100.0,1100.0,,0.269,0.765,,,842.0,156.0,1
,,1775.0,,0.234,,2.22,416.0,1328.0,187.0,1
9.0,82.0,,9.111,,,2.09,182.0,690.0,87.0,1
,97.0,873.0,,,0.921,1.77,286.0,,162.0,
9.0,,288.0,3.556,,0.861,1.68,96.0,,,1
8.0,82.0,656.0,10.25,0.398,0.951,2.51,,624.0,104.0,
,,156.0,1.083,0.372,0.981,2.32,58.0,,,1
,,96.0,,0.198,1.0,,,,9.0,
12.0,43.0,516.0,3.583,,0.791,,151.0,408.0,66.0,1
,,600.0,9.375,0.415,0.91,2.37,249.0,,105.0,1
,84.0,924.0,,,,,232.0,629.0,131.0,1
,123.0,246.0,,,,123.0,,,,2
,36.0,,,0.722,,8.67,,36.0,,2
,123.0,2337.0,,0.089,0.089,207.0,,,1.0,1
8.0,6.0,48.0,,,0.646,8.0,,31.0,,1
10.0,,,6.5,0.445,0.911,,,592.0,112.0,1
,37.0,,,0.598,,3.49,,315.0,57.0,
,20.0,180.0,2.222,,0.772,,,,,
,,,2.0,,0.781,,,,,
10.0,100.0,1000.0,10.0,0.449,,,,,,
,32.0,288.0,3.556,0.365,,,105.0,,,
9.0,,738.0,,0.337,0.817,2.01,,603.0,,1
,101.0,,,,0.893,,471.0,902.0,156.0,
,116.0,1392.0,9.667,0.246,0.707,1.99,343.0,984.0,,1
,126.0,,,,0.848,3.16,584.0,1068.0,,1
9.0,86.0,774.0,,,0.647,2.22,,501.0,,1
11.0,115.0,,,,,1.79,,915.0,,1
4.0,2.0,8.0,0.5,0.875,,7.0,7.0,,1.0,4
,,,4.889,0.465,,,184.0,,55.0,1
,46.0,,,,0.918,1.97,128.0,,,
8.0,40.0,,5.0,,0.991,,,,60.0,
,45.0,,5.0,0.442,0.956,3.31,,387.0,54.0,1
8.0,45.0,,5.625,,0.897,,132.0,,,1
8.0,41.0,328.0,5.125,0.424,,2.53,139.0,317.0,,
1.0,,19.0,,0.789,1.0,3.75,15.0,19.0,,
1.0,9.0,9.0,9.0,,1.0,,7.0,,,2
8.0,,336.0,5.25,,0.97,,,,,
14.0,339.0,,,0.248,,,1175.0,,481.0,
,123.0,1230.0,12.3,0.362,0.888,,445.0,,,1
,446.0,892.0,223.0,,,,,,22.0,
66.0,3.0,198.0,0.045,0.657,0.909,,130.0,,50.0,4
10.0,,1310.0,13.1,,0.851,3.0,,1115.0,,
,4.0,372.0,0.043,,,,,,,
44.0,3.0,132.0,,0.598,,,,,32.0,
,7.0,294.0,,,,,,127.0,38.0,
,,472.0,,,,10.27,,325.0,26.0,
1.0,61.0,,61.0,1.0,1.0,61.0,,,,2
8.0,,112.0,1.75,,0.661,,,74.0,7.0,1
9.0,174.0,,,,,1.71,,,163.0,1
8.0,,360.0,5.625,,,,,,30.0,1
7.0,,189.0,3.857,,0.619,3.8,,117.0,,1
1.0,,,9.0,,,,,9.0,,
8.0,,976.0,15.25,,,,,634.0,154.0,1
,96.0,,8.727,0.331,0.954,,350.0,,,
48.0,402.0,,,0.055,,4.13,1058.0,,256.0,5
304.0,,,,0.063,0.121,3.91,8898.0,,2273.0,5
10.0,20.0,,,,0.89,,,,30.0,
,,,,0.466,0.973,,,849.0,168.0,
9.0,,189.0,,0.354,,,,,25.0,
9.0,,,8.889,,0.954,,,687.0,,1
,85.0,935.0,,,,1.73,,,135.0,1
,,,,0.363,0.874,2.18,,598.0,114.0,
8.0,,16.0,0.25,,0.563,,9.0,9.0,1.0,
,33.0,297.0,3.667,,0.774,1.67,77.0,,46.0,1
,120.0,1080.0,13.333,,0.859,1.98,358.0,928.0,181.0,
12.0,,1416.0,9.833,,,1.95,358.0,,184.0,
,207.0,,,,,1.84,610.0,1647.0,332.0,
,,,10.222,,0.954,,,790.0,,1
,93.0,837.0,,0.323,0.888,2.06,270.0,743.0,,
,43.0,,,0.377,0.922,2.25,146.0,357.0,,1
,213.0,639.0,71.0,,0.379,11.94,203.0,,17.0,2
306.0,465.0,,,0.055,,2.69,7861.0,17452.0,2925.0,
,79.0,,,0.087,,,,693.0,,5
7.0,9.0,,,,0.492,,,31.0,1.0,1
,,21.0,,,,13.0,13.0,13.0,1.0,
1.0,152.0,,,,1.0,11.36,,,,2
,,,51.0,0.471,1.0,,,51.0,,
6.0,,,,,,,,84.0,,1
6.0,,,3.667,,1.0,,,132.0,9.0,1
6.0,29.0,,,,,1.5,51.0,,,1
5.0,46.0,230.0,9.2,,0.835,,,192.0,,
,30.0,150.0,6.0,,,,24.0,,,
4.0,,,4.0,0.391,0.938,1.67,,60.0,15.0,
7.0,45.0,,,,,,63.0,244.0,,1
7.0,,189.0,3.857,,0.741,2.81,45.0,,16.0,1
,122.0,1220.0,12.2,0.273,,,,,,1
,,,4.455,,,,185.0,,,1
,,,,0.335,,,129.0,225.0,,
19.0,462.0,8778.0,24.316,,,16.88,,,272.0,2
,38.0,380.0,,0.434,0.892,,,339.0,,1
9.0,,324.0,,0.552,,3.51,,300.0,51.0,1
10.0,98.0,980.0,,0.448,,,439.0,863.0,,
,21.0,,2.333,0.529,0.958,,100.0,181.0,30.0,
10.0,,490.0,4.9,0.551,,3.07,,,,
,,,,0.286,1.0,7.0,14.0,,,
,,52.0,52.0,,1.0,51.0,51.0,,,2
1.0,52.0,,52.0,0.538,1.0,14.0,,52.0,2.0,
,,240.0,2.4,0.267,0.821,2.06,64.0,,,1
,,324.0,4.0,,0.889,,,288.0,68.0,
,,,2.333,0.392,0.899,,74.0,,,
,78.0,,8.667,,,2.17,245.0,,113.0,
,67.0,737.0,,,,,244.0,,,
10.0,33.0,330.0,,0.367,,,,285.0,62.0,
10.0,,790.0,,,,,,695.0,143.0,1
10.0,,800.0,,,,,251.0,639.0,,1
,97.0,,,0.297,0.666,2.4,,,132.0,
,,,,0.389,,2.33,287.0,,,
,69.0,,7.667,,,1.75,,544.0,,
12.0,84.0,1008.0,7.0,0.282,,,284.0,,,
,82.0,738.0,,0.379,0.879,2.35,280.0,649.0,,
,11.0,,1.1,,1.0,1.58,,110.0,,
10.0,63.0,630.0,6.3,0.294,0.895,2.2,,564.0,,
,102.0,,9.273,,,1.87,324.0,930.0,173.0,
,,738.0,,0.385,,2.29,284.0,690.0,,
22.0,26.0,,1.182,0.283,,1.93,162.0,525.0,,
22.0,47.0,,,,,2.13,330.0,,155.0,1
10.0,,,,,,1.82,,477.0,,1
10.0,40.0,,,,0.878,,135.0,351.0,71.0,1
8.0,,,,0.288,,1.99,,,,1
,34.0,340.0,3.4,,,1.83,,273.0,66.0,1
9.0,81.0,729.0,9.0,0.348,0.927,2.21,,,115.0,1
,13.0,143.0,,0.42,0.979,,60.0,,27.0,1
11.0,8.0,,,0.25,1.0,,,88.0,,
,,,,0.334,0.875,2.47,158.0,414.0,64.0,1
,,675.0,8.333,,0.914,2.21,,,121.0,
,,,,,0.764,1.91,268.0,,,
1.0,33.0,,,,,,,,1.0,2
,,,124.0,,,7.86,55.0,,,2
,75.0,,,0.92,,11.5,69.0,,,2
,,54.0,,0.5,0.593,,,,,1
10.0,64.0,,6.4,,,,329.0,618.0,,1
9.0,36.0,,4.0,,,,,,59.0,
,34.0,306.0,,,0.641,,88.0,196.0,,
10.0,,,,,0.945,,454.0,,167.0,
,,,13.444,,,2.2,,890.0,176.0,1
,,1100.0,9.091,,0.882,,502.0,970.0,165.0,1
25.0,118.0,2950.0,4.72,,0.745,2.02,791.0,2198.0,392.0,
10.0,126.0,,,,0.883,2.85,,,202.0,
,85.0,,8.5,0.333,0.696,2.28,,592.0,,
,43.0,,,,0.959,3.58,197.0,371.0,,
9.0,,,5.222,,0.757,,141.0,320.0,59.0,
10.0,40.0,400.0,4.0,,,,171.0,,,
9.0,,,,0.467,,,,,,
9.0,,423.0,,,0.78,,,330.0,,
9.0,,,4.556,0.425,0.962,2.71,,,58.0,
1.0,8.0,,,0.875,,7.0,,8.0,,
,40.0,40.0,40.0,1.0,,40.0,,,,
,55.0,55.0,55.0,,,10.33,,,,
9.0,,351.0,4.333,,,2.06,,329.0,50.0,1
14.0,,4760.0,24.286,,0.592,,1232.0,,,1
,,1107.0,,,0.991,,,1097.0,,
,115.0,,,0.2,1.0,4.6,23.0,115.0,,
10.0,131.0,,13.1,,0.845,,,,206.0,1
,,,,,,,11.0,11.0,1.0,
,46.0,46.0,,,1.0,12.0,,,3.0,
2.0,64.0,128.0,,,0.586,17.0,,,,2
7.0,47.0,,6.714,0.271,,2.23,89.0,289.0,40.0,1
8.0,27.0,,,0.218,0.829,2.14,47.0,,,1
,17.0,,2.429,,,,49.0,111.0,18.0,
8.0,59.0,472.0,7.375,,0.881,,,416.0,63.0,1
,,376.0,5.875,0.362,0.88,,136.0,,,1
,32.0,256.0,4.0,0.336,0.789,2.46,86.0,,35.0,
,,128.0,,,0.906,,61.0,,,
4.0,,,,0.426,,17.82,,,,
7.0,16.0,,,0.42,,2.14,,86.0,,
7.0,,,14.286,,0.849,,,594.0,,1
12.0,8.0,,0.667,,0.656,4.3,43.0,,,
12.0,,96.0,,0.615,,,59.0,93.0,10.0,1
12.0,,,,0.479,,46.0,,,,
,8.0,96.0,0.667,,,15.2,76.0,96.0,,
12.0,7.0,,,,1.0,,47.0,,,1
12.0,,,1.917,0.417,0.623,8.21,115.0,172.0,,1
,463.0,143993.0,,0.088,,3.93,,23092.0,,5
14.0,,252.0,1.286,,,,,,,
,51.0,510.0,,0.306,0.855,,,436.0,,1
9.0,,,2.667,,1.0,2.9,116.0,216.0,,1
,22.0,220.0,,,0.836,2.74,,184.0,,1
,37.0,333.0,,,0.901,,,300.0,,
,,3737.0,2.73,0.282,,2.44,1053.0,,432.0,
,,340.0,,0.421,,2.01,,308.0,71.0,1
11.0,,1078.0,,0.317,,,342.0,693.0,,1
,83.0,,,,,1.99,300.0,,,1
,114.0,,3.353,,,,406.0,1166.0,157.0,
12.0,,,,,,,,960.0,178.0,
,87.0,,,0.344,,,,,132.0,1
,,,,0.376,,,368.0,844.0,175.0,
,,,8.4,,,,,713.0,121.0,1
9.0,47.0,,5.222,,0.948,2.42,,,86.0,1
,33.0,297.0,3.667,0.458,0.983,,,,62.0,1
10.0,78.0,,,0.381,0.856,,297.0,668.0,118.0,
12.0,,96.0,0.667,0.292,1.0,,28.0,,9.0,
12.0,43.0,,,,0.849,,184.0,,68.0,
11.0,,946.0,7.818,0.332,,,,,143.0,1
9.0,,45.0,,0.711,0.889,10.67,,,,1
,146.0,,,0.091,,,160.0,225.0,,
17.0,2.0,,,,0.706,,24.0,,1.0,
9.0,,,,,0.683,,,43.0,10.0,
,,,,,0.744,,,125.0,,
9.0,121.0,1089.0,,0.399,0.843,,434.0,,,
11.0,,1298.0,10.727,0.348,0.797,2.71,,,,
10.0,37.0,370.0,,0.354,0.708,,131.0,,,1
,,470.0,,0.336,0.628,,,295.0,70.0,
,92.0,,,0.361,,,,,,
,,210.0,2.1,0.362,,,76.0,172.0,,
,47.0,,5.222,0.371,0.865,,,,57.0,
,41.0,,4.556,0.507,,,,366.0,57.0,1
10.0,,,1.8,0.511,0.872,,92.0,,31.0,1
,47.0,423.0,5.222,,0.917,,163.0,388.0,65.0,
,41.0,,,,0.976,,,360.0,57.0,
,,,,0.425,,,,380.0,,
1.0,,,48.0,0.875,,10.5,42.0,,4.0,
1.0,,29.0,29.0,,,2.13,,,8.0,2
1.0,,,17.0,,1.0,1.75,,17.0,4.0,
,46.0,,,0.318,0.818,2.09,117.0,,,
,31.0,,4.429,,,1.64,64.0,,,
,,,,0.314,,2.29,32.0,70.0,14.0,
8.0,,,7.375,0.292,,,,419.0,,
7.0,,119.0,2.429,,,2.71,46.0,102.0,17.0,
,,224.0,3.5,,0.844,,58.0,,30.0,1
,45.0,,,,,1.8,,,,
,123.0,,,0.25,0.514,,338.0,695.0,173.0,
11.0,,99.0,,0.465,,3.83,,76.0,12.0,
11.0,8.0,,0.727,0.602,1.0,,53.0,88.0,,1
11.0,,671.0,5.545,0.361,,5.04,,412.0,,
28.0,,,,0.057,,31.0,,614.0,17.0,
,464.0,98368.0,2.189,,0.07,,,6884.0,428.0,
10.0,38.0,380.0,3.8,,,,164.0,357.0,59.0,1
,36.0,324.0,,0.556,,,,,56.0,1
,98.0,,10.889,,,,,859.0,156.0,1
9.0,21.0,189.0,2.333,0.487,,,92.0,162.0,,
10.0,49.0,490.0,4.9,0.59,0.982,,289.0,481.0,,1
,286.0,858.0,,,,87.0,348.0,,4.0,2
,,207.0,,0.3,,1.51,62.0,,,1
,,,,,0.811,,,,64.0,
10.0,21.0,,2.1,0.348,,3.17,73.0,159.0,23.0,
9.0,,711.0,,,0.899,2.2,,,111.0,
,66.0,660.0,6.6,0.324,,2.25,214.0,515.0,95.0,1
9.0,,306.0,3.778,,0.902,,,276.0,,
,82.0,,,,0.936,,,,133.0,1
,79.0,,,0.347,0.784,,274.0,,122.0,
12.0,98.0,,,0.267,,,,,135.0,
10.0,,,,0.357,0.813,,,675.0,,1
10.0,,,1.1,,1.0,1.52,47.0,,31.0,
10.0,53.0,530.0,5.3,,,2.0,182.0,430.0,,
,,1020.0,7.083,,,,311.0,,,
,82.0,,,0.408,,,,682.0,126.0,1
10.0,,800.0,,0.308,,,,670.0,,
,,,,0.292,,,,,,1
9.0,82.0,738.0,9.111,0.374,0.866,,276.0,,120.0,1
,26.0,598.0,,0.278,,1.8,166.0,,92.0,1
23.0,47.0,1081.0,,0.315,0.747,2.2,341.0,808.0,155.0,
,,,11.0,,,,339.0,829.0,,
9.0,83.0,747.0,,,,,,679.0,,1
,,,3.4,0.388,,,132.0,303.0,,
,82.0,,,,0.924,2.39,,,,
