a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql,binaryClass
0.476476,0.414008,0.261853,0.292121,0.619272,,,,
,-0.262193,0.073037,,2.451564,1.175842,0.881602,5.0,P
-0.159082,0.091644,-0.185974,,1.736921,4.956242,,8.0,N
-0.420689,-0.354283,,-0.379151,,0.015467,,,P
,0.495036,-0.299396,-0.139483,,4.877203,0.656217,6.0,
,,-0.384738,-0.411118,0.284053,,,6.0,
,,,,,,0.446821,,
,-0.293254,,,,2.028817,,,
0.19658,0.064367,-0.47735,,5.069298,0.467255,,,
-0.458768,0.03628,,,,2.382083,0.593179,,
0.318321,,,,,1.844515,0.642533,,P
,-0.418549,0.244336,-0.19178,0.905298,0.962119,,8.0,P
0.333508,-0.102351,-0.329003,,,,,6.0,P
,0.266254,-0.354449,,,0.30171,0.783777,8.0,
-0.339322,-0.068888,0.369626,,8.205858,,0.711592,,N
,-0.04188,,-0.353779,,,0.79671,6.0,N
-0.152973,0.331893,,,,,0.56323,,P
,,-0.099927,-0.277763,2.809995,,0.435438,8.0,N
-0.39824,0.131413,,0.02094,0.723639,,,,
,0.1823,,,,,0.742077,,
,,0.101883,0.264811,2.065948,4.051005,0.651758,,
-0.066416,0.41309,,-0.078501,,1.826434,,,
,,-0.259258,-0.483185,7.11481,,,6.0,N
,-0.261153,,,,0.117494,0.750432,5.0,P
-0.060299,,-0.084517,-0.199054,0.807326,3.004509,,,
,,-0.451975,,,1.890255,,,P
,-0.436277,0.149418,,,,0.390639,,
,,,-0.414119,,,0.735651,,N
0.390854,0.010747,-0.245454,,3.847632,0.053878,,5.0,P
-0.4071,,,,4.108809,2.180885,0.403655,,P
,0.085003,-0.262095,,,5.398107,0.214534,7.0,
,,0.339871,,0.269341,1.727579,,,
-0.080647,-0.480871,-0.056875,0.427646,,,,7.0,
,0.042157,-0.443517,,,,0.699156,6.0,
,,0.433163,-0.070289,,7.173565,0.536842,6.0,
,,,,,1.257584,,6.0,P
,0.364435,,,,1.261947,0.765772,,
-0.073772,,0.479091,,,5.164316,,,
,,,,1.909828,,0.610355,,P
,,0.08034,0.393134,,11.637274,0.611787,7.0,
0.156427,0.202019,0.055128,,,,,,
,,,-0.08137,5.94134,5.875725,,6.0,N
,-0.108021,0.453707,0.358555,,0.899343,,,P
0.480621,-0.485236,,,2.884278,1.423723,0.807516,,P
-0.16341,-0.341616,,-0.316125,,0.349641,,5.0,
0.318089,0.252974,0.241985,0.02392,4.067655,1.870271,0.686147,8.0,
0.284921,,0.349405,-0.368916,,6.240584,,7.0,P
0.499868,0.24389,-0.056246,-0.186896,2.135483,,0.230669,5.0,
,0.254947,0.211284,-0.427432,8.793123,,0.324446,,N
-0.223736,,,0.10389,,,,6.0,
,-0.130452,0.26336,-0.007112,5.297998,,0.837589,6.0,N
,,,-0.313942,3.864538,,0.602164,,N
-0.041672,-0.426083,,,,,,8.0,
,-0.234775,,-0.154374,,3.46461,0.654699,7.0,P
0.283291,0.442815,-0.286436,0.286574,,,,6.0,P
,,,,4.198712,4.186231,,8.0,
-0.41153,0.478993,,,,,,,P
-0.2886,,,,,2.444249,0.577481,,
0.327148,,0.175036,-0.206116,,4.907879,0.607404,,
,0.208013,0.419414,,8.000968,3.33443,,,
-0.320598,,,,,,,,
,,0.015905,0.33243,,,,,N
,0.135509,,,14.140276,3.035704,,,
-0.478687,,,-0.315666,6.261265,2.021831,,5.0,N
,-0.02366,,,1.364464,2.720264,0.438023,,P
,-0.137869,,,,,,5.0,P
-0.44833,0.302839,0.464768,0.353391,,,,,
-0.317988,,-0.179718,,,,,,N
,,,-0.216166,,3.78967,,8.0,P
,0.444945,,,7.127189,1.511737,,6.0,
,-0.157633,-0.371712,,,,,,
0.144613,,0.021023,,1.112077,1.527632,,,
-0.332822,0.295772,,0.304405,0.594672,1.723169,,6.0,P
,-0.318644,,,,0.229167,,,P
-0.142529,-0.145409,,0.00439,,0.006826,0.87683,8.0,
,,-0.115342,,,19.371513,0.387947,6.0,
,-0.345453,0.113471,-0.412018,,,0.759426,,P
-0.412644,,-0.339779,0.297336,,,,5.0,
,,-0.422439,,0.610067,3.950419,,,P
,0.314237,0.195142,,,,,5.0,N
0.049409,-0.091859,,,0.041295,,0.901819,6.0,P
-0.270057,0.384276,-0.18226,,2.1992,8.700777,0.799297,8.0,
0.47728,,,-0.162286,,9.704099,,6.0,N
,-0.107953,-0.467942,,1.070487,,,6.0,
,0.144063,,,,2.231722,,5.0,
-0.134315,-0.026945,,0.273775,,,,,P
,0.27846,-0.435398,,,0.74644,0.268681,7.0,P
,0.340251,0.384303,-0.020956,3.628235,7.572888,,,
,,,-0.097472,1.55062,,,5.0,P
-0.089642,,,0.108304,,2.346403,,7.0,
,0.266576,,,,,,6.0,
-0.092134,0.03701,-0.339241,,,,,8.0,N
-0.206902,,,,13.872195,,,,N
,,-0.306981,,0.549877,0.129283,0.4072,,P
-0.370123,-0.24141,,-0.378713,2.482361,0.739301,0.541165,6.0,P
,0.219832,0.499765,-0.018786,0.938362,7.193127,0.849288,,
0.031172,0.181165,0.184299,,0.014073,1.899138,0.246466,8.0,P
-0.3091,,0.285234,,,1.644667,,,
-0.400824,,0.011878,,,4.466219,0.757757,8.0,P
-0.404491,,0.064192,-0.26389,4.517149,0.4187,0.335246,,P
,-0.376378,,-0.165026,,0.591162,0.453427,,P
,,-0.323134,-0.469879,1.523245,,,,
-0.42507,,0.327633,,0.361709,0.816376,,,
,,0.107581,-0.206164,2.141648,,,,P
-0.320374,-0.044851,,,,,0.464075,,
0.437195,,,,,0.306719,0.582647,5.0,
,0.282728,-0.476404,0.308846,,1.613837,0.694611,7.0,
0.065659,0.477149,-0.470569,,,0.154011,0.569355,5.0,P
-0.433297,0.18692,,,2.088322,0.42563,0.884463,7.0,
0.071142,0.415881,0.038839,,,,0.946761,,
0.195356,-0.290093,,-0.343669,,2.451376,0.606508,6.0,
0.10788,,0.306314,,,3.925449,0.776902,,P
,0.088047,0.209314,,,2.74784,,5.0,
-0.06997,-0.290211,-0.488542,-0.223328,4.890785,,,,P
,,,-0.237485,,,0.626721,6.0,P
,-0.356154,,0.05096,,2.03522,0.51773,5.0,
0.0334,,,,2.238954,,0.659086,6.0,P
-0.323437,,,,,2.916594,0.749746,8.0,N
,-0.360404,,,1.987905,,,8.0,P
,,,,3.832273,,0.331048,,
,0.097035,-0.490543,-0.447695,,0.37356,,6.0,P
-0.143518,,,0.492923,,4.232318,,5.0,
-0.181809,,-0.167914,0.120137,,3.252153,,,
-0.302687,,,,,,,7.0,N
,-0.229401,,,0.615294,0.384799,0.515964,,P
0.404104,,,-0.388616,,,,,
-0.281172,,0.038506,-0.397731,,1.245513,0.94893,,
,-0.489286,-0.473762,-0.18575,1.076282,2.619681,0.782505,,
-0.269769,,0.071254,,,0.256762,0.731592,,P
-0.490736,,0.146607,0.154749,0.16263,,0.828922,,P
-0.091212,0.493574,0.236152,,0.618271,,,,P
,,,,,,,8.0,P
,,0.290994,-0.353507,4.26853,0.384267,,,
,,-0.114635,0.234234,7.960739,,0.800372,7.0,
-0.22172,-0.068602,-0.302807,,0.958296,,0.605888,,P
0.168788,,,-0.061043,1.106095,1.515144,,8.0,
,0.435527,0.10932,,2.336503,3.483939,,8.0,
,,-0.426475,0.100373,,5.645638,,7.0,N
,0.361908,,0.477924,1.973214,,,,N
,,,,8.889838,,,,
-0.006777,0.430625,,,0.8536,1.264264,0.354713,8.0,
-0.283697,,,-0.004695,2.625987,1.195964,,6.0,
0.025611,0.085448,,-0.109785,4.683177,,,8.0,P
0.220762,0.137062,,-0.242065,2.367362,3.097213,0.137964,,N
,0.404662,,,6.136386,,0.401262,6.0,N
,,,,6.441152,1.231612,0.554509,8.0,
-0.007999,-0.360164,,-0.165176,,,,8.0,
0.353789,-0.453616,,-0.455779,0.665478,6.588933,0.635848,8.0,P
,,0.396502,,,10.260625,,,
0.199383,,,0.228461,1.50539,0.095575,0.543871,,P
,,,,4.082577,1.864781,,,P
,,-0.164102,,,,0.830981,8.0,P
-0.291859,0.22455,-0.20536,,,,0.771012,,N
-0.386962,-0.205603,0.219739,0.1831,3.264312,,0.76999,7.0,
0.308049,,0.197275,-0.248709,,10.371983,,,
,0.253333,,0.249947,0.830597,,,,
-0.344732,0.373365,,,4.020573,,,7.0,
,,0.056368,,,0.936908,,,
0.282268,,,0.031259,0.933302,,,,N
,,,,,,,7.0,
,,0.088659,,,4.725902,,,
0.419032,-0.25663,0.161923,-0.359323,0.584496,4.03209,0.83971,8.0,
0.199539,-0.298287,,,,2.210971,,,P
,,,,1.136098,,,,P
,,0.073313,,1.232803,,,,
0.005364,,0.376751,,0.21694,,,,P
0.164627,,-0.414476,,,,,8.0,N
,,-0.174823,-0.451354,2.348018,1.508075,0.702432,,
-0.336024,-0.214284,0.212188,-0.132455,,3.164759,,,N
,-0.04668,,,,2.018983,,6.0,N
,,,,2.731455,,0.611636,5.0,P
,,-0.323468,0.277065,8.498689,,,,
0.005657,,,,0.314487,2.104992,0.310744,6.0,P
-0.308934,,0.254248,,1.232848,0.652247,0.244063,6.0,
-0.112389,-0.240683,,,,,0.839561,5.0,
,,,-0.480255,,1.047274,,5.0,P
0.449966,,,-0.11527,,11.626436,,,N
-0.25939,,-0.435896,-0.488307,4.098975,0.38836,,6.0,
-0.153171,0.283914,-0.399193,,0.88249,5.651693,0.167672,,N
0.085388,,,0.083119,,1.376635,,5.0,
-0.100363,0.237107,0.239243,0.022903,,,0.169419,,P
,,0.218512,0.091365,,,0.419495,6.0,
,,,-0.13077,,3.540468,,,P
,-0.327421,0.013263,-0.170948,2.842412,,,6.0,
,-0.183515,0.169598,,,,,7.0,P
,,0.206292,0.106788,1.184276,3.022753,0.401367,8.0,
-0.021435,0.43179,,,,,0.23413,,N
-0.447545,,,0.110367,0.398995,17.849755,,,
,,0.094808,0.216307,7.0653,0.316024,,6.0,N
,0.258352,,,3.425706,1.866086,0.797493,,
,-0.069071,,,1.369605,,0.803776,,P
-0.416299,-0.207968,,,,2.551667,0.704707,,P
,-0.046307,,0.124065,4.694657,,,5.0,N
,0.161297,0.435506,,,4.532651,0.882424,,
0.43856,-0.204822,-0.290873,-0.151735,,,0.825246,,P
,0.17457,0.42433,-0.366087,,1.148636,0.716827,,N
,,,0.160453,,,,8.0,N
0.302039,,,,,,0.219742,8.0,P
,-0.1434,,,13.243675,,,,N
,0.383471,0.397175,,,,0.666046,6.0,
,,0.266708,0.153962,0.300295,2.547138,0.390338,,P
,,,,,2.255294,0.794061,5.0,P
-0.058624,-0.386853,0.365224,,,1.142555,,8.0,
0.305532,-0.287072,0.131238,,1.198877,,,,
0.047271,,0.11731,-0.143482,,0.053208,0.930562,,P
,-0.225107,,-0.287927,,3.796932,0.395689,7.0,
0.286384,0.227859,-0.352172,,5.5866,9.407515,,,
0.022488,,,,,5.304486,,5.0,N
,,-0.076421,,0.007496,2.742646,,7.0,
,0.137976,0.055799,,,,,,N
0.074668,,,-0.350475,0.135278,,,,
-0.25592,0.354391,,-0.096482,,,0.829158,,
-0.365788,,,,,2.086395,0.370979,,P
-0.205726,,,,,2.092609,0.690585,,P
-0.341218,,0.396174,-0.042245,,0.258782,0.696369,5.0,
-0.392325,,,-0.273959,1.39192,,0.558472,,P
,0.376118,,-0.027191,2.332183,1.324516,,8.0,P
,0.105605,0.007439,-0.1673,2.89254,5.725906,,,
,-0.145672,0.470365,-0.321829,,,,,
,-0.106553,,0.068896,,0.772652,,5.0,
0.249542,0.05341,,0.300976,5.59591,3.35574,0.934083,7.0,
-0.32595,0.155041,,,,5.937554,0.577096,5.0,
-0.495275,,,-0.112708,0.261338,,,,
-0.364926,-0.350998,0.312899,,,,0.593255,8.0,
,0.349682,-0.168085,,0.06683,4.274053,,6.0,N
-0.443845,,-0.092455,0.162639,,,,7.0,
0.03257,-0.353078,0.098572,-0.050126,9.499724,,,7.0,N
0.250312,0.147821,,,0.002283,8.825055,,,
,0.164224,-0.015988,-0.135673,1.849364,3.75066,,6.0,P
0.307824,-0.304429,0.292012,,3.823247,,0.252823,,P
-0.231178,0.10454,0.163244,,,,,7.0,P
-0.020647,-0.146018,0.328963,0.182394,,,0.579098,6.0,
,,0.363436,0.414194,4.623568,,,,
0.298144,-0.057618,0.241901,-0.398546,,1.57074,,7.0,P
0.394669,0.090215,0.050151,,0.367843,,0.64658,,
0.094213,-0.462289,0.235716,,,,,,P
0.078668,,0.424564,0.030725,6.891288,,0.479776,8.0,
,-0.029729,,,,,0.740843,7.0,
-0.270835,,,-0.060727,,0.197117,0.634282,,
-0.460257,-0.462609,,-0.048987,7.776304,,0.844537,,
,,,-0.393419,0.289708,0.9296,0.793892,,P
,,-0.281802,-0.275544,,,0.563109,,N
0.029185,,,,3.512818,,,,
0.437317,,0.450324,0.468725,,,0.455474,7.0,P
,,,0.118768,8.29223,,0.671068,,N
-0.278763,,,,4.666369,2.793168,,,N
0.377613,-0.252314,,,,,,,N
,,0.140877,-0.101485,,1.685318,0.462113,,N
,-0.389037,,0.367032,1.415907,0.178646,0.954925,7.0,P
,0.013085,,-0.157187,0.666898,,0.791594,5.0,P
,-0.441571,,-0.112987,4.542513,2.508135,0.749203,6.0,P
,,0.333965,-0.071108,0.806917,5.503612,0.188016,8.0,
0.490663,0.318634,,0.353653,3.095715,4.668006,0.565139,7.0,
,0.106822,,,,15.855631,0.401841,,N
,,,-0.308502,0.659653,,,,
0.03932,-0.471587,,0.027064,,,,7.0,
,-0.089683,,0.060068,1.097194,,,7.0,P
,0.453672,-0.297967,,2.505351,,,7.0,
0.252593,,0.381524,,0.955849,,0.386866,5.0,
0.440515,-0.492228,,0.140435,3.379415,8.216495,,,
,,,-0.32922,,0.988199,,,
0.48082,,0.235652,,0.628129,5.925847,,8.0,N
0.028414,-0.173776,0.11424,,,3.306149,,,P
,,-0.250228,0.053865,14.838993,,,,
,,,,6.467642,,0.711703,5.0,
,,0.094375,,0.688515,1.990024,,8.0,P
-0.007913,0.256629,-0.423943,0.498851,1.047964,,0.569345,,P
0.204663,-0.028603,,-0.389697,0.546967,,,7.0,
0.486508,-0.151362,0.352014,-0.471989,,,0.559752,8.0,
,-0.233281,,,1.46089,,,6.0,N
,,,,,4.714603,,7.0,N
,,0.221935,,1.791561,,0.407684,,
,0.03618,,0.085662,1.039516,3.666062,,,
,,,0.201311,,,0.061144,8.0,
0.336361,,,-0.013964,0.702194,,,6.0,N
,,,-0.413606,,2.67654,,,
,,0.161141,,,8.374571,,,N
,,,,1.11089,2.188286,,,P
,0.261016,,0.018942,8.759415,1.230363,0.663703,,
,-0.415714,,0.274019,13.247411,,0.95342,8.0,
-0.344804,-0.140276,0.241034,,,17.591124,0.328868,8.0,
,0.013769,,,1.643162,,,,P
,,,,,,0.664529,,P
-0.441032,-0.37891,0.469336,0.214923,1.197647,1.885867,0.556071,7.0,
,,0.265067,0.326217,,,0.646019,6.0,
-0.123443,-0.288907,0.102827,,3.249788,1.738435,,7.0,
,-0.093111,,-0.256415,,,,7.0,
,,0.256299,,2.053353,,0.713805,,
-0.416404,-0.05374,0.31399,,,,,,
,,-0.453686,-0.302351,10.758666,,0.431638,5.0,N
,,,,0.264211,0.617104,0.256875,,
0.299495,0.192281,,0.367733,,,,,N
-0.227485,-0.428797,,,0.362964,4.490261,,,P
,,0.209228,,,0.139128,0.830194,,
-0.243085,-0.182237,,,0.376095,0.316644,0.38564,6.0,P
0.013987,0.369501,,,,0.194954,,,
,-0.003598,0.127503,,2.588217,0.88049,,,P
0.224284,,0.353314,-0.419996,1.72453,0.346233,,,
-0.315015,,0.137574,,,5.355631,0.842562,5.0,
-0.254563,,,-0.074097,0.861169,,0.525805,,P
0.040422,,-0.156012,0.267403,0.253711,1.915388,0.592954,,
-0.047666,,0.196002,-0.137952,,1.70564,,,
-0.114524,0.262271,0.438611,-0.158115,,1.232542,,,P
-0.11821,,0.358174,,1.145331,0.128528,,,P
-0.419164,,,,,1.375303,,,P
,,0.144573,0.085815,0.028503,,0.204647,,N
-0.483747,,,,,,,,N
-0.129228,-0.026983,,,,1.50356,0.564301,5.0,
,,-0.353709,,1.384195,,,,P
-0.375156,,,,7.21497,,,8.0,N
0.041384,,,-0.262003,,0.488607,,,P
0.269563,-0.054572,,0.051473,3.689949,,,,
,,0.024117,0.115644,,0.363088,,5.0,P
-0.173307,-0.492722,-0.279917,0.083502,,,,5.0,P
-0.143628,,-0.005206,,9.590462,2.558743,,5.0,N
,-0.260521,,0.260841,,,0.613678,6.0,N
0.326053,-0.448419,0.309145,-0.498487,,,,7.0,P
-0.449462,,0.432642,0.231366,1.121754,,0.712302,,
,,0.048083,,4.400374,7.627594,0.806417,,
,,0.13199,-0.338619,3.199729,1.293739,,8.0,P
,0.371972,,,,1.794563,,,
-0.326061,0.220726,0.071145,,1.997874,1.150796,0.728889,,P
,0.461916,-0.425358,-0.348784,,1.198217,,5.0,
0.176704,0.493724,-0.133861,0.301464,4.494139,2.446603,,5.0,N
,-0.270591,0.221428,,2.06374,1.770827,,,P
,,,,0.42858,,0.7241,5.0,
,0.499977,,-0.162515,4.369108,,0.509934,5.0,
0.382238,0.267429,,,,1.212973,0.570877,,
-0.18847,-0.401281,-0.053165,,2.398952,,,,N
,,-0.229362,,,,0.537007,,P
-0.365248,,,,2.92025,1.418012,0.827462,8.0,
,,,,0.966419,,,,
-0.445658,,,-0.313937,0.414903,0.69043,,7.0,
0.463168,,,,,7.839645,0.226497,8.0,
,,-0.427881,0.474542,,1.180994,0.213282,,
,-0.137009,,,,0.996953,0.216608,6.0,
-0.49459,,,,,,,6.0,N
0.317757,-0.234171,,,1.290405,1.076501,0.346635,,
,-0.301193,0.305787,0.367557,3.459383,,,5.0,
-0.478825,-0.279021,,-0.365409,,,,,
-0.338289,-0.374958,,-0.487732,0.870669,7.188715,0.942531,8.0,N
-0.161058,,0.469078,0.376757,1.215426,1.020552,,,
,0.048028,-0.112326,-0.281841,,,,,N
0.216626,,0.169006,,1.022845,0.261057,0.617872,7.0,P
,-0.240288,-0.394954,-0.017747,,1.103219,,,N
,-0.170053,0.238795,0.075374,,0.313022,,8.0,
,-0.3626,-0.271123,-0.354884,,1.538765,0.880075,8.0,
,,0.074717,-0.136815,,,0.828243,,P
0.294277,-0.32914,,,,0.632678,,,P
0.414967,-0.362619,,,1.930904,5.213114,0.62574,,N
,,-0.084905,-0.154872,1.436371,7.281779,0.478097,,N
-0.374654,0.436225,,,,1.80354,,7.0,
0.037661,-0.291786,,-0.009801,,4.339019,0.477823,5.0,
,,0.467084,,8.763812,,0.474932,7.0,
,0.349947,0.036878,0.280769,,,,,
0.1692,,,0.119431,,,0.61012,,N
0.106103,,-0.276646,,,0.181547,0.779222,,P
,,0.060534,,,5.519938,,6.0,N
-0.173835,,-0.159919,-0.396295,,,0.425334,,P
-0.24922,,,,,,0.425843,,N
,0.111041,,,,,,,P
,,,,,,0.296282,6.0,
,,0.336108,0.484709,,0.45144,,,P
-0.332822,-0.187407,,,,,0.571572,,
-0.469708,-0.287839,-0.363021,,,15.970302,0.899257,5.0,
,-0.107969,0.021231,0.335281,2.053348,,,8.0,P
,,0.071698,-0.34504,,4.470933,,5.0,
,,0.420844,,,,0.658216,6.0,P
,,,,0.189773,,0.3363,6.0,
,,0.022606,,,,,8.0,
-0.43515,0.191326,,0.06713,,1.750298,,,P
-0.433053,,-0.330284,-0.339572,,4.001216,0.865159,7.0,N
0.270262,,0.315712,,,1.290466,,,P
-0.24441,,0.375832,,,,0.657458,,
0.108551,0.181095,,-0.435255,2.302732,,,8.0,P
0.393124,-0.252728,0.468524,-0.078907,,3.157328,0.938605,,
,,,,,5.217183,0.408414,,
,,,0.113303,,4.543924,,5.0,
,-0.446444,,,,6.466468,0.482113,,N
,,-0.480687,,0.222518,,,,P
-0.351559,-0.000578,0.059974,,0.421475,0.505284,0.700814,6.0,P
,,,,0.656005,0.032506,,5.0,
,0.357068,-0.363881,-0.26068,,,0.367568,,P
0.466087,0.238488,0.109951,-0.127377,1.140606,,0.72982,,P
0.10182,-0.048257,-0.491882,0.117842,1.626048,0.719615,0.520741,,P
,-0.080695,,-0.137999,,,0.971189,7.0,N
,-0.389498,,-0.118502,,,0.832287,7.0,
0.347707,,,-0.081763,0.45616,1.830788,,8.0,P
0.191613,-0.466998,,,,6.070833,0.590768,,
0.330773,,0.020548,,,8.059408,0.415816,,N
-0.159759,,,,,,,,N
,,-0.398858,,,,,,P
,-0.245427,0.205012,,2.005172,5.157913,,,P
-0.083073,,-0.003442,,,,,,P
,,-0.249999,,,,0.618084,,
-0.019933,0.430482,0.102052,,,,0.39161,,
,,-0.009081,,,,0.687898,,N
,,,,0.229021,,0.853477,5.0,P
0.030571,,,-0.082179,,0.433034,,,P
,0.295431,,0.016082,7.292741,,0.679052,,N
,-0.012471,,0.017419,4.564075,,,,N
0.228958,,0.180524,,,6.420874,0.498519,,
-0.00018,,,,7.867071,0.151417,0.853232,,N
-0.496426,-0.190693,,0.177381,3.500002,0.20344,0.458465,7.0,P
0.305294,-0.120241,-0.257091,,4.65657,9.903154,0.886353,6.0,
,,0.486438,-0.225291,,,0.376881,,P
-0.314146,,,,,1.919645,0.685703,7.0,P
-0.209629,,,0.404047,0.244334,8.303498,0.806932,,
0.176844,,,,,1.948406,0.616645,,P
,,-0.087905,0.442677,,7.715074,,8.0,N
-0.356934,-0.266226,,,,8.013901,,,N
-0.272214,0.044328,,,,5.51335,,,N
0.27064,,0.405912,0.193646,,,0.853272,7.0,N
,,,,0.822135,,0.766853,5.0,P
0.393007,0.14069,,0.221831,2.52636,,0.310025,,N
,,0.077331,,,,0.691759,,P
-0.208097,,0.274053,-0.16434,1.028289,,,,P
0.433854,,-0.262203,-0.007961,,2.501664,0.296136,,P
,0.046968,-0.000445,0.481012,,,0.521631,5.0,P
-0.023721,,0.296166,-0.244256,,5.417504,,,
,,-0.060764,0.173727,9.150753,,0.979614,,N
-0.123478,0.176571,,0.380877,0.933592,,0.54021,,P
,-0.263867,-0.351189,,,,,,P
-0.36052,,0.497345,0.490577,0.495637,,0.55687,,P
,-0.206571,,0.195812,,,,7.0,
,0.353811,,0.093014,2.762197,6.125661,,,N
,-0.344998,0.191698,0.075022,0.683825,,,7.0,
0.442217,-0.311099,-0.013789,-0.18185,,5.430886,0.706507,,
0.449632,,0.117185,,5.159222,,0.613199,,
-0.403887,,0.286259,,,,0.51799,,P
,,-0.116441,0.39026,,2.422138,0.821057,5.0,P
,0.146101,-0.162877,-0.230731,,,,7.0,
0.228267,,,,,,0.158805,,P
-0.126061,-0.010161,0.203053,,2.530517,3.168152,,,P
,,-0.435527,,,2.230076,0.791174,5.0,
-0.178271,-0.262355,0.223596,,1.045772,,,8.0,
0.295554,-0.179862,,,,,,,
,,0.314473,,2.813604,10.563443,,,
,-0.364206,,-0.120623,,1.412808,0.756999,,
0.421035,-0.324814,-0.396669,,,,,6.0,N
0.127167,,-0.149351,,,1.060544,0.853364,7.0,
,0.35914,,-0.32038,0.361829,7.789455,,,
,-0.257915,-0.072984,-0.297761,,,,,P
-0.370703,0.177555,-0.360006,,,2.268687,,7.0,
0.421008,-0.369245,,-0.311944,,,0.224392,7.0,P
,-0.292273,,,,,0.869464,,
0.0025,,,0.090527,0.043226,,0.615989,8.0,
,0.257996,,,,2.351038,,,P
,-0.01019,,,0.530611,,0.795407,8.0,P
0.122714,-0.339796,-0.471587,-0.448036,,0.008255,,,P
0.466787,0.266274,-0.138809,0.302531,6.336146,,0.765339,,N
,-0.356587,,,,1.16424,0.81276,8.0,
0.333227,,0.261674,-0.323769,,2.799559,0.811713,,N
,,,0.428816,1.55241,,0.773308,,
,0.275087,-0.363658,,,,,8.0,N
-0.224323,,,0.332127,4.273102,2.071692,0.893933,5.0,
0.356198,,,-0.398688,1.762254,,0.68242,5.0,
-0.336405,-0.000279,,,1.83771,1.826135,,5.0,
,-0.315561,,0.057529,0.163731,,,,
-0.210489,0.418443,-0.30985,,0.559565,,,6.0,
0.416387,,0.28968,0.17348,1.58223,0.852059,0.416317,5.0,
,,0.357682,,1.007874,,0.21375,,P
-0.459036,,,0.249762,1.978618,11.041998,0.789891,,N
-0.318109,,-0.321694,0.114887,0.609407,5.524746,0.472962,5.0,N
,,,,4.384328,,0.889991,,
,,0.314604,,,,0.195343,6.0,N
,,,0.48546,,1.997211,,5.0,P
,0.241346,0.138504,,0.263755,0.206323,,,
,-0.255987,0.499711,0.280495,,1.303461,,8.0,
0.011268,,-0.337981,,,,0.585435,,P
,-0.325085,-0.179012,,,0.340707,0.681481,5.0,P
-0.22095,0.16066,0.072665,-0.021373,,,0.288943,5.0,P
0.439952,,0.232325,,,,,,P
,,-0.416888,,0.591692,,,8.0,
0.255335,0.325796,,0.19031,,0.751295,,,
,0.295562,,-0.451053,0.351662,0.330097,0.777967,,
,-0.036078,,,2.87601,1.824219,0.350452,8.0,
,-0.10707,0.349673,,1.155411,2.288254,0.615525,,
0.329637,0.250525,-0.262449,0.201283,,2.608652,,6.0,
,,-0.001993,-0.304637,,0.613689,0.827543,,P
-0.361971,0.145112,-0.110157,-0.28045,,,0.432339,8.0,
-0.467457,,,-0.145391,13.289932,,0.705014,,
,,0.292286,0.387126,,5.548948,0.695914,8.0,
0.479097,0.495361,0.318937,,,,,,
-0.34013,,0.343313,,,3.337139,,7.0,
,-0.069577,,-0.437515,0.200813,0.784969,,5.0,P
-0.308051,,,-0.413968,,4.617627,0.68108,,P
0.257679,-0.236551,,0.379165,,3.933615,,,
,,,0.278414,0.804951,,,8.0,P
0.366112,-0.460824,,-0.425683,,,0.751531,,P
0.39408,,0.387662,0.101762,6.087932,10.101945,0.726327,,N
,,,,,,,,
,,0.010661,-0.233819,14.551965,,,,N
