Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
WN,,,MDW,,590.0,,1
DL,1991,ATL,TPA,3,,100.0,0
B6,594,MCO,HPN,7,734.0,155.0,0
YV,7279,CHS,IAD,,,90.0,0
,3712,ORD,XNA,7,,105.0,0
XE,5891,,ORD,4,894.0,113.0,
B6,1432,LGB,SFO,7,1215.0,82.0,
WN,2131,TPA,,,,,
WN,1394,SEA,OAK,3,1215.0,,0
,2009,DEN,,5,360.0,105.0,1
,,,LBB,5,,70.0,
,,,DFW,2,1270.0,65.0,
9E,3831,ALB,,1,1150.0,,
CO,,IAH,RDU,,765.0,150.0,1
WN,3687,,BUF,,1185.0,155.0,
9E,,AUS,MEM,2,,110.0,1
9E,,DTW,DLH,1,1175.0,,0
OO,,,ORD,,1025.0,189.0,
,,MSP,ATL,5,680.0,,0
DL,2015,IAD,ATL,3,970.0,125.0,0
MQ,,,CLE,3,,145.0,1
,404,LAX,DEN,,660.0,134.0,
WN,3101,,LAS,7,1230.0,65.0,1
WN,1330,SMF,SAN,,,85.0,1
EV,,IAD,LGA,7,1055.0,85.0,1
B6,1292,PIT,,2,565.0,,
UA,,ICT,,3,,,
F9,,IND,DEN,,,165.0,0
AA,674,ORD,MIA,3,,,
US,1924,BNA,CLT,,475.0,,0
AA,1843,BOS,ORD,,,175.0,0
FL,596,ATL,ROC,7,1325.0,128.0,1
UA,478,,PDX,5,,103.0,
,1039,TPA,PIT,2,,,0
F9,834,SEA,,1,893.0,152.0,0
9E,4205,RIC,,,580.0,115.0,0
OO,,SBA,,2,1176.0,,0
EV,5441,,IAH,4,555.0,,0
AA,632,LAS,DFW,6,770.0,155.0,
WN,1782,OAK,ONT,5,800.0,,1
OO,,MKE,,,475.0,,1
US,,PHX,,7,,,
US,1911,LGA,,5,360.0,57.0,1
YV,2999,IAD,CLT,,,115.0,0
MQ,,ABE,ORD,2,755.0,140.0,0
WN,47,HOU,CRP,5,1170.0,50.0,1
AA,,DFW,BNA,,730.0,100.0,1
XE,5941,ORD,LNK,,,99.0,0
DL,1518,,ATL,,,,0
CO,155,PBI,EWR,4,840.0,181.0,0
DL,,SEA,MSP,3,677.0,193.0,
,2239,MDW,SAN,5,,275.0,1
XE,2640,EWR,,,935.0,127.0,
WN,,TUL,DAL,,925.0,60.0,1
,,,BRO,,550.0,74.0,
,131,JFK,RSW,5,360.0,190.0,
MQ,,,,2,540.0,80.0,0
,5981,ORD,OKC,,715.0,133.0,1
,,,RNO,7,525.0,85.0,1
,6682,BWI,,,671.0,109.0,
OO,6520,,MBS,3,,,0
9E,,CHS,,4,,133.0,
,2147,LGA,ATL,2,780.0,160.0,1
UA,532,DEN,ORD,2,,,1
FL,1411,,RSW,1,425.0,,
WN,1854,DTW,MDW,3,,75.0,0
,81,LAX,HNL,,530.0,,0
DL,1581,,ATL,2,520.0,203.0,
WN,992,FLL,BUF,,670.0,185.0,0
AA,161,LAX,OGG,,,360.0,0
,,,TPA,6,1230.0,199.0,1
OO,4855,BIL,,,708.0,,0
,1204,ABQ,,7,640.0,100.0,
OH,6543,BHM,,3,,148.0,1
,642,,DFW,,1040.0,,0
FL,82,,,6,857.0,116.0,
MQ,3934,,FSD,2,1240.0,100.0,
,5522,ICT,ATL,,408.0,,0
9E,4236,,CVG,,,99.0,1
,1165,PHL,CLT,,,105.0,1
WN,617,MDW,MCI,2,,90.0,1
DL,1463,,MSP,1,,176.0,1
,,,MKE,7,740.0,74.0,
B6,334,MCO,,5,885.0,120.0,0
AS,236,PDX,SAN,4,415.0,145.0,1
DL,1552,MKE,DTW,7,625.0,,1
F9,496,,DEN,7,375.0,202.0,1
,2805,ROW,DFW,1,,85.0,0
FL,81,ATL,,7,934.0,111.0,0
UA,672,ORD,LGA,3,,132.0,
OO,6544,ASE,,2,682.0,45.0,0
,7278,MCI,,6,491.0,141.0,0
XE,,EWR,GSO,,990.0,104.0,
,36,ATL,MDW,,1100.0,115.0,1
CO,,,EWR,1,702.0,287.0,1
EV,,HSV,IAD,7,,,1
WN,3950,,SAT,1,,245.0,1
UA,517,,DEN,7,,233.0,0
,4944,,DTW,6,815.0,70.0,0
XE,2148,BNA,EWR,,,132.0,0
US,87,SEA,,1,695.0,,0
US,,,CLT,6,455.0,,1
FL,334,ATL,,4,856.0,126.0,
EV,,,,6,,,0
AA,,DFW,,7,565.0,,
,2730,IAH,,7,,,0
OO,6717,DEN,,,,135.0,0
,2226,FLL,ATL,,605.0,,0
,,,MSP,1,1185.0,,
,,EUG,DEN,4,879.0,145.0,1
,3,,,4,360.0,,0
OO,6680,DEN,ASE,,,,0
OO,6501,DEN,LIT,4,960.0,,1
WN,,,,4,735.0,,1
XE,2611,CLE,,,,,1
,683,,ICT,3,,148.0,
,1799,ATL,PVD,5,,150.0,
F9,652,DEN,MDW,,1140.0,,0
XE,2843,DCA,CLE,5,880.0,70.0,0
,,MCO,,,970.0,133.0,
US,,PHX,PDX,7,675.0,169.0,0
F9,214,DEN,AUS,2,1190.0,122.0,1
WN,729,LAS,RNO,,445.0,75.0,0
DL,1972,TPA,,3,330.0,85.0,0
AA,,,DFW,,360.0,,
WN,128,DEN,LAS,7,,,1
,431,,CLT,5,970.0,,0
WN,2240,LAS,TUS,5,840.0,,1
,,DAL,STL,,1105.0,100.0,1
US,1882,CLT,RIC,6,1345.0,,
,,FLL,ATL,1,545.0,115.0,
,7798,,COD,3,1304.0,,0
MQ,2710,XNA,DFW,6,,,
,,EWR,MCI,3,,199.0,1
,,,,7,,75.0,1
MQ,,LGA,RDU,,,,1
WN,,MCI,MDW,,930.0,80.0,1
OO,,,SAN,2,,45.0,0
FL,520,TPA,BWI,,,130.0,1
US,1470,PHL,SYR,5,,64.0,
AS,882,KOA,,,565.0,337.0,0
US,,MCO,DCA,,,123.0,1
XE,,EWR,OMA,4,,195.0,
UA,270,,DEN,4,,,
CO,1834,EWR,SEA,1,1210.0,378.0,0
WN,,,,,815.0,340.0,
,2807,ONT,LAS,,,60.0,
WN,1279,,HOU,7,1125.0,,
,1754,LAX,ATL,2,695.0,250.0,0
CO,476,SJU,,3,,256.0,
EV,,ATL,SAV,1,,,0
OO,4782,SFO,,5,1220.0,90.0,
OO,6250,PDX,RDM,,,,0
9E,,ORF,DTW,3,1115.0,125.0,1
,,,LAS,2,1195.0,64.0,0
,3006,IAH,IAD,1,440.0,169.0,1
MQ,3661,MIA,IND,7,,,1
AA,,,ATL,,,,0
WN,3584,,MDW,6,1210.0,135.0,0
MQ,2868,MLI,,,,,1
XE,2354,,SDF,,510.0,133.0,1
WN,895,BNA,DEN,,1070.0,185.0,1
UA,318,SFO,DEN,4,955.0,151.0,1
CO,166,SEA,,,495.0,247.0,0
UA,68,,LAX,3,1299.0,327.0,0
OO,,IND,ORD,1,1150.0,75.0,1
EV,5334,ABY,ATL,4,,,0
,595,OGG,HNL,2,1275.0,33.0,0
,723,DFW,DEN,1,931.0,127.0,
,1171,PIT,,6,1046.0,127.0,0
WN,3023,,MSY,5,495.0,105.0,0
9E,3980,,MSN,,1145.0,,1
OO,,DEN,GEG,1,,,
WN,2461,,DAL,3,830.0,65.0,
CO,,AUS,,5,660.0,57.0,
WN,704,RNO,BOI,2,500.0,,0
OO,,,ORD,2,493.0,188.0,1
,1873,,MIA,7,1220.0,65.0,1
,2866,,,1,,172.0,
MQ,,TUL,ORD,4,,,1
OH,,HTS,CVG,,465.0,54.0,0
9E,4274,AMA,MEM,6,355.0,,
AA,1558,DFW,TUL,,,60.0,1
MQ,3639,,CLT,1,1290.0,125.0,
WN,1693,MCI,DAL,1,955.0,90.0,
,,ATL,MSY,3,970.0,99.0,1
DL,2425,BWI,,3,1050.0,129.0,0
XE,,,IAH,,,170.0,
OO,6501,DEN,,4,960.0,,1
,,ATL,SAV,3,993.0,69.0,
,6299,MKG,ORD,7,365.0,53.0,0
WN,1106,,OAK,4,,,0
OO,6923,SFO,ACV,4,1140.0,79.0,0
,,HNL,LIH,7,535.0,,0
CO,,,SAN,6,550.0,212.0,1
,2386,IAH,GSO,5,610.0,,
,2794,,OAK,1,635.0,255.0,1
,6706,,DTW,5,751.0,,1
B6,,DCA,,,,83.0,0
OH,6573,CVG,ORD,,980.0,82.0,0
,2533,BOS,MCO,4,,,1
,2518,,ATL,2,990.0,,0
WN,35,HOU,MSY,7,,65.0,
,,,ANC,6,813.0,47.0,
MQ,3704,,ORD,,,175.0,1
B6,,RDU,BOS,4,535.0,,0
WN,,FLL,PHL,3,710.0,175.0,1
UA,,,,3,,125.0,0
WN,571,DEN,MDW,6,910.0,135.0,1
EV,5326,TRI,ATL,7,1002.0,67.0,1
,,ATL,CLE,2,1055.0,115.0,1
9E,4305,TYS,,,340.0,67.0,1
DL,1675,,PHX,5,562.0,,
,1065,BNA,DEN,,,180.0,
UA,134,,ORD,6,518.0,263.0,
WN,1566,DAL,MCI,,,,1
EV,5215,LWB,ATL,3,761.0,,
,2182,DCA,LGA,,1080.0,,0
XE,2724,IAH,GRK,5,,60.0,1
MQ,2843,TXK,,6,655.0,60.0,0
,1110,,BDL,4,,,1
MQ,,,MOB,1,,95.0,
WN,2885,,PDX,7,870.0,90.0,0
AA,,OMA,DFW,6,935.0,115.0,0
AA,,DFW,,,1175.0,95.0,
,,FLL,,,,,1
,945,PHL,,1,675.0,80.0,0
WN,2819,,FLL,6,450.0,,0
EV,4950,,ATL,2,608.0,82.0,
WN,1815,,JAN,7,1165.0,70.0,0
EV,,BTV,IAD,1,336.0,,0
EV,,ECP,,3,330.0,69.0,0
OO,6819,PDX,SFO,4,,103.0,1
AA,354,ORD,,,1055.0,125.0,
XE,,CLE,ORD,3,635.0,,
,155,SFO,,7,1150.0,85.0,1
DL,2695,DCA,,,940.0,159.0,
US,948,,CLE,,,,1
YV,7290,IAD,ORF,7,1055.0,,0
UA,605,DCA,ORD,,465.0,132.0,1
,964,ATL,ACY,,923.0,,1
XE,,IAH,SDF,4,1000.0,125.0,0
OO,3116,MKE,CAK,,945.0,,1
DL,1616,DEN,ATL,4,440.0,168.0,0
,,DTW,,,,85.0,
FL,,MKE,MSY,2,840.0,,0
,1433,,MSY,5,,130.0,0
,1458,,JFK,2,,114.0,0
,,ORD,,2,985.0,,0
DL,2241,BOI,SLC,,794.0,67.0,0
UA,,PVD,ORD,4,,164.0,1
CO,1527,,IAH,6,895.0,,1
OH,6334,RDU,JFK,6,,116.0,
CO,733,LGA,,,,240.0,0
AA,1034,DEN,DFW,4,640.0,120.0,
CO,1,IAH,,2,565.0,505.0,0
,2383,ATL,JAX,1,730.0,70.0,1
OO,,,SFO,4,,105.0,
FL,,ATL,LGA,4,1101.0,128.0,0
,795,,HOU,2,1075.0,80.0,1
,519,DEN,,3,375.0,129.0,0
US,938,RSW,CLT,,,111.0,1
AA,,FLL,DFW,,950.0,195.0,0
,3067,STL,MKE,4,745.0,77.0,1
WN,823,,MDW,5,1010.0,170.0,1
MQ,4605,RDU,LGA,7,980.0,95.0,0
9E,3722,PWM,DTW,7,742.0,138.0,1
,1596,PHL,,,965.0,80.0,0
,2412,IAH,OKC,1,1175.0,88.0,0
FL,,MDW,ATL,,,,0
WN,,,STL,5,855.0,115.0,1
US,1024,SJU,,,940.0,,
US,454,BWI,,,1020.0,311.0,0
,,DEN,ATL,2,800.0,,1
MQ,,MAF,DFW,3,,,0
,874,ORD,BOS,,1150.0,,
9E,,ICT,MEM,1,720.0,92.0,0
WN,,SMF,,4,865.0,85.0,
,130,DEN,DFW,4,635.0,112.0,0
US,,,SNA,6,,80.0,0
,5314,,ATL,3,464.0,130.0,
AA,133,,LAX,4,930.0,390.0,1
DL,1441,ATL,LIT,4,1227.0,,1
,,OMA,DTW,7,810.0,119.0,0
WN,42,DAL,LBB,3,1070.0,65.0,1
,1096,SMF,LAS,5,770.0,80.0,1
EV,5226,AVL,ATL,5,,63.0,1
,374,,,7,410.0,,0
,,SGU,SLC,6,1078.0,77.0,0
AA,,,DFW,1,360.0,,1
MQ,,MSP,ORD,3,1175.0,90.0,
XE,5971,GRB,ORD,,555.0,60.0,0
9E,3804,CLE,ATL,3,335.0,128.0,0
XE,2464,RIC,EWR,1,,75.0,
WN,,,MDW,,,,0
AS,474,SEA,,,1055.0,157.0,0
WN,2361,HOU,PHX,3,,,1
9E,4373,,DTW,1,380.0,102.0,
OO,4553,LAX,LAS,5,375.0,70.0,0
DL,2685,LGA,MCO,3,415.0,170.0,0
,,DTW,IAD,,1160.0,,0
CO,438,EWR,MIA,5,760.0,210.0,
9E,3889,ORD,ATL,2,619.0,,
MQ,3711,,LIT,,910.0,,1
,2779,LGA,FLL,3,1135.0,,
,728,LAS,DFW,3,425.0,160.0,1
WN,1489,MSY,DAL,4,1100.0,90.0,1
UA,,ORD,BOS,,,136.0,0
DL,,,,6,,219.0,0
WN,,LAS,STL,,795.0,190.0,
,4334,JAX,,5,960.0,,0
WN,,,BHM,,620.0,135.0,1
OH,6425,MSP,,1,910.0,114.0,0
WN,2640,,,,600.0,,0
UA,,,SFO,1,,,0
WN,1328,,SMF,7,1235.0,80.0,1
OO,,DEN,SLC,,,,0
B6,,SEA,LGB,7,638.0,154.0,
WN,,,BWI,,,95.0,
OO,6479,LIT,DEN,4,930.0,145.0,
WN,,,TUL,3,1255.0,55.0,
WN,903,,LAS,4,1230.0,,1
FL,,MCI,,1,818.0,158.0,0
UA,794,ORD,BUF,,,95.0,1
UA,962,CMH,DEN,5,,,0
CO,767,,SEA,3,900.0,281.0,
US,1270,,BOS,4,615.0,88.0,
YV,,ROC,IAD,7,870.0,78.0,
MQ,3374,CVG,DFW,4,795.0,165.0,0
,,JFK,ROC,1,1350.0,81.0,1
EV,,BTR,ATL,6,960.0,92.0,0
UA,622,ORD,DCA,4,1025.0,111.0,0
OH,6266,,DTW,3,573.0,107.0,
WN,1339,MCO,,,520.0,185.0,
,,MEM,ATL,2,940.0,84.0,1
WN,644,,BUR,7,895.0,70.0,1
,1447,,ATL,,,,
,,CWA,ORD,3,408.0,,
,,SMF,ONT,6,1100.0,75.0,
MQ,2863,,,7,740.0,130.0,1
DL,1721,,TPA,,1190.0,,
UA,405,LGA,,1,626.0,272.0,1
US,238,PHX,,5,55.0,225.0,1
,1134,ROC,,7,,184.0,1
WN,973,,,,635.0,145.0,1
,,,,3,,80.0,1
,,PNS,IAH,,900.0,102.0,0
WN,,,PHX,4,,150.0,0
OO,6965,,,,,109.0,
WN,,,TPA,5,,,1
,,,SEA,7,895.0,187.0,
9E,4314,DTW,,3,,114.0,0
WN,,,PHL,2,,155.0,
,1792,,ATL,7,,238.0,
EV,4959,ATL,,7,1236.0,,1
,,ATL,MSY,3,807.0,89.0,1
,,DCA,,,,136.0,0
US,948,CLT,,3,1189.0,97.0,0
OH,6310,BNA,CVG,,,,0
,7794,SLC,,7,1005.0,71.0,
FL,,MKE,,7,,,
OO,4801,IAH,SLC,3,850.0,195.0,
WN,982,PVD,PHL,4,,85.0,0
WN,20,BWI,HOU,5,,,0
MQ,3301,DFW,SGF,6,1350.0,,0
FL,727,,DFW,3,540.0,,0
EV,5345,ATL,,,1305.0,113.0,0
UA,,SFO,IAD,4,,304.0,0
US,1856,,CLT,7,525.0,96.0,0
,1208,SAN,PHX,7,,76.0,
WN,3753,SFO,LAS,7,1265.0,80.0,
US,,,MCO,2,,246.0,1
,,EUG,PDX,7,974.0,,1
EV,5187,LEX,ATL,,616.0,,0
AS,191,ANC,FAI,3,,56.0,0
US,1416,LAX,,2,835.0,298.0,
FL,,,,6,,105.0,1
DL,2940,OAK,SLC,1,,108.0,0
,,,GJT,4,,125.0,
,1124,CLT,LGA,4,1205.0,,0
DL,,,DTW,,987.0,128.0,0
AA,,,DFW,5,420.0,65.0,0
DL,,ATL,PIT,5,,109.0,0
MQ,4253,ORD,ICT,2,480.0,115.0,
,447,CLT,DFW,,1045.0,185.0,1
WN,793,MDW,JAN,2,660.0,120.0,1
AA,161,LAX,,,1035.0,360.0,0
WN,134,DEN,,3,630.0,,1
WN,156,,,3,555.0,,
MQ,3745,ORD,PHL,,980.0,,0
WN,844,,BNA,,670.0,95.0,
AA,,LGA,,,,195.0,1
B6,1292,PIT,BOS,2,,93.0,
9E,,,,5,,108.0,0
AA,1017,STL,DFW,,,,1
9E,,,,,875.0,80.0,0
,,FLL,IAH,1,720.0,171.0,0
,2576,IAH,BHM,7,660.0,,
WN,1995,,LIT,7,620.0,60.0,0
,6945,DEN,OKC,,847.0,89.0,
B6,,BOS,,6,,204.0,1
WN,139,,BWI,4,710.0,,1
,,DEN,OAK,,515.0,175.0,0
WN,,MSY,,,995.0,100.0,1
WN,1745,SEA,DEN,,,160.0,1
AA,1965,,SFO,2,535.0,240.0,
MQ,3045,DEN,,,,150.0,0
AA,,DFW,TPA,7,,135.0,1
,6763,JFK,SYR,5,910.0,86.0,0
,4014,ORD,,6,610.0,60.0,0
F9,674,DEN,,,,,1
OO,6554,DEN,FAR,3,797.0,,1
YV,1023,,,7,,40.0,0
AA,1789,,DFW,4,400.0,85.0,
MQ,,DFW,BTR,7,1080.0,,0
DL,2438,ATL,,,680.0,,
DL,,BOS,ATL,5,1035.0,183.0,1
DL,1661,,ATL,,,136.0,
US,482,DEN,PHL,,675.0,208.0,
,4111,BGM,DTW,6,,,1
9E,3880,,LEX,1,525.0,,
EV,5281,ATL,CAK,,1220.0,101.0,
,930,CLT,,7,1186.0,,
AS,,ANC,SEA,1,1140.0,202.0,0
US,,BOS,,5,,,0
MQ,2816,MHK,DFW,,460.0,,0
,6229,SFO,AUS,2,,203.0,
US,1766,CLT,DCA,3,,80.0,
,4747,LAX,LAS,3,877.0,69.0,0
,1006,,,,,,1
,,SJC,,,,75.0,1
,5498,GSO,ATL,5,,104.0,0
MQ,,MDT,ORD,2,995.0,135.0,1
B6,1323,BOS,BWI,6,600.0,91.0,1
,987,SNA,OAK,4,,85.0,0
WN,,MCO,IND,5,650.0,150.0,0
,802,PHX,,4,1120.0,185.0,0
WN,,,SJC,,,80.0,0
US,,TPA,,5,,97.0,
UA,,SFO,LAX,5,,87.0,
US,,,BOS,6,1230.0,73.0,
DL,41,MSP,LAX,,,,1
9E,4009,IND,MSP,7,410.0,118.0,1
,,ATL,MCO,2,,,1
AA,4,,,5,745.0,335.0,0
XE,2638,,MHT,,645.0,79.0,0
,309,MCO,,7,670.0,,
,4091,ORD,,,535.0,90.0,1
MQ,3823,MSP,,5,,95.0,
MQ,4074,XNA,ORD,3,940.0,105.0,0
,,LGA,ATL,3,,163.0,0
,,HOU,OKC,6,475.0,80.0,1
,364,,,4,615.0,105.0,1
FL,,,BWI,5,,109.0,0
MQ,3661,,IND,,,165.0,1
,6268,DEN,TUS,7,676.0,,1
9E,3763,FSM,MEM,1,697.0,67.0,0
,1753,,,,1070.0,99.0,
DL,2583,,SLC,2,500.0,,1
HA,168,HNL,KOA,5,625.0,,
,2993,,BWI,1,780.0,,1
DL,,ATL,,2,,327.0,0
EV,5232,ATL,CHA,7,1221.0,46.0,0
FL,398,SEA,ATL,5,1439.0,305.0,
AS,,FAI,,6,,63.0,
WN,,LAS,,1,,,1
,,LEX,,7,,160.0,0
MQ,3943,ORD,TUL,4,520.0,120.0,
,5326,ATL,TRI,5,915.0,,1
FL,58,LAX,,3,,250.0,1
MQ,3605,MIA,CVG,4,,160.0,0
9E,3672,LBB,,7,,117.0,0
EV,5341,ATL,HSV,6,980.0,63.0,1
B6,241,,LGB,4,1215.0,,
HA,28,,SEA,,,340.0,1
F9,652,SFO,DEN,5,,,0
DL,1315,DTW,,1,,242.0,1
OO,6366,PSP,,6,996.0,91.0,0
OO,6689,ORD,,,435.0,,0
UA,575,,ORD,,,,1
,2505,CLE,RIC,,925.0,74.0,
DL,,PHX,ATL,3,998.0,,0
,,FLL,,,,,0
XE,2228,MEM,EWR,3,,,
WN,1939,SMF,LAS,6,,80.0,1
,,,,6,615.0,82.0,
US,1614,MCO,PHL,,615.0,139.0,1
F9,411,,LAX,7,1090.0,147.0,0
FL,319,,,2,,76.0,1
MQ,4157,BNA,ORD,,1120.0,105.0,
YV,2680,,,1,981.0,,1
OO,6310,,PSP,5,,53.0,
9E,,,RST,4,860.0,50.0,
DL,,,,1,,121.0,1
,2674,LAX,,,,64.0,
,2016,BWI,,4,1190.0,65.0,1
,2751,PHX,,,1258.0,101.0,0
,,RSW,PHL,2,950.0,165.0,0
,2157,,SEA,6,686.0,131.0,
DL,,BOS,,4,,183.0,
EV,5487,,ATL,,,69.0,0
XE,2266,,DTW,,603.0,122.0,0
FL,,MCO,PHF,6,948.0,102.0,0
FL,842,MCO,ATL,5,,92.0,0
FL,815,,BOS,,,75.0,0
,,SBP,,3,413.0,65.0,0
AA,334,DFW,BNA,5,440.0,,0
,,,,,925.0,268.0,
,,,,6,946.0,149.0,
US,,PHL,LGA,2,,50.0,0
,4277,,,,,120.0,
B6,616,JAX,JFK,7,1029.0,,
WN,601,SJC,LAX,,725.0,70.0,1
MQ,,,IND,4,,,
OH,6367,CHS,ATL,,,85.0,
,1952,,DEN,7,690.0,135.0,
,1662,LAS,,,970.0,210.0,0
EV,,ATL,TRI,7,665.0,73.0,1
,2597,IAH,SAV,3,1180.0,126.0,0
FL,448,,MSY,1,530.0,99.0,
,,,,,,76.0,0
,3031,LAX,SAN,3,870.0,,0
,,LAS,DEN,4,630.0,110.0,1
CO,1535,EWR,,,405.0,,0
DL,1174,ATL,BUF,7,645.0,132.0,0
,469,,MIA,1,710.0,,1
WN,106,DAL,MSY,4,1175.0,80.0,0
9E,4159,CID,DTW,7,1055.0,100.0,0
,6479,LIT,DEN,4,,145.0,
XE,2509,,IAH,,880.0,118.0,0
WN,,LGA,,5,,160.0,
,518,DEN,MCI,1,870.0,,
,,HSV,ORD,4,918.0,119.0,
WN,313,,,3,990.0,75.0,
,610,BWI,ABQ,,945.0,280.0,1
,4181,ORD,GRB,1,705.0,55.0,0
,1690,RSW,CLT,5,1035.0,114.0,0
WN,383,PVD,BWI,,625.0,80.0,1
AA,,HDN,,6,835.0,130.0,0
WN,,,,1,880.0,120.0,1
YV,2775,,MRY,3,,114.0,0
,1345,ABQ,,1,735.0,,1
,,,ABQ,4,,,
DL,,,,4,365.0,141.0,0
FL,660,,ATL,,431.0,,0
XE,5900,TYS,,,444.0,115.0,
XE,2105,GRR,CLE,4,1003.0,,1
,2956,IAH,AUS,2,1380.0,45.0,
,4495,MSP,,,1035.0,75.0,1
,2748,,MOB,5,,,
,3620,ORF,,4,445.0,155.0,
XE,,PNS,IAH,2,723.0,106.0,0
,1648,,,,,85.0,1
DL,1123,SLC,DTW,,520.0,218.0,1
,1037,,HNL,3,755.0,,0
9E,,MDT,DTW,5,990.0,104.0,0
,939,RDU,MIA,6,,,1
YV,,PHX,,,,,0
DL,1188,,ATL,,,137.0,0
CO,1603,,AUS,,1075.0,48.0,0
,898,SLC,PHX,,665.0,,1
WN,859,PHL,MDW,,575.0,145.0,1
US,1490,CLT,LGA,5,,109.0,1
,1558,MDW,OMA,,650.0,85.0,
MQ,,ORD,OKC,2,520.0,,1
,6719,MSO,,4,,119.0,1
,3785,,,1,1240.0,,
9E,,,MEM,7,390.0,71.0,
,3672,LBB,MEM,1,705.0,,
US,1626,CLT,LGA,5,,100.0,0
,,,PHL,7,475.0,148.0,0
MQ,2973,DFW,MOB,7,1105.0,90.0,0
MQ,2713,DFW,JAN,2,645.0,75.0,0
,1467,,ATL,5,700.0,,0
UA,720,,DEN,2,902.0,,
WN,3673,SJC,LAS,,1285.0,75.0,1
,,,,5,540.0,,0
AA,1588,SAT,DFW,,890.0,,
US,1785,BNA,,,475.0,75.0,
UA,286,IAH,IAD,4,1020.0,178.0,0
,3984,DTW,,7,520.0,89.0,0
WN,498,PHL,,4,920.0,,
WN,3747,,BWI,,470.0,70.0,
