V1,V2,V3,V4,V5,V6,V7,Class
,12.0,18.0,4.0,27.0,,29.55,1
,0.0,,,11.0,11.0,28.46,1
1.0,8.0,0.0,,,,,1
2.0,,,,9.0,,28.46,
,0.0,11.0,,,,28.46,
,,9.0,,22.0,,,1
5.0,,27.0,9.0,,,,
,0.0,,,,19.0,49.74,1
1.0,,,,,20.1,49.74,1
,0.0,19.0,25.0,,,,
,0.0,,,40.0,21.0,,1
4.0,,,23.0,,23.09,,
5.0,,,6.0,,6.32,49.74,
6.0,,,23.0,,17.03,,1
,0.0,,0.0,,19.0,,1
1.0,,,8.0,7.0,7.0,38.83,1
2.0,0.0,19.0,,,14.42,,1
,0.0,19.0,2.0,,18.11,38.83,1
4.0,,7.0,,,23.09,,1
,,,2.0,38.0,,,1
,,38.0,,30.0,,38.83,1
,0.0,,,12.0,,40.5,1
,11.0,0.0,12.0,,17.03,,
2.0,,,,,13.0,,
,,12.0,1.0,,,40.5,1
4.0,,,,38.0,,40.5,
,,34.0,14.0,38.0,13.6,40.5,1
0.0,0.0,0.0,,20.0,,49.66,
1.0,,0.0,,14.0,,49.66,1
2.0,0.0,20.0,21.0,14.0,,49.66,
,,,20.0,45.0,32.02,,
,,,,,31.02,49.66,
0.0,0.0,0.0,,,8.0,35.9,1
1.0,6.0,,,11.0,11.18,,1
,0.0,,8.0,11.0,8.54,35.9,1
3.0,,,,,19.1,35.9,1
4.0,8.0,,8.0,,,,1
,,27.0,,,10.0,35.9,
,8.0,,8.0,29.0,6.0,,
,,0.0,0.0,13.0,13.0,,
,,0.0,,,11.18,33.96,1
,,13.0,,11.0,,,
,0.0,13.0,,33.0,20.02,,
,,11.0,,,,33.96,1
,1.0,33.0,,,14.76,33.96,
0.0,,,,,,46.62,1
1.0,17.0,0.0,,14.0,14.04,46.62,
,0.0,,18.0,14.0,,,
,,19.0,1.0,35.0,,,1
4.0,,,16.0,33.0,19.1,,1
,,35.0,,43.0,15.26,,1
,,43.0,16.0,33.0,,,
,0.0,0.0,,,25.0,48.38,1
1.0,,0.0,,26.0,,48.38,1
,,,,,14.04,48.38,
,0.0,,,46.0,21.02,48.38,
4.0,14.0,,,38.0,12.04,,1
,1.0,46.0,15.0,38.0,16.12,,1
,,0.0,0.0,,,,
1.0,,0.0,,,,,1
2.0,0.0,,19.0,11.0,19.03,,
,0.0,10.0,1.0,,14.04,36.36,
4.0,,11.0,18.0,,,36.36,
5.0,,24.0,,31.0,,36.36,
,,31.0,18.0,,16.64,36.36,1
,,0.0,,,,26.25,1
1.0,18.0,,,,11.05,26.25,
,,,,11.0,19.42,,
3.0,,7.0,,,9.0,26.25,1
4.0,,,,,,,
5.0,0.0,16.0,,17.0,,26.25,
0.0,0.0,,,,13.0,,1
1.0,,,,10.0,10.2,,
,0.0,13.0,15.0,,15.3,27.46,
3.0,0.0,13.0,3.0,23.0,,,
4.0,,,3.0,23.0,17.69,,
,0.0,,0.0,6.0,,32.02,1
1.0,19.0,,,10.0,,,
,0.0,6.0,,,,,
3.0,,6.0,1.0,,,32.02,
,20.0,10.0,18.0,,15.13,,1
5.0,1.0,,18.0,,17.46,,
,0.0,,0.0,,,35.38,
,,,24.0,12.0,,35.38,1
,,11.0,,12.0,,,1
3.0,,,2.0,23.0,12.17,35.38,
4.0,,12.0,24.0,26.0,,35.38,
5.0,,23.0,,26.0,,35.38,1
0.0,,0.0,,,,44.94,
,,,24.0,,20.1,,1
,,17.0,24.0,20.0,,44.94,
,0.0,17.0,1.0,38.0,21.02,,1
4.0,24.0,20.0,,,,,1
,,0.0,0.0,25.0,,49.24,1
1.0,21.0,0.0,22.0,,,49.24,1
,,,22.0,6.0,29.07,49.24,1
3.0,0.0,25.0,2.0,43.0,18.11,,1
4.0,,,24.0,13.0,7.28,49.24,
,2.0,43.0,,,37.2,,1
0.0,,,0.0,,,40.85,1
1.0,14.0,0.0,,17.0,17.0,40.85,
2.0,,13.0,14.0,17.0,,,1
,0.0,,2.0,35.0,,,
4.0,14.0,,15.0,,21.02,40.85,
,,,15.0,,13.34,,
,0.0,0.0,0.0,6.0,,,
,19.0,0.0,21.0,,,36.62,
2.0,,,,10.0,21.38,36.62,
,,,2.0,12.0,,,
4.0,21.0,,,,20.0,36.62,1
5.0,,,,,,36.62,1
0.0,0.0,,0.0,13.0,,,1
,7.0,,8.0,,15.03,30.08,
,,,8.0,15.0,8.25,,
,0.0,13.0,2.0,,16.12,30.08,1
4.0,,15.0,,29.0,15.23,30.08,1
,,0.0,,,,,1
,15.0,0.0,,,14.0,26.63,1
2.0,,,,14.0,,26.63,
,,,2.0,22.0,,,1
,15.0,14.0,,,,26.63,1
,,,0.0,14.0,,21.19,1
,6.0,0.0,7.0,12.0,12.04,,
2.0,,,7.0,,,21.19,
3.0,0.0,,5.0,20.0,7.81,21.19,1
,,12.0,5.0,,,21.19,1
0.0,,,,,,44.38,1
1.0,,0.0,,6.0,,,1
2.0,,25.0,,,24.84,44.38,1
3.0,0.0,,1.0,41.0,16.03,44.38,1
,16.0,,,,24.02,,
,1.0,41.0,17.0,,19.42,44.38,
0.0,0.0,0.0,,,7.0,39.05,1
1.0,,,,10.0,,39.05,
2.0,0.0,7.0,,,,,
,,,0.0,,,39.05,
,,10.0,,,14.04,39.05,1
,0.0,26.0,14.0,,14.56,,1
6.0,14.0,,,24.0,12.53,,1
,,0.0,0.0,22.0,,,1
,,,,,,,
2.0,,,,,23.09,,
3.0,,22.0,2.0,,,56.46,1
4.0,22.0,,,36.0,21.1,,
5.0,2.0,45.0,14.0,,13.89,56.46,
,,,20.0,,,,
0.0,,0.0,,,,,
,,,,24.0,24.02,,
2.0,,,,,,,
,0.0,19.0,,,12.0,,1
,,,,37.0,13.15,37.66,
,0.0,,5.0,37.0,7.81,,
0.0,,,0.0,,16.0,47.17,
1.0,,0.0,25.0,18.0,18.0,,1
,0.0,16.0,,,25.08,47.17,
3.0,,16.0,0.0,,17.0,,1
4.0,25.0,,25.0,,22.0,47.17,1
5.0,0.0,,,,1.0,,
6.0,1.0,,,,25.0,47.17,
,,,,10.0,10.0,33.62,1
1.0,,0.0,17.0,,14.04,33.62,
,,,17.0,,17.46,,1
,0.0,10.0,2.0,,,33.62,
,,,15.0,,14.14,33.62,1
5.0,,23.0,,,12.53,,
,13.0,,15.0,,,33.62,
,,,0.0,,,,1
,22.0,,24.0,,23.09,,
,0.0,21.0,,,,44.94,1
,,,14.0,38.0,,,1
,,,14.0,,,44.94,
,,,,,,38.08,1
,,0.0,9.0,17.0,17.0,38.08,1
,0.0,,,17.0,,38.08,
3.0,,17.0,5.0,37.0,20.62,,1
,,17.0,,37.0,20.4,38.08,1
0.0,,,0.0,,24.0,,
,,,,13.0,13.0,30.59,1
2.0,,,,,,,
,0.0,24.0,,,,,1
,,13.0,2.0,30.0,17.46,30.59,
,0.0,,0.0,12.0,,,1
,17.0,,18.0,,,,
,0.0,12.0,,12.0,,36.72,1
,0.0,,14.0,,,,
,18.0,,,32.0,20.4,,
,0.0,0.0,0.0,22.0,,52.33,
1.0,22.0,,23.0,12.0,12.04,,1
,,22.0,,12.0,25.08,,1
3.0,,22.0,14.0,47.0,28.65,52.33,
,23.0,,,,,52.33,
0.0,0.0,0.0,0.0,17.0,,,
,12.0,0.0,14.0,,21.1,29.53,1
,,17.0,14.0,,14.56,,
3.0,,,6.0,,,29.53,1
,14.0,21.0,6.0,26.0,9.43,29.53,
0.0,,,,,7.0,,
1.0,,,22.0,,,,
,0.0,,22.0,,,38.83,
,,,1.0,,25.02,38.83,
,22.0,7.0,,,,,1
5.0,1.0,32.0,22.0,31.0,21.02,38.83,1
,0.0,0.0,,,18.0,43.68,
,8.0,0.0,10.0,,,43.68,1
,,,,16.0,,43.68,
,,,2.0,,19.1,43.68,
4.0,,16.0,,24.0,,,1
5.0,2.0,37.0,10.0,,9.43,,
6.0,,,12.0,,,,
0.0,0.0,,,19.0,,,1
,19.0,,,15.0,15.03,53.85,1
,0.0,,,15.0,,,1
3.0,0.0,,,43.0,24.08,,1
,20.0,,,40.0,,53.85,1
,2.0,43.0,,,,53.85,
,,,,,12.81,,
0.0,0.0,,,,25.0,,1
,,,,,,,1
,0.0,25.0,10.0,11.0,,55.9,
,0.0,25.0,2.0,,,55.9,1
4.0,10.0,11.0,,32.0,21.0,55.9,1
5.0,2.0,46.0,4.0,,9.22,55.9,1
,,55.0,10.0,32.0,,,1
0.0,0.0,,0.0,,,38.95,1
,,,19.0,18.0,18.03,38.95,1
,,,,,,,
3.0,0.0,,1.0,27.0,,,1
,,,19.0,,,38.95,
5.0,1.0,27.0,19.0,34.0,,,
0.0,,,,,11.0,,1
1.0,,,19.0,13.0,,,
,0.0,,19.0,13.0,,,
3.0,,11.0,1.0,18.0,7.07,32.2,
,19.0,,17.0,26.0,,,
5.0,1.0,,9.0,,,,
6.0,,,17.0,26.0,8.25,32.2,1
0.0,0.0,0.0,0.0,11.0,11.0,,1
1.0,21.0,0.0,22.0,,15.03,,
,,,,15.0,,40.22,1
,,11.0,,29.0,18.03,,1
,,15.0,23.0,,,,1
,,29.0,,33.0,,40.22,1
0.0,0.0,,0.0,18.0,18.0,,1
1.0,11.0,,12.0,7.0,,44.64,1
2.0,,,,,,44.64,
3.0,0.0,18.0,2.0,,,44.64,
,12.0,7.0,,21.0,,44.64,1
,,38.0,,43.0,,,
6.0,5.0,43.0,,21.0,23.09,,1
0.0,0.0,0.0,0.0,9.0,,30.46,1
,,,,7.0,7.0,30.46,
2.0,,9.0,10.0,,10.2,30.46,
,,9.0,2.0,23.0,,,
4.0,,,,,21.1,,
5.0,2.0,,,,,,1
,,28.0,12.0,,6.0,30.46,
0.0,,0.0,,8.0,8.0,40.82,1
,20.0,,,12.0,12.04,40.82,
,0.0,8.0,21.0,12.0,,40.82,
3.0,,,,17.0,9.06,,
4.0,21.0,12.0,21.0,35.0,23.0,,1
5.0,1.0,17.0,21.0,,,40.82,1
,,,0.0,14.0,14.0,39.81,1
1.0,,,8.0,,,,
2.0,0.0,,,,,,1
3.0,,14.0,,,25.18,39.81,
,,14.0,,39.0,,39.81,
0.0,0.0,,0.0,21.0,,,1
1.0,,0.0,21.0,,25.02,53.31,
2.0,,21.0,21.0,,,53.31,
3.0,0.0,,,31.0,10.2,,1
4.0,21.0,25.0,,,,,
5.0,,31.0,,,26.17,53.31,1
,0.0,,,20.0,20.0,45.19,1
1.0,16.0,0.0,,16.0,,45.19,1
2.0,0.0,20.0,18.0,,,45.19,1
3.0,0.0,,1.0,34.0,14.04,45.19,
,18.0,16.0,19.0,,25.02,,
5.0,,,,41.0,,45.19,1
0.0,,0.0,0.0,17.0,17.0,38.08,
1.0,,0.0,15.0,17.0,,,
2.0,,17.0,,17.0,15.0,,1
3.0,0.0,17.0,,,11.05,,1
,,17.0,,24.0,,38.08,1
5.0,1.0,,3.0,35.0,7.28,,1
6.0,,,,24.0,16.28,,
0.0,0.0,,0.0,,24.0,33.24,
1.0,,,,,8.0,33.24,
2.0,,24.0,,,,,1
3.0,,,,,,,
,,,6.0,31.0,23.77,,
0.0,0.0,,,10.0,,37.22,1
,18.0,0.0,,,8.06,,1
2.0,0.0,10.0,19.0,,19.1,,1
3.0,,10.0,10.0,32.0,,37.22,1
4.0,19.0,,,,,,1
,,0.0,0.0,24.0,24.0,,1
1.0,,0.0,21.0,26.0,26.02,,
,0.0,,21.0,26.0,,,1
3.0,0.0,,1.0,,17.03,,
4.0,,,19.0,40.0,,,
,,,4.0,48.0,7.62,52.39,
,4.0,,,40.0,,52.39,
,0.0,,0.0,,16.0,39.2,
1.0,,0.0,,,21.1,39.2,
,,16.0,23.0,,,39.2,1
3.0,,,,24.0,,,
,23.0,21.0,24.0,31.0,10.05,,
5.0,1.0,,24.0,24.0,23.0,,1
,24.0,24.0,,31.0,7.0,39.2,
,0.0,0.0,0.0,14.0,14.0,33.24,1
1.0,,0.0,8.0,,,,1
2.0,0.0,,,18.0,8.94,33.24,
3.0,,,2.0,,,,1
,,,,32.0,,33.24,1
,2.0,,9.0,,7.07,,1
0.0,0.0,0.0,0.0,24.0,24.0,,1
1.0,22.0,,,,,47.01,1
2.0,,24.0,23.0,27.0,,47.01,
3.0,,,,,9.0,47.01,
4.0,23.0,27.0,21.0,41.0,14.14,47.01,1
,0.0,,,41.0,22.47,,
,,,0.0,14.0,,,
,,,,,16.0,,
2.0,0.0,14.0,,,,38.08,1
,0.0,14.0,,,21.1,,1
4.0,15.0,,2.0,,,38.08,
,0.0,,,14.0,,,
,8.0,0.0,9.0,18.0,,,
2.0,,14.0,9.0,,9.85,34.21,
3.0,0.0,14.0,6.0,,19.92,,1
,,,,,,34.21,1
,,,0.0,12.0,12.0,,
,14.0,,14.0,,12.0,,1
2.0,,12.0,,,,,1
3.0,0.0,12.0,8.0,27.0,17.0,,
,,,8.0,27.0,,,
0.0,0.0,0.0,,,22.0,42.06,
,18.0,0.0,20.0,14.0,,,1
2.0,,22.0,,14.0,21.54,,
3.0,0.0,,,29.0,,,1
4.0,,,19.0,,,42.06,1
,,,4.0,,,42.06,1
6.0,4.0,37.0,19.0,31.0,16.16,42.06,1
0.0,,0.0,,,21.0,47.07,
,10.0,,10.0,21.0,,47.07,
,0.0,,,21.0,,47.07,
3.0,,21.0,,,,,1
,10.0,21.0,,46.0,,,
,,,,21.0,21.0,45.19,1
,16.0,,17.0,25.0,25.02,,
2.0,,21.0,,,17.46,,
3.0,,,,27.0,6.32,45.19,
4.0,17.0,25.0,19.0,41.0,,45.19,1
,,27.0,19.0,,,,1
0.0,,0.0,0.0,,17.0,42.8,1
,24.0,0.0,26.0,,18.11,,
2.0,0.0,,,18.0,26.02,,
,,17.0,,34.0,,42.8,1
,26.0,,26.0,30.0,,,
5.0,,,26.0,30.0,26.31,,1
,,,0.0,,,,1
,25.0,,27.0,,13.15,,1
2.0,0.0,10.0,,13.0,27.17,36.12,1
3.0,0.0,,0.0,,,36.12,1
4.0,27.0,13.0,,,,36.12,
5.0,0.0,,,,,,1
,,0.0,,,20.0,41.59,
,6.0,,7.0,,,41.59,
2.0,,,7.0,22.0,,41.59,1
3.0,,20.0,,,,41.59,1
4.0,7.0,,,,19.42,,1
0.0,0.0,,0.0,22.0,,,1
1.0,,0.0,,,,,
,0.0,,,,,60.84,
3.0,,,,46.0,24.08,60.84,1
4.0,25.0,,26.0,29.0,,,1
5.0,,,13.0,55.0,,,1
,,55.0,26.0,,29.07,,1
0.0,,0.0,,18.0,,32.89,
,,,,12.0,12.17,,1
2.0,,,,,,32.89,
,,,,,14.76,,
4.0,11.0,,7.0,31.0,19.42,32.89,1
,0.0,,0.0,,7.0,,
1.0,16.0,0.0,,11.0,11.18,,
,,7.0,18.0,11.0,,,1
,0.0,,2.0,22.0,,,
,,11.0,,30.0,,34.99,1
5.0,,,,29.0,16.55,34.99,
6.0,17.0,29.0,,,,,
,0.0,,0.0,,,33.53,
1.0,9.0,,,,13.04,33.53,1
,0.0,,,13.0,,33.53,1
,,,,25.0,6.0,,
,,,,32.0,,,1
5.0,0.0,,10.0,,12.21,,
,0.0,0.0,,19.0,19.0,,1
,,0.0,,12.0,12.0,,
,,,17.0,12.0,,,
3.0,,19.0,,,,,
4.0,,,,18.0,,,
5.0,,,17.0,,,42.54,1
,0.0,0.0,0.0,,,40.46,
,25.0,,,11.0,11.05,,
,0.0,11.0,26.0,11.0,26.0,,
,,11.0,,,24.41,40.46,1
4.0,26.0,,,31.0,,,
0.0,0.0,0.0,,,13.0,35.9,
1.0,8.0,0.0,8.0,10.0,10.0,35.9,1
,0.0,13.0,,10.0,8.54,35.9,
,,,2.0,35.0,,35.9,
,8.0,,,24.0,,,
,,35.0,7.0,,,35.9,1
,0.0,,0.0,,24.0,,1
1.0,18.0,0.0,,,,58.82,
2.0,,,,,18.0,,1
,0.0,,2.0,48.0,24.08,58.82,
,,,,39.0,15.13,,1
,,,8.0,,,,
,,,,39.0,,58.82,
,,,0.0,15.0,15.0,25.5,
,,0.0,11.0,,,,1
2.0,,15.0,11.0,18.0,,,
,0.0,15.0,,,8.06,25.5,1
4.0,11.0,,1.0,,11.18,,
,,,,,13.0,25.24,1
1.0,14.0,,14.0,12.0,12.0,,
,0.0,13.0,14.0,12.0,14.04,25.24,
3.0,0.0,,0.0,21.0,,25.24,
,14.0,12.0,0.0,21.0,,25.24,
0.0,,0.0,0.0,,,,
1.0,8.0,0.0,10.0,15.0,,,
,0.0,16.0,,15.0,,,
3.0,,16.0,,31.0,,32.57,1
4.0,10.0,15.0,,26.0,11.05,,1
5.0,1.0,31.0,,,9.43,,1
,,0.0,0.0,10.0,10.0,45.79,
,,0.0,,,14.04,,
2.0,0.0,,24.0,,24.33,45.79,
,,10.0,,26.0,,,1
,,,23.0,,,45.79,1
5.0,,,23.0,,26.42,,1
,0.0,,0.0,24.0,24.0,52.39,1
,,0.0,20.0,16.0,,52.39,1
2.0,,,,16.0,21.54,,1
3.0,0.0,24.0,,48.0,,,1
4.0,,,,,24.02,,
,1.0,,,,,,1
,,,0.0,20.0,,,
1.0,13.0,,15.0,,,40.85,
2.0,0.0,20.0,15.0,,17.0,,
,0.0,,8.0,,19.7,,
4.0,15.0,,,,26.93,,
,0.0,0.0,,,7.0,38.6,1
1.0,22.0,,,10.0,10.05,38.6,1
,,7.0,23.0,10.0,23.19,38.6,
,0.0,,3.0,31.0,24.19,,
,23.0,10.0,3.0,31.0,29.0,,1
0.0,0.0,,0.0,,,,
,,0.0,,,6.32,26.83,
,0.0,,12.0,,13.42,,
3.0,0.0,,,19.0,7.28,,1
4.0,,6.0,12.0,,,26.83,
5.0,2.0,,3.0,,,,1
6.0,,,12.0,17.0,,26.83,
0.0,,,,,,35.38,1
,,0.0,22.0,,,35.38,1
,0.0,11.0,22.0,14.0,22.2,35.38,1
3.0,,,0.0,26.0,,,
4.0,22.0,14.0,24.0,,7.28,35.38,1
5.0,0.0,26.0,,21.0,24.52,,
,0.0,,0.0,,13.0,,1
,,,,,,,1
,,,13.0,,13.15,37.16,1
3.0,,13.0,,34.0,21.1,37.16,
,,,15.0,30.0,19.1,,
,,34.0,15.0,,,37.16,1
,,0.0,0.0,10.0,,30.87,1
1.0,,0.0,13.0,,,30.87,
2.0,0.0,10.0,13.0,,,30.87,
,,,,,,,1
,13.0,,,28.0,,30.87,
,1.0,,11.0,28.0,11.66,30.87,
,0.0,,0.0,,,35.34,1
1.0,,,15.0,,24.0,,
2.0,,,15.0,,15.3,,1
,0.0,,,32.0,17.8,35.34,
,,,14.0,32.0,,,1
0.0,,,,18.0,18.0,43.01,
1.0,11.0,,,12.0,12.17,43.01,
2.0,,18.0,,,14.32,43.01,
,,,,,,43.01,1
,13.0,,4.0,,,,1
,0.0,,,17.0,17.0,,1
1.0,,,25.0,,,53.34,
,0.0,17.0,,10.0,25.96,53.34,1
,0.0,17.0,2.0,,20.1,,
,,10.0,,18.0,8.25,,1
,2.0,37.0,21.0,46.0,,,1
6.0,21.0,46.0,,,,,1
,0.0,0.0,,,14.0,,
1.0,20.0,0.0,,8.0,8.25,41.34,
,,,22.0,,,,1
,,14.0,,,,41.34,1
,22.0,8.0,7.0,35.0,30.89,,
0.0,,,0.0,7.0,7.0,43.01,
,,0.0,,,12.04,,
,0.0,,25.0,,,,
3.0,0.0,7.0,,,,43.01,
,25.0,12.0,,29.0,17.0,43.01,1
,,,20.0,35.0,18.44,,1
6.0,20.0,,25.0,29.0,7.81,43.01,1
0.0,,0.0,,,12.0,,1
1.0,,0.0,14.0,11.0,,33.11,1
,,,14.0,11.0,,,
,,12.0,,,17.12,33.11,
,,,12.0,30.0,19.1,33.11,1
,2.0,,,30.0,10.05,33.11,
0.0,0.0,0.0,,22.0,,51.79,
,,,,,9.06,,1
,,,9.0,,15.81,,
,0.0,22.0,,46.0,24.0,51.79,1
,,9.0,,,21.02,,1
5.0,0.0,,4.0,,6.4,,
,,,,,21.38,51.79,
0.0,0.0,,0.0,,,,1
1.0,10.0,0.0,,7.0,7.28,,1
2.0,0.0,13.0,12.0,7.0,13.42,41.76,1
3.0,,,1.0,34.0,,,1
,,,12.0,21.0,,,
5.0,,,,,7.81,41.76,
6.0,6.0,,,21.0,19.92,,
0.0,0.0,0.0,0.0,,20.0,,1
1.0,,,19.0,,8.0,46.1,
,0.0,20.0,,,22.47,46.1,
,0.0,20.0,8.0,,,,1
,,,8.0,42.0,35.74,46.1,1
0.0,,,,,12.0,37.66,1
1.0,7.0,,7.0,7.0,,,
,,12.0,,7.0,8.6,37.66,1
3.0,,12.0,,35.0,,37.66,1
4.0,7.0,,,,23.09,,
,1.0,35.0,,,,37.66,
,,37.0,5.0,30.0,,37.66,
0.0,0.0,0.0,0.0,20.0,20.0,43.05,
,,0.0,,,11.05,43.05,
2.0,0.0,20.0,,11.0,21.93,,1
,0.0,,,37.0,17.0,,1
,20.0,11.0,22.0,22.0,,43.05,1
,,,22.0,,26.63,,
0.0,,0.0,0.0,,,,
,6.0,0.0,,,7.0,,
2.0,0.0,,,,6.0,25.0,
,,,1.0,24.0,17.03,25.0,
4.0,6.0,,7.0,24.0,,,1
5.0,,24.0,2.0,,,,
,,24.0,,,,,
,,,,,7.0,,1
1.0,21.0,0.0,,11.0,,40.0,1
2.0,0.0,,,11.0,,40.0,
3.0,,7.0,,,8.25,,
,,,,,,,1
5.0,2.0,,,,,,
,,0.0,0.0,,6.0,,1
,10.0,,10.0,7.0,7.0,26.0,1
2.0,,6.0,,,,,1
,0.0,,,13.0,,,1
,10.0,,9.0,24.0,17.03,26.0,
5.0,1.0,,5.0,,9.85,,
6.0,,22.0,,24.0,4.47,26.0,
0.0,,,,22.0,,41.59,1
,,,,,,,
2.0,0.0,22.0,,11.0,21.95,41.59,1
3.0,,22.0,,,,41.59,1
4.0,,,17.0,30.0,19.1,41.59,
,,,,30.0,,41.59,1
,,,,,24.0,,
1.0,,,,17.0,17.03,,1
,,24.0,,,25.96,49.74,
3.0,0.0,24.0,,34.0,,49.74,1
4.0,,17.0,,40.0,23.02,49.74,
5.0,2.0,,9.0,,,,1
,,43.0,,,15.3,,1
0.0,,0.0,0.0,,10.0,,1
1.0,23.0,0.0,,,14.0,32.53,1
2.0,0.0,,,14.0,23.35,32.53,
,,10.0,,23.0,18.38,32.53,
4.0,,14.0,13.0,23.0,13.45,,
0.0,0.0,,0.0,,,,1
1.0,25.0,0.0,,9.0,9.22,37.48,
,0.0,15.0,27.0,9.0,27.66,,1
3.0,,15.0,23.0,,,37.48,1
,27.0,,,,17.46,,
,,0.0,0.0,18.0,,29.55,1
1.0,,,,18.0,18.11,,
,0.0,18.0,,18.0,12.0,29.55,
3.0,,,4.0,,,29.55,
4.0,12.0,18.0,4.0,,,,1
0.0,0.0,0.0,0.0,,11.0,,1
1.0,8.0,,,9.0,,28.46,
,,,,9.0,9.22,28.46,1
,0.0,11.0,,27.0,16.12,28.46,1
4.0,,,,22.0,,,
5.0,2.0,,9.0,22.0,8.6,28.46,1
0.0,,0.0,0.0,19.0,,,
,,0.0,25.0,20.0,,49.74,1
,0.0,19.0,,20.0,,,1
,,,,,,49.74,
4.0,25.0,,23.0,43.0,,,
,,,6.0,,,,
,,,,43.0,17.03,49.74,
,0.0,,0.0,,,,1
1.0,,,,7.0,,38.83,1
,0.0,,,,,,
,,19.0,,37.0,18.11,,1
,8.0,7.0,6.0,,,,
5.0,,,2.0,38.0,1.0,,1
6.0,2.0,,6.0,30.0,8.94,,1
,0.0,0.0,,12.0,,,1
1.0,,,12.0,,,,1
2.0,,12.0,12.0,17.0,,40.5,1
,0.0,12.0,1.0,,,40.5,
4.0,,,14.0,38.0,21.1,40.5,
,,,14.0,38.0,13.6,40.5,
,0.0,0.0,,20.0,,,
,,0.0,21.0,,,,
2.0,,20.0,,,,,1
3.0,,,,,32.02,,1
,,14.0,20.0,,31.02,,1
0.0,0.0,0.0,,8.0,,35.9,
1.0,6.0,,,,,35.9,1
2.0,,8.0,8.0,11.0,8.54,35.9,1
,,,2.0,27.0,,35.9,
,8.0,11.0,8.0,,18.0,,1
5.0,,27.0,,,,,1
6.0,8.0,,8.0,29.0,,,
0.0,0.0,0.0,,,,33.96,
,6.0,,,11.0,,33.96,1
2.0,,13.0,8.0,,,,1
3.0,,,,,20.02,,1
,8.0,,,,9.0,,
5.0,1.0,33.0,,20.0,,33.96,1
0.0,,,0.0,,,46.62,1
1.0,17.0,,18.0,14.0,14.04,46.62,
2.0,,19.0,,,18.68,,1
,,19.0,,,,46.62,1
4.0,,,,33.0,,46.62,1
5.0,1.0,35.0,14.0,43.0,,,1
,14.0,43.0,16.0,,,46.62,
,0.0,0.0,,25.0,,48.38,1
,13.0,0.0,14.0,26.0,,,
2.0,0.0,,14.0,,14.04,,
3.0,0.0,25.0,,,21.02,,1
,14.0,26.0,,38.0,12.04,,
,,46.0,,,16.12,48.38,1
,,,,,10.0,36.36,
1.0,17.0,0.0,,11.0,,36.36,1
,0.0,,,,,,
3.0,0.0,10.0,1.0,24.0,14.04,,
,,,18.0,,6.08,36.36,1
,1.0,,,,10.63,,
6.0,,31.0,,,,36.36,1
,,0.0,,7.0,,,
,,0.0,19.0,11.0,,26.25,1
2.0,,,19.0,,,26.25,
,,,,16.0,9.0,26.25,1
