acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
,-10.846,0.0662,,,,0
,-11.138,-0.1141,,-0.8127,,0
,-0.7515,,0.4525,0.6359,12.39,0
0.5758,,,-0.1438,,,0
,,-0.0359,,-0.0047,,0
0.3162,,0.0752,-0.4047,,-14.465,
0.4528,-0.913,,,-0.5418,,0
0.3537,-0.6741,,0.5651,0.383,13.884,
,,,-0.1266,,,0
,,,-0.7765,-0.4562,-24.304,0
0.3313,-0.8896,0.0679,,-0.4565,,0
0.4688,-10.241,-0.0006,0.2922,0.6663,27.027,0
0.3356,-0.6784,,0.3719,0.8811,16.357,0
0.616,-15.303,-0.2141,-0.4052,0.5935,-0.6857,0
0.2769,-10.433,,,-0.5621,,
0.3541,-0.8344,0.0368,,,-19.328,
,,,,0.4656,35.839,
0.3982,-0.7042,-0.1237,,,16.079,0
0.5593,-12.322,-0.2468,,,,
,-12.702,-0.0225,-0.72,,-23.748,0
0.3046,-0.8358,0.0197,,-0.5295,,
0.4889,-10.72,,0.0824,,28.542,0
0.3029,-0.6976,-0.0825,0.4251,0.672,,0
0.6187,-12.203,-0.3073,0.0759,-0.2289,,
0.3927,,,-0.6816,-13.419,,0
0.3277,,0.0022,-0.348,0.0944,,0
0.3999,,-0.0469,0.0607,,,0
0.3277,-0.7298,-0.1077,0.528,,22.371,0
,-11.304,-0.2989,0.1695,0.1035,10.256,0
0.4882,-12.1,-0.084,-0.6158,-0.7365,-19.146,0
0.3608,-0.8436,0.0154,-0.2776,-0.0614,,0
,-10.636,,0.0106,0.4997,,
0.3332,-0.9214,-0.0615,0.7367,-0.3097,17.799,0
0.4984,-0.9477,,0.3644,0.2709,11.514,0
0.522,-10.431,-0.2399,-0.4743,-0.2237,-11.42,0
,-0.6933,,-0.1617,,,0
0.3576,-11.281,,-0.3517,,-0.2272,
0.4329,-11.355,,0.2759,-0.1337,20.669,0
0.4535,-0.7109,-0.1707,,,14.284,0
0.5764,,,-0.3541,-0.6246,,
0.2917,-0.6769,,-0.6155,0.4735,,
0.3144,,-0.0215,-0.1396,0.0389,-0.8548,0
0.4263,-10.388,,0.4698,,,0
,,,0.1221,10.776,12.727,0
0.5729,-12.317,,-0.1443,0.0278,,0
0.3404,,-0.0863,,,-19.509,0
0.3128,-11.473,0.0253,,,,
0.4361,-11.407,-0.1643,0.6118,-0.5618,17.478,0
0.3735,-0.645,-0.1124,0.4287,0.5495,,0
,,,,-0.0937,,
0.2923,-0.8345,-0.0673,-0.5445,0.3344,,0
,-0.8111,0.0291,-0.221,,-14.962,
0.4462,,-0.1081,0.2084,-0.0442,21.31,0
,-0.5791,,0.492,0.2787,0.6557,
0.5038,-11.655,-0.224,-0.1518,,0.8897,
,,-0.0275,-0.7253,,,0
,-0.8893,0.0112,0.0209,-0.4725,-24.308,0
0.4382,-10.498,,-0.0188,0.5479,20.554,
0.275,-0.5968,-0.1001,0.5466,,11.25,0
0.5383,,-0.2304,0.0465,0.3084,10.019,0
0.4072,,-0.0022,-0.7548,,-10.876,0
,,,-0.5705,,-25.838,
0.4244,-12.109,-0.0137,,,12.877,
0.2253,-0.696,,,-0.5261,,0
,,,,0.2342,10.674,0
0.5516,,-0.1619,-0.4562,,,0
0.2677,-0.7471,,-0.6087,-0.2823,-19.406,0
0.5943,-12.638,,-0.8264,-0.8128,,0
0.2833,,,,0.3869,-29.918,
,-0.914,-0.0316,0.2779,,23.214,0
0.2971,-0.6829,-0.1402,0.8385,-0.6104,19.295,0
0.7097,-11.566,-0.3781,,-0.0863,,0
0.5403,-14.307,,,,-16.704,0
0.3846,-0.8189,,-0.1751,-0.2585,-29.437,
0.471,-11.856,,-0.1723,0.7361,16.525,0
0.2518,-0.7672,-0.0697,0.3746,,20.066,
0.6716,-10.452,,,0.0254,,0
0.6047,,-0.1428,-0.4336,-0.4299,-16.794,0
0.3339,-0.8006,-0.0202,0.1292,,-32.615,0
0.3429,-0.881,0.0131,-0.1695,0.3839,,0
0.4845,-12.089,-0.1756,,-0.3668,29.715,0
0.5121,-0.743,-0.1922,0.2994,,11.349,0
0.5712,-0.9719,,-0.4372,0.5613,-10.171,0
,-0.7931,-0.031,-0.2244,-0.0154,,0
0.3411,-0.9162,,,-0.0709,-0.8561,
,-13.257,-0.2037,,-0.4518,36.658,0
,-0.762,-0.113,0.5956,0.7867,0.862,0
0.4945,-13.484,-0.1783,-0.1627,,,0
0.2891,-0.8581,-0.081,-0.4405,-0.0799,-26.239,0
,,,-0.1864,-0.3989,-15.068,0
0.4362,,-0.1105,,0.5659,28.598,
0.2813,,-0.0825,0.7714,0.2734,10.106,
0.5857,,,-0.1372,-0.1247,,0
0.4039,-11.482,-0.0182,-0.8147,,,0
,-0.8342,0.0535,-0.2446,-0.6054,-21.684,0
0.4749,,0.0093,,,21.399,0
0.2779,-0.7089,-0.0701,0.7221,-0.2663,17.089,0
0.5595,-10.804,-0.2356,0.1543,0.015,,0
0.5339,-12.329,,,0.3317,-14.911,
0.3824,,-0.0081,0.1937,,-27.034,0
0.3921,-10.998,0.0118,,,0.9996,0
0.3231,-0.8291,-0.0338,,0.6795,,
0.442,,-0.1065,0.1696,0.4693,17.454,0
0.5914,-11.003,-0.1851,-0.1069,,-14.59,
,-0.7856,-0.0579,,-0.3827,-26.685,0
0.2961,-10.46,0.0645,,,-0.918,0
0.5033,-11.373,,0.6074,-0.756,25.73,0
,-0.6542,-0.1076,0.2977,-0.2117,16.435,0
0.5905,,,-0.3593,0.2335,,0
0.2805,,,,-0.4188,-23.099,0
0.2813,-0.9528,0.0874,-0.4264,0.2219,,
0.5272,-12.016,-0.2239,0.6163,-0.9025,23.217,
0.4043,-0.6805,,0.3971,0.7792,,0
,-16.411,,-0.4578,0.217,,
0.412,,-0.0519,,,-21.132,
0.2831,,0.1291,-0.4957,0.1717,,
0.4962,-11.529,-0.105,,0.0052,,0
0.374,,-0.1259,0.6267,0.4576,14.836,
0.5357,,,-0.1978,-0.274,0.9461,0
0.4875,-11.446,-0.0221,-0.8355,-0.3522,-16.293,0
0.3497,-0.8312,0.0516,-0.3096,,,0
0.4062,,0.0137,,0.3199,13.13,0
0.3605,-10.376,,0.3025,,,
,-0.855,-0.1253,0.3475,10.589,,0
,-11.3,,-0.5425,-0.1109,,0
,-0.7692,,-0.6458,0.0685,,0
,-0.9834,0.0509,-0.0273,,-0.6352,
0.5082,-12.609,-0.1088,0.1151,-0.1298,32.727,0
0.4234,,,0.3518,0.8952,0.9606,0
0.615,,-0.2077,-0.3852,,,0
0.2857,,-0.034,,0.1621,-28.444,0
,-0.8837,,-0.0914,-0.0656,-0.7866,
,,,0.4157,-0.6655,29.939,
,,,,10.203,,0
,-14.097,-0.2386,-0.2676,,,
0.2722,,,-0.549,-0.003,,
0.3112,-0.7744,,-0.0801,-0.2723,-15.217,0
0.5096,-10.704,,0.0175,0.1907,28.465,
0.3152,-0.6502,,0.4063,0.3793,10.435,0
0.6023,,-0.2251,-0.1341,0.4403,0.4755,
,-11.883,-0.0642,-0.5679,-0.1798,-17.099,
0.3281,,0.0054,-0.1539,-0.8782,-20.358,
,,0.0012,-0.103,0.8752,,0
0.2414,-0.6318,,,,11.105,0
0.5627,-10.591,,0.0093,0.1223,10.444,0
0.5376,,,-0.5856,-0.1486,,0
0.3306,,0.0264,-0.1246,,,
0.4452,,0.0238,-0.3088,0.8233,,
0.272,,-0.0087,0.2584,-0.1268,15.592,0
0.4971,,,,-0.0225,,0
0.6213,-0.9928,-0.2719,-0.1335,-0.1495,-0.6746,0
0.3239,-0.744,-0.0326,-0.2619,0.0951,-24.614,0
0.3565,,0.0479,-0.2493,0.469,0.0238,0
,-10.941,-0.1248,,,,0
,,,0.2626,,12.3,0
0.5783,-11.423,,,,-0.5294,0
0.2484,,-0.0358,-0.3219,0.5424,-23.819,0
,-10.356,0.0264,-0.2085,,-0.6009,0
0.4577,-11.855,-0.1716,0.1907,,,
,-0.6716,-0.1189,0.3493,0.4789,0.826,
0.5364,-12.289,-0.1873,,13.906,-0.0174,0
0.3228,-0.9102,-0.027,0.084,-0.6734,-24.761,
0.2901,,0.0492,-0.2869,0.3896,,0
0.4893,-10.411,-0.1725,,,24.918,
0.3489,-0.5235,-0.0484,-0.0459,12.958,,0
0.5578,-12.669,,-0.0119,0.3591,0.5051,
0.4165,-11.62,-0.0032,-0.2258,-0.7465,,0
0.2599,-0.8136,,,,,0
0.4554,,,-0.1209,,23.364,
,,-0.116,,-0.3777,,
,-11.443,,-0.0521,0.2531,0.9025,
0.5511,-11.742,-0.121,-0.2232,-0.768,,0
0.2907,-0.7806,,,0.3929,-25.865,0
,-10.894,,-0.2783,-0.145,0.8949,0
0.3551,,-0.033,0.4922,-0.1958,18.035,0
0.5731,-12.977,,,,-11.197,0
0.3119,,-0.0176,-0.7641,,-27.405,0
0.4322,-0.8904,-0.0054,0.0815,0.825,,0
0.3414,-0.9065,-0.0754,,,13.57,0
0.5667,-0.8585,-0.1349,0.4116,,,0
0.6399,,-0.2783,-0.165,,-0.5037,
,,-0.0296,-0.7498,,,0
,,,,,0.1755,0
,-10.775,-0.0829,0.4481,-10.645,22.434,0
0.443,,-0.2376,0.5201,0.4692,,
0.5022,-14.842,-0.2221,-0.787,0.7726,-0.0705,
,,-0.1022,-0.7409,-0.0998,-27.519,0
0.3011,-0.9558,,,0.4724,-13.127,0
0.5366,-0.9988,-0.2612,,-11.724,33.624,0
0.3086,,,0.8066,10.808,10.336,0
0.4403,,-0.2983,-0.1621,-0.213,,0
,-10.547,,,-0.0577,-22.592,0
0.3242,-0.8554,-0.0045,-0.5419,0.0372,,0
0.4943,,-0.1324,0.3937,0.6464,33.513,0
0.094,-0.6939,-0.1039,,,11.593,0
0.58,-11.603,-0.3137,,-21.254,,0
0.4915,,,-0.7391,-11.075,-15.129,
0.3012,,-0.0114,-0.551,,,0
0.4756,-0.9222,-0.0792,-0.0051,0.853,19.135,
0.2266,-0.6885,-0.1532,0.7044,-0.3252,,0
0.6174,-10.923,-0.3576,0.3456,-0.2916,0.6541,0
0.5749,,-0.1376,-0.6401,-0.4783,-13.032,0
,-0.8392,,-0.5898,0.2347,-26.819,
0.4195,-10.844,-0.0079,,0.7883,0.9417,0
0.227,-0.867,-0.0921,0.723,,,
,,-0.3204,0.5193,-0.0605,,0
0.5527,,-0.2232,,,-12.267,0
0.309,-0.7824,-0.012,,-0.2708,-27.899,
0.3779,-0.8867,-0.0065,-0.2281,0.4626,-0.1827,
0.4456,,-0.1127,,,29.427,0
0.4749,-0.7468,-0.2379,0.3831,0.5938,,0
0.6028,-12.218,-0.3383,-0.3509,,0.0137,0
0.291,-0.8221,-0.0726,-0.6658,0.1295,-26.179,0
0.2991,-0.8757,,,0.0908,-12.135,0
0.5286,,-0.2657,,-0.3699,32.911,
,-0.6795,-0.165,,10.238,,0
0.5979,-11.538,-0.3517,-0.1552,,0.5141,0
,-12.283,-0.1034,-0.7561,-0.2019,-18.784,0
0.2964,,,-0.3773,-0.1852,,0
0.4835,,-0.0534,,0.5284,30.304,0
0.2218,-0.7163,-0.112,0.6834,0.4427,11.2,
0.461,-0.9465,-0.2923,,,,
0.5457,-13.315,,-0.7662,,-17.085,0
0.3389,-0.7595,-0.0016,-0.2037,,,0
,,-0.0376,-0.0589,,19.768,
0.2524,,-0.0542,,-0.397,14.752,0
0.5509,,-0.3052,0.3405,0.3087,0.835,0
0.4266,,,,,-14.722,0
0.3036,-0.7747,-0.0422,-0.6754,0.1403,-24.824,0
0.6007,,,0.3225,0.1479,30.892,0
,,-0.137,,,12.837,
,-11.282,,-0.1456,,0.173,
0.3714,-10.017,-0.0515,-0.9061,0.4346,-21.264,0
,,,,-0.4567,-22.423,0
0.5394,-11.144,-0.1331,,0.4672,,0
0.2478,-0.7093,-0.0861,,,,0
0.5971,-10.97,-0.3046,,-0.1897,0.6641,0
0.5186,,-0.0888,-0.6339,-0.2257,-17.295,0
