acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
,-13.625,-0.0638,-0.5926,-0.6533,,
,-0.8954,,,-0.2087,,
0.4545,-10.454,,,0.8734,27.89,
0.2549,,-0.0392,,0.6141,,0
,-0.9528,,0.1331,,,
0.6089,,-0.1467,-0.3103,-0.7567,-15.889,
0.3163,,0.0059,,-0.3358,-25.507,
0.4213,,,,0.7397,,0
,-0.7821,-0.0957,0.4252,-0.3947,22.478,0
0.5738,,,,,0.6341,0
0.5505,,,,,-11.604,0
,-0.7713,0.0014,-0.3777,-0.2716,,
,,0.0078,,0.6706,,
0.5972,-11.432,,0.4744,,27.531,0
0.4722,,,,,,0
,,,,0.1169,,0
,,-0.0072,,,,
0.3073,-0.9275,,-0.1457,,,
,,,0.3816,,31.841,0
,-0.7692,,0.6868,-0.18,10.397,0
0.5844,-14.608,-0.2223,,0.5828,,0
0.2566,-0.8068,,,-0.0563,,0
,-10.526,,-0.4294,0.2014,,0
,,,,,22.522,0
,-0.6838,,,,,0
,-11.746,-0.2511,,,0.1659,
0.3388,-10.269,,-0.6239,,,
,,0.03,-0.139,,-20.221,
0.4655,-0.9433,-0.1292,0.0525,0.8692,,
0.3586,,,0.7068,,16.036,0
,-11.707,-0.2329,,0.2544,0.1954,0
0.2969,,-0.0124,,-11.317,-16.004,0
0.3363,,,,,,
,,,0.1145,12.034,24.547,0
,,,0.4533,0.7148,,0
0.6459,,,,-0.3601,,
,,-0.1208,-0.4814,,-18.555,0
0.3199,,,,,,
,-10.449,0.0086,-0.2193,,13.037,0
,-0.7513,-0.0711,,,,
0.619,,,0.213,,,
,-12.836,-0.125,-0.4594,,-15.641,
,,,,-0.1738,,
,,0.0865,-0.2943,10.793,,0
,-11.358,0.0536,,0.7647,,0
,-13.575,,0.0282,,,0
0.5125,-0.7924,,,,,
0.618,-10.541,,,0.2874,-11.419,0
0.3146,-0.8448,,,,-30.088,
0.2907,-0.916,,,,-12.387,0
,,-0.1881,0.4755,,,0
,,-0.0926,,0.9572,,
,,-0.2433,-0.3272,0.3408,-0.3338,
0.3771,-0.8419,-0.0954,-0.39,,,0
0.2652,-0.8868,0.0612,,0.2178,-15.815,0
,-0.9583,-0.209,0.6097,0.0795,19.947,0
0.3983,-0.6054,-0.1031,,0.2436,18.102,
0.5717,-11.796,,,0.1854,,0
,-10.419,,-0.4952,-0.2235,-18.617,0
0.2574,,,,-0.1088,-19.101,
,,,,,,
,,-0.0946,0.6,-0.0807,15.778,0
0.6276,,-0.2558,,0.3076,,
0.5259,-12.524,,,,,0
0.3091,,0.0283,-0.486,,,0
,,,-0.0127,,16.438,
0.1589,,,,,,
,,,0.0222,,,0
0.6005,-14.198,,-0.3832,-0.7527,,
,,-0.0091,,-0.8099,-28.684,0
,,,,15.721,,
0.2838,-0.9062,0.0382,,,,0
0.6306,-10.355,-0.2353,,0.0396,,
,-13.036,,-0.509,-0.0389,,0
0.3323,,0.0268,,-0.7226,,0
0.3666,,0.0266,,,10.966,0
,-11.735,,0.3822,,,0
,,-0.1337,,,10.906,0
,-13.276,,-0.513,,,0
,-0.6437,-0.0247,,0.1529,-25.594,
,,-0.0129,-0.359,,0.3601,
,-11.699,-0.1549,,-0.67,21.305,
,,-0.1444,0.3172,0.2781,,
,,,-0.2392,-0.3451,-0.8629,0
0.2995,-0.7166,,,,-20.083,0
,,-0.042,,0.846,-0.1603,0
0.3443,-0.7934,,0.5763,,,0
,,,0.4406,0.4211,,
,-10.123,-0.2522,,,,0
,,-0.0315,-0.4307,,,0
,-10.997,,,0.3382,-0.5649,0
,-10.653,,,-0.4343,23.291,
,-0.6858,,0.2584,,11.454,
,,-0.1895,,0.4662,0.0246,0
0.3262,,,,0.023,-24.213,
0.3158,-0.9102,0.0412,,-0.2908,,
,,,,0.3059,23.907,
0.4001,-0.6247,-0.0973,,0.4231,,
0.2536,-0.7218,-0.046,,0.0691,-28.528,
,,0.0466,-0.1915,,,
,,,,,34.564,0
,,-0.2544,,0.3526,13.424,0
0.5315,-13.59,,,,,0
0.3078,-0.8247,,-0.419,0.6718,,0
,,,0.1695,,-0.61,0
,-12.921,,0.3646,-0.8434,45.253,0
,-0.8997,-0.1299,,10.346,10.067,0
0.5483,,-0.2464,,0.3751,,0
,,-0.07,-0.5835,,,
0.3103,-0.9474,,-0.3342,,,
0.5737,-12.309,,0.6664,,,0
0.3922,-0.804,-0.1033,0.4671,0.8675,,
0.6183,,,-0.5011,,-0.662,0
0.3179,,-0.0448,-0.2314,0.0269,,
0.3401,,0.0609,-0.4286,0.5847,,0
,,-0.1173,,,,0
0.4537,-0.8362,,,0.1396,11.252,
0.5727,,,,0.5141,,
0.2616,,,-0.5846,0.2503,,0
0.3056,-0.8865,0.0855,,,-13.597,
,-13.343,,0.1472,,,
,,-0.1037,,-0.0226,,0
0.6081,-14.422,-0.2209,-0.6622,,-0.3923,0
,-0.8763,,-0.6601,0.3963,-28.025,
,-0.9105,,,-0.238,,0
,,,0.2394,,36.139,
0.4086,,,0.6984,0.2264,,0
,,,-0.2482,0.3329,-0.0082,
0.3584,,-0.0663,-0.8162,,-22.499,0
0.3073,-0.9256,,-0.1117,,-20.681,
,,,,,,0
,,-0.099,,,,0
0.6972,,-0.2856,-0.0637,,0.518,
0.4141,,,,0.6143,-22.212,
0.29,-0.8034,,,,-24.112,
,-0.998,-0.1377,,,30.975,0
0.3225,,-0.1022,,-0.3752,,0
,-10.898,,-0.0136,0.1052,,
0.6016,-12.367,,-0.7873,,,0
,,0.0464,-0.1973,,-26.224,0
,,0.059,,0.585,21.587,0
0.3104,,-0.0498,,,,
,,-0.231,0.0879,,0.8965,
,,-0.1003,,-0.4106,-16.335,
0.3284,-0.7616,0.0295,,,-26.245,
0.4109,,0.0728,,0.8415,17.632,0
,,,,,18.187,0
,,-0.2345,,,,
0.5513,,-0.1753,-0.6633,,,
0.3668,,,-0.1469,,-28.709,
0.4173,-10.021,,,0.3906,0.4778,0
0.3314,-10.075,-0.0322,,,25.327,0
0.6653,,,,0.1744,0.1806,0
,-12.086,,,-0.6494,,0
0.3092,-0.8176,,,-0.383,-26.218,0
0.4789,,0.0271,0.0348,,23.429,
,-0.7153,-0.0843,,-0.5093,23.504,
0.6788,,-0.2374,-0.1203,-0.1473,,
0.4995,,-0.0235,-0.3738,-0.0901,-21.077,
0.277,-0.8528,,-0.225,,-23.144,0
0.4535,,,,0.2942,,0
,,,,-0.0769,,
0.5497,,-0.2169,-0.1072,,0.4734,
0.5429,,-0.0033,,,,
0.3093,,,,,,
,-11.535,0.0334,,,,0
,-0.7663,,0.5062,,,0
0.5912,,-0.2088,0.1226,0.1496,,
0.6071,,-0.0805,-0.6091,,,0
0.3548,,0.0122,,-0.3999,,0
0.4499,,,,0.4666,,0
0.357,-0.8565,-0.0883,0.8757,,,0
0.627,,-0.3135,0.5513,0.4483,0.9964,0
,,,-0.8533,,,0
0.308,,,,-0.1706,-25.231,
0.3176,,,-0.2595,,-0.0093,
,,,,,,
,,,0.1304,,11.237,0
,-14.911,,,0.8851,-11.157,0
0.3804,,-0.0049,,-0.8111,-22.458,
,-0.8957,,,-0.1267,,0
0.5431,-12.388,-0.2278,-0.1709,0.2363,,0
,,-0.11,,,,0
,-13.901,-0.1993,-0.3156,0.3755,-0.445,
,,-0.0754,,,-22.425,0
,-0.8264,,,,,
,,,,,,
0.3529,-0.6248,-0.0919,,,11.381,
,-11.324,,,0.0773,,0
,-0.9778,-0.0574,-0.324,,-20.694,0
,-0.7704,0.0374,,0.0168,,0
,-0.9576,-0.2063,,0.5387,28.212,
,-0.7269,,0.2447,,,0
,,,,,0.4051,0
,-14.289,,-0.2602,,-20.686,
0.306,-0.772,0.0284,-0.0297,,-25.507,
0.475,,-0.0003,-0.2567,0.9796,26.059,0
0.3231,-0.7806,,0.416,0.0675,17.117,0
0.638,-0.7886,,-0.0898,,0.7814,0
,,-0.0912,-0.0421,-0.5205,,
,-0.7429,,0.1268,-0.7239,-23.948,
,,0.0157,-0.239,0.0524,0.8933,0
,,-0.1059,0.7212,,,0
,,-0.2004,,,,0
0.6333,-13.6,-0.1536,-0.4137,0.1326,,0
0.3307,,,,-0.5647,,
,-0.9238,0.0272,,0.7432,0.5612,
,,-0.1059,0.3041,-0.7998,34.31,0
0.4998,-0.734,-0.0957,0.3865,,12.957,0
,,,-0.5815,,-14.975,0
0.3399,-0.7481,-0.0185,-0.2151,,,0
,,,-0.3628,0.0408,,0
0.447,-10.793,,0.7212,,,
,,,,,13.982,0
,,,-0.7292,0.3123,,0
0.2688,,,,,-29.641,0
,-10.194,0.1248,,,-11.143,
0.5223,,,,-0.7441,,0
0.5398,-0.8313,-0.2716,,0.0879,19.835,0
,,-0.2446,-0.4308,,-0.9359,0
0.2865,,,,,,
0.3105,-0.9978,,,0.1833,-16.64,
,,,0.3164,0.1502,30.719,0
0.4518,-0.727,-0.1145,0.3501,0.2591,,0
0.6119,,,0.1836,-0.3366,,0
0.3218,-0.9857,0.0114,,-0.3174,-22.28,0
,-0.9111,,-0.5968,0.5053,-20.847,
0.443,-10.223,,0.8515,,,
0.4171,,,,-0.8109,,
,,-0.2855,-0.1246,,0.5524,
0.285,,-0.0248,,-0.8882,,
0.3165,,0.1702,-11.64,0.0385,,
,-0.8028,,,0.0152,0.9413,0
0.3716,,-0.1764,11.721,0.8563,19.53,
0.6324,-10.884,,0.2663,,,
0.5211,,,,-14.886,-15.622,
0.3387,,0.1047,,-0.5139,-22.408,0
,,,0.2165,,0.6734,0
0.2257,-0.7397,,10.513,,,
,-0.9641,,,0.5475,14.513,0
0.5855,,,,-16.018,-0.5724,
0.2847,-0.7593,-0.0114,-0.7653,,-27.699,
,-10.565,,,0.0045,-0.3285,0
0.4683,-11.195,-0.142,0.743,,,
,-0.8095,-0.2669,0.2423,0.6602,,
0.6072,-10.441,,-0.2173,,,
,,,,,,0
,-10.846,,,0.1245,,0
0.4254,,,0.5225,,22.781,0
,,-0.1247,0.4525,0.6359,,
0.5758,-11.695,,,0.1753,-0.1873,
,-0.7924,-0.0359,-0.679,-0.0047,,0
,-0.9621,0.0752,-0.4047,-0.1915,,0
0.4528,-0.913,,0.3986,-0.5418,28.579,
,,-0.1034,,,13.884,
,-12.022,,,0.3999,,
0.4449,,,,,,0
0.3313,,,,,,0
0.4688,,,0.2922,0.6663,,0
0.3356,-0.6784,-0.0971,0.3719,,16.357,
0.616,-15.303,-0.2141,,0.5935,-0.6857,
,-10.433,,,-0.5621,-28.474,0
0.3541,,0.0368,,-0.5181,,
,-10.092,-0.2337,,0.4656,,
0.3982,-0.7042,,,0.3504,,0
0.5593,,-0.2468,-0.0872,,,
,-12.702,-0.0225,-0.72,,,
0.3046,-0.8358,0.0197,,,-24.091,
0.4889,,-0.084,0.0824,0.7986,28.542,
,,,,0.672,,
,,-0.3073,,,0.2673,0
0.3927,-11.884,-0.0297,,-13.419,-16.107,0
0.3277,-0.8311,,-0.348,0.0944,,
0.3999,,-0.0469,,0.5298,14.213,0
0.3277,-0.7298,-0.1077,,,,0
,-11.304,-0.2989,0.1695,,10.256,
0.4882,,,,,-19.146,
0.3608,-0.8436,0.0154,-0.2776,,,0
,,0.0402,,0.4997,12.213,0
,,,0.7367,,,
,-0.9477,-0.2176,,,11.514,
,-10.431,,,-0.2237,-11.42,0
,-0.6933,-0.0312,,-0.3221,,0
0.3576,,,,,,0
0.4329,,-0.0869,0.2759,,,0
0.4535,,-0.1707,,0.2451,14.284,0
,-11.615,-0.3584,-0.3541,,-0.5184,0
0.2917,-0.6769,-0.066,-0.6155,0.4735,-22.089,
0.3144,,,,0.0389,,
,,,,,,0
,,-0.1165,,10.776,,
,-12.317,,-0.1443,,,
,,-0.0863,,0.0893,,0
0.3128,-11.473,,-0.6018,,-13.059,0
0.4361,,-0.1643,0.6118,-0.5618,17.478,0
0.3735,-0.645,-0.1124,,0.5495,,
,-13.182,-0.2356,,,0.7595,0
0.2923,-0.8345,,,0.3344,,0
,,,-0.221,,,
0.4462,-11.15,-0.1081,0.2084,-0.0442,,
0.274,-0.5791,-0.0944,,,0.6557,
0.5038,,-0.224,-0.1518,0.0798,,
0.3859,-10.099,-0.0275,-0.7253,-0.7326,,
,,,,,,0
,,-0.109,,,,
0.275,,-0.1001,,0.2816,11.25,
0.5383,-12.726,-0.2304,,,,0
0.4072,,,,-16.075,-10.876,
,,0.011,-0.5705,0.3875,,0
0.4244,-12.109,,,0.4636,12.877,
0.2253,-0.696,,,,,0
,-11.17,,0.4882,0.2342,10.674,
,-12.216,,-0.4562,-0.1928,,
0.2677,,,,-0.2823,-19.406,
0.5943,-12.638,,-0.8264,-0.8128,,0
,,,,0.3869,,
0.4411,,-0.0316,0.2779,0.2431,,
0.2971,-0.6829,-0.1402,0.8385,,,0
,,,0.2966,-0.0863,,
0.5403,,,,,,0
,-0.8189,,-0.1751,-0.2585,,0
,-11.856,0.0354,,0.7361,,0
0.2518,-0.7672,,,0.0819,20.066,
,,-0.3143,,0.0254,,0
0.6047,-12.847,,-0.4336,-0.4299,,
0.3339,-0.8006,-0.0202,,-0.3733,,
0.3429,,,-0.1695,0.3839,,
,-12.089,-0.1756,0.4324,-0.3668,,
,-0.743,-0.1922,0.2994,13.971,11.349,0
,-0.9719,-0.2568,-0.4372,,,0
,-0.7931,-0.031,-0.2244,-0.0154,,0
,,,-0.2681,,,0
0.561,-13.257,,0.2191,-0.4518,,
0.4413,-0.762,-0.113,,0.7867,,0
0.4945,-13.484,-0.1783,,0.206,-0.1527,0
,-0.8581,,-0.4405,,,0
0.307,-0.9037,0.0289,,,,0
0.4362,-0.8953,-0.1105,0.2942,,28.598,
0.2813,-0.6785,,,0.2734,10.106,
0.5857,,,-0.1372,-0.1247,0.5759,
0.4039,-11.482,-0.0182,-0.8147,,-19.736,0
0.3275,-0.8342,0.0535,,-0.6054,,0
0.4749,,0.0093,0.0996,0.9803,,
0.2779,,-0.0701,0.7221,-0.2663,,
,,,,,,0
,-12.329,,-0.5149,,,
0.3824,,,,,,
,,,-0.1772,,0.9996,
0.3231,-0.8291,-0.0338,0.3036,,,0
,,-0.1065,0.1696,,17.454,
0.5914,-11.003,,,-0.5757,-14.59,0
0.2918,-0.7856,,,-0.3827,-26.685,0
0.2961,,,-0.329,,-0.918,
0.5033,-11.373,,0.6074,,25.73,0
0.628,-0.6542,-0.1076,0.2977,-0.2117,,
,-14.769,,,,-0.4018,
,,,,-0.4188,-23.099,0
,-0.9528,0.0874,-0.4264,,-11.967,0
,,,,,23.217,
0.4043,-0.6805,,,,,0
0.7692,,,-0.4578,0.217,,
,,,-0.5111,-0.3469,-21.132,0
0.2831,-0.973,0.1291,,,-14.431,0
0.4962,-11.529,-0.105,0.7106,,,
,-0.6079,,,,14.836,
,-12.654,-0.2729,-0.1978,,0.9461,
0.4875,-11.446,-0.0221,-0.8355,-0.3522,-16.293,
,-0.8312,,,,-19.345,0
,,0.0137,,,13.13,0
,,,,,29.984,
,-0.855,,,10.589,10.768,
,,,,-0.1109,,
0.2792,,-0.0041,-0.6458,0.0685,-26.062,0
,-0.9834,,,0.3217,-0.6352,0
0.5082,,-0.1088,,,,0
,-0.7448,,,0.8952,0.9606,0
0.615,-13.499,,-0.3852,,,
0.2857,-0.8812,-0.034,-0.208,0.1621,,0
0.3114,,,-0.0914,,-0.7866,0
0.5753,-11.945,-0.247,0.4157,,29.939,0
0.3927,-0.6869,,0.3483,,,0
0.568,-14.097,,-0.2676,0.4358,,0
,-0.8455,,-0.549,-0.003,-21.262,0
,-0.7744,,-0.0801,-0.2723,-15.217,
0.5096,,-0.0688,,,28.465,
0.3152,-0.6502,-0.0815,,0.3793,10.435,
,,,-0.1341,,0.4755,
0.4586,,,-0.5679,,-17.099,0
0.3281,-0.7967,,-0.1539,-0.8782,-20.358,0
,,,,0.8752,,
,,,0.7066,,,0
0.5627,-10.591,,0.0093,0.1223,,0
,,-0.0707,,-0.1486,-13.107,0
,,0.0264,-0.1246,,,0
,,,-0.3088,0.8233,,
,-0.8488,,0.2584,-0.1268,,0
,,,,-0.0225,10.334,
,,-0.2719,-0.1335,-0.1495,,
,,,-0.2619,,-24.614,
0.3565,,,,0.469,,0
0.4442,-10.941,-0.1248,0.206,-0.357,20.673,
,,-0.1396,,0.5184,12.3,
0.5783,-11.423,-0.2617,-0.285,,,0
0.2484,-0.7245,-0.0358,-0.3219,,-23.819,
,-10.356,,,,,0
,-11.855,,,,,
,-0.6716,,,0.4789,0.826,0
,,-0.1873,,13.906,,
,-0.9102,,0.084,-0.6734,-24.761,0
,-0.9379,0.0492,-0.2869,0.3896,,
,,,-0.0384,-0.6758,24.918,
0.3489,,,,,,0
0.5578,,,,0.3591,0.5051,0
0.4165,-11.62,,,,-19.058,
0.2599,,,-0.0173,,,0
,-11.397,,,,23.364,
,,,,-0.3777,16.116,
0.5888,-11.443,,,,,
,-11.742,-0.121,,-0.768,,
0.2907,-0.7806,0.0076,-0.0489,,-25.865,0
0.4357,-10.894,,-0.2783,-0.145,0.8949,0
0.3551,-0.8578,-0.033,,-0.1958,18.035,0
,,-0.1129,-0.9188,-20.753,,
0.3119,-0.8261,-0.0176,,,-27.405,
0.4322,-0.8904,-0.0054,,0.825,18.768,
0.3414,-0.9065,,,,,0
0.5667,,-0.1349,,,0.8104,
,,-0.2783,,,,
0.2692,-0.7063,,-0.7498,0.5253,,
0.3942,,-0.032,-0.3394,,0.1755,0
,-10.775,-0.0829,0.4481,,,
,,-0.2376,,,,
0.5022,,-0.2221,-0.787,0.7726,-0.0705,0
,,,-0.7409,-0.0998,-27.519,
,-0.9558,,,,,0
,,-0.2612,,,33.624,
,,,,10.808,10.336,
,,-0.2983,-0.1621,,,
,-10.547,-0.0638,,,-22.592,
,,-0.0045,-0.5419,0.0372,,0
0.4943,,-0.1324,0.3937,0.6464,33.513,
0.094,-0.6939,,,,,
,-11.603,,0.3256,-21.254,,0
0.4915,-11.615,,-0.7391,-11.075,,0
0.3012,-0.8528,-0.0114,,0.2355,,0
,-0.9222,,,0.853,,
,-0.6885,-0.1532,,-0.3252,,
0.6174,,-0.3576,0.3456,,0.6541,
0.5749,,-0.1376,-0.6401,-0.4783,-13.032,
0.3208,,,,,-26.819,
0.4195,,,-0.1149,0.7883,,0
,-0.867,-0.0921,0.723,-0.8114,,0
0.5303,-0.8414,-0.3204,,,,0
,,,,0.3663,,0
,,,-0.3852,-0.2708,,
0.3779,,,-0.2281,,,
,,,,-15.259,29.427,0
0.4749,-0.7468,-0.2379,,,0.6294,0
,-12.218,,,0.586,0.0137,
0.291,-0.8221,-0.0726,-0.6658,,,0
,,0.0174,,0.0908,,0
0.5286,-12.143,,,-0.3699,,0
0.2994,,,0.4977,10.238,,
0.5979,-11.538,,,,,0
,-12.283,,-0.7561,,-18.784,0
0.2964,-0.8146,,-0.3773,-0.1852,,
,-11.357,-0.0534,,0.5284,30.304,0
,,,0.6834,,,
,,-0.2923,0.0428,,,0
,-13.315,-0.1174,,,-17.085,
0.3389,-0.7595,,,,-24.434,
0.4367,-11.403,,,,19.768,0
,-0.8555,-0.0542,,,,0
0.5509,-0.9286,,0.3405,0.3087,,
0.4266,-10.56,-0.2398,,0.0165,-14.722,
,-0.7747,-0.0422,,,-24.824,0
,-11.798,-0.2434,,0.1479,,0
,,-0.137,,-0.1817,,0
0.5232,-11.282,,-0.1456,,,0
0.3714,,,-0.9061,0.4346,,
,-0.7872,0.0544,,,,0
,,-0.1331,,,,0
,,,0.8421,0.1142,,
0.5971,,,-0.0537,,,0
0.5186,-11.878,-0.0888,,-0.2257,-17.295,0
0.3131,-0.8761,0.0235,-0.3714,-0.2015,-27.194,0
0.4926,-11.017,-0.0233,-0.0722,0.4213,18.843,0
,-0.8389,,0.853,,22.535,
,-10.386,-0.2856,0.2595,,,0
,,,-0.7625,-16.43,-0.469,
,-0.7812,,,,,0
0.3254,,,,,,
,,,0.772,-0.8583,,
0.4631,-0.9102,-0.2144,,,0.6664,0
0.5819,-11.95,,-0.5696,,,0
0.2822,-0.7987,-0.0286,,0.5708,,
0.3291,,0.0416,,0.152,-11.423,
0.4946,-12.142,,,,,0
0.3059,-0.7454,-0.2109,0.9067,0.1985,,0
,-13.798,,,,0.3053,0
,-0.7608,-0.0581,,0.5014,-21.606,
0.3039,,,-0.5181,0.2354,-12.811,
0.4609,-0.9906,-0.2373,0.7314,,21.644,
,-0.6885,-0.1547,,0.1716,11.48,
0.4783,-11.66,-0.2385,,,0.4569,0
,,,,,,
0.2844,,0.0372,,,-21.791,0
,-0.9856,-0.0499,,,,
,-0.6785,-0.1201,0.8003,-0.2161,,0
0.5868,-11.16,-0.2847,,-0.2364,,
,,,-0.8205,,,0
0.3044,-0.7385,0.0186,-0.4477,,-25.524,0
0.4051,,,-0.1341,,11.801,0
0.3958,-10.376,,,,19.635,0
,,,0.4256,,0.6932,
,,-0.2657,-0.7551,0.1387,,0
,-0.6963,,-0.9009,,,0
0.3428,,,,,0.0524,0
0.3867,,,0.6727,-10.505,,0
,-0.832,-0.1901,,0.3143,11.769,0
0.5717,-13.006,,,0.1006,-0.8602,
,,,-0.8664,0.3503,-22.748,
0.3079,-0.95,,-0.1367,0.2256,-10.927,0
,-11.792,,0.7313,,,
,,,,0.1835,,
0.4965,-11.338,-0.245,,0.0735,0.1827,0
,,-0.0192,-0.8375,0.3252,,
,-0.8723,,-0.3638,,-19.523,0
0.4615,-0.9553,,,,,
0.3491,-0.7034,-0.1345,0.7577,,14.003,0
0.6022,-11.206,,,0.1654,0.1188,0
0.3511,,,,-0.8974,,
0.319,,0.0419,-0.2178,-0.3479,,
0.4656,,,,,25.391,
,-0.7525,,,,,
0.5742,,,,,0.8891,
,-13.065,,,,-16.279,0
0.3311,-0.9232,-0.0014,,-0.4389,-33.419,0
,-0.9634,,,0.57,,0
0.2858,,,,,,0
,,,,0.3624,,
,-0.9375,-0.3205,-0.3706,-0.2028,-12.069,
,,,,0.0335,-28.6,
,,,-0.3079,0.5588,-0.6595,
0.3871,-10.496,,0.2493,,29.644,
,,-0.1898,,,,
,-12.468,-0.2585,-0.451,0.3513,-0.7737,
0.3021,-0.8532,,,,,0
0.2916,-0.8956,,-0.4179,0.3022,-14.242,0
0.5227,-10.815,,,-16.203,32.77,
,,-0.1191,,0.902,12.153,
0.4733,,,,,,0
,-10.143,-0.0602,,-0.5319,-18.496,0
,-0.877,,,-0.3073,,
,-0.8642,-0.1218,0.3439,,,
0.3126,-0.7108,-0.1112,0.6312,,16.217,0
0.5626,-11.738,,0.2317,0.071,,0
0.4874,-11.959,-0.097,-0.7422,,,0
,-0.8171,,-0.4398,,-21.895,0
,,-0.09,,,11.602,
0.3128,-0.6879,,0.5113,0.1737,18.969,0
,-0.8239,,,-0.669,0.9452,
,-10.325,-0.3051,-0.5109,,,
0.166,,-0.0051,-12.274,,-29.073,
,-0.8713,,,,,
0.418,-13.2,,,0.0033,27.881,0
0.3854,,,,,0.8479,0
,,,,-0.2355,,
0.2627,,-0.0791,-0.9808,0.413,-21.667,
0.2946,-0.8626,,,-0.0229,,0
0.4794,,,0.6261,,,
0.3402,,-0.134,,,0.9991,0
,,-0.273,-0.1494,,0.2892,
,,,-0.7691,,,0
,-0.8031,0.0039,-0.4691,0.131,-24.199,
0.4901,-11.532,,0.3431,,25.396,
0.1907,,-0.1057,,0.321,,
0.5775,-10.883,-0.328,,,,
,,,-0.7723,,-12.393,0
,,-0.0083,-0.2783,,,0
0.4717,-11.57,-0.0385,,,,0
,,,0.8366,,,0
0.4684,-0.7977,-0.2657,,,,0
,-12.205,-0.1887,-0.5887,-0.217,,
,,,,0.7349,0.986,0
0.5776,-10.888,,0.0238,-0.1793,,0
0.5163,,,-0.55,-0.6889,-16.769,0
,-0.7447,-0.0196,,,,
0.5211,,,,0.4887,,0
0.3494,-0.8389,,,,21.041,
,,-0.2847,,-0.1389,,0
0.4966,-12.586,,,0.325,,0
0.2682,,-0.0684,,0.071,,
,-0.8637,,-0.0778,,0.0906,
,-12.3,,,,,
0.4292,-0.6961,-0.1821,0.6003,,0.9995,0
0.4648,,-0.2649,-0.8127,,-0.1248,
,,,,,-22.191,
,-0.7988,0.025,,,-13.663,0
0.4408,,,0.7564,,,0
0.3315,-0.6867,-0.1954,,,0.8734,
,-11.322,,-0.0749,,0.2264,0
0.4321,,,-0.8954,,,
,,,,,-18.791,
0.4818,,,0.3361,0.305,22.069,
,-0.7006,,,-0.0993,11.588,
,-10.398,,0.1023,0.0008,0.33,
0.4667,-12.646,,-0.9472,0.4013,,0
0.2968,,0.0034,-0.5221,-0.2798,-18.326,0
0.3966,-0.988,-0.053,,,,
0.2886,,-0.0963,0.6455,-0.0901,,
0.4381,-0.8038,,,-0.0538,,
,,,-0.6877,,-0.742,
,-0.7754,,-0.4853,,-22.89,0
0.3729,-0.9223,,,,-0.1386,
,,-0.1609,,-0.7462,20.794,
