V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
,,,,0.06,33.0,,,3.24,,9.5,4
,0.18,,,0.058,38.0,167.0,0.9931,,,10.0,5
6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,,0.52,,
6.2,,,4.4,0.066,62.0,207.0,0.9939,,0.52,9.8,3
7.0,,0.26,,,,,,3.13,0.46,,4
6.9,0.19,0.35,,0.067,32.0,150.0,0.995,3.36,0.48,,3
,,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,,11.7,4
6.6,,0.29,,0.068,39.0,,0.9914,3.34,0.58,11.0,
,0.16,0.33,,,21.0,,0.991,3.32,0.46,10.9,5
6.4,0.18,0.35,1.0,0.045,39.0,108.0,,,,10.9,
,0.2,,0.9,,38.0,132.0,0.993,3.05,0.38,9.1,
,0.25,0.35,,0.039,29.0,191.0,,,0.52,11.0,
,0.21,,11.9,0.043,,,0.9962,3.09,,9.6,4
6.0,0.19,,,,,,,3.3,0.36,8.9,4
6.6,0.38,0.15,,0.044,25.0,78.0,0.9931,3.11,,,4
7.4,0.2,0.36,1.2,0.038,,,0.9926,3.36,,9.9,4
6.8,,0.24,,0.092,30.0,123.0,0.9951,,0.46,8.6,
,0.19,,12.4,0.048,50.0,147.0,,,,8.9,4
7.0,0.47,,1.1,0.035,17.0,151.0,0.991,,,,3
6.6,0.38,0.15,,,25.0,78.0,0.9931,,,,
,0.24,0.27,1.4,0.038,31.0,122.0,,3.15,0.46,10.3,4
6.2,0.35,0.03,1.2,0.064,,120.0,,3.22,0.54,9.1,
6.4,0.26,0.24,6.4,,27.0,124.0,0.9903,,0.49,,
,0.25,0.13,1.2,,,174.0,0.992,3.14,,9.8,3
6.7,0.23,0.31,,,,96.0,0.9926,,0.64,10.7,6
,0.24,0.29,10.1,,21.0,105.0,0.9962,3.13,0.35,,
6.2,0.27,0.43,7.8,0.056,,,0.9956,,,,4
6.8,,,,0.061,50.5,238.5,,,0.6,9.5,3
6.0,0.27,0.28,,,31.0,201.0,0.9964,,,10.0,3
,,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,4
6.7,,,2.1,,30.0,96.0,0.9926,3.33,0.64,10.7,6
7.4,,,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,3
7.1,,0.36,1.4,0.043,31.0,87.0,0.9898,,,12.7,
,0.32,0.34,1.3,,,,0.9912,3.31,0.65,12.0,5
7.4,0.18,,,0.064,,,,2.94,0.56,9.3,
6.7,0.54,,5.4,0.06,21.0,105.0,0.9949,,,,3
6.8,0.22,,,0.053,34.0,,0.9929,3.39,0.77,10.6,4
7.1,0.2,0.34,16.0,,51.0,166.0,0.9985,3.21,0.6,9.2,4
7.1,,0.2,6.1,,47.0,164.0,0.9946,3.17,,10.0,3
,0.22,0.3,8.2,,,207.0,,,0.46,,
7.1,0.43,0.61,11.8,,54.0,155.0,0.9974,3.11,0.45,8.7,3
7.1,,,11.8,0.044,,,0.9975,,,8.7,
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,,4
6.8,0.25,0.31,,0.05,69.0,202.0,,,,,4
7.1,0.43,,11.8,0.045,,155.0,0.9974,3.11,,8.7,
,,,11.8,,52.0,152.0,,3.12,0.46,,
7.2,0.39,0.63,11.0,0.044,55.0,,,3.09,0.44,8.7,4
6.1,0.27,0.43,7.5,,,243.0,,3.12,0.47,9.0,3
6.9,0.24,0.33,,0.035,47.0,136.0,,3.26,0.4,,5
6.9,0.21,0.33,1.8,,48.0,,,3.25,0.41,12.6,5
7.5,0.17,0.32,,0.04,51.0,,0.9916,,,11.5,5
7.1,0.26,0.29,12.4,,,,,,0.42,9.2,4
,0.34,0.66,15.9,,26.0,164.0,0.9979,3.14,,8.8,4
8.6,0.265,0.36,1.2,,,80.0,0.9913,,,11.4,
9.8,,0.46,10.5,,4.0,83.0,0.9956,,,,2
,0.34,0.66,15.9,0.046,26.0,,0.9979,,0.5,8.8,
7.4,,0.37,13.5,0.06,52.0,192.0,0.9975,,0.44,9.1,
,0.12,0.32,9.6,0.054,,,0.9962,3.4,0.41,9.4,3
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,,,9.4,
7.5,0.305,0.4,,0.059,,170.0,1.0,2.99,0.46,9.0,
,0.25,0.37,13.5,0.06,,192.0,0.9975,,0.44,9.1,
7.3,,,14.4,0.051,34.0,,0.9974,,0.35,,4
7.1,0.12,,,0.054,64.0,162.0,0.9962,,0.41,9.4,
7.1,,0.35,16.5,0.04,,171.0,0.999,3.16,,9.1,
7.1,,,16.5,0.04,60.0,171.0,0.999,,0.59,,4
,0.33,0.28,1.3,,37.0,187.0,,3.27,,,3
6.5,0.17,0.54,,,,163.0,0.9959,2.89,0.39,8.8,
7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,
7.2,0.31,0.5,13.3,,68.0,195.0,,,0.47,9.2,3
6.7,,0.34,9.2,0.049,29.0,,0.9968,3.22,0.51,9.1,3
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,,0.51,,3
5.5,0.485,0.0,1.5,0.065,,103.0,0.994,,0.4,9.7,2
6.0,0.31,0.24,,0.041,25.0,,0.9914,3.31,0.44,11.3,4
,0.14,0.4,1.7,,16.0,85.0,0.9911,3.19,0.42,11.8,
7.2,0.31,0.5,13.3,,68.0,,0.9982,,0.47,9.2,3
7.3,0.32,0.48,13.3,,57.0,196.0,0.9982,3.04,0.5,9.2,3
5.9,,0.04,,0.046,,87.0,,3.22,0.51,10.2,
7.8,0.24,,12.2,0.054,42.0,,0.9984,,,8.8,
7.4,0.16,,,0.059,,131.0,0.9952,3.29,0.34,9.7,3
6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,,0.36,9.1,4
6.4,0.13,0.47,1.6,,40.0,158.0,0.9928,3.21,0.36,9.8,4
6.7,0.19,0.36,,0.026,,143.0,0.9912,3.27,,11.0,4
7.4,0.39,,7.0,,29.0,126.0,0.994,,0.42,10.5,
6.5,0.24,0.32,7.6,,48.0,203.0,0.9958,3.45,0.54,,5
6.1,,,2.8,0.044,47.0,179.0,0.9924,,0.57,,5
6.1,0.3,0.56,,0.046,46.0,,0.9924,3.31,0.57,10.9,
,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,,10.6,
,0.24,0.32,,0.038,48.0,,0.9958,3.45,0.54,9.7,5
,,,,,,,0.9979,,0.57,9.0,3
6.6,0.24,0.27,15.8,,,188.0,,3.24,0.51,9.2,3
6.8,,0.22,8.1,,55.0,,0.9961,,,,
6.7,,0.31,15.7,,,,0.9979,3.26,,9.6,
8.2,,0.4,1.2,0.027,36.0,121.0,0.992,3.12,,10.7,4
7.1,0.37,,10.5,,49.0,,,,0.44,8.7,3
6.8,0.19,0.36,1.9,0.035,30.0,,,3.15,,10.8,5
8.1,0.28,,1.9,0.029,,,0.9923,,0.52,11.8,4
6.3,0.31,0.34,,0.045,20.0,77.0,,3.3,0.43,10.2,3
,,0.67,10.5,0.045,49.0,155.0,0.9975,,0.44,8.7,3
7.9,0.21,0.4,1.2,0.039,,107.0,0.992,3.21,,10.8,4
8.5,,0.41,4.3,0.036,24.0,99.0,,,,9.7,4
8.1,0.2,0.4,2.0,0.037,,87.0,0.9921,,0.54,,4
6.3,,0.37,1.1,0.04,,114.0,,3.0,,,4
5.6,0.16,0.27,1.4,0.044,53.0,168.0,,3.28,0.37,10.1,4
6.4,,0.14,5.2,,15.0,,,,,9.0,2
6.3,0.34,0.33,,0.034,19.0,80.0,,,,,5
6.9,,,4.1,0.054,23.0,116.0,0.994,2.99,0.38,,4
,0.22,0.38,8.0,0.043,,152.0,0.9934,,0.32,,5
7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,,,9.9,4
6.9,0.25,,4.1,0.054,23.0,116.0,,2.99,0.38,9.4,
7.2,0.18,0.41,,,41.0,,0.9919,3.14,0.45,10.4,
8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,4
7.4,,0.42,,0.066,48.0,198.0,0.9979,2.89,0.42,,4
7.4,,0.42,14.0,0.066,48.0,198.0,0.9979,,0.42,8.9,
6.1,0.32,0.24,1.5,,,124.0,0.9898,,0.42,,5
,0.44,0.04,,,,119.0,0.9894,,0.33,12.1,6
5.2,,0.04,,0.036,43.0,,,,0.33,12.1,6
6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,,5
6.4,,,14.5,,,159.0,0.998,2.98,0.4,9.1,3
6.3,,0.3,,,14.0,85.0,0.9932,,0.39,10.6,3
7.4,0.24,,14.0,,48.0,198.0,0.9979,,0.42,8.9,4
6.7,0.24,0.35,13.1,,64.0,205.0,0.997,3.15,0.5,9.5,3
7.0,0.23,0.36,,,,177.0,0.9972,,,,3
8.4,0.27,0.46,8.7,0.048,39.0,,0.9974,3.14,0.59,,4
,,0.18,,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,5
7.5,,0.31,,0.055,,,,3.08,0.54,9.3,
9.8,,0.48,9.85,,,110.0,0.9958,2.87,0.29,10.0,3
7.1,0.3,0.46,,,29.0,133.0,0.9906,,,12.7,4
,0.19,,1.5,,17.0,96.0,0.9917,3.13,0.39,11.0,4
7.6,0.48,,0.8,,4.0,100.0,,3.03,0.39,11.4,
6.3,,0.43,4.55,0.038,31.0,,0.9918,,0.33,,5
7.5,0.27,0.31,17.7,,33.0,,0.999,3.09,0.64,10.2,3
6.9,0.23,,7.5,0.04,50.0,151.0,0.9927,3.11,,,4
7.2,,0.47,5.1,0.044,19.0,,0.991,3.03,0.41,12.6,2
5.9,,0.3,12.9,0.054,,170.0,,,0.39,9.4,3
6.0,0.67,0.07,1.2,0.06,,108.0,0.9931,,0.35,8.7,2
6.4,,,5.5,0.049,41.0,176.0,0.995,3.19,,9.2,4
6.4,0.33,0.31,5.5,0.048,,,0.9951,3.19,,9.3,4
,,,,0.053,61.0,,0.9936,3.09,0.43,9.2,3
6.8,0.28,,22.0,0.048,48.0,167.0,,,0.5,,3
6.9,,,14.0,0.05,64.0,227.0,0.9979,,0.58,9.6,4
,0.26,,11.9,0.043,64.0,226.0,0.997,3.02,,,3
6.8,0.29,0.56,11.9,0.043,,,0.9972,3.02,0.63,9.3,3
6.7,0.24,0.41,9.4,,49.0,,,3.12,0.61,9.9,4
,,0.23,4.2,0.038,,119.0,,3.15,,,3
6.8,0.53,0.35,3.8,0.034,26.0,109.0,,,,12.7,6
,0.28,0.28,8.5,0.047,,210.0,,3.09,0.54,8.9,2
,0.28,0.28,8.5,,55.0,211.0,0.9962,3.09,0.55,8.9,
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,,8.7,
6.8,0.28,,,0.045,28.0,123.0,,3.02,0.37,11.4,4
6.6,,,5.1,0.055,,125.0,0.9942,3.36,0.42,9.6,
6.4,0.29,,3.6,0.2,,,0.9942,3.02,,9.1,3
,0.3,0.45,,0.197,76.0,,0.9942,3.02,0.39,,4
6.4,0.29,0.44,,0.197,,183.0,0.9942,,0.38,,3
6.8,,,,0.052,54.0,,0.9961,3.13,0.47,8.9,3
,0.32,,13.1,,,204.0,0.998,3.1,0.49,8.8,
6.8,0.26,0.24,7.8,,54.0,,0.9961,,0.47,8.9,3
,0.27,0.26,16.1,,55.0,,0.9984,3.15,,9.3,3
,0.32,0.24,13.1,0.05,52.0,,0.998,3.1,0.49,8.8,
6.9,0.54,0.32,,0.05,53.0,236.0,,3.2,0.5,,
,0.26,,13.9,0.034,39.0,134.0,0.9949,3.33,0.53,12.0,4
5.8,0.28,0.35,2.3,0.053,,,,3.28,0.5,10.2,
6.4,0.21,0.5,11.6,0.042,,,0.9972,3.15,,8.8,3
7.0,0.16,,,0.045,,126.0,0.9958,,0.34,9.2,
10.2,0.44,0.88,,,20.0,,,,,9.9,2
,0.57,0.29,2.2,,15.0,,0.9938,3.32,0.74,10.2,
,0.4,0.31,0.9,0.048,23.0,,,3.22,0.77,9.5,4
5.6,,,9.7,0.032,12.0,68.0,0.994,,0.34,10.5,3
6.8,0.18,,1.4,0.038,35.0,,0.9918,3.32,0.59,11.2,5
7.0,0.16,0.32,,,,126.0,,3.21,0.34,9.2,3
,,0.29,5.3,0.051,31.0,,0.9944,3.44,,9.7,4
6.2,0.25,,,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,
5.8,0.26,,,0.044,55.0,,0.9961,3.31,0.38,,3
7.5,0.27,0.36,7.0,0.036,,,,3.03,0.33,11.0,3
5.8,,0.24,,0.044,,152.0,,,0.38,9.4,
5.7,,0.24,17.5,0.044,60.0,,0.9989,3.31,0.44,9.4,3
7.5,0.23,,7.0,0.036,,161.0,,3.04,,11.0,
,,0.36,7.0,0.036,,164.0,0.9939,3.03,,11.0,
,0.685,0.21,9.5,0.07,,172.0,0.9971,3.0,0.55,9.1,4
6.2,0.25,0.25,,0.03,,105.0,0.9912,3.3,,11.1,5
,0.19,0.3,0.8,,33.0,144.0,,,0.39,9.1,4
6.3,,0.22,1.8,,31.0,140.0,0.9929,3.39,0.54,10.4,4
7.1,,0.41,17.8,0.046,39.0,145.0,,3.32,,8.7,3
6.4,,0.32,2.4,0.048,,200.0,0.9938,3.5,0.5,9.7,
7.1,,0.32,,0.041,66.0,272.0,,3.17,0.52,9.1,4
6.4,0.17,,2.4,0.048,,,0.9938,3.5,,9.7,4
7.1,0.24,,17.8,,,145.0,,3.32,0.39,8.7,3
6.8,0.64,,9.7,,,142.0,0.9972,,0.46,8.9,
8.3,0.28,0.4,7.8,0.041,38.0,,0.9976,3.34,0.51,9.6,
8.2,,0.39,7.8,0.039,,,,,0.51,9.5,4
7.2,0.23,0.38,,,,194.0,0.9979,,,9.0,
7.2,,0.38,,0.058,,194.0,0.9979,3.09,0.44,,
7.2,0.23,0.38,14.3,0.058,,,0.9979,3.09,0.44,9.0,4
7.2,0.23,,14.3,,,194.0,0.9979,3.09,0.44,9.0,4
6.8,0.52,0.32,,,54.0,,0.9972,3.27,0.5,9.6,4
,0.26,,,0.037,40.0,120.0,0.9918,3.34,0.41,11.1,5
,0.25,0.21,,0.039,28.0,159.0,0.9982,,,,4
7.3,,0.23,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,8.7,3
7.7,0.31,,7.8,0.031,23.0,,0.9944,3.13,0.5,,3
,0.21,0.37,2.4,0.026,23.0,,,3.15,0.38,,5
6.8,0.24,,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,4
6.9,0.4,,,,40.0,142.0,,3.14,0.46,8.7,3
6.1,0.18,0.36,2.0,0.038,20.0,249.5,0.9923,3.37,,11.3,4
,,,,,26.0,,0.99,,0.61,,5
5.8,0.2,,1.4,0.031,12.0,77.0,0.9905,3.25,,10.9,5
5.6,0.19,,,0.03,12.0,76.0,0.9905,3.25,0.37,,
6.1,,,,0.037,18.0,,0.996,3.38,0.45,10.0,
5.9,,0.28,,0.053,,199.0,0.9964,3.72,,,
8.5,0.26,0.21,16.2,,41.0,197.0,,3.02,0.5,9.8,1
,,,11.2,0.043,40.0,142.0,0.9975,,0.46,8.7,
5.8,0.24,,3.5,0.029,,109.0,0.9913,3.53,,,1
5.8,0.24,,,,37.0,158.0,0.9932,,0.52,9.3,
6.7,0.26,0.39,,0.04,45.0,147.0,,,0.58,9.6,
,,,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,,5
6.3,0.35,,,,8.0,,0.9927,3.27,0.41,,5
6.4,0.23,0.39,1.8,0.032,,118.0,,3.32,0.5,11.8,4
5.8,0.36,,,0.037,3.0,75.0,0.9904,,0.34,11.4,2
,,0.35,5.4,0.048,36.0,108.0,0.9939,,0.42,,
6.9,0.29,0.4,19.45,,36.0,156.0,0.9996,2.93,0.47,8.9,3
6.9,,0.4,8.2,0.036,15.0,95.0,0.9944,3.17,,10.2,
7.2,0.29,0.4,13.6,0.045,,231.0,,3.08,0.59,,4
6.2,0.24,,,0.038,22.0,167.0,0.9912,3.1,0.48,10.6,
6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,,,
,0.32,,8.3,0.053,32.0,180.0,,3.25,,,4
5.3,,0.07,6.9,0.043,34.0,149.0,0.9944,3.34,,9.7,3
5.3,0.585,,,,34.0,145.0,,3.34,0.57,9.7,
5.4,0.59,0.07,7.0,,36.0,147.0,,3.34,0.57,9.7,4
6.9,0.32,0.26,8.3,,,,,3.25,0.51,9.2,4
5.2,0.6,0.07,,0.044,33.0,147.0,,3.33,,9.7,3
,0.25,,13.1,0.051,44.0,148.0,0.9972,,0.38,9.3,3
,,0.3,5.1,,30.0,123.0,0.9949,3.24,0.38,,3
,,0.54,,0.046,59.0,234.0,,,,9.5,3
6.6,,0.41,8.9,,51.0,169.0,,3.14,0.57,9.8,
6.7,0.2,0.41,,,50.0,166.0,0.9954,3.14,0.58,,4
,,0.4,1.1,,9.0,,0.9915,2.89,0.5,10.6,3
6.8,0.32,0.34,1.2,,14.0,,,3.05,0.47,10.6,2
7.0,0.3,0.49,4.7,0.036,,105.0,,,0.68,,5
7.0,0.24,0.36,2.8,0.034,,112.0,0.99,3.19,,,6
6.1,0.31,0.58,5.0,0.039,,114.0,0.9909,3.3,0.6,12.3,6
6.8,0.44,,,0.047,46.0,201.0,,3.08,,,
6.7,0.34,0.3,15.6,0.054,,196.0,0.9982,,0.49,,3
7.1,0.35,0.24,15.4,0.055,46.0,198.0,,3.12,0.49,8.8,3
,0.32,0.25,7.2,,47.0,,,3.08,0.47,8.8,3
,0.28,0.33,,,51.0,190.0,0.9978,3.22,,9.7,4
,0.23,0.39,14.2,0.058,49.0,,,,0.48,9.0,5
7.2,0.23,0.39,14.2,0.058,49.0,,,2.98,,,5
7.2,,0.39,14.2,0.058,49.0,,0.9979,2.98,0.48,9.0,5
,,0.39,14.2,0.058,,192.0,0.9979,2.98,0.48,,5
,0.15,0.31,5.8,,53.0,,0.9945,,0.46,10.5,
,0.28,0.42,19.8,0.066,53.0,195.0,,2.96,0.44,9.1,
6.2,,,7.3,,26.0,157.0,0.9957,3.44,0.64,9.8,5
9.1,0.59,,,,,182.0,0.9968,,0.38,8.5,1
6.3,0.33,0.27,1.2,,,175.0,,,,9.4,
8.3,0.39,0.7,,0.045,33.0,,,3.09,,9.4,3
7.2,0.19,0.46,3.8,0.041,82.0,,,3.19,0.6,11.2,5
,0.17,0.44,11.3,0.046,,,,,0.45,10.0,4
,,0.5,2.1,0.043,27.0,122.0,0.9923,3.15,0.45,10.3,4
6.1,,0.0,1.6,0.063,,,,3.27,0.67,10.8,4
8.3,,0.35,,0.05,12.0,74.0,0.992,3.13,,10.5,4
6.1,0.41,,1.6,0.063,36.0,87.0,0.9914,3.27,,,4
6.0,0.29,,1.3,0.055,42.0,168.0,,3.32,0.43,11.1,4
7.3,,0.24,6.8,0.057,41.0,,0.9949,3.2,0.41,9.9,4
7.3,0.41,,6.8,,41.0,163.0,0.9949,3.2,0.41,9.9,
7.2,0.43,0.24,6.7,0.058,40.0,163.0,,,0.41,9.9,3
,,0.24,6.7,0.058,41.0,,0.995,,0.41,9.9,
6.2,0.33,,4.9,,30.0,134.0,0.9927,,0.42,10.4,
6.2,,,4.8,0.037,36.0,148.0,,,0.41,10.4,
6.1,,,2.1,0.035,16.0,,,,0.71,,5
5.0,0.55,0.14,,0.032,,164.0,,,,,6
7.8,,,3.7,,,149.0,0.9954,,,10.0,4
,0.36,0.21,6.7,0.038,51.0,,0.9941,,0.63,10.0,4
5.8,,0.21,6.6,,50.0,,0.9941,,0.62,10.0,3
6.8,0.28,0.6,1.1,0.132,42.0,127.0,0.9934,3.09,0.44,,4
,0.25,0.34,4.7,0.031,,,0.9927,,0.38,10.6,
6.6,0.24,,7.7,0.031,36.0,135.0,0.9938,3.19,0.37,10.5,
5.9,,0.47,7.85,0.03,19.0,,0.9933,3.52,0.43,11.5,5
,,,3.3,,10.0,69.0,0.9934,3.54,0.59,10.1,4
6.0,0.1,0.24,,0.041,15.0,65.0,0.9927,3.61,,10.3,5
6.6,0.24,0.35,7.7,0.031,36.0,135.0,0.9938,3.19,0.37,,3
6.8,0.25,0.34,4.7,,34.0,134.0,0.9927,3.21,0.38,10.6,
,0.28,0.44,9.3,0.031,35.0,137.0,0.9946,,,,4
8.3,0.41,0.51,2.0,,,207.0,0.993,,,,3
7.5,0.27,0.31,,0.057,131.0,313.0,0.9946,3.18,,,3
,0.26,,15.15,0.04,38.0,,,2.96,0.6,10.0,4
,0.34,0.23,6.3,0.039,,143.0,0.9944,,0.65,10.0,4
6.5,,0.35,15.4,,55.0,195.0,,3.23,0.5,9.6,
7.2,,0.41,,0.036,33.0,85.0,,,0.51,10.4,3
6.4,,0.35,4.8,0.03,,,0.9912,3.36,,12.5,6
,,,4.6,,,135.0,0.9927,3.2,0.39,10.6,3
6.3,0.23,,1.8,,,91.0,0.9906,3.28,,,4
,,0.34,,0.038,30.0,133.0,0.9954,3.11,0.44,9.8,3
5.6,,0.26,5.7,,12.0,,,3.25,0.38,10.8,
6.3,,0.3,,,,91.0,,,,11.8,4
6.3,0.23,0.33,,0.036,,105.0,0.991,3.32,0.42,,4
5.8,0.27,0.27,12.3,,55.0,170.0,,,0.42,9.3,4
5.9,0.26,0.4,1.3,,,,0.9945,3.45,0.53,10.4,
6.6,0.18,0.35,1.5,,49.0,,,3.43,0.85,10.2,5
7.4,,,,0.045,,,0.9964,,0.55,,5
8.0,0.24,0.36,1.5,0.047,17.0,129.0,,3.2,0.54,10.0,
6.4,0.26,0.42,,0.044,,,,,0.47,9.1,
,,0.47,3.0,,46.0,144.0,0.9931,,,10.0,3
5.4,0.29,0.47,,0.052,,145.0,0.993,3.29,0.75,10.0,
7.1,0.145,0.33,4.6,0.05,33.0,131.0,0.9942,,0.4,9.6,4
5.6,0.34,0.1,1.3,0.031,,68.0,0.9906,,0.51,11.2,5
,0.19,,15.6,0.056,75.0,155.0,0.9995,3.2,0.44,,4
7.8,0.18,0.46,13.6,0.052,38.0,118.0,0.998,,0.5,10.0,
7.6,,0.45,11.2,,,,0.997,,0.47,10.0,3
6.3,,0.36,2.1,0.044,,,0.9914,3.27,0.74,,
,,0.4,6.85,,32.0,,0.992,,0.3,,5
5.5,0.335,0.3,2.5,0.071,27.0,128.0,0.9924,3.14,0.51,,4
7.3,0.33,0.4,6.85,,,138.0,0.992,3.03,0.3,11.9,5
5.8,0.4,0.42,,0.047,38.5,245.0,0.9937,3.25,,9.6,4
7.3,0.22,0.37,14.3,0.063,48.0,,0.9978,2.89,0.38,9.0,4
,0.22,0.37,,0.063,,191.0,0.9978,2.89,,,
6.1,,0.33,1.1,,24.0,,0.9927,,0.78,,4
10.0,0.2,0.39,,,19.0,152.0,,3.0,,,4
6.9,,,4.7,,43.0,,0.9935,3.2,0.59,10.6,4
6.4,0.24,0.32,14.9,0.047,54.0,,0.9968,3.28,0.5,,4
,0.365,0.14,,0.055,24.0,84.0,0.9941,3.15,0.43,8.9,
6.8,,0.3,5.3,0.05,,127.0,0.9942,3.4,0.39,9.7,
7.3,0.22,,,0.063,48.0,191.0,0.9978,2.89,0.38,9.0,4
,0.16,0.4,2.3,0.037,18.0,102.0,,3.49,,,5
6.0,0.26,0.32,,,29.0,113.0,0.9912,,,12.3,5
6.0,0.18,,,,40.0,143.0,,3.49,0.62,,4
6.9,0.33,0.21,,0.053,,,,3.12,,9.4,
,0.29,,2.3,0.049,36.0,178.0,0.9931,,0.64,,4
7.1,0.39,,12.5,,,,0.9941,3.17,0.29,11.6,3
,,0.21,1.0,0.053,39.0,148.0,,3.12,0.45,9.4,4
7.7,0.29,0.48,,0.049,36.0,,0.9931,,,,4
,,0.19,0.8,0.048,17.0,204.0,0.9934,3.34,,10.0,3
7.2,,,,0.048,30.0,,0.9936,3.1,0.51,,4
,,,1.6,,18.0,89.0,0.9893,,0.38,12.5,5
,,,1.6,,18.0,,,3.51,0.38,,5
6.4,0.31,,,0.037,,119.0,,3.32,0.51,10.4,5
7.3,0.2,0.44,,0.045,21.0,,0.9924,3.15,,,5
5.7,0.32,,,0.049,17.0,155.0,0.9927,,,,
,0.31,0.28,1.5,0.037,12.0,,0.9919,3.32,0.51,10.4,5
7.3,0.2,,1.4,0.045,,98.0,0.9924,3.15,0.46,10.0,5
7.2,,,,0.046,,,,3.1,,9.0,4
7.5,0.35,0.28,9.6,0.051,26.0,157.0,0.9969,,0.53,9.2,4
,0.27,0.27,,0.048,,149.0,0.9936,3.1,0.51,,4
6.0,,,3.2,,20.0,125.0,0.991,3.38,0.39,11.3,5
