V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
6.1,0.27,0.43,7.5,,,,,,,9.0,3
,,0.33,,0.035,47.0,136.0,,3.26,0.4,12.6,
,,,,0.034,,,,3.25,,12.6,5
7.5,,0.32,,0.04,51.0,148.0,,3.21,0.44,,
7.1,,,12.4,,62.0,,0.9969,,0.42,9.2,4
6.0,0.34,,15.9,,,164.0,,,,8.8,4
,,,,0.034,,80.0,,,0.36,,5
,0.36,,10.5,,,,0.9956,,,10.1,
6.0,,,,,,,,3.14,0.5,,4
,,0.37,,,,,,,,9.1,3
,,,9.6,,64.0,162.0,,,0.41,9.4,3
6.0,,0.24,,0.05,,,,3.34,,,
,,,,0.059,,170.0,1.0,,0.46,,3
7.4,,0.37,13.5,0.06,,192.0,0.9975,,,,3
,0.13,,,,34.0,109.0,,3.2,0.35,,
,0.12,0.32,9.6,,64.0,,0.9962,3.4,0.41,9.4,3
,0.23,0.35,,,,171.0,,3.16,0.59,9.1,4
,0.23,0.35,16.5,0.04,60.0,,0.999,3.16,0.59,,
6.9,,0.28,,,37.0,187.0,0.9927,,,10.3,3
6.5,0.17,0.54,,0.082,,163.0,,2.89,0.39,8.8,4
,0.27,0.46,,,,255.0,1.0,3.04,0.52,,3
7.2,,0.5,13.3,0.056,,,0.9982,3.01,0.47,,3
,0.41,,,0.049,29.0,,0.9968,3.22,,9.1,3
,,0.34,,,,150.0,,3.22,,9.1,3
,0.485,0.0,,0.065,,,,3.63,,9.7,2
6.0,0.31,,,0.041,25.0,,,,0.44,11.3,
,,0.4,1.7,0.035,,85.0,,3.19,0.42,11.8,4
,0.31,,,,,195.0,,3.01,0.47,,3
7.3,0.32,0.48,,0.06,,196.0,0.9982,3.04,,9.2,
,0.36,,,0.046,21.0,,,3.22,0.51,10.2,
,,0.32,12.2,0.054,,138.0,,,0.54,8.8,
,0.16,,6.85,0.059,,131.0,,3.29,0.34,,
,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,,0.36,9.1,
6.4,,,,,,158.0,0.9928,,0.36,,4
6.7,,0.36,1.1,0.026,,143.0,0.9912,,0.48,,4
7.4,,,7.0,,29.0,126.0,0.994,,,,3
,0.24,0.32,7.6,,,203.0,0.9958,,0.54,9.7,
,0.3,0.56,2.8,,47.0,,0.9924,3.3,0.57,,
,,,,,46.0,,,,,10.9,4
,,0.25,,0.02,,57.0,,,,10.6,
,,,,,48.0,,0.9958,3.45,,9.7,5
,,0.4,,0.038,59.0,241.0,0.9979,3.23,,9.0,
,,,,,,,,,0.51,9.2,3
,,,,0.034,55.0,203.0,0.9961,,0.52,,
6.7,,,,,,,,,0.56,,
,0.23,,1.2,0.027,36.0,,0.992,,,,4
7.1,0.37,,,0.045,49.0,,,3.16,,,3
6.8,,,,,30.0,,,,0.54,,5
8.1,,,1.9,,18.0,79.0,,,0.52,,
,,0.34,,0.045,20.0,77.0,0.9927,3.3,0.43,,
7.1,,,10.5,0.045,,,0.9975,3.16,0.44,,3
7.9,0.21,,,,,107.0,0.992,,0.54,,
8.5,,,,,24.0,,0.9947,3.18,0.53,9.7,
,,,,0.037,19.0,87.0,,3.12,,,4
6.3,,0.37,,0.04,,114.0,,3.0,,,
,0.16,,,0.044,,168.0,0.9918,,,,
,,0.14,5.2,0.058,15.0,,0.9951,3.38,0.36,9.0,2
,0.34,,,,,,0.9917,3.38,0.58,,5
6.9,0.25,0.3,,0.054,,,,2.99,0.38,9.4,
,0.22,,8.0,,46.0,,0.9934,3.12,0.32,,5
,,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43,9.9,
,,0.3,4.1,,23.0,116.0,,,0.38,,4
,,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,,,3
,0.23,,7.5,,,,,,0.84,9.7,
,0.24,,14.0,,,198.0,,2.89,0.42,8.9,
7.4,0.24,0.42,,0.066,48.0,,0.9979,,0.42,,4
6.1,,0.24,1.5,,38.0,124.0,,,0.42,12.4,5
5.2,,,1.4,0.036,,,0.9894,3.36,,,6
,0.44,0.04,,,43.0,,,3.36,,12.1,
,,,1.5,0.036,,,0.9898,,,12.4,
,,0.56,,,,,,,0.4,,3
,,0.3,,,14.0,,0.9932,3.28,0.39,10.6,3
7.4,,,14.0,0.066,48.0,,,,,8.9,4
6.7,,0.35,,,64.0,,0.997,,0.5,,
7.0,,0.36,,0.051,,177.0,0.9972,,,,
8.4,,0.46,8.7,,,,0.9974,,0.59,,4
,0.46,0.18,2.4,,25.0,98.0,,3.08,,12.6,
7.5,0.29,0.31,,0.055,20.0,,,3.08,,,3
,0.42,0.48,9.85,0.034,5.0,,,2.87,,10.0,
7.1,,,1.5,,,133.0,0.9906,3.12,0.54,12.7,
7.9,,,1.5,0.045,,96.0,,,,,4
7.6,0.48,0.37,,0.037,,,,3.03,,11.4,2
,0.22,,4.55,,31.0,130.0,,3.35,0.33,,
,,,17.7,,33.0,173.0,0.999,3.09,0.64,,
,,0.4,7.5,,,151.0,0.9927,3.11,,,
,,,,0.044,,65.0,0.991,,,12.6,
5.9,,0.3,,,,170.0,,,,9.4,3
6.0,,0.07,1.2,0.06,9.0,,0.9931,3.11,,,2
,,,,,,176.0,0.995,,0.68,9.2,
6.4,,,5.5,,,,0.9951,3.19,0.66,9.3,4
7.1,0.34,0.15,1.2,,,183.0,0.9936,3.09,,9.2,3
6.8,,0.4,,,,167.0,,,,,
6.9,,0.4,,,,,0.9979,3.18,,9.6,4
6.8,0.26,0.56,,,64.0,226.0,,3.02,,,
6.8,0.29,0.56,,0.043,66.0,230.0,0.9972,3.02,0.63,,3
6.7,0.24,0.41,9.4,0.04,,,,3.12,0.61,,
,,0.23,,0.038,,,0.9924,,,,3
6.8,0.53,,3.8,,,109.0,0.9906,3.26,0.57,12.7,
6.5,,0.28,,0.047,,210.0,0.9962,3.09,,8.9,2
6.6,,,8.5,0.052,55.0,,,,0.55,8.9,
6.8,0.28,0.4,,0.048,,,,,0.5,,
6.8,,0.36,8.0,,28.0,,0.9928,3.02,0.37,,4
,0.15,0.34,,,34.0,,0.9942,,0.42,9.6,3
6.4,,0.44,3.6,,75.0,181.0,0.9942,3.02,,,3
6.4,,,3.5,0.197,76.0,180.0,0.9942,3.02,0.39,9.1,
6.4,,,,0.197,75.0,,,,0.38,,
,0.26,,,,,214.0,,3.13,0.47,,3
,,,,,52.0,204.0,0.998,,0.49,,
6.8,0.26,,,0.052,54.0,,0.9961,3.13,0.47,,
,0.27,0.26,,,,,,,,,
,0.32,0.24,,,,,0.998,3.1,,,3
6.9,,0.32,,0.05,53.0,236.0,,,,,3
,,0.34,13.9,,39.0,,,,,12.0,4
5.8,,0.35,2.3,0.053,,114.0,,3.28,,10.2,
,,,11.6,,,,,3.15,,8.8,3
,,0.32,8.3,0.045,,,0.9958,,0.34,9.2,
10.2,0.44,0.88,,0.049,,,0.9968,2.99,,9.9,2
,,0.29,,0.04,,77.0,,3.32,,,3
,,,0.9,0.048,23.0,,0.993,3.22,0.77,,4
,,0.25,9.7,,12.0,,,,0.34,,
,,,,,,111.0,,3.32,0.59,11.2,5
7.0,,,,,,,,3.21,0.34,9.2,
,,0.29,,0.051,,,0.9944,,,9.7,4
,0.25,,1.4,,35.0,,0.9912,3.3,0.44,11.1,5
5.8,,,9.2,0.044,,,0.9961,,,,
,,,7.0,,45.0,164.0,0.9939,3.03,0.33,11.0,
,,0.24,,,55.0,,,,,9.4,
,,,17.5,0.044,60.0,,0.9989,3.31,,,
,,,,,43.0,,0.9938,3.04,,,
7.5,,,7.0,,,,,3.03,,11.0,3
7.2,0.685,,9.5,0.07,,,0.9971,,,9.1,
,0.25,,,,35.0,105.0,,3.3,0.44,11.1,
6.5,,,,0.043,,,,,,,
6.3,0.495,,,0.046,31.0,,,3.39,,10.4,4
7.1,0.24,,17.8,0.046,,,,,0.39,,
6.4,0.17,,,0.048,,,0.9938,3.5,0.5,,4
7.1,,0.32,,,,272.0,0.9969,3.17,,,4
6.4,,,2.4,,41.0,,0.9938,,0.5,9.7,
,0.24,0.41,17.8,,39.0,,,,,8.7,
6.8,,,9.7,,26.0,142.0,0.9972,,,,2
,0.28,0.4,,0.041,38.0,,0.9976,3.34,,,
8.2,0.27,0.39,,,49.0,208.0,0.9976,,,9.5,4
,0.23,0.38,14.3,,,194.0,0.9979,3.09,,,4
7.2,0.23,0.38,,,,194.0,,3.09,0.44,9.0,4
7.2,,,,0.058,,,,,,,4
7.2,,0.38,14.3,0.058,,,,,0.44,9.0,
,0.52,,13.2,0.044,,,0.9972,3.27,,9.6,4
7.0,0.26,0.59,,0.037,,,0.9918,,0.41,11.1,
,0.25,,15.55,0.039,28.0,,,,,9.6,
7.3,0.32,0.23,13.7,,49.0,,0.9985,,0.46,8.7,
7.7,0.31,,7.8,0.031,,90.0,,3.13,,10.4,3
7.1,,0.37,2.4,0.026,,100.0,0.9903,3.15,0.38,,5
6.8,0.24,0.34,2.7,0.047,,218.5,0.9934,3.3,0.58,,4
,,0.56,11.2,0.043,40.0,142.0,0.9975,,,8.7,
6.1,,,2.0,0.038,,249.5,,3.37,,,4
6.8,0.21,0.27,2.1,0.03,,139.0,,,,12.6,5
5.8,,,1.4,0.031,,77.0,0.9905,3.25,0.36,10.9,
,,0.26,,,12.0,76.0,,3.25,0.37,,5
,,,,0.037,,119.0,0.996,,0.45,10.0,3
,,0.28,4.6,,,199.0,0.9964,3.72,,,2
8.5,,0.21,,,,197.0,,,0.5,,
6.9,,0.56,11.2,,,142.0,0.9975,3.14,,,
,0.24,0.44,3.5,,,,,,,11.7,
,,0.39,1.5,0.054,,158.0,,,0.52,9.3,
,0.26,,1.1,0.04,45.0,147.0,0.9935,3.32,,9.6,6
,0.35,0.3,,,8.0,,0.9927,,0.41,11.0,
6.3,0.35,,5.7,,8.0,,,3.27,,,
,0.23,0.39,,,,,0.9912,,0.5,,
5.8,,0.38,0.9,0.037,3.0,75.0,0.9904,3.28,,,
,,,5.4,0.048,36.0,108.0,,3.32,,10.2,
,0.29,,,,36.0,,0.9996,2.93,0.47,,
6.9,,0.4,8.2,,15.0,,0.9944,3.17,0.33,,3
,,,13.6,0.045,66.0,231.0,0.9977,,0.59,,
,0.24,0.35,1.2,,22.0,,,,0.48,,
6.9,0.29,,19.45,,36.0,,,,,8.9,3
6.9,0.32,0.26,,0.053,32.0,,,,,,4
5.3,,0.07,6.9,0.043,,,0.9944,,0.57,,
,0.585,0.07,7.1,,34.0,,,,0.57,9.7,4
5.4,0.59,0.07,7.0,0.045,36.0,,0.9944,3.34,0.57,9.7,
,,,,,,,0.9965,,,9.2,
,0.6,,,,33.0,,0.9944,3.33,0.58,9.7,
5.8,,0.26,,,44.0,148.0,,3.29,0.38,,
,0.58,0.3,,0.057,30.0,,0.9949,3.24,,9.0,3
,,0.54,,0.046,,,,3.05,0.61,,
6.6,,0.41,,,,,,3.14,0.57,9.8,
,0.2,,,,50.0,,,,0.58,9.8,
,,0.4,,,9.0,60.0,,,0.5,10.6,
,,,1.2,,14.0,67.0,0.9919,3.05,,10.6,2
,,,,,,,0.9916,3.26,0.68,12.4,
7.0,,0.36,2.8,0.034,,,0.99,,,12.6,6
,,,,0.039,,,0.9909,,,12.3,6
6.8,0.44,,5.1,,,201.0,0.9938,3.08,0.65,10.5,
,,0.3,,0.054,51.0,196.0,0.9982,,,9.3,3
,,,15.4,0.055,,198.0,0.9988,,0.49,8.8,
,,,,,47.0,180.0,0.9961,3.08,0.47,,3
6.5,0.28,,15.7,,,,,,,,4
7.2,0.23,0.39,,,49.0,,,2.98,,9.0,
7.2,0.23,0.39,14.2,0.058,,192.0,,2.98,,,
7.2,0.23,0.39,,0.058,49.0,192.0,0.9979,,,,5
,0.23,0.39,14.2,0.058,,,0.9979,2.98,0.48,9.0,
5.9,,,5.8,,53.0,155.0,0.9945,3.52,,,4
,0.28,0.42,19.8,,,,,,,,
6.2,0.28,0.22,,0.041,26.0,,,3.44,0.64,9.8,
,,,1.6,0.066,34.0,,0.9968,3.23,0.38,8.5,
,0.33,0.27,,0.046,,175.0,0.9934,,0.54,,4
,,0.7,,,33.0,,0.9976,,,9.4,
,,,3.8,0.041,82.0,,,3.19,,,5
,0.17,0.44,,0.046,65.0,,,3.17,,10.0,4
6.7,,,2.1,0.043,27.0,122.0,0.9923,,0.45,10.3,4
,,0.0,,0.063,36.0,,0.9914,3.27,0.67,10.8,
,0.2,,0.9,0.05,12.0,,0.992,3.13,0.38,,
6.1,,,,,36.0,,0.9914,,0.67,10.8,
,,,1.3,,42.0,,,3.32,,,4
,,0.24,,,,,0.9949,3.2,0.41,9.9,
7.3,,0.24,,0.057,,,,3.2,0.41,,4
7.2,,0.24,6.7,,40.0,,,,0.41,,
7.3,0.4,0.24,,0.058,,,,3.2,,9.9,4
,,0.27,,0.036,,134.0,0.9927,,0.42,10.4,5
,,0.26,4.8,0.037,36.0,,,3.21,0.41,,
,,,,0.035,16.0,100.0,0.9917,,0.71,,5
5.0,,0.14,8.3,,,164.0,,,,,
7.8,,0.41,3.7,,,149.0,,,0.45,,
5.7,0.36,,,0.038,51.0,166.0,0.9941,3.29,0.63,,4
5.8,,,6.6,,,167.0,,3.29,0.62,,3
,0.28,0.6,1.1,0.132,42.0,,,,0.44,9.1,
,,0.34,,0.031,,,,3.21,,10.6,
6.6,0.24,,7.7,,,,,3.19,0.37,10.5,3
5.9,0.3,0.47,7.85,,,133.0,,3.52,,,5
,0.125,,3.3,0.04,10.0,,,3.54,0.59,,4
,0.1,0.24,,0.041,15.0,,0.9927,3.61,0.61,,5
,,,7.7,,36.0,135.0,0.9938,,0.37,10.5,3
6.8,,0.34,4.7,0.031,,134.0,0.9927,,,,4
6.8,,0.44,9.3,0.031,35.0,137.0,,3.16,0.36,,4
8.3,0.41,,,0.046,11.0,207.0,0.993,,,,
,0.27,0.31,5.8,0.057,131.0,,0.9946,3.18,0.59,10.5,3
7.9,0.26,,,0.04,,,,,,10.0,
6.4,0.34,,,0.039,,,,,0.65,10.0,
,0.28,,,,,,,3.23,0.5,9.6,4
7.2,,0.41,,,,,,,0.51,,
,,0.35,4.8,0.03,34.0,101.0,,3.36,,12.5,6
6.8,0.24,0.34,,0.032,37.0,,,3.2,0.39,10.6,3
6.3,0.23,,,,,,,,0.4,,
,,0.34,,0.038,,133.0,,,,9.8,
,,0.26,,,12.0,80.0,0.9923,,0.38,10.8,3
6.3,,0.3,1.8,,16.0,91.0,0.9906,,0.4,,4
,0.23,,1.5,0.036,15.0,,0.991,,0.42,,4
,,,,,,,0.9972,3.28,0.42,,
5.9,,0.4,1.3,0.047,12.0,,0.9945,,,,
6.6,,,1.5,0.049,,,0.9934,,,,5
,,,,0.045,27.0,153.0,,3.19,0.55,9.0,
,0.24,0.36,,0.047,,129.0,0.9948,3.2,,10.0,
,0.26,,9.7,,30.0,140.0,,3.18,,9.1,
,,,,,,,,,,10.0,
,0.29,,,0.052,47.0,145.0,0.993,3.29,0.75,,
7.1,,0.33,,0.05,,131.0,,3.28,,9.6,
5.6,0.34,,,0.031,,68.0,,3.36,0.51,,5
,,0.41,15.6,0.056,75.0,155.0,,,,8.8,
,,,,,38.0,,0.998,,,10.0,
7.6,,,11.2,,,,,,0.47,10.0,
6.3,,,,,47.0,,,,,,5
7.3,,0.4,6.85,,,138.0,,3.03,0.3,,5
,,0.3,,0.071,,128.0,0.9924,,0.51,9.6,4
,,0.4,6.85,,,,,,,11.9,5
,,0.42,,,,245.0,0.9937,3.25,0.57,9.6,4
,,,,,,,,2.89,,,4
7.3,0.22,,14.3,,48.0,,,2.89,0.38,9.0,4
6.1,,0.33,,,,169.0,0.9927,,0.78,,
10.0,,,1.4,0.05,19.0,,0.994,,,,4
6.9,,,4.7,0.04,43.0,161.0,,,,10.6,
6.4,0.24,,14.9,0.047,54.0,,,,0.5,,4
7.1,,0.14,,,24.0,,,3.15,0.43,,3
,,,,,,127.0,,,,,
7.3,0.22,,,0.063,,,,2.89,0.38,,4
,,0.4,,0.037,18.0,,,3.49,0.42,11.4,
6.0,,,,,29.0,113.0,0.9912,,,12.3,
,0.18,,,0.089,,143.0,0.9923,3.49,,,4
6.9,,,1.0,,39.0,,0.9927,,0.45,,4
,0.29,0.48,2.3,0.049,,,,,0.64,,4
,0.39,,,0.044,,72.0,,3.17,0.29,,3
6.9,,,1.0,0.053,39.0,,0.9927,,0.45,9.4,4
,0.29,0.48,,,,178.0,,3.17,,10.6,4
6.6,0.905,,0.8,0.048,,,,3.34,0.56,,
,,0.27,,0.048,30.0,,,3.1,0.51,,
,0.33,0.22,1.6,,18.0,,0.9893,,0.38,,5
,0.33,,1.6,,18.0,89.0,,,,,5
6.4,0.31,,,,12.0,119.0,,,0.51,,
7.3,,0.44,,0.045,21.0,98.0,0.9924,,,,
,0.32,0.5,2.6,0.049,17.0,155.0,,,,10.0,4
6.4,0.31,0.28,,0.037,12.0,,0.9919,,0.51,10.4,5
7.3,0.2,0.44,,,21.0,98.0,,,0.46,10.0,5
,,,,,,,0.9975,3.1,,,4
7.5,0.35,,,,26.0,157.0,0.9969,3.12,0.53,9.2,
7.2,,,2.4,0.048,,149.0,,,0.51,,4
,0.36,0.39,3.2,0.027,20.0,,,3.38,0.39,11.3,5
,0.33,,1.6,0.027,18.0,89.0,0.9893,,0.38,,
,,,,,,115.0,0.9906,,,10.8,5
,0.39,0.35,,0.04,82.5,,,,,,3
,0.21,,,,29.0,140.0,0.995,3.39,0.46,,4
,0.3,0.38,14.9,0.032,60.0,,0.9983,3.18,,,
,0.3,0.38,,0.032,,181.0,0.9983,3.18,,,5
,0.36,,1.1,0.031,13.0,66.0,0.9916,,0.46,,3
,,0.15,,0.031,,125.0,,3.36,0.47,,
7.3,,0.43,2.0,,20.0,,0.99,,,,4
,0.37,0.51,11.8,0.044,,,0.9976,,,8.8,
,,0.12,1.3,0.04,87.0,,0.992,,,10.0,3
,,,1.8,0.031,30.0,93.0,0.9917,3.09,,11.4,
6.3,,,1.5,0.037,35.0,,0.9917,3.46,,11.4,4
,,0.27,,0.048,52.0,,0.9993,3.35,,9.4,
,0.19,,,0.032,,83.0,,3.3,,11.7,4
6.3,,,1.5,0.037,,,,,,11.4,
,0.37,0.51,11.8,0.044,,163.0,0.9976,,,8.8,3
6.1,0.35,0.07,,,,108.0,,3.23,0.52,9.2,
7.1,,0.31,18.2,,,252.0,1.0,,0.56,,
6.8,,0.31,6.3,,33.0,,0.9918,3.24,0.66,12.6,
6.8,0.27,,,0.04,87.0,168.0,,,0.41,10.0,
,,,,0.031,40.0,99.0,,3.39,0.39,,5
6.9,,,,,,,0.9932,3.17,0.51,9.4,3
6.3,,0.39,1.2,0.044,26.0,116.0,,3.26,,10.3,4
,,,,,30.0,,0.9917,3.09,0.39,11.4,
7.2,0.25,,18.95,,,,,,,,
7.3,0.28,0.36,12.7,,,140.0,0.998,,0.79,9.6,
7.2,0.19,,,,32.0,,0.9918,,0.5,,3
,0.19,,1.2,,32.0,,,3.16,,,
,0.25,,18.95,0.038,42.0,,,2.97,0.47,,4
,0.28,0.36,,,,140.0,,3.3,,,
,,0.27,,,,,,,,9.8,
6.8,,,,,,210.0,,3.1,0.47,9.0,3
,0.21,0.27,1.2,,,99.0,0.9927,3.19,0.33,9.8,4
7.4,,,1.6,0.05,,,,,,10.5,4
7.0,,0.31,2.7,0.03,41.0,136.0,,3.16,0.37,12.7,5
7.0,,0.28,8.7,,,,0.9954,3.25,,,
,,,8.6,,37.0,221.0,,,,10.4,4
7.0,0.21,,8.6,0.045,37.0,,,,,,4
6.9,,0.38,,,,162.0,,3.34,,10.5,
,,,,,,222.0,,,0.54,,
7.0,,0.28,,,,221.0,,,0.54,,4
,0.29,0.5,,,48.0,194.0,0.9974,3.09,0.45,9.4,3
,0.21,,1.2,,20.0,89.0,0.9936,3.06,,,3
,,,13.6,0.056,54.0,,,,0.49,9.3,
,,,,0.053,48.0,,0.9974,,,9.4,
,0.34,0.1,1.1,,19.0,,,,0.38,,
,0.155,0.34,,0.045,73.5,,,,,9.9,5
,0.55,,1.5,0.108,,151.0,0.9938,3.07,,9.2,2
,0.23,0.36,7.1,,,104.0,0.9922,,,12.1,
,0.2,,6.2,,24.0,,0.992,3.38,0.49,,5
,0.28,0.32,,,23.0,,0.9935,,,,3
6.6,0.16,0.32,,,49.0,,,3.35,,,
7.4,,0.34,,,73.5,,0.9934,3.18,0.61,9.9,
6.2,,,1.2,0.06,23.0,108.0,0.9934,,,9.2,
6.7,0.22,,1.6,0.028,,,0.9913,,0.59,11.6,5
,,,,0.033,,137.0,0.9938,,0.69,10.4,
,0.25,,2.2,,,126.0,0.9898,3.43,0.65,12.9,6
,,,12.2,0.048,54.0,245.0,,3.26,,,
,0.24,,20.8,0.031,,,0.9975,,,,4
7.1,0.32,0.32,11.0,0.038,16.0,,,,0.4,11.5,1
5.8,0.28,0.27,2.6,0.054,30.0,156.0,0.9914,3.53,,,3
,,,,,24.0,113.0,0.9982,,,9.8,
,,,,,24.0,,,3.44,,9.8,4
6.4,,,1.6,,34.0,127.0,0.9929,,,,
7.2,0.6,,,0.07,,174.0,0.9971,3.03,,9.1,
,0.2,,,,,,,3.24,,10.1,
,,,,0.042,,160.0,,,0.51,,5
6.0,,,1.6,,32.0,,,,0.51,,5
,,0.29,,0.052,,,,,0.56,10.5,
6.4,0.41,,14.0,0.048,24.0,,,,0.53,,4
,0.23,0.31,1.5,,11.0,82.0,,3.3,,,
7.1,,,,0.056,,111.0,0.9956,,,9.5,3
6.0,0.37,,,0.053,,,0.9924,3.29,,9.8,4
,,0.35,9.1,,83.0,,,,,8.5,3
,,,8.6,0.056,26.0,111.0,0.9956,,,,3
,0.25,,15.2,0.047,,171.0,,3.22,0.45,9.3,
,0.25,,12.4,,,,,3.35,,9.5,
,,,,,15.0,68.0,0.9932,3.17,0.39,,4
,,0.62,,,,,0.9976,,,,
,,0.58,10.0,0.081,34.0,,0.9962,2.95,,,3
,0.14,0.32,,0.039,,,0.9956,3.22,0.43,9.4,4
6.8,0.32,,2.2,,,,,3.17,0.39,9.4,
7.2,0.39,0.62,,,,178.0,0.9976,,,,3
,0.29,0.53,18.15,0.047,59.0,,,,0.52,9.6,3
8.6,,,,0.039,21.0,,0.9983,3.0,,,
,0.38,,,,,200.0,,,,10.0,
