,name,addr,city,phone,type,class
140,palace court,3570 las vegas blvd. s,las vegas,702/731-7547,?,70
141,palace court,3570 las vegas blvd. s.,las vegas,?,?,70
142,second street grille,200 e. fremont st.,?,702/385-3232,seafood,?
143,second street grill,200 e. fremont st.,las vegas,702-385-6277,?,71
144,steak house,2880 las vegas blvd. s,?,702/734-0410,?,72
145,steak house  the,2880 las vegas blvd. s.,?,?,steakhouses,?
146,tillerman,2245 e. flamingo rd.,?,702/731-4036,seafood,?
147,tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,?,73
148,abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,404/261-8186,?,?
149,abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,74
150,bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,75
151,bacchanalia,3125 piedmont rd.,?,404-365-0410,?,75
152,bone's,3130 piedmont road,?,?,?,?
153,bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,?,76
154,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,?
155,brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,?,?
156,buckhead diner,3073 piedmont road,?,?,american,?
157,buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,?,?
158,ciboulette,1529 piedmont ave.,?,404/874-7600,?,?
159,ciboulette restaurant,1529 piedmont ave.,?,404-874-7600,french (new),79
160,delectables,1 margaret mitchell sq.,atlanta,?,american,80
161,delectables,1 margaret mitchell sq.,atlanta,?,cafeterias,80
162,georgia grille,2290 peachtree rd.  peachtree square shopping center,?,?,american,81
163,georgia grille,2290 peachtree rd.,?,?,southwestern,?
164,hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,?,?
165,hedgerose heights inn  the,490 e. paces ferry rd. ne,?,404-233-7673,?,82
166,heera of india,595 piedmont ave.  rio shopping mall,atlanta,?,asian,83
167,heera of india,595 piedmont ave.,?,?,?,83
168,indigo coastal grill,1397 n. highland ave.,atlanta,404/876-0676,?,?
169,indigo coastal grill,1397 n. highland ave.,?,?,eclectic,?
170,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,?,?,85
171,la grotta,2637 peachtree rd. ne,?,404-231-1368,italian,85
172,mary mac's tea room,224 ponce de leon ave.,atlanta,?,?,86
173,mary mac's tea room,224 ponce de leon ave.,?,?,?,?
174,nikolai's roof,255 courtland st.  at harris st.,?,?,?,?
175,nikolai's roof,255 courtland st.,?,?,continental,87
176,pano's and paul's,1232 w. paces ferry rd.,?,404/261-3662,international,88
177,pano's & paul's,1232 w. paces ferry rd.,atlanta,?,?,?
178,cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,?,ext 6108 international,89
179,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,?,?,american (new),?
180,dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,?,90
181,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,?,?,?,90
182,restaurant  ritz-carlton  atlanta,181 peachtree st.,?,?,continental,91
183,ritz-carlton restaurant,181 peachtree st.,atlanta,?,french (classic),?
184,toulouse,b peachtree rd.,atlanta,?,french,?
185,toulouse,293-b peachtree rd.,?,?,french (new),?
186,veni vidi vici,41 14th st.,?,404/875-8424,?,93
187,veni vidi vici,41 14th st.,?,?,italian,93
188,alain rondelli,126 clement st.,?,?,french,?
189,alain rondelli,126 clement st.,?,?,french (new),94
190,aqua,252 california st.,san francisco,415/956-9662,?,?
191,aqua,252 california st.,san francisco,415-956-9662,american (new),95
192,boulevard,1 mission st.,?,415/543-6084,american,96
193,boulevard,1 mission st.,san francisco,?,?,96
194,cafe claude,7 claude la.,?,?,?,97
195,cafe claude,7 claude ln.,?,415-392-3505,?,97
196,campton place,340 stockton st.,san francisco,415/955-5555,american,98
197,campton place,340 stockton st.,?,?,american (new),98
198,chez michel,804 northpoint,san francisco,?,french,99
199,chez michel,804 north point st.,?,?,californian,?
200,fleur de lys,777 sutter st.,san francisco,415/673-7779,french,?
201,fleur de lys,777 sutter st.,?,?,french (new),?
202,fringale,570 4th st.,?,415/543-0573,?,?
203,fringale,570 fourth st.,san francisco,?,french bistro,101
204,hawthorne lane,22 hawthorne st.,?,415/777-9779,american,102
205,hawthorne lane,22 hawthorne st.,san francisco,?,?,102
206,khan toke thai house,5937 geary blvd.,?,415/668-6654,?,103
207,khan toke thai house,5937 geary blvd.,?,?,thai,103
208,la folie,2316 polk st.,?,415/776-5577,?,104
209,la folie,2316 polk st.,?,?,french (new),104
210,lulu,816 folsom st.,?,?,mediterranean,?
211,lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,?,?
212,masa's,648 bush st.,san francisco,415/989-7154,french,?
213,masa's,648 bush st.,san francisco,?,?,106
214,mifune japan center  kintetsu building,1737 post st.,san francisco,?,?,?
215,mifune,1737 post st.,san francisco,?,japanese,?
216,plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean,108
217,plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new),?
218,postrio,545 post st.,?,?,american,?
219,postrio,545 post st.,?,415-776-7825,?,109
220,ritz-carlton restaurant and dining room,600 stockton st.,?,415/296-7465,american,110
221,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,?,?,?
222,rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,111
223,rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,?
224,adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,?,?
225,barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113
226,beaurivage,26025 pacific coast hwy.,malibu,?,?,114
227,bistro garden,176 n. canon dr.,?,310/550-3900,?,?
228,border grill,4th st.,los angeles,?,?,116
229,broadway deli,3rd st. promenade,santa monica,?,?,?
230,ca'brea,346 s. la brea ave.,?,213/938-2863,?,?
231,ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,italian,?
232,cafe pinot,700 w. fifth st.,los angeles,213/239-6500,?,120
233,california pizza kitchen,207 s. beverly dr.,los angeles,?,californian,121
234,canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,122
235,cava,3rd st.,los angeles,213/658-8898,mediterranean,123
236,cha cha cha,656 n. virgil ave.,?,213/664-7723,caribbean,?
237,chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,?,?
238,clearwater cafe,168 w. colorado blvd.,?,?,?,?
239,dining room,9500 wilshire blvd.,los angeles,?,?,127
240,dive!,10250 santa monica blvd.,los angeles,?,?,128
241,drago,2628 wilshire blvd.,?,310/828-1585,italian,129
242,drai's,730 n. la cienega blvd.,?,310/358-8585,french,130
243,dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental,?
244,eclipse,8800 melrose ave.,los angeles,?,californian,?
245,ed debevic's,134 n. la cienega,los angeles,?,?,133
246,el cholo,1121 s. western ave.,?,213/734-2773,mexican,?
247,gilliland's,2424 main st.,santa monica,?,american,135
248,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,?,136
249,hard rock cafe,8600 beverly blvd.,?,310/276-7605,?,137
250,harry's bar & american grill,2020 ave. of the stars,?,?,?,138
251,il fornaio cucina italiana,301 n. beverly dr.,los angeles,?,?,?
252,jack sprat's grill,10668 w. pico blvd.,los angeles,?,?,140
253,jackson's farm,439 n. beverly drive,?,310/273-5578,californian,141
254,jimmy's,201 moreno dr.,?,310/552-2394,?,?
255,joss,9255 sunset blvd.,los angeles,310/276-1886,asian,?
256,le colonial,8783 beverly blvd.,los angeles,?,?,?
257,le dome,8720 sunset blvd.,?,310/659-6919,french,?
258,louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian,146
259,mon kee seafood restaurant,679 n. spring st.,los angeles,213/628-6717,?,?
260,morton's,8764 melrose ave.,?,310/276-5205,american,?
261,nate 'n' al's,414 n. beverly dr.,?,?,american,149
262,nicola,601 s. figueroa st.,los angeles,213/485-0927,american,?
263,ocean avenue,1401 ocean ave.,?,?,?,?
264,orleans,11705 national blvd.,los angeles,?,?,152
265,pacific dining car,6th st.,?,213/483-6000,?,?
266,paty's,10001 riverside dr.,toluca lake,818/761-9126,?,154
267,pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian,155
268,posto,14928 ventura blvd.,?,818/784-4400,italian,156
269,prego,362 n. camden dr.,los angeles,?,italian,157
270,rj's the rib joint,252 n. beverly dr.,los angeles,310/274-7427,?,?
271,remi,3rd st. promenade,santa monica,?,?,?
272,restaurant horikawa,111 s. san pedro st.,?,213/680-9355,?,160
273,roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,?,?
274,schatzi on main,3110 main st.,?,?,continental,?
275,sofi,3rd st.,?,?,mediterranean,?
276,swingers,8020 beverly blvd.,los angeles,?,american,?
277,tavola calda,7371 melrose ave.,?,?,italian,?
278,the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,166
279,tommy tang's,7313 melrose ave.,?,213/937-5733,asian,167
280,tra di noi,3835 cross creek rd.,los angeles,310/456-0169,?,?
281,trader vic's,9876 wilshire blvd.,?,310/276-6345,asian,169
282,vida,1930 north hillhurst ave.,?,213/660-4446,american,170
283,west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american,?
284,20 mott,20 mott st.  between bowery and pell st.,?,?,?,?
285,9 jones street,9 jones st.,new york,?,american,173
286,adrienne,700 5th ave. at 55th st.,new york,?,french,174
287,agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,?,mediterranean,?
288,aja,937 broadway at 22nd st.,new york,212/473-8388,american,176
289,alamo,304 e. 48th st.,?,?,?,177
290,alley's end,311 w. 17th st.,new york,212/627-8899,american,178
291,ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,?,?
292,american place,2 park ave. at 32nd st.,?,212/684-2122,american,180
293,anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,italian,?
294,arizona,206 206 e. 60th st.,?,?,?,182
295,arturo's,106 w. houston st.  off thompson st.,new york,?,?,?
296,au mandarin,200-250 vesey st. world financial center,?,?,?,184
297,bar anise,1022 3rd ave.  between 60th and 61st sts.,?,?,mediterranean,185
298,barbetta,321 w. 46th st.,new york,?,italian,186
299,ben benson's,123 w. 52nd st.,?,212/581-8888,american,?
300,big cup,228 8th ave.  between 21st and 22nd sts.,new york,?,coffee bar,188
301,billy's,948 1st ave.  between 52nd and 53rd sts.,new york,?,?,?
302,boca chica,13 1st ave.  near 1st st.,new york,?,latin american,?
303,bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,?
304,boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,?,?
305,bouterin,420 e. 59th st.  off 1st ave.,new york,?,french,?
306,brothers bar-b-q,225 varick st. at clarkston st.,?,212/727-2775,american,?
307,bruno,240 e. 58th st.,?,212/688-4190,?,?
308,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,?,212/840-6500,?,?
309,c3,103 waverly pl.  near washington sq.,?,?,american,197
310,ct,111 e. 22nd st.  between park ave. s and lexington ave.,?,?,french,198
311,cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,?,?,199
312,cafe botanica,160 central park s,new york,?,french,200
313,cafe la fortuna,69 w. 71st st.,new york,212/724-5846,?,?
314,cafe luxembourg,200 w. 70th st.,?,?,french,?
315,cafe pierre,2 e. 61st st.,new york,212/940-8185,?,203
316,cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french,?
317,cafe fes,246 w. 4th st. at charles st.,?,?,mediterranean,205
318,caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,?,?,206
319,caffe dell'artista,46 greenwich ave.,?,212/645-4431,coffee bar,207
320,caffe lure,169 sullivan st.  between houston and bleecker sts.,?,?,?,?
321,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,?,?,coffee bar,209
322,caffe roma,385 broome st. at mulberry,?,?,coffee bar,210
323,caffe vivaldi,32 jones st. at bleecker st.,new york,?,?,?
324,caffe bondi ristorante,7 w. 20th st.,?,212/691-8136,?,?
325,capsouto freres,451 washington st.  near watts st.,?,212/966-4900,?,213
326,captain's table,860 2nd ave. at 46th st.,?,212/697-9538,?,?
327,casa la femme,150 wooster st.  between houston and prince sts.,?,?,middle eastern,?
328,cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,?,212/343-9012,asian,?
329,chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,?,?,french,217
330,chiam,160 e. 48th st.,?,212/371-2323,asian,218
331,china grill,60 w. 53rd st.,new york,?,?,?
332,cite,120 w. 51st st.,new york,?,french,220
333,coco pazzo,23 e. 74th st.,new york,212/794-0205,italian,?
334,columbus bakery,53rd sts.,new york,?,coffee bar,?
335,corrado cafe,1013 3rd ave.  between 60th and 61st sts.,?,?,?,223
336,cupcake cafe,522 9th ave. at 39th st.,new york,?,?,224
337,da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian,225
338,dean & deluca,121 prince st.,?,212/254-8776,?,226
339,diva,341 w. broadway  near grand st.,new york,212/941-9024,?,?
340,dix et sept,181 w. 10th st.,new york,?,?,228
341,docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,?
342,duane park cafe,157 duane st.  between w. broadway and hudson st.,?,212/732-5555,american,230
343,el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,?,231
344,emily's,1325 5th ave. at 111th st.,?,?,american,?
345,empire korea,6 e. 32nd st.,new york,?,?,?
346,ernie's,2150 broadway  between 75th and 76th sts.,?,?,american,234
347,evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,?,235
348,f. ille ponte ristorante,39 desbrosses st.  near west st.,?,212/226-4621,italian,?
349,felix,340 w. broadway at grand st.,new york,212/431-0021,?,?
350,ferrier,29 e. 65th st.,?,?,french,238
351,fifty seven fifty seven,57 e. 57th st.,new york,?,american,?
352,film center cafe,635 9th ave.  between 44th and 45th sts.,?,?,american,240
353,fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,?,?,?,?
354,firehouse,522 columbus ave.  between 85th and 86th sts.,?,212/595-3139,?,?
355,first,87 1st ave.  between 5th and 6th sts.,new york,?,?,?
356,fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,?
357,fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar,?
358,flowers,21 west 17th st.  between 5th and 6th aves.,new york,?,?,?
359,follonico,6 w. 24th st.,?,?,italian,247
360,fraunces tavern,54 pearl st. at broad st.,?,?,?,?
361,french roast,458 6th ave. at 11th st.,?,212/533-2233,?,249
362,french roast cafe,2340 broadway at 85th st.,?,?,coffee bar,250
363,frico bar,402 w. 43rd st.  off 9th ave.,new york,?,?,?
364,fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,?,212/769-1144,?,?
365,gabriela's,685 amsterdam ave. at 93rd st.,?,212/961-0574,?,?
366,gallagher's,228 w. 52nd st.,?,212/245-5336,american,?
367,gianni's,15 fulton st.,new york,212/608-7300,seafood,?
368,girafe,208 e. 58th st.  between 2nd and 3rd aves.,?,?,italian,256
369,global,33 93 2nd ave.  between 5th and 6th sts.,?,212/477-8427,?,257
370,golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian,?
371,grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,?,212/777-5922,italian,?
372,halcyon,151 w. 54th st.  in the rihga royal hotel,?,?,?,?
373,hard rock cafe,221 w. 57th st.,?,?,american,261
374,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,?,?
375,home,20 cornelia st.  between bleecker and w. 4th st.,?,212/243-9579,american,?
376,hudson river club,4 world financial center,?,212/786-1500,?,264
377,i trulli,122 e. 27th st.  between lexington and park aves.,new york,?,italian,?
378,il cortile,125 mulberry st.  between canal and hester sts.,?,212/226-6060,italian,266
379,il nido,251 e. 53rd st.,?,?,?,267
380,inca grill,492 broome st.  near w. broadway,new york,?,latin american,?
381,indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian,269
382,internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,?,coffee bar,270
383,ipanema,13 w. 46th st.,?,212/730-5848,?,?
384,jean lafitte,68 w. 58th st.,?,?,french,?
385,jewel of india,15 w. 44th st.,new york,212/869-5544,asian,?
386,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,?,?,asian,274
387,joe allen,326 w. 46th st.,?,?,american,275
388,judson grill,152 w. 52nd st.,new york,?,american,276
389,l'absinthe,227 e. 67th st.,?,?,?,277
390,l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,?
391,l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french,?
392,l'udo,432 lafayette st.  near astor pl.,?,?,french,?
393,la reserve,4 w. 49th st.,?,212/247-2993,french,281
394,lanza restaurant,168 1st ave.  between 10th and 11th sts.,?,212/674-7014,italian,282
395,lattanzi ristorante,361 w. 46th st.,?,?,?,283
396,layla,211 w. broadway at franklin st.,?,?,middle eastern,?
397,le chantilly,106 e. 57th st.,new york,?,french,285
398,le colonial,149 e. 57th st.,?,?,?,?
399,le gamin,50 macdougal st.  between houston and prince sts.,new york,?,?,?
400,le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,?,?
401,le madri,168 w. 18th st.,new york,212/727-8022,italian,289
402,le marais,150 w. 46th st.,new york,?,?,?
403,le perigord,405 e. 52nd st.,new york,212/755-6244,?,?
404,le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,?,?
405,les halles,411 park ave. s  between 28th and 29th sts.,?,212/679-4111,?,293
406,lincoln tavern,51 w. 64th st.,?,?,american,294
407,lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,?,?
408,lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american,?
409,mad fish,2182 broadway  between 77th and 78th sts.,?,212/787-0202,seafood,297
410,main street,446 columbus ave.  between 81st and 82nd sts.,?,212/873-5025,?,?
411,mangia e bevi,800 9th ave. at 53rd st.,new york,?,italian,299
412,manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,212/888-6556,american,300
413,manila garden,325 e. 14th st.  between 1st and 2nd aves.,?,?,?,301
414,marichu,342 e. 46th st.  between 1st and 2nd aves.,?,212/370-1866,?,302
415,marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,?,coffee bar,303
416,match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,?,?
417,matthew's,1030 3rd ave. at 61st st.,?,212/838-4343,american,?
418,mavalli palace,46 e. 29th st.,new york,?,asian,?
419,milan cafe and coffee bar,120 w. 23rd st.,?,212/807-1801,coffee bar,?
420,monkey bar,60 e. 54th st.,new york,212/838-2600,american,308
