,name,addr,city,phone,type,class
238,clearwater cafe,168 w. colorado blvd.,los angeles,?,health food,?
239,dining room,9500 wilshire blvd.,los angeles,310/275-5200,californian,?
240,dive!,10250 santa monica blvd.,los angeles,310/788-,?,?
241,drago,2628 wilshire blvd.,?,?,italian,?
242,drai's,730 n. la cienega blvd.,?,?,french,?
243,dynasty room,930 hilgard ave.,los angeles,?,continental,?
244,eclipse,8800 melrose ave.,?,?,?,132
245,ed debevic's,134 n. la cienega,los angeles,?,american,133
246,el cholo,1121 s. western ave.,los angeles,213/734-2773,?,134
247,gilliland's,2424 main st.,?,?,american,?
248,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,?,?,?
249,hard rock cafe,8600 beverly blvd.,?,?,?,137
250,harry's bar & american grill,2020 ave. of the stars,los angeles,310/277-2333,?,138
251,il fornaio cucina italiana,301 n. beverly dr.,?,?,italian,139
252,jack sprat's grill,10668 w. pico blvd.,?,310/837-6662,?,140
253,jackson's farm,439 n. beverly drive,?,?,californian,141
254,jimmy's,201 moreno dr.,los angeles,310/552-2394,continental,142
255,joss,9255 sunset blvd.,los angeles,?,asian,?
256,le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian,144
257,le dome,8720 sunset blvd.,los angeles,310/659-6919,french,145
258,louise's trattoria,4500 los feliz blvd.,?,213/667-0777,italian,146
259,mon kee seafood restaurant,679 n. spring st.,los angeles,?,?,147
260,morton's,8764 melrose ave.,?,310/276-5205,?,148
261,nate 'n' al's,414 n. beverly dr.,?,310/274-0101,american,149
262,nicola,601 s. figueroa st.,los angeles,?,american,?
263,ocean avenue,1401 ocean ave.,?,?,?,?
264,orleans,11705 national blvd.,los angeles,?,cajun,152
265,pacific dining car,6th st.,los angeles,213/483-6000,american,?
266,paty's,10001 riverside dr.,toluca lake,818/761-9126,american,?
267,pinot hollywood,1448 n. gower st.,?,?,californian,155
268,posto,14928 ventura blvd.,?,818/784-4400,?,?
269,prego,362 n. camden dr.,?,310/277-7346,?,157
270,rj's the rib joint,252 n. beverly dr.,?,310/274-7427,american,?
271,remi,3rd st. promenade,?,310/393-6545,?,?
272,restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian,160
273,roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,american,?
274,schatzi on main,3110 main st.,los angeles,?,continental,?
275,sofi,3rd st.,los angeles,213/651-0346,mediterranean,163
276,swingers,8020 beverly blvd.,los angeles,?,american,?
277,tavola calda,7371 melrose ave.,?,213/658-6340,?,165
278,the mandarin,430 n. camden dr.,?,?,asian,?
279,tommy tang's,7313 melrose ave.,?,213/937-5733,asian,167
280,tra di noi,3835 cross creek rd.,los angeles,310/456-0169,?,168
281,trader vic's,9876 wilshire blvd.,los angeles,310/276-6345,?,169
282,vida,1930 north hillhurst ave.,?,?,american,170
283,west beach cafe,60 n. venice blvd.,los angeles,?,american,171
284,20 mott,20 mott st.  between bowery and pell st.,new york,?,asian,172
285,9 jones street,9 jones st.,?,212/989-1220,american,173
286,adrienne,700 5th ave. at 55th st.,new york,?,?,174
287,agrotikon,322 e. 14 st.  between 1st and 2nd aves.,?,?,mediterranean,?
288,aja,937 broadway at 22nd st.,new york,?,?,176
289,alamo,304 e. 48th st.,new york,212/ 759-0590,?,?
290,alley's end,311 w. 17th st.,?,?,american,?
291,ambassador grill,1 united nations plaza at 44th st.,?,212/702-5014,american,179
292,american place,2 park ave. at 32nd st.,?,212/684-2122,american,?
293,anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,?,?,?,?
294,arizona,206 206 e. 60th st.,new york,212/838-0440,?,182
295,arturo's,106 w. houston st.  off thompson st.,?,212/677-3820,?,?
296,au mandarin,200-250 vesey st. world financial center,?,?,asian,184
297,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,185
298,barbetta,321 w. 46th st.,?,?,italian,186
299,ben benson's,123 w. 52nd st.,new york,212/581-8888,american,?
300,big cup,228 8th ave.  between 21st and 22nd sts.,?,212/206-0059,coffee bar,?
301,billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,?,?
302,boca chica,13 1st ave.  near 1st st.,new york,?,latin american,190
303,bolo,23 e. 22nd st.,?,212/228-2200,mediterranean,?
304,boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,?,212/249-8484,asian,192
305,bouterin,420 e. 59th st.  off 1st ave.,?,212/758-0323,french,193
306,brothers bar-b-q,225 varick st. at clarkston st.,new york,?,american,?
307,bruno,240 e. 58th st.,?,?,italian,?
308,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american,196
309,c3,103 waverly pl.  near washington sq.,?,212/254-1200,?,197
310,ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,?,?,?
311,cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,?,?
312,cafe botanica,160 central park s,new york,212/484-5120,french,200
313,cafe la fortuna,69 w. 71st st.,?,?,?,201
314,cafe luxembourg,200 w. 70th st.,?,?,?,?
315,cafe pierre,2 e. 61st st.,new york,212/940-8185,french,203
316,cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,?,?,?,?
317,cafe fes,246 w. 4th st. at charles st.,?,212/924-7653,?,205
318,caffe dante,81 macdougal st.  between houston and bleeker sts.,?,?,?,206
319,caffe dell'artista,46 greenwich ave.,new york,?,?,207
320,caffe lure,169 sullivan st.  between houston and bleecker sts.,?,212/473-2642,french,?
321,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,?,209
322,caffe roma,385 broome st. at mulberry,new york,?,?,?
323,caffe vivaldi,32 jones st. at bleecker st.,?,212/691-7538,coffee bar,?
324,caffe bondi ristorante,7 w. 20th st.,?,212/691-8136,italian,212
325,capsouto freres,451 washington st.  near watts st.,?,?,?,213
326,captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood,214
327,casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,middle eastern,215
328,cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,212/343-9012,asian,216
329,chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,?,212/505-0727,french,217
330,chiam,160 e. 48th st.,new york,?,asian,?
331,china grill,60 w. 53rd st.,new york,?,american,?
332,cite,120 w. 51st st.,?,?,french,220
333,coco pazzo,23 e. 74th st.,?,212/794-0205,italian,221
334,columbus bakery,53rd sts.,?,?,coffee bar,?
335,corrado cafe,1013 3rd ave.  between 60th and 61st sts.,?,?,?,?
336,cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar,224
337,da nico,164 mulberry st.  between grand and broome sts.,new york,?,?,?
338,dean & deluca,121 prince st.,?,?,coffee bar,226
339,diva,341 w. broadway  near grand st.,new york,?,italian,227
340,dix et sept,181 w. 10th st.,new york,212/645-8023,french,228
341,docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,229
342,duane park cafe,157 duane st.  between w. broadway and hudson st.,?,?,?,230
343,el teddy's,219 w. broadway  between franklin and white sts.,new york,?,?,?
344,emily's,1325 5th ave. at 111th st.,?,?,american,?
345,empire korea,6 e. 32nd st.,new york,212/725-1333,?,233
346,ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,?,?
347,evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,?,235
348,f. ille ponte ristorante,39 desbrosses st.  near west st.,?,?,italian,236
349,felix,340 w. broadway at grand st.,?,?,french,?
350,ferrier,29 e. 65th st.,new york,?,?,238
351,fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,?,239
352,film center cafe,635 9th ave.  between 44th and 45th sts.,new york,212/ 262-2525,?,240
353,fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,?,italian,241
354,firehouse,522 columbus ave.  between 85th and 86th sts.,new york,?,american,242
355,first,87 1st ave.  between 5th and 6th sts.,new york,?,?,243
356,fishin eddie,73 w. 71st st.,?,212/874-3474,seafood,244
357,fleur de jour,348 e. 62nd st.,?,?,coffee bar,?
358,flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american,?
359,follonico,6 w. 24th st.,new york,?,?,?
360,fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,?,248
361,french roast,458 6th ave. at 11th st.,new york,212/533-2233,french,?
362,french roast cafe,2340 broadway at 85th st.,?,212/799-1533,coffee bar,?
363,frico bar,402 w. 43rd st.  off 9th ave.,new york,?,italian,?
364,fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,?,asian,252
365,gabriela's,685 amsterdam ave. at 93rd st.,?,?,mexican,253
366,gallagher's,228 w. 52nd st.,?,212/245-5336,?,?
367,gianni's,15 fulton st.,?,212/608-7300,?,255
368,girafe,208 e. 58th st.  between 2nd and 3rd aves.,?,?,?,?
369,global,33 93 2nd ave.  between 5th and 6th sts.,?,?,?,?
370,golden unicorn,18 e. broadway at catherine st.,new york,?,asian,258
371,grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,?,259
372,halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,?,260
373,hard rock cafe,221 w. 57th st.,?,212/489-6565,american,261
374,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,?,?
375,home,20 cornelia st.  between bleecker and w. 4th st.,new york,?,?,263
376,hudson river club,4 world financial center,new york,212/786-1500,american,264
377,i trulli,122 e. 27th st.  between lexington and park aves.,?,?,italian,?
378,il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,italian,266
379,il nido,251 e. 53rd st.,?,212/753-8450,?,?
380,inca grill,492 broome st.  near w. broadway,new york,212/966-3371,?,?
381,indochine,430 lafayette st.  between 4th st. and astor pl.,new york,?,asian,269
382,internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,?,?,270
383,ipanema,13 w. 46th st.,?,212/730-5848,?,?
384,jean lafitte,68 w. 58th st.,new york,212/751-2323,french,?
385,jewel of india,15 w. 44th st.,new york,?,asian,?
386,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,?,?,asian,274
387,joe allen,326 w. 46th st.,new york,212/581-6464,american,?
388,judson grill,152 w. 52nd st.,new york,212/582-5252,american,276
389,l'absinthe,227 e. 67th st.,new york,212/794-4950,french,277
390,l'auberge,1191 1st ave.  between 64th and 65th sts.,?,?,?,278
391,l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french,279
392,l'udo,432 lafayette st.  near astor pl.,?,212/388-0978,french,280
393,la reserve,4 w. 49th st.,?,212/247-2993,?,?
394,lanza restaurant,168 1st ave.  between 10th and 11th sts.,?,?,italian,282
395,lattanzi ristorante,361 w. 46th st.,?,212/315-0980,?,283
396,layla,211 w. broadway at franklin st.,?,212/431-0700,?,284
397,le chantilly,106 e. 57th st.,new york,?,french,285
398,le colonial,149 e. 57th st.,?,212/ 752-0808,asian,286
399,le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar,?
400,le jardin,25 cleveland pl.  near spring st.,new york,?,french,?
401,le madri,168 w. 18th st.,new york,212/727-8022,italian,289
402,le marais,150 w. 46th st.,?,?,?,?
403,le perigord,405 e. 52nd st.,new york,212/755-6244,?,?
404,le select,507 columbus ave.  between 84th and 85th sts.,?,212/875-1993,?,?
405,les halles,411 park ave. s  between 28th and 29th sts.,new york,?,?,293
406,lincoln tavern,51 w. 64th st.,new york,?,american,294
407,lola,30 west 22nd st.  between 5th and 6th ave.,new york,?,?,295
408,lucky strike,59 grand st.  between wooster st. and w. broadway,new york,?,?,296
409,mad fish,2182 broadway  between 77th and 78th sts.,?,212/787-0202,?,297
410,main street,446 columbus ave.  between 81st and 82nd sts.,?,?,?,?
411,mangia e bevi,800 9th ave. at 53rd st.,?,212/956-3976,?,299
412,manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,?,?,american,300
413,manila garden,325 e. 14th st.  between 1st and 2nd aves.,?,?,asian,?
414,marichu,342 e. 46th st.  between 1st and 2nd aves.,?,212/370-1866,french,?
415,marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,212/229-9313,?,303
416,match,160 mercer st.  between houston and prince sts.,?,212/906-9173,american,?
417,matthew's,1030 3rd ave. at 61st st.,?,212/838-4343,american,305
418,mavalli palace,46 e. 29th st.,new york,?,?,306
419,milan cafe and coffee bar,120 w. 23rd st.,new york,?,coffee bar,?
420,monkey bar,60 e. 54th st.,?,?,?,308
421,montien,1134 1st ave.   between 62nd and 63rd sts.,?,?,asian,309
