,name,addr,city,phone,type,class
75,island spice,402 w. 44th st.,?,212-765-1737,caribbean,?
76,jo jo,160 e. 64th st.,?,212/223-5656,?,?
77,jo jo,160 e. 64th st.,new york city,212-223-5656,?,?
78,la caravelle,33 w. 55th st.,?,?,?,39
79,la caravelle,33 w. 55th st.,?,?,?,?
80,la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,212/688-6525,?,40
81,la cote basque,60 w. 55th st.,?,212-688-6525,?,?
82,le bernardin,155 w. 51st st.,new york,212/489-1515,?,41
83,le bernardin,155 w. 51st st.,new york city,?,?,?
84,les celebrites,160 central park s,?,?,?,?
85,les celebrites,155 w. 58th st.,?,212-484-5113,french (classic),?
86,lespinasse,2 e. 55th st.,?,?,american,?
87,lespinasse (new york city),2 e. 55th st.,?,212-339-6719,?,?
88,lutece,249 e. 50th st.,?,212/752-2225,french,?
89,lutece,249 e. 50th st.,new york city,?,?,?
90,manhattan ocean club,57 w. 58th st.,new york,?,seafood,?
91,manhattan ocean club,57 w. 58th st.,?,212-371-7777,seafood,45
92,march,405 e. 58th st.,?,?,american,?
93,march,405 e. 58th st.,new york city,212-754-6272,?,46
94,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,?
95,mesa grill,102 fifth ave.,?,212-807-7400,?,?
96,mi cocina,57 jane st.  off hudson st.,?,?,?,48
97,mi cocina,57 jane st.,new york city,?,?,48
98,montrachet,239 w. broadway  between walker and white sts.,?,212/ 219-2777,?,?
99,montrachet,239 w. broadway,?,212-219-2777,?,49
100,oceana,55 e. 54th st.,?,?,seafood,?
101,oceana,55 e. 54th st.,new york city,?,seafood,?
102,park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,?
103,park avenue cafe (new york city),100 e. 63rd st.,?,212-644-1900,?,51
104,petrossian,182 w. 58th st.,?,212/245-2214,french,52
105,petrossian,182 w. 58th st.,new york city,?,?,?
106,picholine,35 w. 64th st.,?,?,?,53
107,picholine,35 w. 64th st.,?,?,?,?
108,pisces,95 ave. a at 6th st.,new york,212/260-6660,?,54
109,pisces,95 ave. a,?,?,seafood,54
110,rainbow room,30 rockefeller plaza,?,?,?,?
111,rainbow room,30 rockefeller plaza,new york city,?,american (new),55
112,river cafe,1 water st. at the east river,?,718/522-5200,american,56
113,river cafe,1 water st.,?,?,?,56
114,san domenico,240 central park s,?,212/265-5959,italian,?
115,san domenico,240 central park s.,?,?,?,57
116,second avenue deli,156 2nd ave. at 10th st.,?,?,delicatessen,58
117,second avenue deli,156 second ave.,?,?,?,58
118,seryna,11 e. 53rd st.,new york,?,?,?
119,seryna,11 e. 53rd st.,?,?,japanese,?
120,shun lee west,43 w. 65th st.,new york,212/371-8844,?,?
121,shun lee palace,155 e. 55th st.,?,?,?,?
122,sign of the dove,1110 3rd ave. at 65th st.,new york,?,?,?
123,sign of the dove,1110 third ave.,new york city,?,?,61
124,smith & wollensky,201 e. 49th st.,?,?,?,?
125,smith & wollensky,797 third ave.,new york city,?,steakhouses,?
126,tavern on the green,in central park at 67th st.,?,212/873-3200,american,63
127,tavern on the green,central park west,?,212-873-3200,?,?
128,uncle nick's,747 9th ave.  between 50th and 51st sts.,?,?,?,64
129,uncle nick's,747 ninth ave.,?,?,?,?
130,union square cafe,21 e. 16th st.,new york,?,?,65
131,union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),?
132,virgil's,152 w. 44th st.,new york,?,?,66
133,virgil's real bbq,152 w. 44th st.,?,?,bbq,?
134,chin's,3200 las vegas blvd. s,?,?,asian,67
135,chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,?,?
136,coyote cafe,3799 las vegas blvd. s,?,?,southwestern,?
137,coyote cafe (las vegas),3799 las vegas blvd. s.,?,702-891-7349,southwestern,68
138,le montrachet,3000 w. paradise rd.,las vegas,?,continental,69
139,le montrachet bistro,3000 paradise rd.,las vegas,?,?,?
140,palace court,3570 las vegas blvd. s,las vegas,?,?,?
141,palace court,3570 las vegas blvd. s.,?,?,french (new),?
142,second street grille,200 e. fremont st.,?,?,seafood,?
143,second street grill,200 e. fremont st.,?,?,?,?
144,steak house,2880 las vegas blvd. s,?,?,steak houses,72
145,steak house  the,2880 las vegas blvd. s.,las vegas,?,steakhouses,?
146,tillerman,2245 e. flamingo rd.,?,702/731-4036,seafood,?
147,tillerman  the,2245 e. flamingo rd.,las vegas,?,?,73
148,abruzzi,2355 peachtree rd.  peachtree battle shopping center,?,?,?,74
149,abruzzi,2355 peachtree rd. ne,?,404-261-8186,?,74
150,bacchanalia,3125 piedmont rd.  near peachtree rd.,?,?,international,75
151,bacchanalia,3125 piedmont rd.,?,404-365-0410,?,75
152,bone's,3130 piedmont road,?,?,american,76
153,bone's restaurant,3130 piedmont rd. ne,?,?,?,?
154,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,?,?,?,?
155,brasserie le coze,3393 peachtree rd.,?,?,french bistro,77
156,buckhead diner,3073 piedmont road,?,?,?,?
157,buckhead diner,3073 piedmont rd.,?,?,american (new),?
158,ciboulette,1529 piedmont ave.,atlanta,404/874-7600,?,?
159,ciboulette restaurant,1529 piedmont ave.,?,?,french (new),79
160,delectables,1 margaret mitchell sq.,atlanta,404/681-2909,?,?
161,delectables,1 margaret mitchell sq.,?,404-681-2909,?,?
162,georgia grille,2290 peachtree rd.  peachtree square shopping center,?,?,american,81
163,georgia grille,2290 peachtree rd.,atlanta,?,?,81
164,hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,?,82
165,hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,?,?,?
166,heera of india,595 piedmont ave.  rio shopping mall,?,?,asian,?
167,heera of india,595 piedmont ave.,?,404-876-4408,indian,?
168,indigo coastal grill,1397 n. highland ave.,?,404/876-0676,?,?
169,indigo coastal grill,1397 n. highland ave.,atlanta,?,?,?
170,la grotta,2637 peachtree rd.  peachtree house condominium,?,404/231-1368,?,85
171,la grotta,2637 peachtree rd. ne,?,404-231-1368,italian,?
172,mary mac's tea room,224 ponce de leon ave.,?,404/876-1800,?,?
173,mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,?,?
174,nikolai's roof,255 courtland st.  at harris st.,?,404/221-6362,continental,?
175,nikolai's roof,255 courtland st.,?,?,?,?
176,pano's and paul's,1232 w. paces ferry rd.,?,?,international,88
177,pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new),88
178,cafe  ritz-carlton  buckhead,3434 peachtree rd.,?,404/237-2700,?,?
179,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,?,american (new),?
180,dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,?,90
181,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,?,404-237-2700,?,?
182,restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,?,?,?
183,ritz-carlton restaurant,181 peachtree st.,?,404-659-0400,french (classic),91
184,toulouse,b peachtree rd.,?,?,french,92
185,toulouse,293-b peachtree rd.,?,?,?,?
186,veni vidi vici,41 14th st.,?,404/875-8424,?,?
187,veni vidi vici,41 14th st.,?,?,italian,?
188,alain rondelli,126 clement st.,?,415/387-0408,?,?
189,alain rondelli,126 clement st.,san francisco,415-387-0408,?,?
190,aqua,252 california st.,?,?,?,?
191,aqua,252 california st.,san francisco,?,american (new),95
192,boulevard,1 mission st.,?,?,?,?
193,boulevard,1 mission st.,?,?,american (new),96
194,cafe claude,7 claude la.,?,?,?,?
195,cafe claude,7 claude ln.,?,415-392-3505,french bistro,97
196,campton place,340 stockton st.,?,?,?,?
197,campton place,340 stockton st.,?,?,?,?
198,chez michel,804 northpoint,san francisco,415/775-7036,?,?
199,chez michel,804 north point st.,?,415-775-7036,?,99
200,fleur de lys,777 sutter st.,?,?,french,?
201,fleur de lys,777 sutter st.,?,415-673-7779,french (new),?
202,fringale,570 4th st.,san francisco,?,?,?
203,fringale,570 fourth st.,?,415-543-0573,?,101
204,hawthorne lane,22 hawthorne st.,san francisco,415/777-9779,american,?
205,hawthorne lane,22 hawthorne st.,san francisco,?,californian,?
206,khan toke thai house,5937 geary blvd.,?,?,asian,103
207,khan toke thai house,5937 geary blvd.,?,?,?,103
208,la folie,2316 polk st.,san francisco,?,french,104
209,la folie,2316 polk st.,?,?,french (new),104
210,lulu,816 folsom st.,?,415/495-5775,mediterranean,105
211,lulu restaurant-bis-cafe,816 folsom st.,?,?,?,105
212,masa's,648 bush st.,san francisco,415/989-7154,?,?
213,masa's,648 bush st.,?,?,?,106
214,mifune japan center  kintetsu building,1737 post st.,?,415/922-0337,?,?
215,mifune,1737 post st.,?,?,japanese,?
216,plumpjack cafe,3201 fillmore st.,?,?,mediterranean,?
217,plumpjack cafe,3127 fillmore st.,?,?,american (new),108
218,postrio,545 post st.,?,415/776-7825,?,?
219,postrio,545 post st.,san francisco,415-776-7825,?,?
220,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,?,?,?
221,ritz-carlton dining room (san francisco),600 stockton st.,?,?,french (new),?
222,rose pistola,532 columbus ave.,?,?,italian,?
223,rose pistola,532 columbus ave.,?,?,?,?
224,adriano's ristorante,2930 beverly glen circle,?,310/475-9807,italian,112
225,barney greengrass,9570 wilshire blvd.,beverly hills,?,?,?
226,beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,?,?
227,bistro garden,176 n. canon dr.,?,310/550-3900,californian,?
228,border grill,4th st.,?,310/451-1655,mexican,116
229,broadway deli,3rd st. promenade,santa monica,?,?,?
230,ca'brea,346 s. la brea ave.,los angeles,?,?,?
231,ca'del sol,4100 cahuenga blvd.,?,818/985-4669,italian,119
232,cafe pinot,700 w. fifth st.,?,?,?,?
233,california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,?,?
234,canter's,419 n. fairfax ave.,?,213/651-2030.,?,?
235,cava,3rd st.,los angeles,?,?,?
236,cha cha cha,656 n. virgil ave.,?,213/664-7723,caribbean,124
237,chan dara,310 n. larchmont blvd.,los angeles,?,asian,125
238,clearwater cafe,168 w. colorado blvd.,los angeles,?,?,126
239,dining room,9500 wilshire blvd.,?,?,?,?
240,dive!,10250 santa monica blvd.,los angeles,?,?,?
241,drago,2628 wilshire blvd.,?,?,italian,?
242,drai's,730 n. la cienega blvd.,?,?,french,?
243,dynasty room,930 hilgard ave.,?,?,continental,?
244,eclipse,8800 melrose ave.,?,310/724-5959,?,132
245,ed debevic's,134 n. la cienega,?,?,american,133
246,el cholo,1121 s. western ave.,?,?,mexican,?
247,gilliland's,2424 main st.,?,?,?,?
248,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,?,310/454-3474,?,?
249,hard rock cafe,8600 beverly blvd.,?,310/276-7605,?,?
250,harry's bar & american grill,2020 ave. of the stars,los angeles,?,italian,?
251,il fornaio cucina italiana,301 n. beverly dr.,?,310/550-8330,italian,139
252,jack sprat's grill,10668 w. pico blvd.,?,?,health food,140
253,jackson's farm,439 n. beverly drive,los angeles,?,?,?
254,jimmy's,201 moreno dr.,?,?,?,?
255,joss,9255 sunset blvd.,?,?,?,?
256,le colonial,8783 beverly blvd.,los angeles,?,asian,144
257,le dome,8720 sunset blvd.,los angeles,?,?,?
258,louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,?,?
259,mon kee seafood restaurant,679 n. spring st.,los angeles,213/628-6717,?,?
260,morton's,8764 melrose ave.,los angeles,310/276-5205,?,?
261,nate 'n' al's,414 n. beverly dr.,?,?,?,?
262,nicola,601 s. figueroa st.,?,213/485-0927,?,?
263,ocean avenue,1401 ocean ave.,?,?,?,?
264,orleans,11705 national blvd.,los angeles,?,cajun,?
265,pacific dining car,6th st.,los angeles,?,american,153
266,paty's,10001 riverside dr.,toluca lake,?,american,?
267,pinot hollywood,1448 n. gower st.,los angeles,?,californian,?
268,posto,14928 ventura blvd.,?,818/784-4400,italian,156
269,prego,362 n. camden dr.,los angeles,310/277-7346,?,?
270,rj's the rib joint,252 n. beverly dr.,los angeles,?,?,?
271,remi,3rd st. promenade,?,310/393-6545,?,?
272,restaurant horikawa,111 s. san pedro st.,?,213/680-9355,asian,160
273,roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,?,?,161
274,schatzi on main,3110 main st.,?,310/399-4800,continental,?
275,sofi,3rd st.,?,213/651-0346,?,163
276,swingers,8020 beverly blvd.,los angeles,?,american,164
277,tavola calda,7371 melrose ave.,los angeles,?,?,165
278,the mandarin,430 n. camden dr.,?,?,?,166
279,tommy tang's,7313 melrose ave.,?,213/937-5733,?,?
280,tra di noi,3835 cross creek rd.,?,310/456-0169,?,?
281,trader vic's,9876 wilshire blvd.,los angeles,310/276-6345,?,?
282,vida,1930 north hillhurst ave.,?,213/660-4446,?,?
283,west beach cafe,60 n. venice blvd.,?,310/823-5396,?,171
284,20 mott,20 mott st.  between bowery and pell st.,?,?,asian,172
285,9 jones street,9 jones st.,?,?,american,173
286,adrienne,700 5th ave. at 55th st.,?,212/903-3918,french,174
287,agrotikon,322 e. 14 st.  between 1st and 2nd aves.,?,?,?,175
288,aja,937 broadway at 22nd st.,?,?,american,?
289,alamo,304 e. 48th st.,?,?,mexican,177
290,alley's end,311 w. 17th st.,?,?,?,178
291,ambassador grill,1 united nations plaza at 44th st.,?,?,?,179
292,american place,2 park ave. at 32nd st.,?,?,?,180
293,anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,?,?
294,arizona,206 206 e. 60th st.,?,?,?,182
295,arturo's,106 w. houston st.  off thompson st.,?,212/677-3820,?,?
296,au mandarin,200-250 vesey st. world financial center,?,212/385-0313,?,184
297,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,?,?,185
298,barbetta,321 w. 46th st.,new york,212/246-9171,?,?
299,ben benson's,123 w. 52nd st.,?,?,american,?
300,big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,188
301,billy's,948 1st ave.  between 52nd and 53rd sts.,?,?,?,?
302,boca chica,13 1st ave.  near 1st st.,?,?,?,190
303,bolo,23 e. 22nd st.,new york,?,?,?
304,boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,?,?,asian,192
305,bouterin,420 e. 59th st.  off 1st ave.,?,?,french,193
306,brothers bar-b-q,225 varick st. at clarkston st.,?,?,american,?
307,bruno,240 e. 58th st.,?,212/688-4190,italian,195
308,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,?,212/840-6500,american,?
309,c3,103 waverly pl.  near washington sq.,new york,?,american,197
310,ct,111 e. 22nd st.  between park ave. s and lexington ave.,?,?,?,198
311,cafe bianco,1486 2nd ave.  between 77th and 78th sts.,?,?,?,199
312,cafe botanica,160 central park s,?,?,?,?
313,cafe la fortuna,69 w. 71st st.,?,?,?,201
314,cafe luxembourg,200 w. 70th st.,?,212/873-7411,?,202
315,cafe pierre,2 e. 61st st.,?,212/940-8185,?,203
316,cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,?,french,?
317,cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,?,205
318,caffe dante,81 macdougal st.  between houston and bleeker sts.,?,?,coffee bar,206
319,caffe dell'artista,46 greenwich ave.,?,212/645-4431,?,207
320,caffe lure,169 sullivan st.  between houston and bleecker sts.,?,212/473-2642,?,208
321,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,?,212/475-9557,?,209
322,caffe roma,385 broome st. at mulberry,?,?,?,?
323,caffe vivaldi,32 jones st. at bleecker st.,?,?,coffee bar,?
324,caffe bondi ristorante,7 w. 20th st.,?,212/691-8136,?,?
325,capsouto freres,451 washington st.  near watts st.,?,212/966-4900,french,?
326,captain's table,860 2nd ave. at 46th st.,?,212/697-9538,?,214
327,casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,?,?
328,cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,?,212/343-9012,asian,?
329,chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,?,?,?,?
330,chiam,160 e. 48th st.,?,?,?,218
331,china grill,60 w. 53rd st.,?,212/333-7788,?,219
332,cite,120 w. 51st st.,?,212/956-7100,?,?
333,coco pazzo,23 e. 74th st.,new york,?,italian,221
334,columbus bakery,53rd sts.,new york,?,?,?
335,corrado cafe,1013 3rd ave.  between 60th and 61st sts.,?,?,?,?
336,cupcake cafe,522 9th ave. at 39th st.,?,212/465-1530,?,?
337,da nico,164 mulberry st.  between grand and broome sts.,?,?,?,?
338,dean & deluca,121 prince st.,?,?,?,226
339,diva,341 w. broadway  near grand st.,?,?,?,227
340,dix et sept,181 w. 10th st.,?,?,french,?
341,docks,633 3rd ave. at 40th st.,?,?,seafood,229
342,duane park cafe,157 duane st.  between w. broadway and hudson st.,?,?,american,230
343,el teddy's,219 w. broadway  between franklin and white sts.,new york,?,mexican,?
344,emily's,1325 5th ave. at 111th st.,?,?,american,?
345,empire korea,6 e. 32nd st.,?,?,asian,?
346,ernie's,2150 broadway  between 75th and 76th sts.,?,?,american,234
347,evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,?,?
348,f. ille ponte ristorante,39 desbrosses st.  near west st.,?,212/226-4621,italian,?
349,felix,340 w. broadway at grand st.,new york,212/431-0021,?,?
350,ferrier,29 e. 65th st.,new york,?,?,?
351,fifty seven fifty seven,57 e. 57th st.,?,212/758-5757,?,239
352,film center cafe,635 9th ave.  between 44th and 45th sts.,new york,?,?,?
353,fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian,241
354,firehouse,522 columbus ave.  between 85th and 86th sts.,?,212/595-3139,american,?
355,first,87 1st ave.  between 5th and 6th sts.,?,212/674-3823,?,243
356,fishin eddie,73 w. 71st st.,?,212/874-3474,seafood,?
357,fleur de jour,348 e. 62nd st.,new york,?,coffee bar,?
358,flowers,21 west 17th st.  between 5th and 6th aves.,new york,?,?,?
359,follonico,6 w. 24th st.,new york,?,?,?
360,fraunces tavern,54 pearl st. at broad st.,?,?,?,?
361,french roast,458 6th ave. at 11th st.,new york,212/533-2233,?,?
362,french roast cafe,2340 broadway at 85th st.,new york,?,?,?
363,frico bar,402 w. 43rd st.  off 9th ave.,?,?,italian,?
364,fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,?,212/769-1144,asian,252
365,gabriela's,685 amsterdam ave. at 93rd st.,?,?,mexican,253
366,gallagher's,228 w. 52nd st.,new york,?,?,?
367,gianni's,15 fulton st.,new york,?,?,?
368,girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,?,?
369,global,33 93 2nd ave.  between 5th and 6th sts.,?,212/477-8427,american,?
370,golden unicorn,18 e. broadway at catherine st.,new york,?,?,?
371,grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,?,?,?,?
372,halcyon,151 w. 54th st.  in the rihga royal hotel,?,?,?,260
373,hard rock cafe,221 w. 57th st.,?,?,?,?
374,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,?,?,?,?
375,home,20 cornelia st.  between bleecker and w. 4th st.,?,?,?,263
376,hudson river club,4 world financial center,?,212/786-1500,american,?
377,i trulli,122 e. 27th st.  between lexington and park aves.,new york,212/481-7372,?,?
378,il cortile,125 mulberry st.  between canal and hester sts.,?,?,?,?
379,il nido,251 e. 53rd st.,new york,212/753-8450,?,?
380,inca grill,492 broome st.  near w. broadway,?,212/966-3371,?,?
381,indochine,430 lafayette st.  between 4th st. and astor pl.,?,?,?,?
382,internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,?,?,?,?
383,ipanema,13 w. 46th st.,?,?,?,271
384,jean lafitte,68 w. 58th st.,new york,212/751-2323,?,272
385,jewel of india,15 w. 44th st.,new york,?,?,?
386,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,?,?,?,274
387,joe allen,326 w. 46th st.,?,?,american,?
388,judson grill,152 w. 52nd st.,?,?,?,276
389,l'absinthe,227 e. 67th st.,new york,?,french,?
390,l'auberge,1191 1st ave.  between 64th and 65th sts.,?,?,middle eastern,?
391,l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,?,279
392,l'udo,432 lafayette st.  near astor pl.,?,212/388-0978,?,?
393,la reserve,4 w. 49th st.,?,?,french,?
394,lanza restaurant,168 1st ave.  between 10th and 11th sts.,?,?,?,?
395,lattanzi ristorante,361 w. 46th st.,?,?,?,?
396,layla,211 w. broadway at franklin st.,?,212/431-0700,middle eastern,?
397,le chantilly,106 e. 57th st.,new york,?,?,?
398,le colonial,149 e. 57th st.,?,212/ 752-0808,?,286
399,le gamin,50 macdougal st.  between houston and prince sts.,new york,?,?,287
400,le jardin,25 cleveland pl.  near spring st.,new york,?,?,?
401,le madri,168 w. 18th st.,?,?,italian,?
402,le marais,150 w. 46th st.,new york,212/869-0900,american,290
403,le perigord,405 e. 52nd st.,?,212/755-6244,french,?
404,le select,507 columbus ave.  between 84th and 85th sts.,?,212/875-1993,american,?
405,les halles,411 park ave. s  between 28th and 29th sts.,?,?,french,293
406,lincoln tavern,51 w. 64th st.,?,212/721-8271,?,294
407,lola,30 west 22nd st.  between 5th and 6th ave.,?,?,?,?
408,lucky strike,59 grand st.  between wooster st. and w. broadway,?,212/941-0479,?,296
409,mad fish,2182 broadway  between 77th and 78th sts.,?,?,seafood,?
410,main street,446 columbus ave.  between 81st and 82nd sts.,?,?,?,?
411,mangia e bevi,800 9th ave. at 53rd st.,new york,212/956-3976,?,?
412,manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,?,?,american,300
413,manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,?,asian,?
414,marichu,342 e. 46th st.  between 1st and 2nd aves.,?,?,french,?
415,marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,?,212/229-9313,?,?
416,match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,american,?
417,matthew's,1030 3rd ave. at 61st st.,new york,212/838-4343,?,?
418,mavalli palace,46 e. 29th st.,?,212/679-5535,?,306
419,milan cafe and coffee bar,120 w. 23rd st.,?,212/807-1801,?,307
420,monkey bar,60 e. 54th st.,?,?,?,?
421,montien,1134 1st ave.   between 62nd and 63rd sts.,?,212/421-4433,asian,?
422,morton's,551 5th ave. at 45th st.,?,?,?,?
423,motown cafe,104 w. 57th st.  near 6th ave.,new york,?,?,?
424,new york kom tang soot bul house,32 w. 32nd st.,new york,?,?,?
425,new york noodletown,28 1/2 bowery at bayard st.,?,?,asian,313
426,newsbar,2 w. 19th st.,?,212/255-3996,?,314
427,odeon,145 w. broadway at thomas st.,new york,?,?,?
428,orso,322 w. 46th st.,new york,212/489-7212,italian,316
429,osteria al droge,142 w. 44th st.,new york,?,italian,?
430,otabe,68 e. 56th st.,?,?,?,318
431,pacifica,138 lafayette st.  between canal and howard sts.,?,212/941-4168,?,?
432,palio,151 w. 51st. st.,new york,?,?,320
433,pamir,1065 1st ave.  at 58th st.,?,212/644-9258,middle eastern,321
434,parioli romanissimo,24 e. 81st st.,new york,212/288-2391,?,?
435,patria,250 park ave. s at 20th st.,?,212/777-6211,latin american,?
436,peacock alley,301 park ave.  between 49th and 50th sts.,?,212/872-4895,french,324
