,name,addr,city,phone,type,class
35,philippe the original,1001 n. alameda st.,chinatown,213-628-3781,?,17
36,pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,18
37,pinot bistro,12969 ventura blvd.,studio city,?,french bistro,18
38,rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,?
39,rex il ristorante,617 s. olive st.,los angeles,?,nuova cucina italian,19
40,spago,1114 horn ave.,?,310/652-4025,californian,?
41,spago (los angeles),8795 sunset blvd.,?,310-652-4025,californian,20
42,valentino,3115 pico blvd.,santa monica,310/829-4313,italian,21
43,valentino,3115 pico blvd.,santa monica,?,italian,?
44,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,22
45,yujean kang's,67 n. raymond ave.,pasadena,?,?,22
46,21 club,21 w. 52nd st.,new york,212/582-7200,?,23
47,21 club,21 w. 52nd st.,?,212-582-7200,?,23
48,aquavit,13 w. 54th st.,new york,?,continental,?
49,aquavit,13 w. 54th st.,new york city,?,scandinavian,24
50,aureole,34 e. 61st st.,new york,212/ 319-1660,american,25
51,aureole,34 e. 61st st.,new york city,212-319-1660,american (new),25
52,cafe lalo,201 w. 83rd st.,new york,212/496-6031,?,26
53,cafe lalo,201 w. 83rd st.,?,?,?,26
54,cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,27
55,cafe des artistes,1 w. 67th st.,?,212-877-3500,french (classic),27
56,carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,?,28
57,carmine's,2450 broadway,?,212-362-2200,italian,28
58,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,?,delicatessen,29
59,carnegie deli,854 seventh ave.,?,?,?,29
60,chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american,30
61,chanterelle,2 harrison st.,new york city,212-966-6960,french (new),?
62,daniel,20 e. 76th st.,new york,212/288-0033,french,31
63,daniel,20 e. 76th st.,?,212-288-0033,french (new),31
64,dawat,210 e. 58th st.,new york,?,asian,?
65,dawat,210 e. 58th st.,?,?,indian,32
66,felidia,243 e. 58th st.,?,212/758-1479,italian,33
67,felidia,243 e. 58th st.,new york city,212-758-1479,?,?
68,four seasons grill room,99 e. 52nd st.,new york,?,american,34
69,four seasons,99 e. 52nd st.,new york city,?,american (new),?
70,gotham bar & grill,12 e. 12th st.,new york,212/620-4020,american,35
71,gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),?
72,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,?,212/477-0777,american,?
73,gramercy tavern,42 e. 20th st.,?,212-477-0777,american (new),36
74,island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,37
75,island spice,402 w. 44th st.,?,?,caribbean,37
76,jo jo,160 e. 64th st.,new york,212/223-5656,american,?
77,jo jo,160 e. 64th st.,new york city,212-223-5656,?,38
78,la caravelle,33 w. 55th st.,new york,212/586-4252,french,39
79,la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),39
80,la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,212/688-6525,french,?
81,la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),40
82,le bernardin,155 w. 51st st.,new york,?,french,41
83,le bernardin,155 w. 51st st.,?,212-489-1515,?,41
84,les celebrites,160 central park s,new york,212/484-5113,french,?
85,les celebrites,155 w. 58th st.,new york city,?,french (classic),42
86,lespinasse,2 e. 55th st.,new york,212/339-6719,american,43
87,lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian,43
88,lutece,249 e. 50th st.,new york,212/752-2225,french,44
89,lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),44
90,manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,seafood,?
91,manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,?,45
92,march,405 e. 58th st.,?,212/754-6272,?,46
93,march,405 e. 58th st.,?,212-754-6272,american (new),46
94,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,47
95,mesa grill,102 fifth ave.,?,212-807-7400,?,47
96,mi cocina,57 jane st.  off hudson st.,new york,212/627-8273,mexican,48
97,mi cocina,57 jane st.,new york city,?,?,48
98,montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,?,49
99,montrachet,239 w. broadway,new york city,212-219-2777,french bistro,?
100,oceana,55 e. 54th st.,new york,212/759-5941,seafood,?
101,oceana,55 e. 54th st.,new york city,212-759-5941,?,50
102,park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,51
103,park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),51
104,petrossian,182 w. 58th st.,?,?,french,52
105,petrossian,182 w. 58th st.,new york city,?,russian,52
106,picholine,35 w. 64th st.,?,212/724-8585,mediterranean,?
107,picholine,35 w. 64th st.,new york city,?,mediterranean,?
108,pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood,?
109,pisces,95 ave. a,?,212-260-6660,seafood,?
110,rainbow room,30 rockefeller plaza,new york,212/632-5000,?,55
111,rainbow room,30 rockefeller plaza,new york city,?,american (new),55
112,river cafe,1 water st. at the east river,brooklyn,718/522-5200,american,56
113,river cafe,1 water st.,?,?,american (new),56
114,san domenico,240 central park s,new york,212/265-5959,italian,57
115,san domenico,240 central park s.,new york city,212-265-5959,italian,?
116,second avenue deli,156 2nd ave. at 10th st.,new york,?,?,58
117,second avenue deli,156 second ave.,new york city,212-677-0606,?,58
118,seryna,11 e. 53rd st.,?,212/980-9393,?,59
119,seryna,11 e. 53rd st.,new york city,212-980-9393,?,59
120,shun lee west,43 w. 65th st.,new york,212/371-8844,asian,60
121,shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese,?
122,sign of the dove,1110 3rd ave. at 65th st.,new york,212/861-8080,american,61
123,sign of the dove,1110 third ave.,?,212-861-8080,american (new),61
124,smith & wollensky,201 e. 49th st.,new york,212/753-1530,?,62
125,smith & wollensky,797 third ave.,?,212-753-1530,?,62
126,tavern on the green,in central park at 67th st.,?,212/873-3200,american,?
127,tavern on the green,central park west,new york city,?,american (new),?
128,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,212/315-1726,mediterranean,64
129,uncle nick's,747 ninth ave.,new york city,212-245-7992,greek,64
130,union square cafe,21 e. 16th st.,?,212/243-4020,american,65
131,union square cafe,21 e. 16th st.,?,212-243-4020,american (new),65
132,virgil's,152 w. 44th st.,new york,212/ 921-9494,?,?
133,virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq,?
134,chin's,3200 las vegas blvd. s,las vegas,?,asian,?
135,chin's,3200 las vegas blvd. s.,?,702-733-8899,?,67
136,coyote cafe,3799 las vegas blvd. s,las vegas,?,?,68
137,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,702-891-7349,southwestern,68
138,le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,?,69
139,le montrachet bistro,3000 paradise rd.,las vegas,702-732-5651,french bistro,69
140,palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental,?
141,palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new),70
142,second street grille,200 e. fremont st.,?,702/385-3232,seafood,71
143,second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim,?
144,steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,72
145,steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,?
146,tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood,73
147,tillerman  the,2245 e. flamingo rd.,las vegas,?,?,73
148,abruzzi,2355 peachtree rd.  peachtree battle shopping center,?,404/261-8186,italian,74
149,abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,?,74
150,bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,75
151,bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,?
152,bone's,3130 piedmont road,?,404/237-2663,american,?
153,bone's restaurant,3130 piedmont rd. ne,?,404-237-2663,steakhouses,?
154,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,77
155,brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,?,?
156,buckhead diner,3073 piedmont road,atlanta,404/262-3336,american,78
157,buckhead diner,3073 piedmont rd.,atlanta,?,?,78
158,ciboulette,1529 piedmont ave.,?,?,french,79
159,ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new),?
160,delectables,1 margaret mitchell sq.,atlanta,404/681-2909,?,80
161,delectables,1 margaret mitchell sq.,atlanta,404-681-2909,cafeterias,80
162,georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,?,american,?
163,georgia grille,2290 peachtree rd.,?,?,southwestern,81
164,hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,international,82
165,hedgerose heights inn  the,490 e. paces ferry rd. ne,?,404-233-7673,continental,82
166,heera of india,595 piedmont ave.  rio shopping mall,atlanta,404/876-4408,asian,83
167,heera of india,595 piedmont ave.,atlanta,404-876-4408,?,83
168,indigo coastal grill,1397 n. highland ave.,?,404/876-0676,?,?
169,indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,84
170,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,?,italian,?
171,la grotta,2637 peachtree rd. ne,?,404-231-1368,?,85
172,mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern,?
173,mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul,86
174,nikolai's roof,255 courtland st.  at harris st.,?,404/221-6362,continental,?
175,nikolai's roof,255 courtland st.,atlanta,?,continental,87
176,pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,?,88
177,pano's & paul's,1232 w. paces ferry rd.,?,?,american (new),88
178,cafe  ritz-carlton  buckhead,3434 peachtree rd.,?,404/237-2700,?,?
179,ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),?
180,dining room  ritz-carlton  buckhead,3434 peachtree rd.,?,?,international,?
181,ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,?,?
182,restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental,91
183,ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic),?
184,toulouse,b peachtree rd.,atlanta,404/351-9533,french,92
185,toulouse,293-b peachtree rd.,atlanta,?,french (new),92
186,veni vidi vici,41 14th st.,atlanta,?,?,93
187,veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,?
188,alain rondelli,126 clement st.,san francisco,415/387-0408,?,94
189,alain rondelli,126 clement st.,san francisco,415-387-0408,french (new),94
190,aqua,252 california st.,?,415/956-9662,seafood,95
191,aqua,252 california st.,san francisco,415-956-9662,american (new),95
192,boulevard,1 mission st.,?,415/543-6084,american,96
193,boulevard,1 mission st.,san francisco,?,american (new),?
194,cafe claude,7 claude la.,san francisco,415/392-3505,french,97
195,cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro,?
196,campton place,340 stockton st.,?,415/955-5555,american,?
197,campton place,340 stockton st.,san francisco,415-955-5555,?,98
198,chez michel,804 northpoint,?,?,french,?
199,chez michel,804 north point st.,?,415-775-7036,californian,?
200,fleur de lys,777 sutter st.,san francisco,415/673-7779,french,?
201,fleur de lys,777 sutter st.,san francisco,415-673-7779,?,?
202,fringale,570 4th st.,san francisco,415/543-0573,french,?
203,fringale,570 fourth st.,?,415-543-0573,french bistro,?
204,hawthorne lane,22 hawthorne st.,san francisco,?,american,102
205,hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian,?
206,khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian,?
207,khan toke thai house,5937 geary blvd.,?,?,thai,?
208,la folie,2316 polk st.,san francisco,415/776-5577,?,?
209,la folie,2316 polk st.,?,415-776-5577,french (new),?
210,lulu,816 folsom st.,san francisco,415/495-5775,?,105
211,lulu restaurant-bis-cafe,816 folsom st.,?,415-495-5775,mediterranean,105
212,masa's,648 bush st.,san francisco,415/989-7154,french,106
213,masa's,648 bush st.,?,?,french (new),?
214,mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,?,107
215,mifune,1737 post st.,san francisco,415-922-0337,japanese,107
216,plumpjack cafe,3201 fillmore st.,san francisco,?,mediterranean,108
217,plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,?,108
218,postrio,545 post st.,?,?,american,109
219,postrio,545 post st.,san francisco,?,californian,109
220,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,110
221,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),110
222,rose pistola,532 columbus ave.,?,?,?,?
223,rose pistola,532 columbus ave.,san francisco,?,italian,111
224,adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,112
225,barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113
226,beaurivage,26025 pacific coast hwy.,malibu,?,?,114
227,bistro garden,176 n. canon dr.,?,310/550-3900,?,115
228,border grill,4th st.,los angeles,310/451-1655,mexican,116
229,broadway deli,3rd st. promenade,santa monica,310/451-0616,?,117
230,ca'brea,346 s. la brea ave.,los angeles,?,?,?
231,ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,?,119
232,cafe pinot,700 w. fifth st.,?,213/239-6500,?,120
233,california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian,?
234,canter's,419 n. fairfax ave.,?,213/651-2030.,american,122
235,cava,3rd st.,los angeles,213/658-8898,mediterranean,123
236,cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,?
237,chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,?
238,clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food,126
239,dining room,9500 wilshire blvd.,los angeles,?,californian,127
240,dive!,10250 santa monica blvd.,?,310/788-,dive american,?
241,drago,2628 wilshire blvd.,?,310/828-1585,?,129
242,drai's,730 n. la cienega blvd.,los angeles,310/358-8585,?,?
243,dynasty room,930 hilgard ave.,?,310/208-8765,continental,131
244,eclipse,8800 melrose ave.,los angeles,?,californian,?
245,ed debevic's,134 n. la cienega,los angeles,?,american,133
246,el cholo,1121 s. western ave.,los angeles,?,mexican,?
247,gilliland's,2424 main st.,santa monica,310/392-3901,american,135
248,gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,?,?,american,136
249,hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,137
250,harry's bar & american grill,2020 ave. of the stars,los angeles,310/277-2333,italian,?
251,il fornaio cucina italiana,301 n. beverly dr.,?,310/550-8330,italian,?
252,jack sprat's grill,10668 w. pico blvd.,los angeles,310/837-6662,health food,?
253,jackson's farm,439 n. beverly drive,los angeles,310/273-5578,?,141
254,jimmy's,201 moreno dr.,los angeles,310/552-2394,continental,?
255,joss,9255 sunset blvd.,los angeles,310/276-1886,asian,?
256,le colonial,8783 beverly blvd.,los angeles,310/289-0660,?,144
257,le dome,8720 sunset blvd.,?,310/659-6919,french,?
258,louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,?,146
259,mon kee seafood restaurant,679 n. spring st.,?,213/628-6717,asian,147
260,morton's,8764 melrose ave.,los angeles,310/276-5205,american,?
261,nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american,149
262,nicola,601 s. figueroa st.,los angeles,213/485-0927,american,150
263,ocean avenue,1401 ocean ave.,santa monica,310/394-5669,?,151
264,orleans,11705 national blvd.,?,?,?,152
265,pacific dining car,6th st.,los angeles,213/483-6000,american,153
266,paty's,10001 riverside dr.,toluca lake,818/761-9126,american,154
267,pinot hollywood,1448 n. gower st.,?,?,californian,155
268,posto,14928 ventura blvd.,sherman oaks,818/784-4400,?,156
269,prego,362 n. camden dr.,los angeles,310/277-7346,?,157
270,rj's the rib joint,252 n. beverly dr.,los angeles,?,?,158
271,remi,3rd st. promenade,santa monica,?,?,?
272,restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,?,160
273,roscoe's house of chicken 'n' waffles,1514 n. gower st.,?,213/466-9329,american,?
274,schatzi on main,3110 main st.,los angeles,310/399-4800,?,162
275,sofi,3rd st.,los angeles,213/651-0346,mediterranean,?
276,swingers,8020 beverly blvd.,los angeles,213/653-5858,?,164
277,tavola calda,7371 melrose ave.,los angeles,?,?,?
278,the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,166
279,tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian,167
280,tra di noi,3835 cross creek rd.,?,310/456-0169,italian,168
281,trader vic's,9876 wilshire blvd.,los angeles,?,?,169
282,vida,1930 north hillhurst ave.,?,213/660-4446,?,170
283,west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,?,?
284,20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian,172
285,9 jones street,9 jones st.,new york,?,?,173
286,adrienne,700 5th ave. at 55th st.,?,212/903-3918,french,?
287,agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean,175
288,aja,937 broadway at 22nd st.,?,?,american,176
289,alamo,304 e. 48th st.,new york,?,?,?
290,alley's end,311 w. 17th st.,?,212/627-8899,american,178
291,ambassador grill,1 united nations plaza at 44th st.,?,212/702-5014,american,179
292,american place,2 park ave. at 32nd st.,?,212/684-2122,american,?
293,anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,?,italian,181
294,arizona,206 206 e. 60th st.,new york,212/838-0440,american,182
295,arturo's,106 w. houston st.  off thompson st.,new york,?,italian,183
296,au mandarin,200-250 vesey st. world financial center,new york,?,asian,?
297,bar anise,1022 3rd ave.  between 60th and 61st sts.,?,212/355-1112,mediterranean,?
298,barbetta,321 w. 46th st.,new york,212/246-9171,italian,?
299,ben benson's,123 w. 52nd st.,new york,212/581-8888,american,?
300,big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,?
301,billy's,948 1st ave.  between 52nd and 53rd sts.,?,212/753-1870,american,189
302,boca chica,13 1st ave.  near 1st st.,?,?,latin american,190
303,bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,?
304,boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian,192
305,bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,193
306,brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,american,194
307,bruno,240 e. 58th st.,new york,?,italian,?
308,bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american,196
309,c3,103 waverly pl.  near washington sq.,new york,212/254-1200,american,197
310,ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,?,?,198
311,cafe bianco,1486 2nd ave.  between 77th and 78th sts.,?,212/988-2655,coffee bar,199
312,cafe botanica,160 central park s,?,?,french,?
313,cafe la fortuna,69 w. 71st st.,?,212/724-5846,coffee bar,201
314,cafe luxembourg,200 w. 70th st.,new york,212/873-7411,french,202
315,cafe pierre,2 e. 61st st.,new york,?,french,203
316,cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french,204
317,cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,mediterranean,205
318,caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar,206
319,caffe dell'artista,46 greenwich ave.,new york,?,coffee bar,207
320,caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,?,208
321,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,?,coffee bar,?
322,caffe roma,385 broome st. at mulberry,new york,212/226-8413,?,210
323,caffe vivaldi,32 jones st. at bleecker st.,?,212/691-7538,coffee bar,211
324,caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian,?
325,capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french,213
326,captain's table,860 2nd ave. at 46th st.,new york,?,seafood,?
327,casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,?,215
328,cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,212/343-9012,asian,216
329,chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,?,french,?
330,chiam,160 e. 48th st.,new york,212/371-2323,asian,218
331,china grill,60 w. 53rd st.,new york,212/333-7788,?,?
332,cite,120 w. 51st st.,?,212/956-7100,french,?
333,coco pazzo,23 e. 74th st.,new york,212/794-0205,?,221
334,columbus bakery,53rd sts.,new york,212/421-0334,coffee bar,222
335,corrado cafe,1013 3rd ave.  between 60th and 61st sts.,?,?,?,?
336,cupcake cafe,522 9th ave. at 39th st.,new york,?,?,?
337,da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian,?
338,dean & deluca,121 prince st.,new york,?,?,?
339,diva,341 w. broadway  near grand st.,new york,?,?,227
340,dix et sept,181 w. 10th st.,new york,212/645-8023,?,228
341,docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,?,229
342,duane park cafe,157 duane st.  between w. broadway and hudson st.,?,212/732-5555,american,230
343,el teddy's,219 w. broadway  between franklin and white sts.,new york,?,mexican,?
344,emily's,1325 5th ave. at 111th st.,?,?,american,232
345,empire korea,6 e. 32nd st.,new york,212/725-1333,asian,233
346,ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american,?
347,evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian,235
348,f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,?,236
349,felix,340 w. broadway at grand st.,?,?,french,237
350,ferrier,29 e. 65th st.,new york,212/772-9000,french,?
351,fifty seven fifty seven,57 e. 57th st.,new york,?,american,239
352,film center cafe,635 9th ave.  between 44th and 45th sts.,new york,212/ 262-2525,american,240
353,fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian,241
354,firehouse,522 columbus ave.  between 85th and 86th sts.,new york,?,?,242
355,first,87 1st ave.  between 5th and 6th sts.,new york,?,american,243
356,fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,244
357,fleur de jour,348 e. 62nd st.,new york,?,coffee bar,?
358,flowers,21 west 17th st.  between 5th and 6th aves.,?,?,american,246
359,follonico,6 w. 24th st.,?,?,italian,247
360,fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,?,248
361,french roast,458 6th ave. at 11th st.,new york,212/533-2233,french,249
362,french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,?,250
363,frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,?,?
364,fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian,252
365,gabriela's,685 amsterdam ave. at 93rd st.,new york,?,mexican,253
366,gallagher's,228 w. 52nd st.,new york,?,?,?
367,gianni's,15 fulton st.,?,?,seafood,?
368,girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,italian,?
369,global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american,257
370,golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,?,258
371,grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,?,?,259
372,halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,?,?
373,hard rock cafe,221 w. 57th st.,?,212/489-6565,american,?
374,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,?,american,262
375,home,20 cornelia st.  between bleecker and w. 4th st.,new york,212/243-9579,?,263
376,hudson river club,4 world financial center,new york,?,?,264
377,i trulli,122 e. 27th st.  between lexington and park aves.,new york,?,?,?
378,il cortile,125 mulberry st.  between canal and hester sts.,?,212/226-6060,italian,266
379,il nido,251 e. 53rd st.,?,212/753-8450,?,267
380,inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american,268
381,indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian,269
382,internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,?,?,?,270
383,ipanema,13 w. 46th st.,?,212/730-5848,?,271
384,jean lafitte,68 w. 58th st.,?,?,french,272
385,jewel of india,15 w. 44th st.,new york,?,asian,273
386,jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,?,212/682-5678,asian,?
387,joe allen,326 w. 46th st.,new york,212/581-6464,?,?
388,judson grill,152 w. 52nd st.,?,212/582-5252,?,276
389,l'absinthe,227 e. 67th st.,?,212/794-4950,french,277
390,l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,?,middle eastern,278
391,l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,?,?
392,l'udo,432 lafayette st.  near astor pl.,?,212/388-0978,french,280
393,la reserve,4 w. 49th st.,new york,212/247-2993,french,?
394,lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,?,italian,282
395,lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian,283
396,layla,211 w. broadway at franklin st.,?,212/431-0700,?,284
397,le chantilly,106 e. 57th st.,new york,212/751-2931,french,?
398,le colonial,149 e. 57th st.,new york,212/ 752-0808,asian,?
399,le gamin,50 macdougal st.  between houston and prince sts.,?,?,?,287
400,le jardin,25 cleveland pl.  near spring st.,new york,?,?,288
401,le madri,168 w. 18th st.,new york,212/727-8022,italian,289
402,le marais,150 w. 46th st.,new york,?,american,290
403,le perigord,405 e. 52nd st.,new york,?,french,291
