speaker,utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
,,8.0,,,,-0.119184,0.027851,-0.475723,-0.169229,,-0.188224,,-0.045568,0.149243
1,,9.0,1.55236,-0.425376,0.199152,,,-0.416775,,,,-0.120764,-0.088878,
,,,,-0.615969,,,,-0.417191,-0.204745,-0.049585,,,-0.209564,0.074583
1,5.0,,1.678263,,0.309991,-0.106823,,,,-0.148974,-0.158393,-0.059683,,0.08855
,,12.0,,,,-0.010016,,-0.280315,,,,,-0.245426,0.047008
1,5.0,,1.627512,,0.230844,0.148994,0.216088,,-0.23204,,,-0.094685,-0.181778,
,,14.0,1.612174,-0.724072,0.121253,0.269891,,-0.345888,-0.170601,,,-0.098009,-0.111772,0.05563
,,,1.560036,,0.164484,,0.304618,,,-0.209579,,-0.130769,-0.062059,
,,16.0,,-0.782704,,,,-0.123745,,,,,-0.08706,
,,,1.463309,,,0.238131,,-0.08381,,-0.239268,,-0.159496,,0.087922
1,5.0,18.0,1.449662,,0.480473,,0.227253,,,-0.183462,-0.123246,-0.221048,-0.000435,0.035291
,5.0,19.0,1.361718,-0.960896,0.559628,0.226486,0.235033,0.063513,,-0.159983,,,,0.008935
1,5.0,,,,,,0.260423,-0.0192,,,-0.110484,,,
,5.0,,,-0.875268,,0.332128,,-0.10635,,,-0.130651,-0.258918,0.002197,0.021173
,,1.0,,,,,,-0.538407,,,-0.165629,,,0.108192
,,,,0.153905,,,,-0.575495,0.129119,0.029862,,,0.037846,
,,,,,0.340853,,,,,0.037607,,-0.169238,,0.109325
1,6.0,,1.500528,,,,,-0.348928,0.077534,0.009284,-0.036945,,0.021624,0.162682
1,,5.0,1.310997,-0.030111,,,,-0.290714,0.133114,,-0.103233,,,0.112799
1,6.0,6.0,,,,-0.320261,,,,,,,,0.12095
,6.0,7.0,1.450239,-0.080798,0.204418,-0.149472,,,,,,,,0.210394
1,,8.0,,,0.190886,,,-0.193294,,0.027416,,-0.399447,,
,,,1.634158,,0.216047,-0.178078,-0.164999,-0.106416,-0.302677,-0.002384,,-0.386465,,
,,,1.780029,-0.532443,,-0.150181,-0.127082,,,,,-0.391376,-0.023714,0.265352
1,6.0,11.0,,-0.707949,0.18435,0.032872,-0.125617,-0.029569,,,-0.182564,-0.368635,-0.016512,0.284451
,,,1.788249,-0.768673,0.283067,0.081496,0.043878,,,-0.122166,,,,0.223579
,,,1.558448,,0.182383,0.1677,0.192839,,,,-0.246067,-0.17018,,
,,,,,0.133084,0.185089,,,-0.244898,-0.235385,,,0.028516,0.152444
,,,,-0.790902,,,,,-0.241863,,,-0.137291,,
,,16.0,,-0.708329,,,0.139891,,,-0.257594,-0.238636,-0.17912,-0.011356,0.081306
,,17.0,1.611904,-0.821887,,,0.11478,-0.195785,-0.267947,,,,0.005866,0.086699
,6.0,18.0,,-0.850473,0.510641,,,,,,,-0.19478,0.013731,0.108453
1,6.0,19.0,1.523198,-0.83004,,0.38173,,,-0.283807,,,,0.017047,0.04699
1,,20.0,1.426542,-0.877377,,0.389244,,,-0.293493,-0.217475,-0.227767,,,
1,6.0,21.0,1.313754,-0.784868,0.562344,,,,,,,,-0.005472,0.056626
1,6.0,22.0,1.445636,,,0.452585,0.18009,,-0.238381,,,,-0.009701,0.075992
1,6.0,,,,,,0.230516,,,-0.241366,-0.180656,-0.159602,,
1,7.0,1.0,1.298242,-0.145848,,-0.558909,,-0.371642,0.001086,0.285956,-0.238774,-0.188824,-0.040123,
,7.0,,,,0.509488,,-0.097627,,,0.182553,-0.266852,,-0.049674,0.124165
1,,3.0,,,0.502441,,-0.079904,-0.33902,0.067623,0.103885,-0.276118,,,
,7.0,,1.372831,,0.459848,,-0.03967,,,,,-0.152682,,
,7.0,5.0,,-0.157945,,-0.572629,-0.039446,,-0.059307,,-0.282594,-0.206558,-0.00389,
,,,1.417835,-0.099372,0.471114,-0.595027,0.110219,,-0.115554,,-0.374232,-0.216007,0.012745,0.177393
,,,,,0.443349,,0.159401,,-0.156536,,-0.340212,,,0.208493
,,,,-0.197304,,-0.363984,,-0.342244,-0.19479,,-0.251026,-0.218385,,
1,,9.0,1.418816,,0.33791,-0.282619,0.28575,,,,,,-0.002221,0.271178
1,,,1.561812,,0.532809,-0.338048,,-0.254892,-0.321675,-0.026014,,,,
,,,,-0.250419,0.485271,-0.279746,0.293163,,-0.293701,-0.015083,,-0.336171,,0.220069
,7.0,,1.160802,-0.313657,0.479699,-0.164835,,-0.174039,,-0.052517,,,,0.240106
1,7.0,13.0,,,0.530374,,,-0.13489,-0.38327,-0.119058,-0.211241,,,
1,,14.0,,-0.40479,,-0.063385,0.369611,,,-0.16332,,-0.298663,,0.185592
,,,1.339451,-0.481133,0.570811,,0.414503,-0.202914,,,-0.182088,,0.048488,0.152438
1,7.0,,,-0.487641,0.615707,-0.069434,0.425557,,-0.348885,,,,0.066971,
1,7.0,,,-0.564467,,-0.056664,0.419323,-0.136114,,,-0.270824,-0.205987,,0.113327
,7.0,,0.967712,,0.726917,,,,,-0.260621,-0.221138,-0.186627,0.07712,
,,,,-0.500703,,0.005092,,-0.048284,-0.378706,,-0.226413,,,-0.041842
1,,20.0,0.895805,-0.531574,,,,-0.083756,,,-0.234492,,,-0.058649
1,7.0,21.0,0.971273,,0.909781,,0.338503,-0.051478,-0.443278,-0.115329,-0.232085,,,
1,7.0,22.0,,-0.589257,,0.122634,,,-0.420706,-0.11013,-0.215093,-0.271401,,-0.134627
,,,1.685639,,0.57703,-0.756917,,,,0.307383,,,,-0.047986
,,,,-0.245514,,,,-0.355668,,,0.019627,,-0.054213,-0.052114
,,,1.750511,,0.53531,,0.040141,,-0.477349,0.336016,,-0.211349,,
,,,1.67545,-0.310491,,-0.709855,,,,0.345373,,-0.277127,,-0.001209
1,8.0,,,-0.331005,0.557505,,0.167053,,,,-0.081371,,,0.034412
,,,,-0.387487,,-0.589601,0.204824,-0.281143,-0.547638,,-0.089845,-0.316456,,0.048987
1,,,1.588764,,0.438431,-0.431921,0.208249,,,0.146282,,-0.342953,,0.086083
1,8.0,8.0,,-0.420475,0.408907,,0.237207,-0.198122,,,-0.106065,-0.365806,-0.056661,
,8.0,9.0,,-0.443226,,-0.37968,0.249742,,-0.404311,0.047588,,,,
1,,,1.593539,,0.347412,-0.343879,0.279953,,-0.410133,,-0.181685,,,0.141845
,,11.0,,-0.607764,,-0.274218,,,,,,-0.353389,0.026372,0.113182
1,,12.0,,-0.614515,0.267663,,,,,,-0.291419,,,
,8.0,13.0,,,,,0.361038,0.012793,-0.410656,0.001494,,,0.097692,0.056051
,,,1.507911,,,,,,,0.021945,-0.295964,,0.087452,
1,,15.0,1.490069,-0.698884,0.398661,-0.06401,,-0.067635,-0.436847,,,-0.268016,,
1,8.0,16.0,,-0.583097,0.45115,,0.347019,-0.11885,-0.459499,,,,,
,,17.0,,,,0.116505,0.323031,-0.259461,-0.51408,0.023528,,,0.043178,
,8.0,18.0,,-0.749443,,,0.373614,-0.218369,-0.616608,-0.001447,,,0.043216,-0.010643
1,,1.0,,,,-0.202095,,-0.217247,,,0.051747,-0.261525,,
,9.0,2.0,,,,,,-0.091977,-0.070047,,,,-0.030845,
1,,,,-0.145072,0.238779,-0.268656,,0.023831,-0.070798,0.102855,,-0.438297,,0.235453
1,,4.0,1.4958,-0.15284,,,,,,,0.000477,,-0.047789,0.25729
1,,,,-0.442855,,,-0.169211,,,0.112994,,-0.482284,,0.250057
,9.0,,,-0.544536,0.266387,-0.134894,-0.073217,,,,,,,0.213545
1,,,1.729965,,0.34575,-0.121536,0.036976,,,,,,,
1,9.0,8.0,1.474845,,,,,0.151155,-0.288897,,-0.099927,-0.347759,,0.194919
,9.0,9.0,1.472562,,,,,,,,,,-0.049339,
1,,10.0,1.47459,-0.540542,,0.159165,0.186466,,,,-0.129811,,,
1,,,,-0.681505,0.433878,0.203983,,0.051999,-0.386008,-0.150184,-0.185599,-0.242247,,0.057007
1,,12.0,1.634094,-0.740702,0.449017,,0.259054,,-0.336907,,-0.206868,,0.099617,0.062301
,,13.0,1.611993,,,,,,,-0.156919,-0.2248,-0.242608,0.1645,0.047032
1,,14.0,1.529423,,0.384836,,,,-0.422259,,-0.198201,,0.179198,0.035879
1,9.0,,1.358692,-0.672804,0.436376,0.330847,0.298519,0.066996,-0.4317,-0.039963,-0.178507,,0.152888,-0.016471
1,9.0,,,-0.734745,,,,0.042646,,-0.034087,-0.230783,-0.285107,0.180336,
1,9.0,,,,,0.258349,,,-0.375534,-0.011888,-0.265604,-0.278797,0.185892,-0.087372
,,,1.515759,-0.934969,0.647722,,0.377461,-0.000898,-0.367178,,,,0.183333,
,9.0,,1.558354,,,,,0.004288,,-0.037738,-0.304957,,,
,9.0,20.0,1.54094,,,,0.409123,-0.009881,,,-0.301894,-0.264241,0.159657,
1,9.0,,1.466947,-0.849363,0.648174,0.291665,0.400575,-0.011553,-0.354638,-0.065039,-0.296866,,,
,,22.0,1.578368,,,,,,-0.368117,,,-0.225763,,
,,23.0,,-0.798423,,,0.425595,-0.060428,-0.430649,,-0.244881,,,-0.144344
1,,,,,,,,,,,,,0.071448,
,,1.0,1.720754,,0.354998,-0.515847,0.032954,,-0.176563,0.225939,,-0.146941,,
1,10.0,,,-0.146909,0.360816,,,-0.4497,-0.190746,,-0.149821,,,
1,,,1.434685,,,,,-0.267194,-0.21518,,,,,-0.009389
1,10.0,,,,,,,-0.144189,,0.060671,,-0.23664,-0.135416,
,10.0,5.0,1.505293,,,-0.222245,0.207489,,-0.215156,0.015237,-0.154116,-0.324812,,
,,,,,0.368875,-0.140776,,,-0.206548,,-0.176412,,-0.135382,0.179044
1,,7.0,1.565709,-0.440394,0.227486,0.119799,,-0.028131,-0.22007,,-0.233638,-0.336039,-0.020578,0.18408
,,8.0,,-0.380361,,,,,-0.183639,,,,,0.142535
,10.0,,1.687084,-0.710602,,,0.303004,-0.181684,,-0.047721,-0.301402,,0.022823,
,10.0,,,,0.226137,0.301184,0.340012,-0.14146,-0.343844,,,,,0.043125
1,10.0,,1.379467,,,,,-0.224081,-0.291186,,-0.270429,,,
,,12.0,,,0.300933,,,-0.212705,,-0.155854,-0.300094,-0.11476,0.041859,
1,10.0,,1.423059,,0.296279,0.351851,0.452219,-0.207946,-0.171174,,,,,
1,10.0,,,,0.406414,,,,,-0.216962,,-0.068733,,0.022251
1,,,1.351184,,0.404298,0.35881,,-0.181377,-0.170452,-0.201633,,-0.098875,,
1,11.0,,,-0.363423,0.816897,-0.426212,,-0.315248,,0.266063,,,,
,11.0,,,-0.126492,0.763679,,,-0.358373,-0.095703,,,,0.031634,0.099495
1,11.0,3.0,,,,-0.168661,,,,0.150919,,-0.242081,,0.146887
1,11.0,4.0,,-0.421071,,-0.124899,,-0.331562,,,,-0.241327,-0.067215,
1,,5.0,1.531482,-0.897376,0.260646,-0.224507,,,0.039358,0.314414,-0.204533,,,
1,,6.0,,-0.629456,0.507952,,,-0.235558,-0.080671,,-0.226676,-0.351187,,0.098491
,,,,-0.458321,0.588088,-0.302881,,,-0.133915,0.22069,,-0.330439,-0.026863,
,11.0,8.0,1.573314,-0.397875,,,0.089206,-0.220509,-0.038019,0.157918,,,0.029323,0.148048
,,9.0,1.553535,,0.30002,,,-0.227375,,0.139205,-0.445621,-0.290495,,0.162006
,,,1.47677,,0.299984,-0.097451,,,,,,-0.236317,-0.035986,
,,11.0,1.51234,,,,0.325185,-0.268885,,,,,,0.141026
1,11.0,12.0,,-0.420729,0.436955,-0.093796,,,,,-0.315215,-0.234513,-0.047591,0.200807
,,13.0,,,,,0.336189,-0.151479,-0.196304,,,,0.003575,0.163767
1,,14.0,1.487594,-0.383806,,,,,-0.21138,,,-0.111344,,0.005791
1,11.0,,,,0.336696,0.192329,,-0.250835,-0.189703,,,-0.116514,0.019712,
,11.0,,,-0.367733,0.329388,0.237303,0.486785,-0.306352,,,-0.344188,-0.113356,-0.01897,
,,17.0,1.266675,-0.381534,,,,-0.210103,,-0.191522,,-0.111354,0.017625,
,11.0,18.0,,-0.39,,0.284657,,,,,-0.323349,-0.10986,-0.015355,0.059884
1,11.0,,1.281115,,0.377119,0.329054,0.56031,-0.333618,,,,-0.074047,-0.097614,0.065212
,11.0,,1.154672,-0.437738,0.370437,,0.535907,,,-0.211338,-0.343411,,,
1,11.0,,,-0.445543,,,,-0.24613,0.033795,-0.269103,-0.310263,-0.086934,,
1,,,1.08009,,,0.484207,0.390487,-0.165356,,,,-0.129711,-0.049912,0.04397
1,11.0,23.0,,,,,0.321113,-0.09109,-0.013465,-0.444286,,,,0.038621
1,12.0,1.0,,,0.493002,,-0.516464,,0.115512,0.010137,0.083276,-0.029377,,0.108569
,12.0,2.0,0.796307,,0.562126,-0.258161,-0.516958,-0.353113,0.188654,-0.052386,0.112706,,,0.141233
1,12.0,,0.805716,,0.52739,,-0.384788,,,,,,-0.073445,
1,,4.0,0.800297,,0.335931,-0.33177,-0.270319,-0.265806,0.199208,-0.049145,0.018432,,-0.051511,
1,,5.0,0.732117,0.311745,0.273789,,,,,-0.031906,,-0.246001,,
1,12.0,6.0,,,0.3412,-0.366434,,-0.167931,,-0.042151,,,-0.111269,0.19053
1,,,0.9481,0.09246,0.350522,-0.268076,,-0.176385,0.028671,,,-0.339176,-0.044317,
,12.0,,0.994979,,,,,,0.020258,-0.25223,-0.092747,-0.332451,,
1,12.0,9.0,,,0.288624,-0.009465,0.118768,,,-0.403978,,-0.369379,0.026298,0.232154
1,,,,,0.349972,,,,,,0.014726,-0.303288,,0.143797
1,12.0,11.0,0.7937,,,0.327683,,-0.076451,-0.154679,-0.366768,-0.040127,-0.290624,0.044375,
,,,0.795708,-0.25085,0.302034,,0.349473,-0.133246,-0.112612,,-0.057638,-0.292711,,0.078585
,,13.0,0.730497,,,,0.338389,,-0.100266,-0.383961,,-0.337306,,0.075689
1,12.0,,0.793042,,0.440944,,0.335469,,-0.151398,-0.343337,0.009328,,0.01996,0.087633
,12.0,,0.658688,-0.234403,0.556802,,,,,-0.271299,,-0.432495,0.054131,
,,1.0,1.537183,,,-0.31196,-0.119883,,,,,-0.126077,,0.047961
1,13.0,2.0,,,0.345358,-0.356143,,,-0.153393,,0.008269,-0.184544,0.052687,
1,13.0,,,-0.100629,0.452088,-0.388427,,,-0.156549,0.385444,-0.019361,,,
1,13.0,,,,,,0.013635,,,0.289466,-0.03917,-0.176536,,
,,,,,0.43243,,,-0.196651,,0.222237,-0.029452,-0.220182,,0.176791
,13.0,6.0,,,0.327806,-0.30613,0.115126,-0.138801,-0.160862,0.175678,-0.014439,-0.252518,,
,13.0,7.0,1.379594,-0.206247,0.072986,,0.102402,,-0.103123,0.097908,,,,
,13.0,,1.450007,-0.178937,,,0.147804,0.010888,,0.077924,-0.091754,,,0.186682
,13.0,9.0,,-0.392106,0.211441,-0.079745,0.267123,,-0.188361,,,,,
,13.0,10.0,,-0.461395,,,,,-0.12152,-0.139401,-0.261805,-0.202364,,0.119986
1,13.0,11.0,,-0.416731,0.369677,,0.353614,,,,,-0.218637,-0.007582,0.149372
,,,,-0.464098,0.394296,,0.434347,-0.088104,,-0.052081,-0.268762,-0.176284,0.076081,0.025526
,13.0,13.0,1.248918,,0.550772,,,,-0.283755,-0.042731,,,,
,,14.0,,-0.50918,0.713661,,,-0.158411,,,-0.20263,-0.191553,,
,,15.0,1.26504,,0.705915,,,-0.130459,-0.350978,-0.093914,-0.161738,,0.055871,
1,,,,,,0.310146,0.44646,-0.129198,-0.361661,-0.05467,-0.200724,-0.244854,0.081507,-0.065942
1,13.0,17.0,,-0.576264,0.64117,0.316284,0.423832,,,,-0.238557,,,
1,14.0,,0.909315,,,-0.536469,-0.185042,,-0.097017,0.368622,-0.110583,,0.127103,
,,2.0,0.93,,,,-0.133005,,-0.084586,0.376297,,,,0.016802
1,14.0,3.0,1.037476,,,,,-0.295667,,,-0.152178,-0.255779,0.125279,0.072215
,,,,-0.176348,0.365536,,-0.002864,-0.283062,,,,-0.30519,,
1,14.0,5.0,,-0.322722,0.398362,,,-0.239511,,0.328989,-0.246587,-0.321986,0.054446,0.141912
,14.0,,,,0.351681,-0.235486,0.011143,,0.012537,,-0.204994,,,
,14.0,7.0,1.277014,-0.320963,0.371111,-0.195737,,-0.268478,-0.019691,0.214039,,-0.278457,0.008626,0.229524
1,14.0,,,,,-0.20373,,,,0.149549,,,,0.247534
1,,9.0,,-0.493665,0.550824,-0.189601,,-0.123073,-0.210232,0.136691,-0.236043,-0.239818,0.06439,
,,,1.101487,-0.507149,0.595837,,0.315784,-0.124667,-0.213016,0.090453,,-0.217798,,
1,14.0,11.0,1.043519,-0.465808,0.659134,,,-0.120977,-0.214221,0.005822,-0.2409,,0.07218,0.142007
,,12.0,,,,,,,,0.013706,,,0.057901,
,,,1.013762,,0.805857,,,-0.163705,,-0.001422,,-0.212858,,
,14.0,14.0,,-0.392858,0.761589,,0.461942,,-0.249898,-0.040181,,-0.200807,0.107939,0.028734
1,,,,,0.562465,-0.146862,,,,-0.04772,-0.122438,,-0.094095,
1,,,,,,,-0.332923,,0.276059,-0.071612,,-0.098538,-0.126867,
1,,,1.269098,-0.086498,0.29563,-0.095281,,-0.293166,,,,,-0.142268,
1,15.0,,,,0.326296,-0.132531,,-0.248582,0.160253,0.023721,-0.030337,,-0.23664,
1,,,,,,,-0.012178,-0.207796,0.055306,-0.004327,-0.033625,,-0.345757,0.30113
,,,,-0.398315,0.505372,-0.232021,,-0.196216,-0.080687,-0.118531,-0.049382,,-0.35541,0.335051
1,,7.0,,-0.390584,0.501999,,0.234225,-0.124958,-0.1373,,,-0.192806,,0.286742
1,,8.0,,-0.307534,0.436751,0.008217,,-0.081013,,-0.351726,0.003008,,,0.319441
,15.0,,1.062246,-0.248442,0.394744,0.142428,,-0.087827,-0.043432,-0.420459,,,,
,15.0,10.0,0.988805,-0.289113,,,0.421833,,-0.105608,,-0.011217,-0.240974,-0.146034,0.227469
1,15.0,,,,,0.148502,,0.018902,,-0.452155,-0.018447,-0.174568,-0.166112,
,,,0.953197,-0.280671,0.419334,0.278504,,-0.035079,,,-0.053173,-0.182767,,0.092432
1,,,,,,0.300241,0.43772,,-0.057541,-0.383162,,,-0.095005,0.052156
,15.0,14.0,,-0.268284,,,,,-0.207869,,,,,0.021505
,16.0,,,,0.739673,-0.310325,,-0.524192,-0.214623,0.168158,-0.178383,,,0.112257
,16.0,2.0,1.311113,-0.101263,0.502163,-0.377089,0.016965,-0.446904,,0.242711,,,,0.097888
,16.0,3.0,,-0.151758,,-0.424655,,,,,-0.106583,,,0.109049
,,4.0,1.318292,0.072772,,,-0.027352,,-0.205391,0.275488,,-0.288183,0.047822,0.116389
,16.0,5.0,1.491549,,,,0.018214,,,0.205839,-0.131185,,-0.021589,
