speaker,utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
,2.0,19.0,1.570202,-0.665777,0.478356,0.003514,0.288,,-0.056077,-0.119485,-0.359916,-0.09191,,0.076777
,2.0,20.0,1.61242,-0.60699,,0.050611,,-0.08176,-0.047219,,-0.269674,,-0.176121,0.075934
1,2.0,21.0,,-0.526371,,-0.069075,0.280104,,-0.121158,-0.31031,-0.14869,-0.07524,-0.245672,0.131027
1,2.0,22.0,1.519606,-0.524418,0.443297,,0.323836,-0.0698,-0.170755,-0.391098,-0.098999,,-0.198052,0.127282
1,2.0,23.0,1.452399,-0.623031,,0.222107,,-0.120266,-0.179147,-0.396988,-0.0636,-0.04565,,0.102709
1,2.0,,1.370862,,0.600771,0.283197,,,,,-0.044004,-0.105327,,0.119152
,2.0,,,,0.620979,,0.210833,-0.251575,-0.228647,-0.305328,,-0.167528,,0.088565
1,2.0,26.0,1.334578,,0.558104,,0.229124,-0.263825,-0.251754,-0.331181,,-0.188285,-0.13861,0.054478
1,,,,0.174066,0.505133,,-0.362125,-0.400335,-0.137429,-0.00083,0.053888,-0.23763,,0.193254
1,3.0,2.0,1.309815,0.120183,0.503046,,,-0.445498,,-0.007899,0.041605,-0.231087,0.121053,0.202386
1,,,,0.015721,0.589994,,-0.477019,-0.367101,-0.120849,0.066952,,,0.175298,0.15667
1,3.0,4.0,,,0.696888,-0.433672,,-0.325267,,0.12444,,,0.129806,0.146745
1,3.0,5.0,,-0.17902,0.55765,-0.35244,,-0.303667,-0.210818,0.104599,,,,0.187322
1,3.0,6.0,1.486123,-0.091183,,-0.131567,,-0.258345,-0.201333,0.043862,0.073675,-0.24716,,0.190969
1,3.0,7.0,1.612464,-0.274628,,,-0.22267,,,,0.049756,,-0.040954,
1,3.0,8.0,,-0.390642,0.417834,-0.246235,,-0.197558,,,,-0.344519,-0.048362,0.248583
1,,9.0,1.908451,-0.580881,,-0.259862,,-0.07967,-0.147213,0.134547,-0.051157,-0.451099,-0.077406,0.226654
1,3.0,,,,0.488411,-0.281048,,-0.008763,,0.124482,,-0.464356,-0.132886,0.172822
,3.0,11.0,1.990155,-0.935262,0.470629,-0.153762,-0.091035,,-0.258664,0.058584,,-0.473753,-0.146977,0.197983
1,3.0,12.0,,-1.042286,0.525433,-0.104984,,0.078796,-0.371083,,,-0.478964,,0.230359
1,,13.0,1.66936,,0.256937,0.069152,0.122822,0.099089,-0.408978,-0.108924,-0.046027,,-0.059613,
1,3.0,14.0,1.882291,-0.885675,,0.002923,0.265651,0.115176,-0.406025,,-0.123137,-0.360651,,0.200109
1,,15.0,,-0.70789,0.336811,,0.34695,,,,-0.226604,-0.362263,0.004972,
1,3.0,,1.26019,-0.485673,0.234296,0.141639,0.30789,0.124684,-0.332177,-0.168295,,-0.385416,-0.004726,
1,,17.0,1.274111,,0.296681,0.152304,0.31242,,-0.420622,-0.18505,-0.141055,-0.32044,,0.099264
1,3.0,18.0,,-0.704247,0.378652,0.242781,,0.192922,,,-0.116275,-0.295192,0.053308,0.06499
1,3.0,19.0,1.572425,-0.867819,0.452938,0.29608,0.312264,0.161462,,-0.171377,-0.106756,,,
,,,1.565221,-0.811536,0.483607,0.264737,0.340265,,-0.421479,,-0.093458,-0.289787,,0.066179
,,21.0,1.671099,,0.587177,0.225236,0.370719,0.147173,-0.431996,-0.146687,-0.106379,-0.296911,0.065611,0.046339
1,,22.0,1.633764,-0.935421,0.574273,0.269021,0.371818,0.119741,-0.396788,-0.122981,-0.152855,,0.095911,-0.015915
,,,1.160837,0.078806,0.237706,,-0.393053,,0.173073,-0.012922,-0.071948,0.028707,0.07482,0.146297
1,,2.0,1.217979,-0.043693,0.378571,-0.055125,-0.399601,,,,-0.099093,0.03897,0.049702,
,,3.0,1.234654,,0.504189,-0.151549,-0.409837,-0.666554,0.176855,0.024257,-0.085188,,-0.007566,0.168465
1,4.0,,,-0.318523,0.427336,-0.127365,-0.399821,-0.612514,0.236434,0.039318,-0.129377,-0.053426,-0.064975,0.131102
1,4.0,5.0,1.534783,-0.414512,0.273407,-0.008643,,-0.532525,0.275157,0.032256,-0.135727,,-0.070709,0.073425
1,4.0,6.0,1.505516,-0.466125,0.317178,-0.06588,-0.476936,-0.353201,,0.006522,-0.077765,,-0.153013,0.116918
,4.0,7.0,,-0.535885,,-0.182647,,,,0.030157,,,,
,,8.0,,-0.67432,0.473896,-0.228218,-0.376289,-0.168635,,0.034234,-0.082042,-0.352695,,0.165831
,4.0,9.0,1.543273,-0.853992,0.582981,-0.157712,-0.365579,-0.095108,-0.108669,0.035963,,,-0.185253,0.16828
1,4.0,10.0,1.623602,-0.883008,0.573858,-0.090257,,-0.047162,-0.160032,0.009218,,,-0.161626,0.17891
1,4.0,11.0,,-0.844833,0.55501,,,-0.003722,-0.225799,-0.06849,,-0.340455,,0.139002
1,,,1.63463,-0.84696,0.575776,,-0.245206,0.029938,-0.301001,-0.122305,0.014359,-0.281971,,0.083612
1,4.0,13.0,,-0.880809,0.595335,,-0.056339,-0.017231,-0.331172,-0.102574,-0.097225,-0.266548,-0.025202,0.030883
,4.0,14.0,1.653296,,0.733377,,,0.031168,-0.372246,-0.133379,,,0.034436,0.008776
1,4.0,15.0,1.704241,-1.078002,0.869738,,,0.08961,-0.418634,-0.165928,,-0.251303,0.034556,-0.025393
1,,16.0,1.556289,-1.043587,,-0.018181,,0.033865,,-0.134829,-0.178459,-0.244507,0.090128,-0.077927
1,4.0,17.0,,-1.056354,0.874371,0.061409,0.073847,-0.01579,-0.410899,-0.098065,-0.207248,-0.267319,0.119465,-0.098507
,4.0,18.0,,-1.039592,0.838275,0.083326,0.138074,-0.001436,,-0.100748,,-0.27706,,-0.090556
1,,19.0,1.175227,,0.701567,,0.201766,-0.031186,,-0.090629,-0.279473,,,-0.082822
1,,20.0,1.335523,,0.832941,,,-0.074302,,,,-0.268979,0.09866,
1,5.0,1.0,,-0.251224,0.30971,,,,-0.21593,,0.048732,-0.115333,0.063014,0.156787
1,5.0,2.0,1.685376,-0.305126,0.339418,-0.455499,,-0.5026,-0.195365,0.185427,0.076114,-0.106838,-0.036998,0.200715
1,5.0,,1.541171,-0.238987,0.295073,-0.447638,-0.200163,,,,0.130086,-0.125721,-0.100226,0.232676
1,,4.0,1.479049,,0.351733,-0.476356,-0.134112,,-0.258962,0.179394,,-0.15946,-0.060428,0.203395
1,,,,-0.359135,0.370285,-0.490972,-0.114847,-0.473727,-0.209386,,0.008094,-0.178367,-0.121264,
1,5.0,6.0,1.616784,-0.373741,0.264209,,-0.06592,-0.523488,-0.100301,0.046133,-0.076248,,,
1,5.0,7.0,1.560852,,,-0.169021,,-0.557847,-0.032517,0.049321,-0.134548,-0.193288,-0.088907,0.251756
,5.0,,1.586381,-0.335201,0.094031,-0.119184,0.027851,-0.475723,-0.169229,0.060178,-0.188224,-0.16409,-0.045568,0.149243
1,5.0,9.0,,-0.425376,0.199152,-0.039058,0.07622,,,0.065394,-0.183333,-0.120764,,
1,5.0,10.0,1.756285,-0.615969,,,0.212092,,,,,-0.075709,-0.209564,0.074583
1,5.0,11.0,1.678263,-0.668299,,-0.106823,,-0.295843,,-0.148974,-0.158393,-0.059683,-0.293401,
,,,,-0.744537,0.377687,,0.24253,-0.280315,-0.297346,-0.186301,-0.153023,-0.047579,-0.245426,0.047008
,,,1.627512,-0.753931,,0.148994,0.216088,,,-0.227556,,-0.094685,,0.061112
1,5.0,14.0,1.612174,-0.724072,0.121253,0.269891,0.333275,-0.345888,-0.170601,-0.171993,-0.272781,,,0.05563
1,,15.0,,,0.164484,0.308054,0.304618,-0.246276,,-0.209579,-0.260218,-0.130769,-0.062059,0.084525
1,5.0,16.0,1.513187,,,,0.237954,-0.123745,-0.210291,-0.278591,-0.193769,,-0.08706,0.118787
1,5.0,17.0,,-0.796814,0.35513,0.238131,0.252769,,-0.27268,-0.239268,,,,0.087922
,5.0,18.0,,,0.480473,,0.227253,0.02826,,,,-0.221048,-0.000435,
1,5.0,19.0,1.361718,-0.960896,0.559628,,0.235033,0.063513,-0.455297,-0.159983,-0.100619,-0.25841,0.037011,0.008935
1,5.0,,1.254506,-0.869107,0.554876,0.280537,,-0.0192,-0.447082,-0.113791,,-0.289957,0.039887,0.026577
1,,21.0,,-0.875268,0.593917,0.332128,0.276972,,-0.387802,-0.113938,-0.130651,-0.258918,,0.021173
,6.0,1.0,1.316781,0.208962,,-0.122314,-0.291894,,0.038262,0.028536,,-0.145149,0.112608,0.108192
1,6.0,2.0,1.546594,0.153905,0.208579,-0.126525,-0.347069,-0.575495,,,-0.12089,-0.077795,,
1,,3.0,1.608876,-0.017998,0.340853,,-0.493625,-0.438199,0.073069,0.037607,,-0.169238,0.028236,0.109325
,6.0,,,-0.028411,,-0.334035,-0.433048,-0.348928,0.077534,,,-0.234477,0.021624,0.162682
,,5.0,1.310997,-0.030111,0.507571,-0.491682,-0.360644,-0.290714,,-0.011299,,-0.171606,-0.033292,
,6.0,6.0,1.321061,-0.043778,,-0.320261,-0.36592,-0.236857,0.057422,-0.029263,,,0.003456,0.12095
1,6.0,7.0,,,0.204418,-0.149472,-0.341621,-0.215631,-0.077424,-0.005952,,-0.375987,0.066614,0.210394
1,6.0,8.0,,-0.156028,0.190886,-0.163969,-0.231265,-0.193294,-0.237795,0.027416,,-0.399447,,0.235495
1,6.0,9.0,1.634158,-0.344119,0.216047,-0.178078,-0.164999,-0.106416,-0.302677,-0.002384,-0.102691,-0.386465,0.036043,0.235927
1,6.0,,,,,,,-0.035412,-0.234951,-0.050771,,,-0.023714,0.265352
1,6.0,11.0,1.862115,-0.707949,0.18435,0.032872,,,-0.199874,-0.075182,-0.182564,,,0.284451
1,6.0,,1.788249,,0.283067,,,,,-0.122166,-0.273674,-0.23823,0.048968,0.223579
1,6.0,,,,0.182383,0.1677,0.192839,-0.298809,-0.222101,-0.179669,-0.246067,-0.17018,0.031181,
1,6.0,14.0,1.527604,,0.133084,,,,-0.244898,-0.235385,,-0.159263,0.028516,
,6.0,15.0,1.800617,-0.790902,,,0.187628,,-0.241863,-0.26156,-0.288767,,-0.012089,0.134224
1,6.0,,1.547859,-0.708329,0.230714,,0.139891,-0.207068,,,-0.238636,-0.17912,,0.081306
,6.0,17.0,1.611904,-0.821887,,0.271679,,-0.195785,-0.267947,,,,0.005866,0.086699
1,,18.0,1.606463,-0.850473,0.510641,0.262553,,-0.142387,-0.292794,-0.284728,,,,
1,,,,-0.83004,0.368123,0.38173,0.133352,-0.14214,,-0.275013,-0.223317,-0.157839,0.017047,0.04699
1,6.0,20.0,1.426542,-0.877377,0.474689,,,-0.183735,-0.293493,-0.217475,-0.227767,-0.154633,0.019405,0.028457
1,6.0,,1.313754,-0.784868,0.562344,0.399884,0.181482,-0.149606,-0.28253,,-0.174886,-0.164402,-0.005472,0.056626
1,6.0,,1.445636,-0.71548,,0.452585,0.18009,,-0.238381,,-0.172752,,,0.075992
1,,23.0,,-0.763775,0.644036,0.389923,0.230516,-0.121277,,-0.241366,,-0.159602,0.010511,
1,,,,-0.145848,,-0.558909,,-0.371642,0.001086,0.285956,,-0.188824,-0.040123,
,7.0,,1.284513,-0.115359,,-0.524351,-0.097627,,0.080347,0.182553,,,-0.049674,0.124165
,,,,,0.502441,-0.571654,,-0.33902,0.067623,,-0.276118,,-0.105818,0.15972
1,7.0,4.0,1.372831,,0.459848,-0.499487,-0.03967,,,0.087083,-0.247359,-0.152682,-0.067913,
,7.0,5.0,1.417637,,,-0.572629,-0.039446,,-0.059307,,-0.282594,,-0.00389,0.169362
1,7.0,6.0,1.417835,-0.099372,0.471114,,0.110219,-0.337169,-0.115554,0.069107,-0.374232,,0.012745,0.177393
,7.0,,,,0.443349,-0.452326,0.159401,-0.351955,,-0.013074,-0.340212,,0.022386,0.208493
1,7.0,8.0,1.306239,-0.197304,,-0.363984,,-0.342244,-0.19479,-0.06831,-0.251026,-0.218385,-0.05055,0.251723
1,7.0,9.0,1.418816,,0.33791,-0.282619,0.28575,-0.349318,-0.246278,-0.053703,,-0.289131,,0.271178
,7.0,10.0,1.561812,,,,0.276729,,-0.321675,-0.026014,-0.328668,-0.306133,0.023878,
1,,,,-0.250419,,,,,,-0.015083,-0.246913,-0.336171,0.025722,
1,7.0,12.0,,,0.479699,-0.164835,0.269481,-0.174039,-0.302722,-0.052517,-0.205106,-0.375349,0.062873,0.240106
1,7.0,,1.34109,-0.434988,0.530374,,,-0.13489,,,-0.211241,,,0.231482
1,7.0,,1.382492,-0.40479,0.471562,-0.063385,0.369611,-0.161873,-0.412308,,-0.181777,-0.298663,,
,7.0,,1.339451,-0.481133,0.570811,,,-0.202914,-0.44236,-0.142528,-0.182088,,0.048488,
,,16.0,1.121185,-0.487641,,,0.425557,-0.201003,,,-0.254205,-0.241451,,0.141763
1,,17.0,,,,,0.419323,-0.136114,-0.348527,,,-0.205987,0.076224,
1,7.0,,,-0.520098,0.726917,-0.028067,0.37489,-0.020208,,,-0.221138,,0.07712,0.017963
1,7.0,,0.939699,-0.500703,0.762015,0.005092,0.360897,-0.048284,-0.378706,-0.22562,,,0.096138,-0.041842
1,7.0,,0.895805,-0.531574,0.818346,0.025463,0.356354,-0.083756,,-0.157173,-0.234492,,0.078315,
1,7.0,,0.971273,-0.624686,0.909781,,0.338503,-0.051478,-0.443278,-0.115329,,-0.262236,,-0.109648
1,7.0,22.0,,-0.589257,,0.122634,0.302502,-0.012828,,-0.11013,,-0.271401,,
,8.0,1.0,,-0.170479,0.57703,-0.756917,-0.033735,-0.338705,-0.430485,,0.000945,,0.000879,
,8.0,,1.698825,,,,,-0.355668,,,0.019627,,,
1,,,1.750511,-0.308582,0.53531,-0.715814,0.040141,-0.356215,,0.336016,-0.000313,-0.211349,-0.082473,-0.037075
,8.0,4.0,,,0.588458,-0.709855,0.094683,,-0.479756,0.345373,-0.04262,-0.277127,,
1,,5.0,,-0.331005,,-0.691774,0.167053,-0.277809,-0.484052,0.29072,-0.081371,-0.311812,-0.0978,0.034412
,,6.0,1.686637,-0.387487,,,,-0.281143,-0.547638,0.219321,,-0.316456,-0.062805,
,,,,-0.408304,,-0.431921,,,-0.501121,,-0.083805,,,0.086083
1,,8.0,,,0.408907,-0.424434,0.237207,-0.198122,-0.463432,,-0.106065,-0.365806,-0.056661,0.109736
1,,9.0,,,,,,-0.112427,-0.404311,0.047588,-0.152123,-0.366294,-0.043276,
1,,10.0,,-0.517504,0.347412,-0.343879,0.279953,-0.033607,,-0.00174,-0.181685,-0.365399,-0.014849,0.141845
1,8.0,11.0,1.665299,-0.607764,0.311501,-0.274218,,,,,-0.226521,-0.353389,,0.113182
1,,,1.586304,,0.267663,-0.239787,0.337778,,-0.383705,-0.021307,-0.291419,-0.297178,0.059879,0.067328
,,,,-0.67266,0.408341,-0.284756,,0.012793,,0.001494,-0.316842,-0.306321,0.097692,0.056051
,8.0,14.0,1.507911,-0.69765,0.408211,-0.163966,0.351258,-0.025547,,0.021945,,,0.087452,
,8.0,,1.490069,-0.698884,0.398661,,0.366971,-0.067635,-0.436847,-0.006558,-0.234806,,0.035742,-0.010386
,8.0,16.0,1.413099,-0.583097,0.45115,,0.347019,-0.11885,,-0.010529,,-0.295222,0.045972,0.017651
,8.0,,1.346525,-0.538645,0.510571,0.116505,,-0.259461,,0.023528,-0.147556,-0.29126,,-0.016265
1,8.0,18.0,1.493634,-0.749443,,0.03515,0.373614,-0.218369,-0.616608,-0.001447,-0.122072,-0.283037,0.043216,-0.010643
1,9.0,1.0,1.516243,-0.421519,0.310573,-0.202095,-0.320116,-0.217247,-0.027017,0.267714,,-0.261525,-0.086583,0.102423
1,9.0,2.0,1.522134,-0.242862,0.281658,-0.276902,,,,0.176537,0.009498,-0.388598,-0.030845,
,,3.0,1.538597,,0.238779,-0.268656,-0.358038,0.023831,-0.070798,0.102855,-0.009672,-0.438297,-0.022689,
1,9.0,4.0,1.4958,,0.158021,-0.257449,-0.287451,0.015743,-0.100512,0.091736,0.000477,,-0.047789,0.25729
1,9.0,5.0,1.664994,-0.442855,0.293956,-0.263568,-0.169211,0.051132,-0.189122,,0.003736,-0.482284,-0.088953,0.250057
,9.0,,1.69838,-0.544536,0.266387,-0.134894,,0.12754,,-0.00397,0.035204,-0.40045,-0.130278,0.213545
1,,7.0,1.729965,-0.591056,0.34575,-0.121536,0.036976,0.156905,,-0.141473,-0.041858,,-0.09804,
,9.0,8.0,1.474845,,0.231882,,0.033747,0.151155,-0.288897,-0.138789,-0.099927,-0.347759,,0.194919
,9.0,9.0,1.472562,,,0.063633,0.096361,0.056352,-0.292923,-0.116145,-0.137168,-0.361634,,0.181009
1,9.0,,1.47459,-0.540542,0.433514,0.159165,0.186466,-0.000912,-0.407321,-0.109365,-0.129811,,0.023334,0.077343
,9.0,11.0,1.575489,-0.681505,0.433878,,0.250439,0.051999,-0.386008,-0.150184,,,0.087925,
1,9.0,,1.634094,,0.449017,,,,-0.336907,-0.20773,,-0.200138,0.099617,0.062301
1,,13.0,,-0.71044,0.446422,,,0.102108,-0.367764,-0.156919,-0.2248,-0.242608,,
1,9.0,14.0,1.529423,-0.699914,0.384836,0.273916,,0.111229,-0.422259,-0.079049,-0.198201,-0.29037,0.179198,
1,9.0,15.0,,-0.672804,0.436376,0.330847,0.298519,0.066996,-0.4317,-0.039963,,-0.287354,0.152888,
1,9.0,16.0,1.37559,-0.734745,0.520157,0.30461,,0.042646,-0.387385,,-0.230783,-0.285107,0.180336,-0.052253
1,,17.0,,-0.904536,,,0.372686,0.004058,-0.375534,-0.011888,,-0.278797,,-0.087372
,9.0,18.0,,-0.934969,0.647722,0.277886,,,-0.367178,-0.014993,,,0.183333,-0.107935
1,9.0,19.0,1.558354,,,,0.377374,0.004288,,,,-0.26226,,-0.111097
,,20.0,1.54094,-0.8889,0.627862,,,-0.009881,-0.374699,,-0.301894,-0.264241,0.159657,
1,,21.0,1.466947,-0.849363,0.648174,0.291665,0.400575,-0.011553,,,,,0.132368,-0.141296
1,,22.0,1.578368,-0.869018,,0.300585,,-0.024568,,,-0.273898,-0.225763,,
1,,,1.591924,-0.798423,0.728374,0.238048,0.425595,-0.060428,-0.430649,,-0.244881,-0.247688,0.077049,-0.144344
1,9.0,24.0,1.454448,-0.690366,0.678094,,,-0.045315,,,,-0.260407,0.071448,-0.13373
1,10.0,1.0,1.720754,0.010479,,,0.032954,,,,,-0.146941,,
,,2.0,,-0.146909,0.360816,,,,,,-0.149821,,-0.126921,0.021162
1,,,1.434685,-0.08974,,-0.283737,,-0.267194,-0.21518,0.177159,,-0.200048,-0.110405,-0.009389
1,10.0,4.0,,-0.134536,0.200361,-0.205342,0.115107,-0.144189,-0.198622,0.060671,-0.167579,-0.23664,-0.135416,0.047944
,10.0,5.0,1.505293,,0.280057,,,-0.061682,,0.015237,-0.154116,,-0.185479,0.112412
1,10.0,6.0,1.537248,-0.475625,0.368875,,0.18437,-0.00548,-0.206548,,-0.176412,-0.349618,,0.179044
1,,7.0,,-0.440394,0.227486,,0.182469,,-0.22007,-0.119116,,-0.336039,-0.020578,0.18408
1,10.0,8.0,,,,0.278826,0.212608,,-0.183639,-0.127615,-0.271942,,,0.142535
1,10.0,9.0,,,0.344205,0.270812,0.303004,-0.181684,-0.220784,-0.047721,-0.301402,-0.229903,0.022823,
1,10.0,,1.405275,-0.418337,0.226137,0.301184,,-0.14146,-0.343844,-0.053411,-0.257823,-0.223365,0.057141,0.043125
,10.0,,1.379467,,0.222273,0.327113,0.440683,-0.224081,-0.291186,-0.097149,,-0.153661,,0.026258
,10.0,,1.388737,-0.59066,,0.342675,,-0.212705,,-0.155854,-0.300094,,,0.033958
,10.0,13.0,,-0.643738,,0.351851,,,,-0.173904,-0.319767,-0.0865,0.029628,
1,,14.0,,-0.681156,,0.290211,0.466918,-0.142681,,-0.216962,-0.275877,-0.068733,,
1,10.0,,1.351184,-0.677556,0.404298,,0.455207,-0.181377,-0.170452,,-0.259083,-0.098875,-0.036473,0.034121
,11.0,1.0,1.143824,,,-0.426212,-0.309629,-0.315248,-0.11781,,-0.104472,-0.159541,0.034705,
1,11.0,2.0,1.330639,,,-0.375558,-0.155013,,-0.095703,,-0.129475,-0.186735,0.031634,0.099495
1,11.0,3.0,,0.151568,,,,-0.388238,-0.081486,0.150919,-0.101748,-0.242081,0.02314,0.146887
1,11.0,,1.392635,-0.421071,0.289392,-0.124899,-0.078864,-0.331562,-0.007683,0.217956,,,-0.067215,
1,11.0,,1.531482,-0.897376,0.260646,-0.224507,-0.1286,,,0.314414,-0.204533,-0.290636,-0.080772,
1,11.0,6.0,1.321063,,,,,-0.235558,-0.080671,,-0.226676,,-0.073166,0.098491
1,,7.0,1.34676,,0.588088,-0.302881,0.01245,-0.208158,,,-0.247244,-0.330439,-0.026863,0.141789
1,11.0,8.0,1.573314,-0.397875,,,0.089206,-0.220509,,,-0.37698,,0.029323,0.148048
1,,9.0,1.553535,-0.391296,0.30002,,0.204107,-0.227375,-0.028637,,,,,
1,11.0,10.0,1.47677,-0.418898,,-0.097451,0.287593,,,0.096903,,,-0.035986,
1,11.0,11.0,1.51234,-0.440015,0.370184,-0.061555,0.325185,,,0.035137,-0.382929,-0.206053,-0.037091,0.141026
1,11.0,12.0,1.612976,-0.420729,,-0.093796,0.307753,-0.190457,-0.189156,-0.101801,-0.315215,-0.234513,-0.047591,
1,11.0,13.0,,,0.439643,-0.064997,0.336189,,-0.196304,-0.1352,-0.343617,-0.226975,,0.163767
1,,,1.487594,-0.383806,,-0.000168,0.377435,,-0.21138,-0.121725,-0.416442,-0.111344,0.054453,0.005791
1,,,,-0.340393,0.336696,0.192329,0.413599,-0.250835,-0.189703,-0.091153,,-0.116514,0.019712,0.015644
,11.0,16.0,,-0.367733,,,0.486785,-0.306352,-0.139308,-0.127937,,-0.113356,-0.01897,0.086209
1,11.0,17.0,,,,0.19933,0.45691,-0.210103,-0.130094,-0.191522,-0.329011,-0.111354,0.017625,
,11.0,18.0,1.277499,-0.39,0.373679,0.284657,0.496169,-0.248827,-0.102787,-0.17057,-0.323349,-0.10986,-0.015355,0.059884
1,,19.0,,-0.438363,,,0.56031,-0.333618,-0.053044,-0.153551,-0.329441,-0.074047,-0.097614,
,11.0,,,-0.437738,0.370437,0.384381,0.535907,,0.018836,,-0.343411,-0.073718,-0.073466,
1,11.0,,,,,,0.531755,-0.24613,0.033795,-0.269103,-0.310263,,-0.07091,
1,11.0,22.0,1.08009,,,0.484207,0.390487,-0.165356,0.035563,,-0.207016,,-0.049912,
1,11.0,,1.057251,-0.514995,,,0.321113,-0.09109,,-0.444286,-0.10689,-0.165313,-0.06621,
1,12.0,,0.800522,0.395285,0.493002,-0.253173,-0.516464,-0.331558,0.115512,,,,,0.108569
1,,,,0.310857,0.562126,-0.258161,-0.516958,-0.353113,0.188654,,0.112706,-0.067745,,0.141233
1,12.0,3.0,0.805716,0.265494,0.52739,-0.32274,,-0.341542,0.177676,,0.075669,-0.093875,-0.073445,
