,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
35,4.0,9.0,6.0,7.0,7.0,6.0,8.0,1.0,4.0,10.0,8.0,7.0,6.0,11.0,4.0,5.0,F
36,6.0,9.0,5.0,4.0,2.0,6.0,9.0,4.0,5.0,4.0,4.0,10.0,5.0,10.0,2.0,8.0,N
37,3.0,4.0,4.0,7.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,L
38,4.0,5.0,6.0,4.0,3.0,7.0,8.0,2.0,5.0,10.0,6.0,6.0,5.0,9.0,1.0,7.0,N
39,1.0,3.0,3.0,2.0,1.0,7.0,8.0,2.0,9.0,11.0,6.0,8.0,1.0,8.0,5.0,7.0,Z
40,6.0,9.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,9.0,9.0,5.0,3.0,10.0,4.0,4.0,Y
41,0.0,0.0,0.0,1.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
42,8.0,11.0,8.0,8.0,9.0,4.0,10.0,2.0,3.0,9.0,8.0,7.0,9.0,13.0,3.0,5.0,W
43,2.0,1.0,3.0,2.0,2.0,7.0,9.0,5.0,6.0,7.0,9.0,9.0,3.0,9.0,1.0,8.0,U
44,6.0,10.0,4.0,5.0,2.0,8.0,7.0,6.0,5.0,9.0,4.0,7.0,5.0,9.0,5.0,9.0,O
45,3.0,4.0,4.0,3.0,2.0,5.0,12.0,3.0,6.0,11.0,9.0,4.0,1.0,11.0,1.0,5.0,T
46,4.0,5.0,6.0,4.0,4.0,7.0,6.0,5.0,5.0,8.0,5.0,8.0,3.0,7.0,5.0,6.0,O
47,4.0,7.0,6.0,10.0,9.0,8.0,9.0,4.0,0.0,8.0,7.0,6.0,5.0,11.0,5.0,7.0,P
48,2.0,3.0,2.0,2.0,1.0,4.0,9.0,5.0,6.0,12.0,9.0,10.0,1.0,9.0,2.0,7.0,C
49,3.0,7.0,4.0,5.0,2.0,6.0,6.0,6.0,6.0,10.0,8.0,11.0,2.0,10.0,4.0,9.0,G
50,4.0,8.0,6.0,6.0,8.0,8.0,7.0,5.0,3.0,7.0,7.0,7.0,6.0,10.0,8.0,9.0,B
51,3.0,4.0,4.0,3.0,3.0,5.0,7.0,4.0,7.0,7.0,6.0,11.0,3.0,8.0,5.0,9.0,K
52,8.0,8.0,8.0,6.0,5.0,3.0,10.0,3.0,4.0,11.0,10.0,8.0,8.0,10.0,2.0,6.0,W
53,2.0,6.0,4.0,4.0,2.0,9.0,11.0,3.0,4.0,4.0,11.0,8.0,2.0,10.0,1.0,8.0,V
54,4.0,6.0,6.0,4.0,5.0,7.0,11.0,2.0,2.0,7.0,8.0,8.0,6.0,11.0,1.0,8.0,W
55,5.0,11.0,7.0,8.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,8.0,6.0,6.0,7.0,10.0,H
56,4.0,9.0,4.0,7.0,4.0,7.0,8.0,3.0,12.0,9.0,6.0,8.0,0.0,8.0,7.0,7.0,Z
57,1.0,4.0,2.0,3.0,1.0,9.0,6.0,2.0,6.0,12.0,4.0,9.0,1.0,7.0,1.0,7.0,J
58,2.0,4.0,4.0,3.0,1.0,5.0,11.0,3.0,4.0,13.0,7.0,4.0,1.0,9.0,1.0,7.0,F
59,5.0,10.0,7.0,8.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,5.0,4.0,8.0,3.0,7.0,D
60,3.0,5.0,5.0,4.0,2.0,8.0,7.0,3.0,8.0,11.0,5.0,7.0,1.0,9.0,5.0,8.0,S
61,8.0,13.0,7.0,8.0,3.0,7.0,8.0,3.0,9.0,13.0,5.0,6.0,2.0,9.0,5.0,5.0,T
62,4.0,9.0,5.0,7.0,5.0,8.0,9.0,8.0,4.0,7.0,8.0,7.0,4.0,7.0,4.0,9.0,O
63,2.0,6.0,3.0,4.0,3.0,8.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,8.0,7.0,8.0,Z
64,3.0,9.0,4.0,7.0,3.0,6.0,7.0,10.0,6.0,7.0,6.0,7.0,2.0,8.0,9.0,10.0,B
65,3.0,2.0,4.0,3.0,2.0,6.0,10.0,4.0,5.0,10.0,9.0,5.0,2.0,9.0,3.0,6.0,F
66,6.0,9.0,10.0,7.0,11.0,10.0,5.0,3.0,2.0,9.0,4.0,8.0,11.0,6.0,4.0,7.0,M
67,2.0,6.0,4.0,4.0,1.0,8.0,15.0,1.0,5.0,6.0,11.0,8.0,0.0,8.0,0.0,8.0,T
68,7.0,11.0,5.0,6.0,3.0,6.0,7.0,5.0,4.0,7.0,4.0,7.0,5.0,8.0,5.0,7.0,O
69,2.0,4.0,3.0,3.0,2.0,5.0,7.0,4.0,6.0,6.0,6.0,11.0,3.0,8.0,4.0,10.0,K
70,1.0,4.0,3.0,3.0,1.0,7.0,7.0,2.0,9.0,11.0,6.0,8.0,1.0,8.0,5.0,8.0,Z
71,3.0,4.0,4.0,3.0,1.0,5.0,13.0,3.0,6.0,12.0,9.0,4.0,1.0,11.0,1.0,5.0,T
72,4.0,10.0,7.0,8.0,6.0,7.0,10.0,2.0,3.0,6.0,9.0,8.0,8.0,11.0,1.0,8.0,W
73,3.0,5.0,5.0,3.0,2.0,6.0,2.0,2.0,2.0,5.0,2.0,8.0,2.0,6.0,3.0,6.0,A
74,2.0,2.0,3.0,3.0,2.0,8.0,8.0,6.0,1.0,5.0,6.0,9.0,2.0,9.0,5.0,10.0,Q
75,9.0,10.0,7.0,14.0,6.0,8.0,7.0,4.0,2.0,12.0,6.0,8.0,3.0,9.0,13.0,6.0,Z
76,4.0,5.0,6.0,7.0,5.0,9.0,10.0,3.0,2.0,8.0,7.0,7.0,3.0,10.0,8.0,6.0,H
77,5.0,9.0,8.0,6.0,8.0,6.0,6.0,3.0,4.0,7.0,5.0,8.0,7.0,10.0,7.0,6.0,R
78,1.0,7.0,0.0,4.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
79,2.0,4.0,4.0,3.0,3.0,7.0,8.0,4.0,4.0,9.0,5.0,8.0,2.0,6.0,3.0,10.0,R
80,5.0,10.0,7.0,7.0,5.0,7.0,9.0,4.0,6.0,5.0,8.0,10.0,6.0,10.0,1.0,7.0,U
81,4.0,7.0,4.0,5.0,3.0,7.0,6.0,12.0,4.0,7.0,12.0,8.0,3.0,9.0,0.0,8.0,U
82,7.0,10.0,5.0,5.0,2.0,6.0,8.0,6.0,8.0,11.0,7.0,11.0,2.0,8.0,5.0,9.0,C
83,5.0,9.0,6.0,7.0,4.0,8.0,7.0,8.0,5.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,O
84,7.0,13.0,5.0,7.0,3.0,6.0,8.0,6.0,8.0,10.0,6.0,10.0,1.0,8.0,8.0,8.0,E
85,5.0,10.0,7.0,7.0,5.0,10.0,6.0,4.0,7.0,11.0,3.0,6.0,4.0,6.0,4.0,8.0,D
86,5.0,7.0,6.0,5.0,3.0,4.0,8.0,5.0,7.0,9.0,8.0,9.0,3.0,9.0,2.0,5.0,U
87,3.0,4.0,5.0,3.0,3.0,9.0,7.0,3.0,5.0,11.0,3.0,6.0,2.0,7.0,3.0,9.0,R
88,2.0,4.0,3.0,3.0,2.0,7.0,7.0,5.0,7.0,7.0,6.0,9.0,2.0,8.0,5.0,10.0,E
89,6.0,10.0,6.0,8.0,4.0,6.0,7.0,6.0,7.0,10.0,8.0,11.0,2.0,9.0,5.0,9.0,G
90,5.0,9.0,7.0,6.0,6.0,10.0,6.0,2.0,6.0,11.0,3.0,8.0,3.0,8.0,4.0,12.0,B
91,4.0,10.0,7.0,7.0,2.0,8.0,7.0,3.0,0.0,7.0,0.0,8.0,3.0,7.0,2.0,8.0,A
92,1.0,1.0,3.0,2.0,1.0,6.0,10.0,1.0,6.0,8.0,11.0,8.0,1.0,11.0,2.0,8.0,Y
93,2.0,4.0,4.0,6.0,4.0,8.0,11.0,3.0,3.0,5.0,8.0,9.0,2.0,11.0,5.0,6.0,Y
94,5.0,10.0,6.0,8.0,5.0,8.0,6.0,9.0,4.0,7.0,5.0,8.0,3.0,8.0,3.0,8.0,O
95,7.0,10.0,7.0,7.0,5.0,7.0,6.0,7.0,8.0,11.0,6.0,11.0,2.0,11.0,5.0,9.0,G
96,5.0,9.0,7.0,7.0,5.0,8.0,3.0,1.0,2.0,6.0,2.0,7.0,3.0,5.0,4.0,7.0,A
97,3.0,4.0,4.0,3.0,1.0,5.0,9.0,5.0,7.0,12.0,9.0,10.0,1.0,10.0,3.0,7.0,C
98,4.0,5.0,6.0,7.0,6.0,7.0,8.0,4.0,1.0,8.0,6.0,6.0,4.0,10.0,8.0,5.0,H
99,4.0,11.0,6.0,8.0,8.0,7.0,7.0,3.0,4.0,7.0,6.0,8.0,7.0,10.0,8.0,6.0,R
100,4.0,7.0,6.0,5.0,4.0,8.0,6.0,5.0,5.0,8.0,7.0,7.0,3.0,7.0,4.0,6.0,J
101,4.0,7.0,5.0,5.0,3.0,8.0,7.0,12.0,1.0,6.0,9.0,8.0,8.0,6.0,0.0,8.0,M
102,3.0,9.0,5.0,7.0,3.0,7.0,11.0,2.0,3.0,6.0,11.0,9.0,2.0,10.0,1.0,8.0,V
103,2.0,3.0,4.0,2.0,2.0,8.0,8.0,3.0,5.0,9.0,4.0,7.0,2.0,6.0,3.0,10.0,R
104,3.0,8.0,5.0,6.0,3.0,7.0,12.0,4.0,6.0,7.0,11.0,8.0,2.0,12.0,1.0,8.0,T
105,5.0,8.0,7.0,9.0,7.0,8.0,9.0,4.0,5.0,7.0,7.0,8.0,5.0,7.0,10.0,10.0,J
106,3.0,5.0,5.0,3.0,2.0,8.0,7.0,3.0,8.0,11.0,5.0,7.0,1.0,9.0,4.0,8.0,S
107,6.0,11.0,8.0,9.0,9.0,9.0,7.0,5.0,2.0,6.0,6.0,10.0,8.0,8.0,5.0,10.0,G
108,2.0,3.0,3.0,2.0,2.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.0,8.0,2.0,9.0,D
109,2.0,0.0,2.0,1.0,1.0,8.0,6.0,6.0,5.0,6.0,5.0,9.0,2.0,8.0,5.0,10.0,G
110,5.0,8.0,7.0,10.0,7.0,10.0,5.0,4.0,4.0,8.0,3.0,6.0,3.0,5.0,8.0,8.0,Z
111,6.0,11.0,6.0,8.0,4.0,5.0,7.0,10.0,10.0,7.0,6.0,6.0,3.0,8.0,4.0,8.0,D
112,1.0,3.0,3.0,2.0,1.0,6.0,3.0,2.0,2.0,5.0,2.0,8.0,1.0,6.0,1.0,7.0,A
113,1.0,0.0,1.0,0.0,0.0,7.0,13.0,1.0,4.0,7.0,10.0,8.0,0.0,8.0,0.0,8.0,T
114,2.0,3.0,3.0,1.0,1.0,7.0,7.0,6.0,5.0,7.0,6.0,9.0,2.0,9.0,4.0,10.0,G
115,1.0,3.0,2.0,1.0,0.0,6.0,4.0,1.0,7.0,8.0,2.0,10.0,0.0,7.0,2.0,9.0,L
116,6.0,9.0,8.0,7.0,8.0,8.0,4.0,7.0,3.0,7.0,6.0,7.0,8.0,7.0,6.0,3.0,W
117,0.0,1.0,1.0,2.0,1.0,7.0,7.0,1.0,6.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0,I
118,6.0,8.0,9.0,7.0,10.0,6.0,8.0,5.0,3.0,6.0,5.0,8.0,13.0,9.0,5.0,8.0,M
119,4.0,9.0,4.0,4.0,2.0,11.0,4.0,4.0,5.0,12.0,3.0,8.0,2.0,7.0,6.0,12.0,Q
120,2.0,3.0,3.0,4.0,2.0,8.0,7.0,5.0,8.0,4.0,6.0,8.0,0.0,8.0,8.0,8.0,S
121,9.0,14.0,8.0,8.0,5.0,7.0,4.0,4.0,8.0,9.0,5.0,9.0,3.0,8.0,9.0,9.0,Q
122,3.0,6.0,5.0,4.0,1.0,8.0,8.0,4.0,2.0,6.0,14.0,8.0,3.0,10.0,0.0,8.0,V
123,5.0,10.0,5.0,8.0,6.0,6.0,8.0,9.0,5.0,6.0,5.0,7.0,2.0,8.0,5.0,11.0,R
124,7.0,9.0,5.0,13.0,5.0,7.0,8.0,5.0,3.0,11.0,7.0,7.0,3.0,9.0,11.0,6.0,Z
125,4.0,9.0,5.0,7.0,5.0,5.0,8.0,6.0,4.0,8.0,7.0,9.0,3.0,8.0,7.0,10.0,P
126,8.0,9.0,8.0,6.0,6.0,2.0,12.0,2.0,2.0,10.0,10.0,8.0,7.0,11.0,1.0,7.0,W
127,3.0,10.0,5.0,7.0,2.0,7.0,7.0,0.0,9.0,14.0,6.0,8.0,0.0,8.0,1.0,8.0,I
128,3.0,7.0,3.0,5.0,2.0,1.0,12.0,4.0,5.0,12.0,11.0,7.0,0.0,8.0,1.0,6.0,F
129,5.0,8.0,6.0,10.0,8.0,7.0,9.0,5.0,5.0,7.0,6.0,7.0,4.0,9.0,9.0,7.0,F
130,4.0,9.0,5.0,7.0,2.0,10.0,6.0,2.0,8.0,14.0,3.0,8.0,0.0,7.0,0.0,8.0,J
131,5.0,9.0,5.0,7.0,2.0,3.0,12.0,4.0,4.0,10.0,12.0,7.0,3.0,10.0,1.0,8.0,V
132,6.0,9.0,8.0,6.0,9.0,7.0,8.0,6.0,5.0,7.0,5.0,8.0,8.0,9.0,8.0,6.0,M
133,9.0,13.0,10.0,8.0,6.0,11.0,11.0,7.0,3.0,4.0,7.0,9.0,9.0,13.0,3.0,6.0,M
134,4.0,8.0,4.0,6.0,4.0,7.0,7.0,7.0,4.0,10.0,6.0,8.0,3.0,8.0,3.0,6.0,O
135,1.0,3.0,3.0,1.0,1.0,8.0,8.0,2.0,5.0,14.0,5.0,8.0,1.0,7.0,0.0,8.0,J
136,3.0,8.0,4.0,6.0,2.0,3.0,6.0,6.0,11.0,7.0,7.0,14.0,0.0,8.0,7.0,7.0,E
137,6.0,9.0,8.0,5.0,4.0,9.0,3.0,3.0,2.0,9.0,3.0,9.0,8.0,2.0,1.0,9.0,M
138,9.0,13.0,10.0,7.0,6.0,4.0,9.0,4.0,6.0,10.0,10.0,11.0,5.0,8.0,4.0,6.0,K
139,5.0,9.0,7.0,6.0,6.0,5.0,10.0,5.0,5.0,10.0,8.0,3.0,1.0,10.0,3.0,7.0,P
140,5.0,10.0,7.0,8.0,4.0,10.0,3.0,2.0,3.0,8.0,1.0,7.0,2.0,7.0,3.0,8.0,A
141,2.0,5.0,3.0,3.0,2.0,6.0,7.0,5.0,5.0,9.0,7.0,10.0,2.0,9.0,4.0,9.0,G
142,5.0,9.0,5.0,4.0,3.0,10.0,7.0,4.0,5.0,7.0,9.0,5.0,4.0,11.0,2.0,7.0,V
143,2.0,2.0,3.0,3.0,2.0,8.0,7.0,3.0,8.0,6.0,6.0,7.0,2.0,8.0,5.0,7.0,X
144,1.0,1.0,2.0,1.0,0.0,7.0,4.0,2.0,0.0,7.0,2.0,8.0,2.0,7.0,1.0,8.0,A
145,6.0,10.0,8.0,8.0,5.0,8.0,6.0,3.0,9.0,12.0,4.0,9.0,3.0,6.0,8.0,9.0,Z
146,4.0,9.0,5.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,8.0,10.0,2.0,11.0,9.0,7.0,S
147,8.0,9.0,11.0,7.0,8.0,10.0,6.0,2.0,5.0,9.0,3.0,6.0,10.0,8.0,3.0,9.0,M
148,4.0,10.0,4.0,8.0,4.0,7.0,8.0,3.0,12.0,9.0,6.0,8.0,0.0,8.0,7.0,7.0,Z
149,4.0,8.0,5.0,6.0,3.0,7.0,7.0,12.0,1.0,7.0,9.0,8.0,8.0,6.0,0.0,8.0,M
150,12.0,13.0,11.0,7.0,5.0,8.0,11.0,3.0,3.0,5.0,10.0,7.0,8.0,12.0,1.0,6.0,W
151,7.0,11.0,7.0,8.0,5.0,5.0,10.0,0.0,8.0,11.0,9.0,6.0,1.0,9.0,3.0,4.0,T
152,2.0,7.0,3.0,5.0,2.0,3.0,7.0,6.0,10.0,7.0,6.0,14.0,0.0,8.0,7.0,8.0,E
153,1.0,3.0,0.0,4.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
154,5.0,9.0,5.0,4.0,3.0,5.0,9.0,3.0,6.0,9.0,8.0,9.0,5.0,7.0,3.0,7.0,H
155,4.0,9.0,5.0,7.0,3.0,6.0,8.0,7.0,7.0,7.0,10.0,9.0,3.0,9.0,1.0,8.0,U
156,4.0,7.0,4.0,4.0,1.0,7.0,7.0,5.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,X
157,3.0,3.0,4.0,2.0,1.0,4.0,12.0,3.0,2.0,10.0,11.0,7.0,2.0,11.0,1.0,8.0,V
158,5.0,9.0,6.0,4.0,4.0,7.0,9.0,2.0,3.0,7.0,8.0,6.0,8.0,11.0,2.0,7.0,W
159,3.0,4.0,5.0,3.0,3.0,10.0,6.0,3.0,7.0,10.0,3.0,6.0,2.0,8.0,3.0,9.0,D
160,4.0,2.0,5.0,4.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,7.0,3.0,7.0,4.0,8.0,R
161,3.0,5.0,5.0,4.0,2.0,8.0,7.0,3.0,7.0,10.0,6.0,7.0,1.0,9.0,5.0,8.0,S
162,7.0,10.0,6.0,5.0,3.0,7.0,8.0,2.0,7.0,11.0,6.0,6.0,2.0,9.0,5.0,6.0,F
163,5.0,7.0,6.0,6.0,6.0,8.0,6.0,5.0,4.0,7.0,5.0,8.0,7.0,9.0,6.0,3.0,N
164,3.0,5.0,5.0,8.0,3.0,11.0,5.0,3.0,5.0,10.0,2.0,7.0,2.0,7.0,5.0,11.0,Z
165,3.0,5.0,4.0,7.0,2.0,7.0,7.0,4.0,14.0,10.0,6.0,8.0,0.0,8.0,8.0,8.0,Z
166,1.0,10.0,0.0,7.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,I
167,8.0,12.0,6.0,9.0,5.0,7.0,11.0,3.0,3.0,13.0,5.0,4.0,3.0,9.0,9.0,9.0,J
168,2.0,3.0,3.0,4.0,3.0,8.0,8.0,5.0,2.0,8.0,8.0,9.0,2.0,9.0,5.0,8.0,Q
169,5.0,10.0,7.0,8.0,4.0,5.0,13.0,5.0,4.0,13.0,8.0,3.0,2.0,10.0,2.0,5.0,F
170,2.0,7.0,2.0,5.0,1.0,13.0,2.0,7.0,5.0,14.0,2.0,11.0,0.0,7.0,0.0,8.0,J
171,3.0,7.0,4.0,5.0,4.0,8.0,8.0,7.0,2.0,7.0,4.0,6.0,4.0,6.0,8.0,8.0,R
172,4.0,8.0,5.0,6.0,3.0,7.0,8.0,4.0,8.0,11.0,7.0,7.0,2.0,8.0,5.0,6.0,S
173,3.0,5.0,4.0,4.0,3.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,H
174,4.0,7.0,6.0,5.0,7.0,9.0,6.0,4.0,4.0,6.0,6.0,7.0,7.0,8.0,6.0,7.0,B
175,6.0,9.0,5.0,4.0,3.0,10.0,4.0,4.0,7.0,11.0,3.0,10.0,3.0,7.0,7.0,11.0,Q
176,1.0,3.0,2.0,2.0,1.0,9.0,2.0,2.0,1.0,8.0,2.0,8.0,1.0,6.0,1.0,8.0,A
177,3.0,6.0,4.0,4.0,1.0,5.0,11.0,2.0,2.0,8.0,12.0,8.0,1.0,11.0,0.0,8.0,Y
178,3.0,8.0,3.0,6.0,2.0,5.0,9.0,10.0,5.0,8.0,6.0,5.0,2.0,9.0,4.0,8.0,P
179,2.0,6.0,3.0,4.0,2.0,8.0,12.0,2.0,8.0,5.0,11.0,9.0,1.0,11.0,1.0,8.0,T
180,4.0,6.0,5.0,4.0,5.0,7.0,7.0,4.0,3.0,6.0,8.0,10.0,5.0,11.0,3.0,8.0,C
181,5.0,9.0,5.0,6.0,2.0,7.0,8.0,15.0,0.0,7.0,5.0,8.0,3.0,8.0,0.0,8.0,H
182,2.0,5.0,3.0,4.0,2.0,6.0,7.0,6.0,6.0,10.0,7.0,11.0,2.0,9.0,4.0,9.0,G
183,4.0,9.0,6.0,7.0,4.0,6.0,9.0,6.0,5.0,7.0,7.0,8.0,6.0,9.0,2.0,6.0,N
184,4.0,8.0,5.0,6.0,5.0,8.0,8.0,3.0,8.0,7.0,7.0,7.0,0.0,8.0,11.0,8.0,Z
185,5.0,8.0,6.0,10.0,8.0,9.0,9.0,2.0,3.0,6.0,9.0,6.0,9.0,11.0,7.0,5.0,P
186,2.0,3.0,4.0,2.0,1.0,7.0,7.0,2.0,9.0,11.0,6.0,8.0,1.0,8.0,5.0,7.0,Z
187,2.0,1.0,2.0,1.0,1.0,4.0,7.0,5.0,8.0,7.0,6.0,13.0,0.0,8.0,7.0,9.0,E
188,2.0,4.0,4.0,2.0,2.0,8.0,7.0,3.0,5.0,10.0,4.0,7.0,2.0,7.0,3.0,10.0,R
189,3.0,5.0,5.0,3.0,3.0,7.0,8.0,2.0,8.0,11.0,7.0,9.0,2.0,9.0,4.0,8.0,E
190,3.0,5.0,5.0,4.0,3.0,8.0,7.0,2.0,7.0,11.0,5.0,8.0,2.0,9.0,5.0,10.0,E
191,7.0,9.0,7.0,11.0,8.0,7.0,10.0,4.0,4.0,7.0,10.0,11.0,5.0,11.0,10.0,9.0,Q
192,8.0,15.0,7.0,9.0,3.0,6.0,10.0,3.0,8.0,13.0,6.0,6.0,2.0,8.0,5.0,4.0,T
193,7.0,12.0,6.0,6.0,3.0,7.0,8.0,2.0,7.0,11.0,6.0,6.0,2.0,9.0,6.0,5.0,F
194,5.0,11.0,6.0,8.0,6.0,6.0,7.0,9.0,7.0,6.0,5.0,5.0,2.0,8.0,3.0,7.0,D
195,0.0,0.0,1.0,1.0,0.0,12.0,4.0,5.0,3.0,12.0,4.0,11.0,0.0,7.0,0.0,8.0,J
196,4.0,7.0,6.0,9.0,7.0,9.0,10.0,7.0,4.0,7.0,7.0,6.0,5.0,11.0,6.0,3.0,Y
197,4.0,8.0,5.0,6.0,4.0,6.0,8.0,3.0,6.0,10.0,7.0,8.0,2.0,8.0,5.0,6.0,S
198,4.0,10.0,5.0,8.0,3.0,7.0,6.0,9.0,8.0,6.0,4.0,7.0,3.0,8.0,4.0,8.0,O
199,5.0,8.0,7.0,6.0,8.0,8.0,10.0,5.0,3.0,7.0,7.0,8.0,7.0,9.0,4.0,9.0,O
200,2.0,7.0,3.0,5.0,1.0,7.0,7.0,3.0,13.0,9.0,6.0,8.0,0.0,8.0,8.0,8.0,Z
201,9.0,15.0,8.0,8.0,6.0,8.0,6.0,3.0,7.0,10.0,5.0,7.0,6.0,8.0,8.0,5.0,D
202,1.0,4.0,2.0,3.0,1.0,7.0,7.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0,I
