,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
237,o,x,b,b,x,o,b,x,x,positive
238,o,b,x,b,x,x,o,b,x,positive
239,x,o,x,o,x,x,o,b,x,positive
240,o,o,x,o,x,b,x,o,x,positive
241,b,b,o,x,b,x,o,o,x,positive
242,x,b,o,x,o,o,b,b,o,negative
243,x,o,b,o,o,b,x,b,x,positive
244,o,x,o,x,x,b,x,b,x,negative
245,x,o,o,o,o,x,o,b,o,positive
246,x,x,o,x,x,x,b,o,o,positive
247,o,b,b,b,o,x,o,b,o,negative
248,o,o,b,o,b,x,b,x,o,positive
249,x,o,x,o,x,b,x,o,x,positive
250,x,b,o,o,o,x,o,o,x,positive
251,x,x,x,o,x,x,o,o,o,positive
252,o,b,x,o,x,o,x,b,x,positive
253,x,b,o,o,b,b,o,x,x,negative
254,b,o,x,b,o,x,b,x,x,positive
255,x,o,x,b,b,o,x,b,x,positive
256,o,o,x,b,x,x,x,x,x,positive
257,x,b,o,b,o,x,b,o,o,negative
258,o,b,x,x,o,o,o,x,x,negative
259,b,x,x,o,x,x,o,x,x,positive
260,o,b,o,x,x,x,b,o,x,positive
261,o,x,x,x,x,x,b,b,x,positive
262,x,x,o,o,x,o,x,x,x,negative
263,x,b,o,x,o,x,b,b,o,positive
264,o,o,o,x,x,o,x,x,x,negative
265,o,b,x,x,x,x,x,o,b,positive
266,b,x,b,o,b,o,o,b,o,positive
267,b,o,b,x,x,x,b,o,o,positive
268,b,b,x,o,x,x,o,x,x,positive
269,b,x,b,x,x,x,b,b,o,positive
270,o,o,b,o,b,x,x,x,x,negative
271,o,o,o,o,o,x,x,x,o,positive
272,o,b,b,o,x,b,x,x,x,positive
273,x,o,o,x,b,o,x,o,x,negative
274,o,b,b,o,o,x,b,x,x,positive
275,o,b,o,x,o,b,o,x,o,negative
276,x,x,x,o,b,o,b,x,o,positive
277,x,o,x,x,o,b,x,b,b,positive
278,b,x,x,x,b,x,o,o,x,negative
279,x,o,b,x,x,o,o,o,x,positive
280,x,x,b,b,x,o,o,o,o,positive
281,o,b,x,x,o,x,x,b,x,positive
282,b,x,x,o,o,x,o,b,b,negative
283,x,b,x,o,x,o,x,o,b,positive
284,o,b,x,o,x,x,b,x,o,positive
285,b,o,b,b,b,x,b,x,x,positive
286,o,b,o,x,o,o,x,x,b,positive
287,o,x,o,x,x,o,o,x,o,negative
288,x,x,x,b,x,o,x,o,o,positive
289,b,b,o,x,x,o,x,o,o,negative
290,x,x,o,o,x,b,o,x,x,negative
291,o,b,x,o,b,x,o,b,x,positive
292,b,o,o,x,x,x,b,o,o,positive
293,o,b,x,b,x,o,x,b,x,positive
294,b,x,b,x,x,o,x,x,x,positive
295,x,b,o,x,b,o,o,x,x,negative
296,o,o,x,b,x,x,x,b,b,positive
297,o,x,x,o,x,o,o,x,x,positive
298,x,o,o,o,x,b,x,b,x,positive
299,x,o,o,b,o,x,x,b,x,negative
300,o,x,x,x,x,b,o,x,o,negative
301,x,x,b,o,b,x,x,x,b,negative
302,b,x,o,b,x,x,o,x,o,negative
303,x,x,o,b,o,o,x,b,o,negative
304,x,x,x,o,b,b,x,o,x,positive
305,x,b,o,x,x,o,o,o,o,positive
306,o,o,x,b,o,x,x,o,x,positive
307,o,b,o,x,x,x,o,x,b,negative
308,o,b,b,b,o,x,o,x,x,positive
309,o,b,o,x,x,o,x,b,o,positive
310,x,b,x,b,x,x,o,o,o,negative
311,o,b,b,b,x,b,x,x,x,positive
312,x,b,x,x,x,x,o,b,o,positive
313,o,b,x,o,x,b,x,b,x,positive
314,x,b,x,b,x,o,x,b,x,positive
315,o,x,o,x,b,o,b,o,o,positive
316,o,x,x,o,x,o,o,x,o,positive
317,x,x,b,b,x,b,b,x,b,positive
318,x,b,b,o,o,x,o,x,x,negative
319,b,x,b,x,b,o,o,x,o,positive
320,x,o,o,x,b,o,x,b,b,positive
321,b,x,o,x,b,o,x,o,o,positive
322,o,b,o,o,o,o,b,x,x,negative
323,b,x,x,x,o,o,b,o,b,positive
324,x,o,x,x,x,o,b,o,o,positive
325,o,x,x,o,x,b,o,x,x,negative
326,x,o,o,x,o,b,b,b,x,negative
327,x,x,x,b,x,o,b,b,b,positive
328,x,x,x,b,x,b,b,o,b,positive
329,x,x,o,x,o,b,x,o,o,positive
330,x,o,x,b,o,o,x,b,x,positive
331,x,b,x,b,b,o,x,o,x,positive
332,x,b,o,x,x,b,x,x,b,positive
333,x,o,x,x,b,o,x,b,o,positive
334,x,b,x,b,x,o,x,b,x,positive
335,b,o,x,o,x,o,x,o,x,positive
336,b,o,x,o,o,o,x,b,b,negative
337,x,x,x,o,b,x,o,b,x,positive
338,b,b,b,x,x,x,o,o,o,positive
339,x,b,b,x,o,b,x,x,b,positive
340,b,b,o,x,x,b,o,x,o,negative
341,b,x,x,x,o,x,x,o,x,negative
342,x,o,o,x,b,o,b,b,x,negative
343,x,b,x,o,o,o,b,o,b,negative
344,o,x,x,x,x,x,o,b,o,positive
345,x,b,o,x,x,x,o,b,x,negative
346,o,x,x,x,o,x,x,x,b,negative
347,b,x,x,o,b,o,o,o,b,positive
348,o,x,b,x,o,o,x,b,o,negative
349,x,o,o,b,o,x,x,b,x,positive
350,o,b,o,x,x,b,x,x,b,positive
351,o,x,x,x,o,x,o,o,o,positive
352,o,o,x,b,x,b,x,o,o,positive
353,o,x,b,o,x,b,o,b,b,negative
354,o,x,b,o,o,x,o,x,b,positive
355,o,x,b,o,b,b,b,x,x,positive
356,b,b,b,b,b,x,o,x,x,positive
357,x,o,x,o,x,b,x,x,x,positive
358,b,o,x,b,x,b,b,b,x,positive
359,x,o,o,o,x,b,x,o,x,positive
360,x,x,o,x,o,x,o,o,o,positive
361,x,b,o,x,o,o,x,b,o,negative
362,o,x,o,o,o,x,o,b,x,negative
363,x,o,x,x,x,o,x,b,b,positive
364,o,o,x,o,x,b,b,x,x,negative
365,x,b,x,b,o,b,x,o,b,positive
366,o,x,x,b,x,o,b,o,x,positive
367,o,x,x,x,o,x,x,b,o,positive
368,b,x,x,x,o,x,b,o,o,negative
369,o,b,o,x,o,b,x,x,o,negative
370,x,x,x,x,x,o,x,o,o,positive
371,b,b,x,o,o,o,x,b,x,negative
372,b,x,x,x,x,x,o,b,b,positive
373,x,o,x,b,o,x,x,o,x,negative
374,x,x,b,x,o,x,o,b,o,positive
375,x,o,o,x,x,o,o,o,x,negative
376,o,x,x,x,x,b,x,x,b,negative
377,o,o,b,b,x,b,x,x,x,positive
378,o,b,o,b,x,x,x,x,x,positive
379,b,x,o,o,o,x,o,x,o,positive
380,o,o,o,x,x,b,o,b,o,negative
381,b,b,x,b,o,o,o,o,b,positive
382,o,x,o,b,o,x,o,x,x,negative
383,x,x,x,o,b,x,b,b,b,positive
384,o,b,x,b,o,x,b,o,o,negative
385,x,x,x,b,x,o,o,o,o,positive
386,o,x,x,o,x,o,b,x,x,positive
387,x,o,x,o,x,o,x,b,x,positive
388,b,o,b,x,x,x,o,x,b,positive
389,x,x,x,b,o,x,o,b,o,positive
390,x,o,b,b,o,x,x,o,x,negative
391,x,x,o,x,o,b,o,x,o,negative
392,o,b,o,x,x,o,b,x,o,negative
393,o,x,b,x,x,b,b,b,o,negative
394,b,x,x,o,x,b,b,o,o,positive
395,x,o,b,o,o,b,x,x,x,negative
396,x,b,x,x,o,b,o,o,x,positive
397,x,x,x,x,o,o,x,b,o,negative
398,o,b,o,b,o,b,o,x,x,positive
399,x,x,b,x,x,o,b,o,o,positive
400,x,o,b,b,x,x,x,o,x,negative
401,b,o,x,o,x,x,b,o,o,positive
402,x,o,b,x,x,o,x,o,b,positive
403,b,x,b,o,b,x,o,x,b,positive
404,o,b,x,x,x,x,o,b,x,positive
405,x,x,b,x,b,b,o,o,x,negative
406,x,b,b,x,x,o,x,b,x,positive
407,x,b,x,b,x,o,x,o,x,positive
408,x,x,o,x,b,b,b,b,o,positive
409,o,b,o,o,x,x,o,x,x,positive
410,b,b,b,x,o,b,b,x,b,positive
411,x,x,o,x,b,x,o,x,b,negative
412,x,x,x,x,x,x,b,o,b,positive
413,x,o,x,o,o,x,o,o,x,positive
414,o,o,b,x,x,o,x,x,o,positive
415,b,b,b,o,o,x,x,b,b,positive
416,o,x,b,o,x,b,o,b,x,positive
417,x,x,o,b,o,x,o,b,x,positive
418,x,o,x,x,x,o,x,b,o,positive
419,x,o,x,x,x,x,o,o,x,positive
420,x,x,x,o,x,b,b,x,b,positive
421,x,x,o,x,b,o,b,b,b,positive
422,o,x,x,b,o,x,x,b,b,positive
423,o,x,b,o,o,x,o,x,b,negative
424,o,x,x,x,o,x,o,x,o,negative
425,o,b,o,x,o,x,b,x,x,positive
426,x,b,x,o,x,x,b,b,x,positive
427,x,b,o,o,x,x,o,x,x,positive
428,x,x,x,o,x,b,b,o,o,positive
429,x,x,x,x,x,o,b,x,o,positive
430,x,o,o,x,x,b,x,b,b,positive
431,o,b,x,b,x,x,x,x,x,positive
432,x,x,x,o,x,o,x,b,b,positive
433,x,x,o,x,o,o,b,x,o,negative
434,o,b,x,x,b,x,o,o,x,positive
435,o,o,x,o,o,x,o,x,x,positive
436,o,x,b,x,o,x,o,x,b,negative
437,x,b,x,o,x,b,o,o,o,positive
438,o,x,b,x,o,b,o,b,o,negative
439,o,b,b,x,x,b,o,x,b,negative
440,x,o,x,o,o,b,b,o,x,positive
441,o,x,b,b,o,x,o,x,x,negative
442,b,b,x,o,x,o,x,o,x,positive
443,o,o,b,x,x,x,o,o,o,positive
444,x,o,o,b,x,b,x,b,x,positive
445,x,b,x,o,x,x,o,o,b,negative
446,b,x,x,o,x,b,x,b,b,positive
447,o,x,x,o,o,x,o,x,x,negative
448,x,x,o,x,x,o,b,x,o,negative
449,x,x,x,o,x,x,b,o,o,positive
450,o,o,o,o,x,x,b,x,x,negative
451,b,b,x,b,o,b,x,o,x,negative
452,o,x,x,o,x,x,x,o,o,positive
453,b,o,o,b,x,b,b,x,x,positive
454,x,x,o,x,x,o,x,x,o,negative
455,x,x,x,b,x,o,b,o,b,positive
456,o,b,o,x,o,x,o,b,b,negative
457,o,o,b,o,x,b,x,x,x,positive
458,x,x,o,o,x,o,b,b,o,positive
459,b,o,o,x,x,o,x,o,x,negative
460,b,b,o,x,o,b,o,b,o,negative
461,x,o,o,o,x,b,x,x,x,positive
462,o,x,x,o,x,x,o,x,o,positive
463,x,x,x,o,o,x,x,b,b,positive
464,o,b,o,o,x,b,x,x,x,positive
465,o,x,x,o,o,o,x,x,x,negative
466,x,x,x,x,o,b,o,o,o,negative
467,x,b,x,x,x,o,x,o,o,negative
468,o,x,x,x,o,o,o,b,x,positive
469,o,o,o,x,o,x,o,x,o,positive
470,x,x,o,o,x,o,o,x,b,positive
471,x,o,o,b,b,b,o,x,o,negative
472,x,b,x,x,o,b,x,x,x,positive
473,b,b,x,o,b,b,x,x,b,positive
474,x,x,x,b,x,o,b,o,x,positive
475,o,o,o,x,o,b,x,x,x,negative
476,b,o,b,x,b,o,x,o,x,negative
477,b,x,b,o,x,o,o,x,x,positive
478,x,x,o,o,b,o,b,o,x,positive
479,x,o,b,x,o,x,x,x,x,negative
480,o,o,x,b,o,x,b,b,x,positive
481,x,b,b,x,o,o,o,o,x,positive
482,o,x,x,b,b,x,b,b,b,positive
483,x,o,x,o,o,b,x,b,x,positive
484,o,x,o,x,b,o,x,o,o,negative
485,x,o,x,o,x,b,x,b,x,positive
486,o,x,x,b,x,b,b,b,x,positive
487,x,b,o,x,b,x,b,b,o,positive
488,x,b,b,b,o,b,x,o,b,positive
489,x,x,x,o,o,o,o,x,b,negative
490,o,o,o,x,o,x,b,x,x,negative
491,o,o,x,o,o,x,o,b,x,positive
492,x,o,o,x,x,x,x,o,o,positive
493,x,b,o,x,x,o,x,o,x,positive
494,b,x,o,x,x,x,x,x,o,positive
495,b,b,b,o,o,x,o,x,x,positive
496,b,o,x,o,x,o,x,b,x,positive
497,x,b,b,x,o,b,x,x,b,positive
498,x,x,x,o,o,o,o,b,o,negative
499,x,b,x,b,b,o,x,o,x,positive
500,x,o,x,b,b,b,b,o,x,positive
501,o,o,x,o,o,x,b,b,x,negative
502,b,o,o,b,o,x,x,x,x,positive
503,x,x,o,b,b,o,x,b,o,negative
504,o,x,x,o,b,b,o,o,o,positive
505,o,x,x,b,b,x,o,o,o,positive
506,x,x,b,x,x,x,b,x,o,positive
507,b,x,o,x,x,x,o,x,o,positive
508,b,o,x,b,x,o,x,b,x,positive
509,x,b,x,b,x,x,o,b,o,positive
510,o,x,x,o,b,x,o,b,o,negative
511,o,o,x,o,o,b,o,x,x,negative
512,x,x,x,o,x,x,b,b,x,positive
513,b,b,x,b,o,b,x,o,x,positive
514,b,x,x,b,o,x,b,o,o,positive
515,x,b,o,x,x,x,o,b,b,positive
516,x,b,x,x,x,b,x,o,x,positive
517,x,x,x,o,o,o,x,o,o,positive
518,x,o,o,x,x,x,x,x,o,positive
519,b,o,b,o,o,x,o,x,x,positive
520,o,o,o,o,x,o,o,x,x,positive
521,x,b,x,o,b,b,x,o,x,positive
522,x,o,x,x,x,o,x,x,b,negative
523,x,x,b,b,x,b,o,o,x,positive
524,x,b,x,x,x,o,o,o,o,negative
525,o,x,o,x,o,x,x,x,b,negative
526,o,x,o,o,b,b,b,x,x,negative
527,o,o,x,o,o,x,x,x,x,positive
528,b,x,o,x,o,b,o,x,o,negative
529,x,x,o,x,o,b,o,x,o,negative
530,x,o,b,x,b,b,x,o,o,positive
531,x,o,x,o,o,o,b,x,o,negative
532,o,x,x,b,x,x,o,x,x,positive
533,o,b,x,o,o,o,x,x,b,negative
534,x,b,b,x,o,o,b,o,b,positive
535,x,x,b,x,x,o,o,o,o,negative
536,x,o,x,x,x,o,x,o,o,positive
537,x,o,b,x,o,b,x,x,b,positive
538,b,o,x,x,o,b,x,o,o,negative
539,o,b,x,o,o,x,o,x,x,negative
540,o,o,x,x,o,x,x,x,x,negative
541,o,x,b,o,b,x,o,b,x,negative
542,o,b,x,o,x,b,x,o,x,positive
543,x,x,b,x,b,o,o,o,o,positive
544,o,x,b,x,x,o,x,x,b,positive
545,o,b,b,x,x,b,x,b,x,positive
546,b,x,o,b,o,o,o,x,o,positive
547,o,x,b,b,x,x,b,x,b,positive
548,b,o,o,o,b,b,x,x,x,positive
549,o,x,x,b,o,o,o,x,x,negative
550,o,b,o,x,x,x,x,b,o,positive
551,o,o,b,b,o,x,x,x,x,positive
552,b,x,b,o,b,o,x,x,b,positive
553,x,x,o,x,x,o,o,x,o,negative
554,o,x,x,x,x,x,b,o,o,positive
555,b,x,x,x,b,x,x,x,b,positive
556,x,o,x,o,x,x,x,x,o,negative
557,o,x,b,x,o,x,b,b,o,negative
558,o,b,o,x,x,x,o,x,x,positive
559,o,x,b,o,o,b,o,o,b,negative
560,x,x,o,o,x,x,b,x,o,positive
561,x,b,x,o,o,x,b,b,o,negative
562,x,x,x,o,b,b,o,x,x,positive
563,b,o,b,o,x,o,x,x,x,positive
564,x,x,o,o,b,o,o,x,x,positive
565,x,x,b,x,b,b,b,x,b,positive
566,x,x,b,x,x,o,o,x,o,negative
567,b,x,b,x,o,x,b,o,b,negative
568,o,o,b,b,o,x,x,x,x,negative
569,b,o,x,b,x,b,x,o,x,positive
570,b,b,o,x,b,o,x,b,o,negative
571,x,o,b,o,o,o,b,b,x,positive
572,o,o,o,x,o,b,o,x,o,negative
573,o,b,o,x,o,x,x,b,o,negative
574,b,o,x,o,b,x,x,o,x,positive
575,b,o,b,o,x,b,b,x,x,positive
576,o,b,x,x,o,b,x,b,o,negative
577,b,b,x,o,o,o,x,b,x,negative
578,o,b,b,x,o,x,o,x,o,positive
579,x,b,x,o,x,b,x,b,x,positive
580,o,o,x,o,x,x,o,o,x,positive
581,x,o,x,o,o,o,x,b,o,negative
582,x,x,b,x,x,x,o,o,o,positive
583,x,o,x,o,x,x,o,o,x,positive
584,o,x,x,b,o,x,x,b,o,negative
585,x,o,b,x,b,x,b,b,b,positive
586,x,o,b,o,o,b,x,b,x,positive
587,x,o,x,o,b,b,x,b,b,positive
588,x,b,o,x,o,o,x,o,b,positive
589,o,b,x,b,b,o,x,b,x,positive
590,b,b,b,b,x,x,x,x,x,positive
591,b,x,x,b,x,o,x,x,x,positive
592,x,x,b,o,o,x,o,o,b,positive
593,x,o,o,x,o,b,b,b,x,positive
594,x,x,o,x,o,b,b,b,o,negative
595,b,b,o,b,x,b,x,b,o,negative
596,b,o,b,x,x,b,x,o,x,positive
597,x,x,x,o,o,x,x,x,o,positive
598,x,o,x,o,b,o,x,x,x,positive
599,x,x,x,o,x,x,o,b,x,negative
600,x,o,b,o,x,o,x,b,x,positive
601,o,o,o,x,x,b,x,x,b,negative
