,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
109,a,1,f,5,g,6,draw
110,a,1,f,6,e,5,draw
111,a,1,f,6,f,5,draw
112,a,1,f,6,g,5,draw
113,a,1,f,6,g,6,draw
114,a,1,f,6,g,7,draw
115,a,1,f,7,g,6,draw
116,a,1,g,1,f,1,draw
117,a,1,g,1,f,2,draw
118,a,1,g,1,g,2,draw
119,a,1,g,1,h,1,draw
120,a,1,g,1,h,2,draw
121,a,1,g,2,f,1,draw
122,a,1,g,2,f,2,draw
123,a,1,g,2,f,3,draw
124,a,1,g,2,g,1,draw
125,a,1,g,2,g,3,draw
126,a,1,g,2,h,1,draw
127,a,1,g,2,h,2,draw
128,a,1,g,2,h,3,draw
129,a,1,g,3,f,2,draw
130,a,1,g,3,f,3,draw
131,a,1,g,3,f,4,draw
132,a,1,g,3,g,2,draw
133,a,1,g,3,g,4,draw
134,a,1,g,3,h,2,draw
135,a,1,g,3,h,3,draw
136,a,1,g,3,h,4,draw
137,a,1,g,4,f,3,draw
138,a,1,g,4,f,4,draw
139,a,1,g,4,f,5,draw
140,a,1,g,4,g,3,draw
141,a,1,g,4,g,5,draw
142,a,1,g,4,h,3,draw
143,a,1,g,4,h,4,draw
144,a,1,g,4,h,5,draw
145,a,1,g,5,f,4,draw
146,a,1,g,5,f,5,draw
147,a,1,g,5,f,6,draw
148,a,1,g,5,g,4,draw
149,a,1,g,5,g,6,draw
150,a,1,g,5,h,4,draw
151,a,1,g,5,h,5,draw
152,a,1,g,5,h,6,draw
153,a,1,g,6,f,5,draw
154,a,1,g,6,f,6,draw
155,a,1,g,6,g,5,draw
156,a,1,g,6,g,7,draw
157,a,1,g,6,h,5,draw
158,a,1,g,6,h,6,draw
159,a,1,g,6,h,7,draw
160,a,1,g,7,f,6,draw
161,a,1,g,7,g,6,draw
162,a,1,g,7,h,6,draw
163,a,1,g,7,h,7,draw
164,a,1,g,7,h,8,draw
165,a,1,g,8,h,7,draw
166,a,1,h,1,g,1,draw
167,a,1,h,1,g,2,draw
168,a,1,h,1,h,2,draw
169,a,1,h,2,g,1,draw
170,a,1,h,2,g,2,draw
171,a,1,h,2,g,3,draw
172,a,1,h,2,h,1,draw
173,a,1,h,2,h,3,draw
174,a,1,h,3,g,2,draw
175,a,1,h,3,g,3,draw
176,a,1,h,3,g,4,draw
177,a,1,h,3,h,2,draw
178,a,1,h,3,h,4,draw
179,a,1,h,4,g,3,draw
180,a,1,h,4,g,4,draw
181,a,1,h,4,g,5,draw
182,a,1,h,4,h,3,draw
183,a,1,h,4,h,5,draw
184,a,1,h,5,g,4,draw
185,a,1,h,5,g,5,draw
186,a,1,h,5,g,6,draw
187,a,1,h,5,h,4,draw
188,a,1,h,5,h,6,draw
189,a,1,h,6,g,5,draw
190,a,1,h,6,g,6,draw
191,a,1,h,6,g,7,draw
192,a,1,h,6,h,5,draw
193,a,1,h,6,h,7,draw
194,a,1,h,7,g,6,draw
195,a,1,h,7,g,7,draw
196,a,1,h,7,h,6,draw
197,a,1,h,7,h,8,draw
198,a,1,h,8,g,7,draw
199,a,1,h,8,h,7,draw
200,b,1,a,3,a,4,draw
201,b,1,a,3,b,3,draw
202,b,1,a,3,b,4,draw
203,b,1,a,4,a,3,draw
204,b,1,a,4,a,5,draw
205,b,1,a,4,b,3,draw
206,b,1,a,4,b,4,draw
207,b,1,a,4,b,5,draw
208,b,1,a,5,a,4,draw
209,b,1,a,5,a,6,draw
210,b,1,a,5,b,4,draw
211,b,1,a,5,b,5,draw
212,b,1,a,5,b,6,draw
213,b,1,a,6,a,5,draw
214,b,1,a,6,a,7,draw
215,b,1,a,6,b,5,draw
216,b,1,a,6,b,6,draw
217,b,1,a,6,b,7,draw
218,b,1,a,7,a,6,draw
219,b,1,a,7,a,8,draw
220,b,1,a,7,b,6,draw
221,b,1,a,7,b,7,draw
222,b,1,a,7,b,8,draw
223,b,1,a,8,a,7,draw
224,b,1,a,8,b,7,draw
225,b,1,a,8,b,8,draw
226,b,1,b,3,a,3,draw
227,b,1,b,3,a,4,draw
228,b,1,b,3,b,4,draw
229,b,1,b,3,c,3,draw
230,b,1,b,3,c,4,draw
231,b,1,b,4,a,3,draw
232,b,1,b,4,a,4,draw
233,b,1,b,4,a,5,draw
234,b,1,b,4,b,3,draw
235,b,1,b,4,b,5,draw
236,b,1,b,4,c,3,draw
237,b,1,b,4,c,4,draw
238,b,1,b,4,c,5,draw
239,b,1,b,5,a,4,draw
240,b,1,b,5,a,5,draw
241,b,1,b,5,a,6,draw
242,b,1,b,5,b,4,draw
243,b,1,b,5,b,6,draw
244,b,1,b,5,c,4,draw
245,b,1,b,5,c,5,draw
246,b,1,b,5,c,6,draw
247,b,1,b,6,a,5,draw
248,b,1,b,6,a,6,draw
249,b,1,b,6,a,7,draw
250,b,1,b,6,b,5,draw
251,b,1,b,6,b,7,draw
252,b,1,b,6,c,5,draw
253,b,1,b,6,c,6,draw
254,b,1,b,6,c,7,draw
255,b,1,b,7,a,6,draw
256,b,1,b,7,a,7,draw
257,b,1,b,7,a,8,draw
258,b,1,b,7,b,6,draw
259,b,1,b,7,b,8,draw
260,b,1,b,7,c,6,draw
261,b,1,b,7,c,7,draw
262,b,1,b,7,c,8,draw
263,b,1,b,8,a,7,draw
264,b,1,b,8,a,8,draw
265,b,1,b,8,b,7,draw
266,b,1,b,8,c,7,draw
267,b,1,b,8,c,8,draw
268,b,1,c,3,b,3,draw
269,b,1,c,3,b,4,draw
270,b,1,c,3,c,4,draw
271,b,1,c,3,d,2,draw
272,b,1,c,3,d,3,draw
273,b,1,c,3,d,4,draw
274,b,1,c,4,b,3,draw
275,b,1,c,4,b,4,draw
276,b,1,c,4,b,5,draw
277,b,1,c,4,c,3,draw
278,b,1,c,4,c,5,draw
279,b,1,c,4,d,3,draw
280,b,1,c,4,d,4,draw
281,b,1,c,4,d,5,draw
282,b,1,c,5,b,4,draw
283,b,1,c,5,b,5,draw
284,b,1,c,5,b,6,draw
285,b,1,c,5,c,4,draw
286,b,1,c,5,c,6,draw
287,b,1,c,5,d,4,draw
288,b,1,c,5,d,5,draw
289,b,1,c,5,d,6,draw
290,b,1,c,6,b,5,draw
291,b,1,c,6,b,6,draw
292,b,1,c,6,b,7,draw
293,b,1,c,6,c,5,draw
294,b,1,c,6,c,7,draw
295,b,1,c,6,d,5,draw
296,b,1,c,6,d,6,draw
297,b,1,c,6,d,7,draw
298,b,1,c,7,b,6,draw
299,b,1,c,7,b,7,draw
300,b,1,c,7,b,8,draw
301,b,1,c,7,c,6,draw
302,b,1,c,7,c,8,draw
303,b,1,c,7,d,6,draw
304,b,1,c,7,d,7,draw
305,b,1,c,7,d,8,draw
306,b,1,c,8,b,7,draw
307,b,1,c,8,b,8,draw
308,b,1,c,8,c,7,draw
309,b,1,c,8,d,7,draw
310,b,1,c,8,d,8,draw
311,b,1,d,1,d,2,draw
312,b,1,d,1,e,1,draw
313,b,1,d,1,e,2,draw
314,b,1,d,2,c,3,draw
315,b,1,d,2,d,1,draw
316,b,1,d,2,d,3,draw
317,b,1,d,2,e,1,draw
318,b,1,d,2,e,2,draw
319,b,1,d,2,e,3,draw
320,b,1,d,3,c,3,draw
321,b,1,d,3,c,4,draw
322,b,1,d,3,d,2,draw
323,b,1,d,3,d,4,draw
324,b,1,d,3,e,2,draw
325,b,1,d,3,e,3,draw
326,b,1,d,3,e,4,draw
327,b,1,d,4,c,3,draw
328,b,1,d,4,c,4,draw
329,b,1,d,4,c,5,draw
330,b,1,d,4,d,3,draw
331,b,1,d,4,d,5,draw
332,b,1,d,4,e,3,draw
333,b,1,d,4,e,4,draw
334,b,1,d,4,e,5,draw
335,b,1,d,5,c,4,draw
336,b,1,d,5,c,5,draw
337,b,1,d,5,c,6,draw
338,b,1,d,5,d,4,draw
339,b,1,d,5,d,6,draw
340,b,1,d,5,e,4,draw
341,b,1,d,5,e,5,draw
342,b,1,d,5,e,6,draw
343,b,1,d,6,c,5,draw
344,b,1,d,6,c,6,draw
345,b,1,d,6,c,7,draw
346,b,1,d,6,d,5,draw
347,b,1,d,6,d,7,draw
348,b,1,d,6,e,5,draw
349,b,1,d,6,e,6,draw
350,b,1,d,6,e,7,draw
351,b,1,d,7,c,6,draw
352,b,1,d,7,c,7,draw
353,b,1,d,7,c,8,draw
354,b,1,d,7,d,6,draw
355,b,1,d,7,d,8,draw
356,b,1,d,7,e,6,draw
357,b,1,d,7,e,7,draw
358,b,1,d,7,e,8,draw
359,b,1,d,8,c,7,draw
360,b,1,d,8,c,8,draw
361,b,1,d,8,d,7,draw
362,b,1,d,8,e,7,draw
363,b,1,d,8,e,8,draw
364,b,1,e,1,d,1,draw
365,b,1,e,1,d,2,draw
366,b,1,e,1,e,2,draw
367,b,1,e,1,f,1,draw
368,b,1,e,1,f,2,draw
369,b,1,e,2,d,1,draw
370,b,1,e,2,d,2,draw
371,b,1,e,2,d,3,draw
372,b,1,e,2,e,1,draw
373,b,1,e,2,e,3,draw
374,b,1,e,2,f,1,draw
375,b,1,e,2,f,2,draw
376,b,1,e,2,f,3,draw
377,b,1,e,3,d,2,draw
378,b,1,e,3,d,3,draw
379,b,1,e,3,d,4,draw
380,b,1,e,3,e,2,draw
381,b,1,e,3,e,4,draw
382,b,1,e,3,f,2,draw
383,b,1,e,3,f,3,draw
384,b,1,e,3,f,4,draw
385,b,1,e,4,d,3,draw
386,b,1,e,4,d,4,draw
387,b,1,e,4,d,5,draw
388,b,1,e,4,e,3,draw
389,b,1,e,4,e,5,draw
390,b,1,e,4,f,3,draw
391,b,1,e,4,f,4,draw
392,b,1,e,4,f,5,draw
393,b,1,e,5,d,4,draw
394,b,1,e,5,d,5,draw
395,b,1,e,5,d,6,draw
396,b,1,e,5,e,4,draw
397,b,1,e,5,e,6,draw
398,b,1,e,5,f,4,draw
399,b,1,e,5,f,5,draw
400,b,1,e,5,f,6,draw
401,b,1,e,6,d,5,draw
402,b,1,e,6,d,6,draw
403,b,1,e,6,d,7,draw
404,b,1,e,6,e,5,draw
405,b,1,e,6,e,7,draw
406,b,1,e,6,f,5,draw
407,b,1,e,6,f,6,draw
408,b,1,e,6,f,7,draw
409,b,1,e,7,d,6,draw
410,b,1,e,7,d,7,draw
411,b,1,e,7,d,8,draw
412,b,1,e,7,e,6,draw
413,b,1,e,7,e,8,draw
414,b,1,e,7,f,6,draw
415,b,1,e,7,f,7,draw
416,b,1,e,7,f,8,draw
417,b,1,e,8,d,7,draw
418,b,1,e,8,d,8,draw
419,b,1,e,8,e,7,draw
420,b,1,e,8,f,7,draw
421,b,1,e,8,f,8,draw
422,b,1,f,1,e,1,draw
423,b,1,f,1,e,2,draw
424,b,1,f,1,f,2,draw
425,b,1,f,1,g,1,draw
426,b,1,f,1,g,2,draw
427,b,1,f,2,e,1,draw
428,b,1,f,2,e,2,draw
429,b,1,f,2,e,3,draw
430,b,1,f,2,f,1,draw
431,b,1,f,2,f,3,draw
432,b,1,f,2,g,1,draw
433,b,1,f,2,g,2,draw
434,b,1,f,2,g,3,draw
435,b,1,f,3,e,2,draw
436,b,1,f,3,e,3,draw
437,b,1,f,3,e,4,draw
438,b,1,f,3,f,2,draw
439,b,1,f,3,f,4,draw
440,b,1,f,3,g,2,draw
441,b,1,f,3,g,3,draw
442,b,1,f,3,g,4,draw
443,b,1,f,4,e,3,draw
444,b,1,f,4,e,4,draw
445,b,1,f,4,e,5,draw
446,b,1,f,4,f,3,draw
447,b,1,f,4,f,5,draw
448,b,1,f,4,g,3,draw
449,b,1,f,4,g,4,draw
450,b,1,f,4,g,5,draw
451,b,1,f,5,e,4,draw
452,b,1,f,5,e,5,draw
453,b,1,f,5,e,6,draw
454,b,1,f,5,f,4,draw
455,b,1,f,5,f,6,draw
456,b,1,f,5,g,4,draw
457,b,1,f,5,g,5,draw
458,b,1,f,5,g,6,draw
459,b,1,f,6,e,5,draw
460,b,1,f,6,e,6,draw
461,b,1,f,6,e,7,draw
462,b,1,f,6,f,5,draw
463,b,1,f,6,f,7,draw
464,b,1,f,6,g,5,draw
465,b,1,f,6,g,6,draw
466,b,1,f,6,g,7,draw
467,b,1,f,7,e,6,draw
468,b,1,f,7,e,7,draw
469,b,1,f,7,e,8,draw
470,b,1,f,7,f,6,draw
471,b,1,f,7,f,8,draw
472,b,1,f,7,g,6,draw
473,b,1,f,7,g,7,draw
474,b,1,f,7,g,8,draw
475,b,1,f,8,e,7,draw
476,b,1,f,8,e,8,draw
477,b,1,f,8,f,7,draw
478,b,1,f,8,g,7,draw
479,b,1,f,8,g,8,draw
480,b,1,g,1,f,1,draw
481,b,1,g,1,f,2,draw
482,b,1,g,1,g,2,draw
483,b,1,g,1,h,1,draw
484,b,1,g,1,h,2,draw
485,b,1,g,2,f,1,draw
486,b,1,g,2,f,2,draw
487,b,1,g,2,f,3,draw
488,b,1,g,2,g,1,draw
489,b,1,g,2,g,3,draw
490,b,1,g,2,h,1,draw
491,b,1,g,2,h,2,draw
492,b,1,g,2,h,3,draw
493,b,1,g,3,f,2,draw
494,b,1,g,3,f,3,draw
495,b,1,g,3,f,4,draw
496,b,1,g,3,g,2,draw
497,b,1,g,3,g,4,draw
498,b,1,g,3,h,2,draw
499,b,1,g,3,h,3,draw
500,b,1,g,3,h,4,draw
501,b,1,g,4,f,3,draw
502,b,1,g,4,f,4,draw
503,b,1,g,4,f,5,draw
504,b,1,g,4,g,3,draw
505,b,1,g,4,g,5,draw
506,b,1,g,4,h,3,draw
507,b,1,g,4,h,4,draw
508,b,1,g,4,h,5,draw
509,b,1,g,5,f,4,draw
510,b,1,g,5,f,5,draw
511,b,1,g,5,f,6,draw
512,b,1,g,5,g,4,draw
513,b,1,g,5,g,6,draw
514,b,1,g,5,h,4,draw
515,b,1,g,5,h,5,draw
516,b,1,g,5,h,6,draw
517,b,1,g,6,f,5,draw
518,b,1,g,6,f,6,draw
519,b,1,g,6,f,7,draw
520,b,1,g,6,g,5,draw
521,b,1,g,6,g,7,draw
522,b,1,g,6,h,5,draw
523,b,1,g,6,h,6,draw
524,b,1,g,6,h,7,draw
525,b,1,g,7,f,6,draw
526,b,1,g,7,f,7,draw
527,b,1,g,7,f,8,draw
528,b,1,g,7,g,6,draw
529,b,1,g,7,g,8,draw
530,b,1,g,7,h,6,draw
531,b,1,g,7,h,7,draw
532,b,1,g,7,h,8,draw
533,b,1,g,8,f,7,draw
534,b,1,g,8,f,8,draw
535,b,1,g,8,g,7,draw
536,b,1,g,8,h,7,draw
537,b,1,g,8,h,8,draw
538,b,1,h,1,g,1,draw
539,b,1,h,1,g,2,draw
540,b,1,h,1,h,2,draw
541,b,1,h,2,g,1,draw
542,b,1,h,2,g,2,draw
543,b,1,h,2,g,3,draw
544,b,1,h,2,h,1,draw
545,b,1,h,2,h,3,draw
546,b,1,h,3,g,2,draw
547,b,1,h,3,g,3,draw
548,b,1,h,3,g,4,draw
549,b,1,h,3,h,2,draw
550,b,1,h,3,h,4,draw
551,b,1,h,4,g,3,draw
552,b,1,h,4,g,4,draw
553,b,1,h,4,g,5,draw
554,b,1,h,4,h,3,draw
555,b,1,h,4,h,5,draw
556,b,1,h,5,g,4,draw
557,b,1,h,5,g,5,draw
558,b,1,h,5,g,6,draw
559,b,1,h,5,h,4,draw
560,b,1,h,5,h,6,draw
561,b,1,h,6,g,5,draw
562,b,1,h,6,g,6,draw
563,b,1,h,6,g,7,draw
564,b,1,h,6,h,5,draw
565,b,1,h,6,h,7,draw
566,b,1,h,7,g,6,draw
567,b,1,h,7,g,7,draw
568,b,1,h,7,g,8,draw
569,b,1,h,7,h,6,draw
570,b,1,h,7,h,8,draw
571,b,1,h,8,g,7,draw
572,b,1,h,8,g,8,draw
573,b,1,h,8,h,7,draw
574,b,2,c,4,d,3,draw
575,b,2,d,1,d,2,draw
576,b,2,d,1,e,1,draw
577,b,2,d,1,e,2,draw
578,b,2,d,2,d,1,draw
579,b,2,d,2,d,3,draw
580,b,2,d,2,e,1,draw
581,b,2,d,2,e,2,draw
582,b,2,d,2,e,3,draw
583,b,2,d,3,d,2,draw
584,b,2,d,3,d,4,draw
585,b,2,d,3,e,2,draw
586,b,2,d,3,e,3,draw
587,b,2,d,3,e,4,draw
588,b,2,d,4,d,3,draw
589,b,2,d,4,e,3,draw
590,b,2,d,4,e,4,draw
591,b,2,d,4,e,5,draw
592,b,2,d,5,e,4,draw
593,b,2,e,1,d,1,draw
594,b,2,e,1,d,2,draw
595,b,2,e,1,e,2,draw
596,b,2,e,1,f,1,draw
597,b,2,e,1,f,2,draw
598,b,2,e,2,d,1,draw
599,b,2,e,2,d,2,draw
600,b,2,e,2,d,3,draw
601,b,2,e,2,e,1,draw
602,b,2,e,2,e,3,draw
603,b,2,e,2,f,1,draw
604,b,2,e,2,f,2,draw
605,b,2,e,2,f,3,draw
606,b,2,e,3,d,2,draw
607,b,2,e,3,d,3,draw
608,b,2,e,3,d,4,draw
609,b,2,e,3,e,2,draw
610,b,2,e,3,e,4,draw
611,b,2,e,3,f,2,draw
612,b,2,e,3,f,3,draw
613,b,2,e,3,f,4,draw
614,b,2,e,4,d,3,draw
615,b,2,e,4,d,4,draw
616,b,2,e,4,e,3,draw
617,b,2,e,4,e,5,draw
618,b,2,e,4,f,3,draw
619,b,2,e,4,f,4,draw
620,b,2,e,4,f,5,draw
621,b,2,e,5,d,4,draw
622,b,2,e,5,e,4,draw
623,b,2,e,5,f,4,draw
624,b,2,e,5,f,5,draw
625,b,2,e,5,f,6,draw
626,b,2,e,6,f,5,draw
627,b,2,f,1,e,1,draw
628,b,2,f,1,e,2,draw
629,b,2,f,1,f,2,draw
630,b,2,f,1,g,1,draw
631,b,2,f,1,g,2,draw
632,b,2,f,2,e,1,draw
633,b,2,f,2,e,2,draw
634,b,2,f,2,e,3,draw
635,b,2,f,2,f,1,draw
636,b,2,f,2,f,3,draw
637,b,2,f,2,g,1,draw
638,b,2,f,2,g,2,draw
639,b,2,f,2,g,3,draw
640,b,2,f,3,e,2,draw
641,b,2,f,3,e,3,draw
642,b,2,f,3,e,4,draw
643,b,2,f,3,f,2,draw
644,b,2,f,3,f,4,draw
645,b,2,f,3,g,2,draw
646,b,2,f,3,g,3,draw
647,b,2,f,3,g,4,draw
648,b,2,f,4,e,3,draw
649,b,2,f,4,e,4,draw
650,b,2,f,4,e,5,draw
651,b,2,f,4,f,3,draw
652,b,2,f,4,f,5,draw
653,b,2,f,4,g,3,draw
654,b,2,f,4,g,4,draw
655,b,2,f,4,g,5,draw
656,b,2,f,5,e,4,draw
657,b,2,f,5,e,5,draw
658,b,2,f,5,f,4,draw
659,b,2,f,5,f,6,draw
660,b,2,f,5,g,4,draw
661,b,2,f,5,g,5,draw
662,b,2,f,5,g,6,draw
663,b,2,f,6,e,5,draw
664,b,2,f,6,f,5,draw
665,b,2,f,6,g,5,draw
666,b,2,f,6,g,6,draw
667,b,2,f,6,g,7,draw
668,b,2,f,7,g,6,draw
669,b,2,g,1,f,1,draw
670,b,2,g,1,f,2,draw
671,b,2,g,1,g,2,draw
672,b,2,g,1,h,1,draw
673,b,2,g,1,h,2,draw
674,b,2,g,2,f,1,draw
675,b,2,g,2,f,2,draw
676,b,2,g,2,f,3,draw
677,b,2,g,2,g,1,draw
678,b,2,g,2,g,3,draw
679,b,2,g,2,h,1,draw
680,b,2,g,2,h,2,draw
681,b,2,g,2,h,3,draw
682,b,2,g,3,f,2,draw
683,b,2,g,3,f,3,draw
684,b,2,g,3,f,4,draw
685,b,2,g,3,g,2,draw
686,b,2,g,3,g,4,draw
687,b,2,g,3,h,2,draw
688,b,2,g,3,h,3,draw
689,b,2,g,3,h,4,draw
690,b,2,g,4,f,3,draw
691,b,2,g,4,f,4,draw
692,b,2,g,4,f,5,draw
693,b,2,g,4,g,3,draw
694,b,2,g,4,g,5,draw
695,b,2,g,4,h,3,draw
696,b,2,g,4,h,4,draw
697,b,2,g,4,h,5,draw
698,b,2,g,5,f,4,draw
699,b,2,g,5,f,5,draw
700,b,2,g,5,f,6,draw
701,b,2,g,5,g,4,draw
702,b,2,g,5,g,6,draw
703,b,2,g,5,h,4,draw
704,b,2,g,5,h,5,draw
705,b,2,g,5,h,6,draw
706,b,2,g,6,f,5,draw
707,b,2,g,6,f,6,draw
708,b,2,g,6,g,5,draw
709,b,2,g,6,g,7,draw
710,b,2,g,6,h,5,draw
711,b,2,g,6,h,6,draw
712,b,2,g,6,h,7,draw
713,b,2,g,7,f,6,draw
714,b,2,g,7,g,6,draw
715,b,2,g,7,h,6,draw
716,b,2,g,7,h,7,draw
717,b,2,g,7,h,8,draw
718,b,2,g,8,h,7,draw
719,b,2,h,1,g,1,draw
720,b,2,h,1,g,2,draw
721,b,2,h,1,h,2,draw
722,b,2,h,2,g,1,draw
723,b,2,h,2,g,2,draw
724,b,2,h,2,g,3,draw
725,b,2,h,2,h,1,draw
726,b,2,h,2,h,3,draw
727,b,2,h,3,g,2,draw
728,b,2,h,3,g,3,draw
729,b,2,h,3,g,4,draw
730,b,2,h,3,h,2,draw
731,b,2,h,3,h,4,draw
732,b,2,h,4,g,3,draw
733,b,2,h,4,g,4,draw
734,b,2,h,4,g,5,draw
735,b,2,h,4,h,3,draw
736,b,2,h,4,h,5,draw
737,b,2,h,5,g,4,draw
738,b,2,h,5,g,5,draw
739,b,2,h,5,g,6,draw
740,b,2,h,5,h,4,draw
741,b,2,h,5,h,6,draw
742,b,2,h,6,g,5,draw
743,b,2,h,6,g,6,draw
744,b,2,h,6,g,7,draw
745,b,2,h,6,h,5,draw
746,b,2,h,6,h,7,draw
747,b,2,h,7,g,6,draw
748,b,2,h,7,g,7,draw
749,b,2,h,7,h,6,draw
750,b,2,h,7,h,8,draw
751,b,2,h,8,g,7,draw
752,b,2,h,8,h,7,draw
753,c,1,a,1,a,2,draw
754,c,1,a,2,a,1,draw
755,c,1,a,2,a,3,draw
756,c,1,a,2,b,3,draw
757,c,1,a,3,a,2,draw
758,c,1,a,3,a,4,draw
759,c,1,a,3,b,3,draw
760,c,1,a,3,b,4,draw
761,c,1,a,4,a,3,draw
762,c,1,a,4,a,5,draw
763,c,1,a,4,b,3,draw
764,c,1,a,4,b,4,draw
765,c,1,a,4,b,5,draw
766,c,1,a,5,a,4,draw
767,c,1,a,5,a,6,draw
768,c,1,a,5,b,4,draw
769,c,1,a,5,b,5,draw
770,c,1,a,5,b,6,draw
771,c,1,a,6,a,5,draw
772,c,1,a,6,a,7,draw
773,c,1,a,6,b,5,draw
774,c,1,a,6,b,6,draw
775,c,1,a,6,b,7,draw
776,c,1,a,7,a,6,draw
777,c,1,a,7,a,8,draw
778,c,1,a,7,b,6,draw
779,c,1,a,7,b,7,draw
780,c,1,a,7,b,8,draw
781,c,1,a,8,a,7,draw
782,c,1,a,8,b,7,draw
783,c,1,a,8,b,8,draw
784,c,1,b,2,a,1,draw
785,c,1,b,3,a,2,draw
786,c,1,b,3,a,3,draw
787,c,1,b,3,a,4,draw
788,c,1,b,3,b,4,draw
789,c,1,b,3,c,3,draw
790,c,1,b,3,c,4,draw
791,c,1,b,4,a,3,draw
792,c,1,b,4,a,4,draw
793,c,1,b,4,a,5,draw
794,c,1,b,4,b,3,draw
795,c,1,b,4,b,5,draw
796,c,1,b,4,c,3,draw
797,c,1,b,4,c,4,draw
798,c,1,b,4,c,5,draw
799,c,1,b,5,a,4,draw
800,c,1,b,5,a,5,draw
801,c,1,b,5,a,6,draw
802,c,1,b,5,b,4,draw
803,c,1,b,5,b,6,draw
804,c,1,b,5,c,4,draw
805,c,1,b,5,c,5,draw
806,c,1,b,5,c,6,draw
807,c,1,b,6,a,5,draw
808,c,1,b,6,a,6,draw
809,c,1,b,6,a,7,draw
810,c,1,b,6,b,5,draw
811,c,1,b,6,b,7,draw
812,c,1,b,6,c,5,draw
813,c,1,b,6,c,6,draw
814,c,1,b,6,c,7,draw
815,c,1,b,7,a,6,draw
816,c,1,b,7,a,7,draw
817,c,1,b,7,a,8,draw
