date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.000177,,,,0.176882,0.003467,,,
,,,0.047106,,,,,DOWN
0.000177,,,0.080581,0.286224,0.003467,,,
0.000177,,0.340426,0.072145,,,,,DOWN
,,,0.080581,0.385897,0.003467,,,
,,0.382979,0.080581,0.423535,0.003467,0.422915,0.414912,DOWN
0.000177,6,,0.072745,0.428593,,,,
0.000177,,0.425532,,,0.003467,,,
,6,0.446809,0.047256,0.403154,0.003467,,0.414912,
,,,,0.382624,,,0.414912,DOWN
,6,,,0.371021,0.003467,,,
,6,,,0.354508,0.003467,,,
,6,0.531915,0.047256,0.337102,0.003467,,0.414912,DOWN
,,,,,,0.422915,0.414912,DOWN
,6,,0.072145,,,,0.414912,DOWN
0.000177,,,0.047256,0.296489,0.003467,0.422915,0.414912,
,6,,0.047256,0.287266,,,0.414912,DOWN
0.000177,,0.638298,,0.284588,0.003467,0.422915,,UP
0.000177,6,,0.072745,0.287266,0.003467,,0.414912,UP
,,,0.080581,,,,0.414912,
,,,,,0.003467,0.422915,,UP
0.000177,,,0.072745,0.363136,0.003467,0.422915,0.414912,
0.000177,6,0.744681,0.080581,,,,0.414912,UP
0.000177,6,0.765957,,0.458048,0.003467,,0.414912,
,6,,0.072145,0.428444,0.003467,0.422915,,
0.000177,,0.808511,0.047256,0.385302,,,0.414912,DOWN
0.000177,,,0.047256,0.351532,0.003467,0.422915,0.414912,DOWN
0.000177,6,,,0.32535,0.003467,0.422915,,DOWN
0.000177,,0.87234,0.047256,0.309432,,0.422915,,
,6,0.893617,,,,,0.414912,
,,,0.047106,,0.003467,0.422915,0.414912,DOWN
,,0.93617,0.072145,,,,0.414912,
,6,0.957447,,0.31687,,0.422915,,DOWN
,,,,,,,0.414912,
0.000177,,1.0,0.047256,0.316572,,,0.414912,
0.000221,,0.0,,0.30244,0.003467,,,
,,,,,0.003467,,,
0.000221,7,0.042553,,0.234157,0.003467,,0.414912,DOWN
0.000221,7,0.06383,,0.182089,,,0.414912,
,,,0.046956,0.140732,0.003467,0.422915,,
0.000221,7,0.106383,0.062417,,0.003467,,0.414912,UP
0.000221,7,0.12766,,,,,,
,,,,0.07349,,,0.414912,
0.000221,,,,,0.003467,,,UP
,,,,,0.003467,,,UP
,,,,0.064267,,,,UP
0.000221,,,,0.074383,,,0.414912,UP
,7,0.255319,0.062417,0.090747,,0.422915,0.414912,
0.000221,7,0.276596,0.046956,0.091937,0.003467,0.422915,0.414912,
,,0.297872,,0.127938,0.003467,,0.414912,DOWN
0.000221,,0.319149,,,,,0.414912,
0.000221,7,,,0.230884,,,0.414912,DOWN
0.000221,7,,0.047256,,,0.422915,0.414912,
0.000221,7,,0.047376,0.327581,,0.422915,0.414912,DOWN
0.000221,7,,0.047376,,0.003467,0.422915,0.414912,DOWN
,7,0.425532,,0.355251,0.003467,0.422915,,DOWN
0.000221,,0.446809,0.047256,,0.003467,0.422915,,
0.000221,7,,0.071694,,0.003467,,,
,7,0.489362,,,0.003467,0.422915,,
,,,0.071694,0.308242,0.003467,0.422915,,
,,,,0.281018,,0.422915,,
,,,0.047256,0.263612,0.003467,0.422915,,
,7,,0.047256,0.244868,,,,DOWN
0.000221,,,0.047256,0.235049,0.003467,0.422915,,DOWN
,7,,,0.231479,0.003467,0.422915,0.414912,
0.000221,7,0.638298,0.047256,0.23252,,,,
0.000221,,0.659574,,,0.003467,0.422915,,
0.000221,,,0.047256,0.240702,0.003467,0.422915,,
,7,0.702128,0.047256,,,,0.414912,
,7,0.723404,0.047286,,,0.422915,,DOWN
,7,0.744681,,,,0.422915,0.414912,
0.000221,,0.765957,,0.403898,,0.422915,0.414912,UP
,,0.787234,,0.383071,,,0.414912,DOWN
0.000221,7,,0.047256,,0.003467,0.422915,,DOWN
0.000221,7,,0.047256,,0.003467,,,
0.000221,,,,,,0.422915,0.414912,
0.000221,,0.87234,0.047106,,0.003467,,0.414912,
,,0.893617,,0.280571,,0.422915,,DOWN
0.000221,,0.914894,,,,0.422915,0.414912,DOWN
,,0.93617,0.047106,,,,,DOWN
,,,,0.298869,,,,
,7,,0.047256,,,,,
0.000221,,1.0,0.047106,0.293663,0.003467,0.422915,0.414912,
0.000265,1,0.0,0.047106,,0.003467,0.422915,,
0.000265,1,0.021277,,0.247694,0.003467,,,
0.000265,,0.042553,,,,0.422915,,DOWN
0.000265,1,0.06383,,0.185808,,0.422915,,DOWN
0.000265,1,0.085106,,0.154865,0.003467,,0.414912,
,1,0.106383,,0.127789,0.003467,,,
,1,,,0.112169,,0.422915,0.414912,DOWN
0.000265,,,0.046806,0.101309,0.003467,0.422915,,
0.000265,,0.170213,,0.10235,0.003467,0.422915,0.414912,DOWN
0.000265,,,,,,0.422915,,DOWN
,,0.212766,0.046806,,,,,DOWN
0.000265,1,,0.047256,0.187742,,,0.414912,
,1,0.255319,0.047256,0.27953,,,,
,1,,,0.367599,0.003467,,,DOWN
,,0.297872,,0.375483,0.003467,,,
0.000265,,,,0.435882,,,0.414912,
0.000265,,,0.155878,,0.003467,,,
,,,,,,0.422915,,UP
,,0.382979,,0.512348,,,,
0.000265,,0.404255,0.10475,,,,,
0.000265,,,,0.519042,,0.422915,0.414912,UP
,1,0.446809,,,,0.422915,0.414912,UP
0.000265,,0.468085,,,,,0.414912,
,,,,,0.003467,,,UP
0.000265,,,0.13105,,0.003467,,,
,1,,,,0.003467,0.422915,,UP
,1,,0.10475,0.478578,0.003467,0.422915,,
,,0.574468,0.13105,,,,,UP
0.000265,,,,,0.003467,0.422915,0.414912,UP
,,0.617021,0.13105,0.467718,,,0.414912,UP
,1,,,,0.003467,,,UP
,,,,0.472925,,,0.414912,
0.000265,1,,0.179596,,0.003467,,,UP
,1,,,0.53734,0.003467,,0.414912,UP
0.000265,1,0.723404,0.209229,,0.003467,,,
,,0.744681,0.194548,0.651592,0.003467,,0.414912,
,,0.765957,,0.629575,0.003467,0.422915,0.414912,
,,0.787234,,,0.003467,0.422915,,
0.000265,1,,0.179596,,0.003467,0.422915,0.414912,
0.000265,,0.829787,,0.526034,,,,
,,,0.155878,,,,0.414912,UP
,,,0.10475,0.471883,,,,UP
,,0.893617,0.109283,,0.003467,,,
0.000265,1,0.914894,0.10475,,0.003467,,,
,1,,,0.425022,,,,DOWN
0.000265,1,,0.088327,,0.003467,0.422915,0.414912,DOWN
,1,,,,,0.422915,,
0.000265,1,,,0.46385,0.003467,0.422915,0.414912,
0.00031,2,0.0,,,,,,
,2,,,,0.003467,,,
0.00031,2,0.042553,0.047256,0.409551,,0.422915,,DOWN
0.00031,,0.06383,,0.341416,,0.422915,,
,,,,0.279232,,0.422915,0.414912,
0.00031,,,,0.236686,0.003467,,0.414912,DOWN
,2,0.12766,0.046956,0.193692,0.003467,,,DOWN
,,,0.062417,,,0.422915,,DOWN
0.00031,2,0.170213,,0.157542,0.003467,0.422915,0.414912,
0.00031,,,,0.158137,,,,DOWN
,2,,0.077999,,0.003467,,,DOWN
0.00031,2,0.234043,0.083794,,,0.422915,,
,,,,,,0.422915,0.414912,
0.00031,2,,,,0.003467,0.422915,0.414912,UP
0.00031,2,0.297872,,0.447188,,,,UP
,2,,,0.505802,0.003467,,,
,,,0.179596,0.528265,0.003467,0.422915,,
,,,,0.523654,,,0.414912,
0.00031,2,,0.179596,0.558762,,0.422915,0.414912,UP
,,,,,,,,
,,0.425532,,,,,,
0.00031,,0.446809,,,,0.422915,,DOWN
,,0.468085,0.162093,0.516513,,,,
,,0.489362,0.143389,,,0.422915,,
,2,,0.13105,0.497173,0.003467,,,
0.00031,,0.531915,0.143389,,0.003467,0.422915,0.414912,
,,,0.143389,0.502083,0.003467,,,UP
0.00031,,,0.143389,0.491372,,,,UP
0.00031,2,0.595745,0.143389,,0.003467,,,UP
,2,,,,,0.422915,0.414912,
,2,,0.13105,0.468015,0.003467,0.422915,,
,2,0.659574,,0.484826,,0.422915,0.414912,UP
,2,0.680851,0.162093,,0.003467,0.422915,0.414912,
,,,,0.540762,0.003467,,0.414912,
,2,,,,0.003467,0.422915,0.414912,UP
,,,,0.678667,,0.422915,,UP
,2,,0.194548,,,,,
0.00031,2,0.787234,0.188904,,0.003467,,0.414912,
,,,0.179596,,0.003467,0.422915,,UP
0.00031,,,,0.562035,,0.422915,,UP
0.00031,,,,0.535852,,0.422915,,UP
0.00031,,,,,0.003467,,0.414912,
,2,,,0.463106,,0.422915,,
0.00031,,,0.10475,,0.003467,,,DOWN
0.00031,2,,0.13105,0.458941,0.003467,0.422915,0.414912,UP
0.00031,2,0.957447,0.121713,,,0.422915,,
0.00031,,0.978723,,0.488396,0.003467,,0.414912,DOWN
,,1.0,0.121713,,,0.422915,0.414912,DOWN
,3,,,0.486314,0.003467,,,DOWN
0.000354,3,0.021277,,,0.003467,0.422915,0.414912,DOWN
0.000354,,,0.085415,,,,,
0.000354,3,0.06383,0.083794,0.363582,,0.422915,,DOWN
,,,0.083794,,0.003467,,0.414912,
,,0.106383,,0.258554,0.003467,0.422915,,
,,0.12766,,,0.003467,0.422915,0.414912,DOWN
,,,,0.186998,,0.422915,0.414912,
0.000354,,,0.062417,0.175245,0.003467,,,
,3,,0.062417,,0.003467,,,
0.000354,3,,0.077999,,,,,DOWN
,3,,,0.243529,0.003467,,,
0.000354,,,,,,,0.414912,DOWN
,,,,,0.003467,,,UP
,3,0.297872,,0.461321,0.003467,,0.414912,UP
0.000354,,,0.193287,0.525588,,,0.414912,
,,0.340426,,,0.003467,0.422915,,
,3,,0.162093,0.533323,0.003467,,,UP
0.000354,3,,,0.563672,,,0.414912,UP
,3,,,,,0.422915,0.414912,DOWN
0.000354,3,,0.119731,0.551175,0.003467,0.422915,0.414912,
0.000354,,0.446809,,0.529902,,,,DOWN
0.000354,3,0.468085,,,,,,
,3,,,0.503422,0.003467,0.422915,0.414912,DOWN
0.000354,3,0.510638,,,0.003467,,0.414912,DOWN
,3,,0.089798,0.481702,,0.422915,0.414912,
0.000354,,0.553191,0.089798,0.472925,0.003467,,0.414912,DOWN
0.000354,,,0.089798,0.468908,0.003467,,0.414912,
0.000354,,,,0.456412,0.003467,0.422915,0.414912,
,,0.617021,,0.441238,,,,
,3,,0.089798,0.43499,0.003467,0.422915,,DOWN
0.000354,3,0.659574,,0.450164,,,,DOWN
0.000354,3,,,0.463106,0.003467,,0.414912,DOWN
0.000354,,0.702128,0.119731,,0.003467,,,UP
0.000354,3,,,0.570217,,,0.414912,UP
0.000354,3,0.744681,0.203525,,0.003467,,,UP
,,0.765957,0.203525,,,0.422915,,UP
,3,,,0.604582,,,,UP
,3,0.808511,,0.565605,,0.422915,,UP
0.000354,3,,0.140267,0.540315,,0.422915,0.414912,UP
0.000354,3,0.851064,0.119731,,,0.422915,,
,,,,,0.003467,,,
,3,0.893617,0.119731,,0.003467,,,UP
,,,,0.399732,,,0.414912,
,,,,0.448825,,,0.414912,UP
,3,0.957447,,0.464296,0.003467,0.422915,0.414912,UP
0.000354,3,0.978723,,,,,0.414912,
0.000354,3,1.0,,0.488545,,,,
0.000398,4,0.0,,,0.003467,,0.414912,UP
0.000398,,,,,,0.422915,,UP
,,,0.111024,0.428741,0.003467,0.422915,,DOWN
,,0.06383,,0.366855,0.003467,0.422915,,
0.000398,,0.085106,0.077999,0.307349,0.003467,,0.414912,DOWN
,4,0.106383,,,0.003467,0.422915,,DOWN
,,,0.062417,0.215115,,0.422915,0.414912,DOWN
0.000398,,0.148936,,0.186254,0.003467,,0.414912,DOWN
,,,,0.170336,0.003467,,,DOWN
,4,,0.074877,,,,0.414912,
0.000398,4,0.212766,,,0.003467,,0.414912,DOWN
0.000398,4,0.234043,0.081122,,0.003467,0.422915,,DOWN
,,0.255319,,0.338143,,0.422915,0.414912,
0.000398,4,,,0.44332,,,0.414912,
,4,0.297872,0.13105,0.45537,0.003467,0.422915,0.414912,
,4,,0.149634,,0.003467,0.422915,,
0.000398,,0.340426,,0.543737,,0.422915,,UP
,,0.361702,,0.536894,,0.422915,0.414912,UP
0.000398,,0.382979,0.110724,,,0.422915,0.414912,
,,,0.110724,,0.003467,0.422915,0.414912,DOWN
0.000398,4,0.425532,0.107752,,0.003467,,0.414912,
0.000398,,0.446809,0.107752,,0.003467,0.422915,0.414912,
0.000398,4,,,0.537043,,0.422915,0.414912,DOWN
,,0.489362,,,0.003467,0.422915,0.414912,
0.000398,4,0.510638,0.074817,,0.003467,,0.414912,
0.000398,4,0.531915,,,,0.422915,,DOWN
0.000398,,0.553191,,0.500149,,0.422915,0.414912,
,,,0.107752,,0.003467,0.422915,,DOWN
0.000398,4,0.595745,,,0.003467,0.422915,0.414912,DOWN
0.000398,,0.617021,0.074817,,0.003467,,0.414912,
,,,0.107752,,,0.422915,0.414912,DOWN
0.000398,4,,,0.496578,,0.422915,0.414912,DOWN
0.000398,,0.680851,,0.517852,0.003467,,0.414912,
0.000398,4,,,0.557126,,,0.414912,
0.000398,,0.723404,,0.616483,,,0.414912,UP
0.000398,,0.744681,0.149664,,,0.422915,,
,,,0.149664,0.670485,0.003467,,0.414912,UP
0.000398,4,,0.149664,,0.003467,0.422915,0.414912,UP
,,0.808511,0.149664,0.608599,0.003467,0.422915,,
,,0.829787,0.134622,0.578697,,0.422915,,
0.000398,,,,0.560399,,0.422915,,
,4,,0.110724,0.528265,0.003467,0.422915,,DOWN
0.000398,4,,0.107752,0.475602,0.003467,0.422915,0.414912,
0.000398,,,0.107752,0.430527,,0.422915,0.414912,DOWN
,4,,0.121713,0.477388,,0.422915,0.414912,UP
0.000398,,0.957447,,,0.003467,,0.414912,UP
,,0.978723,,,,0.422915,0.414912,
,4,,,0.489586,,0.422915,,UP
,,,0.13093,,0.003467,,0.414912,UP
0.000442,5,0.021277,,,0.003467,,0.414912,
0.000442,,,0.111024,0.433948,0.003467,0.422915,,
,5,0.06383,0.090759,,,0.422915,,DOWN
0.000442,5,,0.081122,,,0.422915,0.414912,
0.000442,,,0.081122,0.262571,,0.422915,,DOWN
,5,0.12766,0.081122,,0.003467,0.422915,,
,5,,0.081122,0.190866,,,0.414912,
,,,,,0.003467,0.422915,,DOWN
,,0.191489,,0.175245,,0.422915,0.414912,DOWN
,5,,0.081122,,,0.422915,0.414912,DOWN
,,,0.121713,0.246504,,0.422915,0.414912,
,5,,,0.339334,,0.422915,0.414912,
,,0.276596,0.14447,0.444511,,0.422915,0.414912,UP
,,,0.044134,,0.003467,,0.414912,
0.000442,,,,0.526778,0.003467,0.422915,0.414912,DOWN
,,,,,0.003467,,0.414912,
0.000442,,,,,,,0.414912,
0.000442,5,0.382979,,0.576317,0.003467,0.422915,,
,,0.404255,,,,,,UP
0.000442,5,0.425532,0.168338,0.564713,0.003467,,,UP
0.000442,,,0.149634,0.545076,,,,
0.000442,5,0.468085,0.149634,0.530943,0.003467,,0.414912,
,5,0.489362,0.149634,0.529009,0.003467,0.422915,,UP
,,0.510638,0.146391,,,0.422915,0.414912,UP
,5,0.531915,0.13105,0.510562,0.003467,,0.414912,UP
0.000442,,,0.13093,,,0.422915,,UP
,5,,0.13105,0.481851,0.003467,,0.414912,UP
,5,0.595745,,,0.003467,0.422915,0.414912,DOWN
0.000442,5,0.617021,,0.457751,0.003467,0.422915,,UP
0.000442,5,0.638298,0.13105,0.451651,,0.422915,0.414912,
0.000442,5,0.659574,,0.459982,,,,
,,,,,0.003467,0.422915,,UP
,5,,0.168338,0.511009,,0.422915,,UP
,5,,,0.567242,,,0.414912,UP
,,0.744681,0.092951,0.619756,,0.422915,,
,5,0.765957,0.149634,0.592086,0.003467,,0.414912,UP
0.000442,,,0.13093,,0.003467,0.422915,,UP
,,0.808511,,0.528414,,0.422915,0.414912,
,5,,0.045214,0.504017,,0.422915,,DOWN
,5,0.851064,,,,0.422915,0.414912,DOWN
,,0.87234,,0.464743,0.003467,0.422915,,
0.000442,,,0.044134,,,0.422915,0.414912,
,5,0.914894,0.076498,,,,,
0.000442,5,0.93617,,0.43618,,,,UP
0.000442,5,,,0.464445,,0.422915,,DOWN
,,,,,0.003467,0.422915,,
0.000442,5,,0.121713,0.484231,,0.422915,0.414912,UP
0.000487,6,,,0.478727,0.003467,0.422915,,
0.000487,,,,0.447337,0.003467,,,
,,,,,,,0.414912,DOWN
,6,,0.045214,0.339929,0.003467,0.422915,,
,6,,,0.280571,,,,
0.000487,6,,0.045214,0.227611,0.003467,0.422915,0.414912,
,6,,0.074877,0.185808,0.003467,0.422915,0.414912,DOWN
,6,,0.074877,,,,0.414912,
,,0.170213,,,,0.422915,,
0.000487,,0.191489,,,,0.422915,,
,6,0.212766,0.068302,,0.003467,0.422915,0.414912,DOWN
0.000487,,0.234043,0.068302,,0.003467,0.422915,0.414912,DOWN
0.000487,,,0.068302,,0.003467,0.422915,0.414912,DOWN
,6,0.276596,,0.209461,,0.422915,0.414912,
0.000487,,,0.084364,0.254389,0.003467,0.422915,0.414912,DOWN
,,,,0.328176,0.003467,,,
0.000487,,,,,0.003467,,0.414912,DOWN
0.000487,,,0.102978,,,,0.414912,
0.000487,,0.382979,0.119731,0.468164,0.003467,0.422915,0.414912,
0.000487,,0.404255,,,,,0.414912,
0.000487,,0.425532,0.119731,,0.003467,0.422915,,UP
0.000487,6,,,,,0.422915,,
,,,0.084544,,,,,
,,0.489362,,,,0.422915,,
0.000487,6,,0.084364,0.395716,,,0.414912,
,6,,0.07932,0.379649,,,,
