median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
,3.6875,,1524.0,260.0,651.0,,,
135300.0,2.875,,,746.0,1704.0,703.0,37.77,
136700.0,3.4205,43.0,1985.0,440.0,,407.0,,
,,50.0,,322.0,,284.0,,P
,3.875,,893.0,,468.0,181.0,37.78,
,4.175,52.0,653.0,128.0,,,37.78,
,,47.0,1256.0,,570.0,,37.77,
,4.7708,48.0,,,,180.0,,P
176000.0,,,,397.0,968.0,384.0,,P
,3.0958,39.0,1583.0,,,316.0,,P
141900.0,,39.0,1612.0,342.0,912.0,,37.77,P
,,,,533.0,,,,P
,1.9356,,,367.0,1074.0,355.0,37.76,P
,,47.0,2118.0,413.0,965.0,382.0,37.76,
,2.2917,,,,933.0,,,
,,,,,,,37.76,P
,1.9479,50.0,1187.0,261.0,,,37.76,P
93800.0,3.9063,52.0,,,,165.0,37.76,P
,,49.0,,,,,,P
,2.0786,,,,,157.0,37.77,
,,42.0,1180.0,,,,37.77,
91200.0,,,,408.0,1111.0,367.0,37.76,
,,49.0,,,,269.0,37.76,
96200.0,,52.0,2744.0,,1479.0,554.0,37.77,P
,,,,471.0,,,37.77,P
,2.0556,52.0,,362.0,1029.0,366.0,,
,,52.0,,391.0,1030.0,,37.76,
,1.75,,,,,,37.76,P
89300.0,2.0469,41.0,2036.0,,,454.0,,P
101400.0,,,,393.0,,349.0,,
72500.0,,41.0,921.0,,522.0,159.0,37.76,P
,1.925,45.0,995.0,,630.0,,37.76,
,1.5809,,,132.0,,133.0,37.75,P
,,37.0,2680.0,736.0,,667.0,,
81800.0,0.7683,38.0,,370.0,,,37.76,
,1.3194,19.0,,,1481.0,520.0,,
81800.0,0.8012,,,,,162.0,37.75,
85800.0,,26.0,1293.0,,984.0,303.0,37.76,P
87100.0,,36.0,,,,,,P
83500.0,,42.0,,,380.0,,,
,2.1538,,,,825.0,244.0,37.73,
,,,,,,155.0,37.74,
84700.0,,45.0,1528.0,,801.0,,37.73,
80000.0,2.9063,,909.0,,646.0,198.0,,
,2.5192,,,,855.0,,,
,,44.0,,119.0,435.0,,,
,,42.0,,874.0,2736.0,,,P
97700.0,2.4028,41.0,1613.0,445.0,,414.0,37.74,P
97200.0,2.15,,463.0,134.0,327.0,137.0,37.74,P
,2.4776,43.0,,,494.0,,37.74,P
86500.0,2.1587,,1473.0,,,341.0,,
,1.8438,35.0,504.0,126.0,,109.0,,P
,3.0298,46.0,,,749.0,225.0,37.74,P
,2.25,46.0,769.0,,,178.0,,
88900.0,,46.0,,391.0,,354.0,37.74,P
80700.0,,45.0,,,,,,
,1.325,46.0,,,621.0,,,P
,,,,,732.0,,,P
,2.1731,,990.0,261.0,,,,
82800.0,1.9167,36.0,,,482.0,,,P
,2.069,43.0,,233.0,,213.0,,
82100.0,1.712,36.0,1047.0,214.0,,,,P
,2.5625,33.0,1280.0,,999.0,286.0,,P
,1.9821,43.0,,,907.0,306.0,37.75,
,,41.0,1257.0,271.0,828.0,,,P
88800.0,,,,248.0,,254.0,37.75,P
,,,1751.0,,935.0,,,
,,45.0,2299.0,,,,37.76,P
,,,,,,482.0,37.75,
100400.0,3.1587,,,211.0,597.0,185.0,,P
94800.0,1.8426,,1685.0,,949.0,,,
,4.6696,,,307.0,,302.0,37.76,
,,36.0,,,1438.0,519.0,,
196900.0,,39.0,1823.0,286.0,763.0,270.0,,
,,,,365.0,,,,P
252800.0,,34.0,1513.0,,545.0,211.0,37.76,P
275400.0,,,,,1222.0,533.0,37.76,P
,6.86,,1809.0,,808.0,,37.75,P
329800.0,,,794.0,,329.0,,37.75,P
,4.0313,,690.0,105.0,299.0,,37.75,
255900.0,,33.0,,,579.0,,,
311100.0,4.975,30.0,414.0,54.0,137.0,50.0,37.75,P
330000.0,,,768.0,,,93.0,,
248900.0,,,,666.0,,648.0,37.74,P
142900.0,,46.0,954.0,,429.0,154.0,37.75,
,,40.0,,256.0,,,,P
,,44.0,,399.0,,331.0,37.75,P
130600.0,,,856.0,178.0,,191.0,37.74,
107900.0,,,1790.0,454.0,,386.0,37.75,
111100.0,,,,,,,37.75,P
,3.5083,43.0,,275.0,853.0,272.0,,P
118000.0,3.3125,49.0,1325.0,277.0,,282.0,37.74,
,,,1227.0,294.0,928.0,,,
94300.0,3.8047,,,,406.0,133.0,37.75,P
,2.2917,,1223.0,,824.0,,37.74,
91800.0,2.4962,37.0,,287.0,,259.0,37.75,P
109400.0,4.0417,,1534.0,,,295.0,37.74,P
,,,,181.0,,,,
,4.1458,52.0,771.0,147.0,,,37.74,P
,2.625,47.0,,,,166.0,37.74,
103100.0,,,1097.0,239.0,609.0,,,
,3.3333,,,,576.0,,,
270900.0,5.338,52.0,,,,,37.9,P
246200.0,3.4732,52.0,2248.0,,,,,P
,,,2263.0,,1027.0,,37.9,
,3.1375,,1571.0,,,,,
211600.0,2.8036,,,,815.0,,,
256100.0,,15.0,,1212.0,,,,P
206300.0,,,1077.0,293.0,,,37.89,P
,4.0875,52.0,,283.0,,275.0,,P
207400.0,4.5268,,,,,,,
350000.0,,37.0,3061.0,,,,37.88,
,,52.0,3171.0,698.0,1498.0,,,P
216700.0,,,1211.0,,523.0,227.0,,P
270600.0,5.1675,,979.0,175.0,,,,
,5.1696,52.0,,380.0,,371.0,,P
,,52.0,,,,,,
,5.0551,52.0,,,,,37.89,
,,42.0,1650.0,274.0,,256.0,37.9,
,7.8864,52.0,1927.0,,,,,P
,7.9556,52.0,2079.0,273.0,,275.0,37.9,
,,,1803.0,,572.0,,37.9,P
,6.9414,52.0,2041.0,,671.0,253.0,,
430500.0,8.8342,52.0,3046.0,373.0,975.0,,37.89,
362900.0,,52.0,2318.0,,,312.0,,
397000.0,10.0825,,2003.0,,,244.0,,
346800.0,,,2261.0,,,335.0,,P
327100.0,,52.0,1225.0,169.0,412.0,168.0,,
,4.5893,52.0,,408.0,835.0,369.0,,P
,,,2070.0,,722.0,306.0,37.89,P
270900.0,,52.0,2616.0,473.0,1085.0,,,
,7.266,,,366.0,973.0,355.0,37.89,P
335600.0,5.3989,,,,,272.0,,P
371300.0,,,2220.0,335.0,,,,
,6.1593,41.0,1125.0,,,181.0,,
,6.381,52.0,3078.0,494.0,1005.0,,37.89,P
,6.6828,,3706.0,531.0,1205.0,,,
350000.0,,37.0,,457.0,987.0,450.0,37.89,
,,42.0,2863.0,,1031.0,448.0,,
,,,,417.0,,,37.88,
415300.0,,,,,823.0,377.0,37.88,
,,52.0,,,,,,
287500.0,3.5417,52.0,1693.0,,,367.0,,P
272900.0,,44.0,2252.0,,,550.0,37.88,
259600.0,,,2495.0,,,,37.88,
,4.1912,,,,506.0,207.0,37.88,P
,3.9167,52.0,,,489.0,,37.88,P
,,,2159.0,,824.0,,,P
229200.0,,48.0,2365.0,490.0,1034.0,,,
,2.9926,46.0,1895.0,442.0,920.0,425.0,,P
,,,,,,380.0,37.88,
,1.475,45.0,,146.0,,,37.88,
138800.0,,52.0,,97.0,,,37.88,
150000.0,2.1705,,,118.0,,100.0,,
,,,499.0,,287.0,,37.86,P
,,,477.0,119.0,,,37.85,P
,2.9,46.0,1647.0,376.0,,355.0,,
,2.2208,,3123.0,749.0,1695.0,684.0,,
,,52.0,,,,,37.88,P
200000.0,,52.0,589.0,,288.0,,,
173700.0,,,2026.0,,,521.0,37.87,P
185600.0,,,1829.0,536.0,1129.0,,37.87,P
182600.0,3.875,52.0,,,,,,P
,3.006,,,416.0,,406.0,37.88,
,2.543,46.0,3022.0,696.0,1293.0,,37.87,P
,,46.0,1777.0,,,,,
,2.1907,52.0,,930.0,,,37.88,
,1.7778,,,,,425.0,37.87,P
277800.0,,,2619.0,682.0,,,,
,4.2788,,,255.0,483.0,,,
338900.0,2.944,,2363.0,604.0,1558.0,,37.88,
,,,,,,769.0,37.88,P
,5.2289,41.0,685.0,,,123.0,,P
371400.0,,42.0,1756.0,,,,37.87,P
350000.0,,52.0,1204.0,,,477.0,37.87,
500001.0,,52.0,,236.0,,,,P
,1.4012,52.0,,371.0,,350.0,37.87,P
,1.1859,,2773.0,,1721.0,949.0,,
216700.0,,35.0,3218.0,,,,37.87,P
211300.0,2.8846,,,368.0,707.0,,,P
,2.7372,52.0,,,1424.0,694.0,,P
196400.0,3.8594,52.0,,195.0,393.0,,37.86,
191700.0,3.5625,52.0,,353.0,,339.0,,
182300.0,2.2788,52.0,,300.0,,,37.87,P
175000.0,2.537,44.0,2539.0,755.0,,713.0,,P
,,,1267.0,,,,,
156900.0,1.9946,52.0,,,,372.0,37.86,
,,52.0,,,,,37.86,
150000.0,2.6165,52.0,2225.0,460.0,,,37.87,
,,,,607.0,1354.0,563.0,37.86,
169900.0,1.9327,,2031.0,,,445.0,37.86,
147400.0,1.9798,49.0,,668.0,,608.0,37.86,P
,,,2246.0,472.0,1005.0,,,
182700.0,2.5417,,,435.0,,414.0,37.86,P
,3.3906,52.0,,,780.0,,,P
157700.0,2.5652,,,691.0,1582.0,,,P
153100.0,,,2214.0,550.0,1213.0,568.0,37.86,P
250000.0,2.6071,,1088.0,305.0,,,,P
206300.0,,52.0,834.0,186.0,494.0,175.0,,
,,52.0,,372.0,849.0,,,P
198200.0,,,2307.0,583.0,1127.0,,,
253600.0,1.6307,35.0,5161.0,,3276.0,,,P
,2.9044,52.0,3497.0,,1493.0,794.0,37.86,P
,2.9405,,,744.0,,679.0,,P
241700.0,,,,604.0,,,,P
489600.0,3.0417,,2153.0,,,459.0,37.86,
,7.0897,52.0,1389.0,191.0,514.0,,,P
,,52.0,,,719.0,295.0,37.86,P
,1.7652,52.0,1587.0,,,,,P
,7.8521,52.0,,225.0,,214.0,37.86,P
,9.3959,52.0,,,1366.0,,,P
376900.0,,,4048.0,,1316.0,,37.86,P
309600.0,3.2619,52.0,3618.0,768.0,1508.0,,37.85,P
,2.7054,,,920.0,,815.0,,
172700.0,2.2431,,2077.0,400.0,719.0,,37.85,
,1.9028,,,300.0,675.0,255.0,,P
153600.0,1.5817,52.0,1974.0,426.0,875.0,,37.85,P
106300.0,2.2841,,,,,,,P
142300.0,1.3785,,,307.0,843.0,,,P
,,52.0,,145.0,,,37.85,
147900.0,,,1025.0,198.0,,,37.85,P
,2.2625,,2063.0,484.0,1054.0,466.0,,P
132500.0,2.2106,35.0,,,,,,P
,,52.0,,,,765.0,,P
,,,7355.0,2408.0,,2051.0,37.84,
500001.0,,52.0,2990.0,379.0,,361.0,37.83,P
500001.0,11.8603,39.0,2492.0,310.0,,,37.82,
500001.0,,,2991.0,,1018.0,,37.82,P
,12.2138,,3242.0,366.0,1001.0,,37.82,P
466100.0,8.1872,52.0,,,1005.0,369.0,37.82,P
500001.0,,52.0,,,1192.0,,,P
,,52.0,,246.0,585.0,227.0,37.83,P
471600.0,,52.0,,312.0,,,37.83,
500001.0,8.7477,52.0,1611.0,203.0,556.0,,,P
,,52.0,3665.0,,1470.0,,,P
340700.0,,52.0,,,1104.0,,,P
289900.0,,52.0,3037.0,516.0,,,37.76,P
,4.7188,52.0,2269.0,323.0,805.0,,,
,5.2915,52.0,1316.0,,378.0,,37.76,P
241000.0,2.6411,,,235.0,,223.0,,
,,,772.0,,,160.0,37.77,
206300.0,3.6417,,,386.0,,,,P
,,52.0,2650.0,566.0,,567.0,,
210200.0,,52.0,,,482.0,215.0,,P
,3.4531,52.0,1527.0,320.0,,,37.77,
,,,859.0,157.0,,158.0,37.77,P
,3.3438,,970.0,217.0,528.0,208.0,,
,2.9213,,,239.0,496.0,,37.78,P
,2.6806,,1408.0,,,,,
,,52.0,1222.0,,630.0,,,P
,3.9444,45.0,,263.0,723.0,286.0,,
292700.0,5.2601,13.0,,,,486.0,,
,,,,869.0,3668.0,855.0,37.79,
,2.6447,42.0,2038.0,368.0,2037.0,,,
173400.0,2.5762,29.0,,,3741.0,,,
,1.9427,,,309.0,,300.0,37.78,P
220800.0,,52.0,1468.0,363.0,,,37.77,P
,3.75,,,1073.0,1901.0,,,P
,5.1702,18.0,,763.0,,663.0,37.76,
,2.5139,50.0,,306.0,730.0,327.0,37.78,P
282100.0,,52.0,1670.0,,,299.0,,P
372000.0,,52.0,2252.0,,,434.0,37.77,P
225800.0,4.1667,,,377.0,,,37.77,
220800.0,,52.0,,,849.0,,,P
234500.0,3.3269,52.0,,,1121.0,518.0,37.77,P
,,,,,,445.0,37.77,P
351800.0,,,1565.0,315.0,637.0,,37.77,
,,52.0,,,663.0,,,P
,3.3571,,,168.0,411.0,172.0,37.77,P
,2.9899,,2097.0,,,413.0,,P
,,,1848.0,,921.0,477.0,37.77,
,,,955.0,284.0,,266.0,37.77,P
243400.0,,43.0,4329.0,,2086.0,,,P
273800.0,5.1039,,3011.0,,,,,
248500.0,4.1458,,,185.0,,,37.76,P
,3.4762,52.0,,,979.0,472.0,,
240900.0,,52.0,,,827.0,446.0,37.76,
306300.0,,,1705.0,246.0,,253.0,,
240000.0,,,1542.0,,,268.0,37.75,P
,4.9489,45.0,891.0,155.0,,146.0,,P
,4.8711,,4051.0,,1499.0,797.0,,
266700.0,,52.0,,581.0,1128.0,522.0,37.76,
229800.0,3.6719,,,525.0,,,,P
,,52.0,2567.0,,1119.0,415.0,37.76,
228400.0,,21.0,,1249.0,2930.0,1235.0,37.73,P
206200.0,,25.0,,365.0,897.0,390.0,37.74,P
350700.0,,,18634.0,,7427.0,,37.72,P
,3.2689,31.0,,1379.0,2973.0,,,
,3.567,52.0,2876.0,648.0,1340.0,,,
,3.6875,28.0,6909.0,,,,,
,4.7695,,5679.0,,,1151.0,,
100000.0,3.1972,20.0,1156.0,,,,37.75,P
341600.0,,,,,5781.0,2007.0,,P
412500.0,,,3596.0,,1738.0,,,
,4.635,,,,1478.0,529.0,,P
254900.0,5.3015,,1808.0,302.0,746.0,,37.71,
241500.0,4.9801,,2879.0,,,,,P
295200.0,5.4834,,3204.0,477.0,1411.0,,37.72,P
,,,3866.0,531.0,,521.0,,P
274700.0,5.6194,32.0,,,,367.0,,
,5.4639,,2211.0,,,,37.71,
266400.0,5.1498,35.0,2663.0,,,367.0,37.71,P
,5.8382,30.0,2599.0,,,,,P
206800.0,4.65,,,824.0,,,,
209200.0,4.3819,,2973.0,,1413.0,,,P
195800.0,,,,625.0,,568.0,,P
,,,1843.0,282.0,749.0,,37.71,
,4.3375,,,,867.0,,37.7,
252500.0,5.2131,27.0,6740.0,,2723.0,1035.0,,P
,6.005,30.0,,,,263.0,,
227000.0,,38.0,,,,,37.71,
220900.0,,38.0,,,1784.0,,,P
,5.2497,32.0,2718.0,447.0,,410.0,37.7,
232500.0,4.125,39.0,,272.0,645.0,277.0,,P
,,,1893.0,,821.0,315.0,,
,3.5187,33.0,,,1912.0,,,P
223200.0,,32.0,3400.0,,,694.0,37.7,
,3.4934,25.0,,758.0,1645.0,,,
,2.9861,33.0,,,,,37.7,P
